fecha,ultima,apertura,maximo,minimo,vol,varianza
20171221,214.50,214.50,214.50,214.50,0.15k,-0.12
20171219,214.75,214.75,214.75,214.75,0.45k,7.94
20161228,198.96,198.96,198.96,198.96,2.20k,1.41
20161215,196.20,196.20,196.20,196.20,2.20k,-17.56
20161024,238.00,238.00,238.00,238.00,0.34k,0.85
20161020,236.00,236.00,236.00,236.00,0.13k,2.34
20161019,230.60,230.60,230.60,230.60,3.50k,7.71
20161007,214.10,214.10,214.10,214.10,3.50k,-19.21
20160930,265.00,265.00,265.00,265.00,0.01k,1.94
20160922,259.95,259.95,259.95,259.95,3.30k,7.00
20160825,242.95,242.95,242.95,242.95,3.30k,1.80
20160824,238.65,238.65,238.65,238.65,1.90k,-12.63
20160624,273.15,273.15,273.15,273.15,1.90k,3.57
20160610,263.72,263.72,263.72,263.72,0.04k,7.64
20160517,245.00,245.00,245.00,245.00,0.16k,35.38
20151211,180.97,180.97,180.97,180.97,0.09k,7.54
20151201,168.27,168.27,168.27,168.27,8.35k,-1.59
20151118,171.00,171.00,171.00,171.00,0.16k,-7.47
20151110,184.81,184.81,184.81,184.81,0.01k,-1.34
20150917,187.31,187.31,187.31,187.31,0.09k,-34.57
20141027,286.30,286.30,286.30,286.30,2.00k,-9.10
20141015,314.95,314.95,314.95,314.95,1.50k,-12.41
20140829,359.56,359.56,359.56,359.56,1.46k,1.61
20140827,353.87,346.99,353.87,346.99,0.22k,2.36
20140820,345.70,339.60,345.70,339.60,2.06k,5.14
20140815,328.79,328.79,328.79,328.79,0.36k,2.99
20140812,319.25,319.25,319.25,319.25,2.00k,10.85
20140806,288.00,288.00,288.00,288.00,0.01k,0.04
20140619,287.89,287.89,287.89,287.89,1.50k,11.62
20140326,257.91,269.02,269.02,257.91,2.22k,-7.59
20140319,279.10,279.10,279.10,279.10,2.00k,60.84
20131223,173.53,173.53,173.53,173.53,1.00k,-2.51
20131219,178.00,177.00,178.00,177.00,1.06k,-2.14
20131216,181.90,182.55,182.55,181.90,2.00k,-20.98
20131007,230.20,230.20,230.20,230.20,0.05k,0.21
20131004,229.71,229.71,229.71,229.71,0.11k,-4.96
20130926,241.69,241.69,241.69,241.69,0.01k,-3.67
20130424,250.89,250.89,250.89,250.89,0.85k,2.37
20130423,245.07,245.07,245.07,245.07,1.50k,-0.77
20130417,246.96,246.96,246.96,246.96,4.66k,1.47
20130415,243.39,243.39,243.39,243.39,0.41k,-5.18
20130412,256.68,256.68,256.68,256.68,0.97k,-5.11
20130411,270.51,270.51,270.51,270.51,1.48k,1.52
20130410,266.45,266.45,266.45,266.45,1.88k,-2.47
20130409,273.20,273.20,273.20,273.20,1.10k,3.37
20130408,264.30,264.30,264.30,264.30,0.38k,-2.02
20130405,269.75,269.75,269.75,269.75,0.56k,1.39
20130404,266.05,266.10,266.10,266.05,0.37k,3.24
20130403,257.70,257.70,257.70,257.70,390.00k,-6.80
20130326,276.50,276.50,276.50,276.50,0.01k,0.88
20130325,274.10,274.10,274.10,274.10,0.10k,-2.28
20130322,280.50,280.50,280.50,280.50,0.71k,3.03
20130319,272.25,273.50,273.50,272.25,2.35k,5.67
20130305,257.65,257.65,257.65,257.65,1.17k,-8.16
20130206,280.55,280.60,280.60,280.55,1.38k,0.56
20130130,279.00,279.00,279.00,279.00,2.26k,9.43
20130103,254.95,254.95,254.95,254.95,0.03k,-6.06
20121023,271.39,271.39,271.39,271.39,0.58k,-7.06
20120925,292.00,292.00,292.00,292.00,0.03k,6.46
20120906,274.29,274.29,274.29,274.29,2.39k,7.64
20120816,254.81,254.81,254.81,254.81,0.09k,8.03
20120813,235.86,235.86,235.86,235.86,8.35k,-3.91
20120807,245.45,246.10,246.10,245.30,2.60k,2.12
20120802,240.35,240.35,240.35,240.35,0.25k,5.98
20120724,226.78,226.78,226.78,226.78,0.19k,-0.57
20120723,228.08,228.08,228.08,228.08,35.00k,0.84
20120720,226.18,226.18,226.18,226.18,35.00k,-1.18
20120719,228.87,228.87,228.87,228.87,70.19k,1.39
20120717,225.73,225.73,225.73,225.73,0.65k,-0.33
20120713,226.47,226.47,226.47,226.47,0.50k,-9.18
20120706,249.36,249.36,249.36,249.36,0.16k,-1.71
20120703,253.70,253.70,253.70,253.70,0.30k,-0.16
20120626,254.10,254.10,254.10,254.10,25.00k,-4.68
20120619,266.57,266.57,266.57,266.57,8.00k,4.15
20120612,255.95,255.95,255.95,255.95,0.05k,2.21
20120606,250.41,250.41,250.41,250.41,1.10k,0.74
20120605,248.57,248.02,248.57,248.02,1.53k,10.38
20120412,225.20,225.20,225.20,225.20,2.65k,-1.74
20120411,229.19,229.19,229.19,229.19,6.49k,2.31
20120409,224.01,224.01,224.01,224.01,1.00k,-1.25
20120313,226.84,226.89,226.89,226.84,0.65k,-1.79
20120308,230.98,230.98,230.98,230.98,1.30k,6.41
20111213,217.07,217.07,217.07,217.07,3.88k,-9.97
20110902,241.10,241.10,241.10,241.10,0.40k,8.76
20110818,221.69,221.69,221.69,221.69,16.00k,0.22
20110816,221.20,221.20,221.20,221.20,2.00k,11.47
20110628,198.44,198.39,198.44,198.39,2.50k,-10.33
20110527,221.29,221.34,221.34,221.29,7.16k,12.75
20110314,196.27,196.27,196.27,196.27,1.50k,7.37
20101201,182.80,182.80,182.80,182.80,0.54k,2.62
20101117,178.13,178.67,178.67,178.13,6.49k,-1.79
20101115,181.37,181.37,181.37,181.37,0.44k,-2.19
20101108,185.44,185.44,185.44,185.44,0.42k,11.11
20101025,166.90,166.90,166.90,166.90,0.47k,-5.70
20101013,176.98,176.98,176.98,176.98,0.17k,6.40
20100903,166.34,166.34,166.34,166.34,8.89k,-1.60
20100826,169.04,169.09,169.09,169.04,0.17k,2.62
20100819,164.72,164.72,164.72,164.72,0.12k,-1.10
20100601,166.54,166.59,166.59,166.54,4.53k,7.50
20100428,154.93,150.19,154.93,150.19,0.04k,8.21
20100419,143.18,143.18,143.18,143.18,2.58k,-3.57
20100415,148.48,148.48,148.48,148.48,0.02k,0.81
20100315,147.29,147.29,147.29,147.29,0.02k,-1.15
20091021,149.01,149.01,149.01,149.01,1.50k,12.18
20090825,132.83,132.87,132.87,132.83,0.71k,4.81
20090818,126.73,126.78,126.78,126.73,5.10k,6.02
20090512,119.53,119.53,119.53,119.53,1.00k,14.78
20090504,104.14,104.14,104.14,104.14,1.00k,5.24
20090423,98.95,98.91,98.95,98.91,3.20k,-18.52
20090331,121.45,121.45,121.45,121.45,1.00k,16.31
