fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,128.200,130.500,130.500,127.000,307.89k,-1.69
20180126,130.400,133.950,134.200,129.300,490.73k,-2.54
20180125,133.800,134.500,134.500,129.600,450.84k,-0.63
20180124,134.650,135.000,140.000,134.000,512.95k,-0.11
20180123,134.800,135.000,136.000,132.650,419.42k,0.60
20180122,134.000,137.000,137.400,133.250,200.55k,-2.12
20180119,136.900,138.550,139.000,135.050,428.09k,-1.30
20180118,138.700,137.950,139.500,135.000,453.36k,1.54
20180117,136.600,137.000,137.650,136.000,562.22k,-0.15
20180116,136.800,136.950,137.300,135.050,694.91k,-0.80
20180115,137.900,133.550,137.950,133.000,270.07k,3.68
20180112,133.000,130.500,133.000,129.500,584.71k,2.90
20180111,129.250,127.500,129.400,127.150,268.93k,1.13
20180110,127.800,126.450,128.850,121.500,383.35k,0.63
20180109,127.000,129.600,129.900,126.400,434.95k,-0.70
20180108,127.900,129.800,129.800,126.300,539.06k,-1.46
20180105,129.800,131.000,131.450,128.500,657.70k,-0.08
20180104,129.900,124.500,130.000,124.200,636.36k,5.48
20180103,123.150,124.450,125.000,122.000,453.94k,-0.61
20180102,123.900,124.950,125.500,121.050,393.71k,-0.08
20171229,124.000,125.500,125.500,121.100,326.27k,-0.60
20171228,124.750,122.000,125.800,122.000,290.88k,2.93
20171227,121.200,119.450,121.350,119.450,734.14k,1.64
20171226,119.250,117.000,119.300,117.000,514.74k,1.92
20171222,117.000,118.000,118.000,116.200,394.56k,0.86
20171221,116.000,118.000,118.500,114.600,386.14k,-1.28
20171220,117.500,117.750,119.500,117.150,503.88k,-0.42
20171219,118.000,115.000,118.650,114.500,786.65k,3.33
20171218,114.200,113.000,115.400,113.000,596.49k,0.79
20171215,113.300,113.500,114.500,112.100,754.91k,-0.18
20171214,113.500,110.000,113.800,109.050,1.59,1.89
20171213,111.400,113.300,113.800,109.500,1.10,-0.54
20171212,112.000,111.350,112.350,110.800,1.20,0.58
20171211,111.350,109.500,112.000,109.500,1.17,5.05
20171207,106.000,102.800,106.650,102.500,923.50k,3.11
20171206,102.800,102.000,103.600,101.000,683.35k,0.78
20171205,102.000,101.000,102.300,100.000,566.60k,0.49
20171204,101.500,100.050,102.650,99.500,561.41k,1.35
20171201,100.150,99.400,100.800,98.050,644.50k,0.70
20171130,99.450,98.000,99.500,97.350,526.66k,2.16
20171129,97.350,98.000,98.450,96.550,524.32k,0.00
20171128,97.350,96.000,99.050,95.200,438.23k,1.41
20171127,96.000,98.250,101.550,95.800,410.38k,-2.54
20171124,98.500,99.750,99.750,98.050,166.59k,0.00
20171123,98.500,99.850,99.850,98.150,112.83k,-0.30
20171122,98.800,99.300,100.500,98.500,393.61k,-0.70
20171121,99.500,97.800,100.250,97.500,858.18k,4.03
20171117,95.650,96.500,97.850,93.600,405.19k,0.05
20171116,95.600,92.000,96.200,89.950,897.45k,7.54
20171115,88.900,87.050,90.500,84.000,1.14,1.83
20171114,87.300,90.900,91.000,86.500,666.23k,-4.07
20171113,91.000,93.000,94.000,90.000,264.58k,-1.52
20171110,92.400,96.000,96.500,92.000,318.64k,-3.25
20171109,95.500,93.650,97.500,93.650,1.73,1.70
20171108,93.900,95.000,95.950,93.200,364.51k,-0.63
20171107,94.500,95.000,96.250,93.250,622.43k,1.34
20171103,93.250,92.500,93.300,91.200,438.05k,-0.05
20171102,93.300,95.550,97.950,92.050,544.25k,-2.41
20171101,95.600,97.350,98.400,95.300,292.50k,-1.95
20171031,97.500,96.000,98.500,95.750,198.47k,0.67
20171030,96.850,96.000,96.950,93.000,238.18k,0.47
20171027,96.400,99.000,100.000,96.300,261.10k,-2.63
20171026,99.000,100.000,100.000,98.000,293.52k,0.00
20171025,99.000,100.100,100.100,97.000,386.96k,-1.25
20171024,100.250,99.350,100.950,98.350,575.62k,1.21
20171023,99.050,96.300,101.500,95.000,1.45,4.81
20171020,94.500,93.800,94.500,93.600,778.51k,0.75
20171019,93.800,92.500,94.100,92.200,536.88k,0.75
20171018,93.100,94.900,95.000,92.300,590.38k,-2.10
20171017,95.100,94.000,95.200,94.000,638.34k,0.16
20171013,94.950,94.000,94.950,92.100,384.61k,1.88
20171012,93.200,92.200,93.600,92.200,639.23k,1.08
20171011,92.200,93.000,94.000,91.700,557.14k,-0.22
20171010,92.400,91.900,92.800,91.900,457.17k,0.65
20171009,91.800,92.900,93.200,91.000,237.90k,-2.13
20171006,93.800,93.000,94.400,93.000,503.53k,0.32
20171005,93.500,93.000,93.950,92.500,1.18,1.85
20171004,91.800,91.250,91.850,90.500,1.33,0.88
20171003,91.000,89.550,91.300,89.550,1.48,1.39
20171002,89.750,88.500,90.100,88.500,1.24,0.84
20170929,89.000,89.000,90.000,88.300,1.17,0.17
20170928,88.850,86.500,89.000,86.500,1.09,3.07
20170927,86.200,88.000,88.300,85.000,814.80k,-2.05
20170926,88.000,86.500,88.300,86.500,1.25,2.03
20170925,86.250,84.900,86.250,84.500,885.77k,1.29
20170922,85.150,83.300,85.700,82.700,564.01k,3.02
20170921,82.650,81.150,82.700,81.100,406.23k,1.10
20170920,81.750,82.000,82.600,80.200,385.91k,-0.30
20170919,82.000,80.000,82.000,80.000,599.24k,3.14
20170918,79.500,78.100,79.950,77.350,390.09k,1.66
20170915,78.200,77.500,78.200,77.100,253.28k,0.71
20170914,77.650,78.700,79.000,77.000,316.03k,-1.33
20170913,78.700,76.950,78.700,76.650,616.49k,2.47
20170912,76.800,77.500,77.500,76.000,305.03k,-0.90
20170911,77.500,79.500,80.100,77.500,315.80k,-2.76
20170908,79.700,79.700,81.500,79.000,229.52k,-1.60
20170907,81.000,81.900,82.200,81.000,317.49k,-1.10
20170906,81.900,79.900,82.450,79.900,439.00k,2.38
20170905,80.000,78.650,81.250,78.600,347.25k,1.65
