fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,48.000,48.700,49.000,48.000,4.41k,-1.44
20180126,48.700,49.000,49.400,48.000,5.72k,0.41
20180125,48.500,48.500,49.000,48.500,7.14k,0.00
20180124,48.500,49.000,49.000,47.500,6.69k,-1.02
20180123,49.000,49.500,49.500,46.450,12.65k,-1.01
20180122,49.500,49.500,49.500,49.500,0.21k,0.00
20180119,49.500,49.000,49.500,48.100,4.17k,1.02
20180118,49.000,49.900,49.900,48.000,2.65k,-1.80
20180117,49.900,50.000,50.500,49.000,10.93k,1.32
20180116,49.250,49.000,49.500,49.000,1.63k,1.23
20180115,48.650,50.000,50.000,48.500,1.18k,-2.70
20180112,50.000,48.500,50.000,48.500,1.73k,2.04
20180111,49.000,48.000,49.000,48.000,2.07k,0.00
20180110,49.000,48.500,49.000,48.500,0.90k,0.00
20180109,49.000,49.150,49.900,49.000,2.16k,-0.31
20180108,49.150,50.500,50.500,49.000,2.70k,-2.67
20180105,50.500,51.500,51.500,50.500,5.16k,0.00
20180104,50.500,50.900,50.900,50.500,4.04k,-0.79
20180103,50.900,50.500,51.000,49.000,4.33k,0.00
20180102,50.900,50.300,50.900,49.500,3.35k,0.00
20171229,50.900,49.500,50.900,49.500,1.73k,0.00
20171228,50.900,50.000,51.000,50.000,3.01k,1.80
20171227,50.000,50.550,50.600,49.500,5.58k,0.30
20171226,49.850,50.000,50.800,49.500,3.55k,-1.19
20171222,50.450,51.000,51.000,50.000,1.70k,-0.10
20171221,50.500,51.000,51.000,49.000,1.76k,-0.98
20171220,51.000,51.000,51.000,51.000,0.64k,0.00
20171219,51.000,50.900,51.000,50.900,0.52k,4.08
20171218,49.000,51.450,52.450,49.000,2.74k,-2.87
20171215,50.450,50.500,50.500,50.450,1.46k,-0.10
20171214,50.500,51.500,51.500,48.050,1.40k,-2.88
20171213,52.000,52.000,52.000,52.000,1.45k,0.00
20171212,52.000,53.000,53.000,51.250,2.14k,0.00
20171211,52.000,52.000,52.750,50.000,0.78k,0.00
20171207,52.000,52.500,52.500,52.000,2.83k,0.00
20171206,52.000,52.000,53.500,52.000,6.89k,0.00
20171205,52.000,50.000,52.000,49.000,117.69k,4.00
20171204,50.000,50.000,50.000,50.000,51.05k,0.00
20171201,50.000,49.500,50.500,49.500,6.32k,0.10
20171130,49.950,49.000,50.000,49.000,5.56k,0.91
20171129,49.500,49.850,49.850,49.500,1.45k,0.61
20171128,49.200,50.000,50.000,48.550,7.79k,-2.38
20171127,50.400,50.500,50.500,50.000,1.92k,-0.69
20171124,50.750,50.000,50.750,50.000,0.98k,0.00
20171123,50.750,50.000,50.750,48.550,2.34k,-0.49
20171122,51.000,50.900,51.000,50.000,1.22k,0.00
20171121,51.000,51.000,51.500,49.000,1.78k,2.00
20171117,50.000,50.000,50.500,49.000,3.51k,-1.96
20171115,51.000,48.500,51.000,48.500,1.35k,5.15
20171114,48.500,50.500,50.500,48.500,3.07k,-3.96
20171113,50.500,50.500,50.500,50.000,0.13k,0.00
20171110,50.500,53.400,53.400,50.500,1.88k,-3.81
20171109,52.500,53.500,53.500,52.500,6.50k,-0.94
20171108,53.000,52.900,53.000,52.750,12.41k,0.19
20171107,52.900,52.000,52.950,51.500,19.88k,1.73
20171103,52.000,51.800,52.000,51.000,7.82k,0.00
20171102,52.000,50.000,52.000,50.000,9.99k,4.00
20171101,50.000,51.000,51.800,50.000,1.91k,-1.96
20171031,51.000,51.000,51.000,50.000,6.16k,0.79
20171030,50.600,50.000,51.000,49.500,7.25k,1.20
20171027,50.000,52.000,52.000,50.000,8.08k,-4.76
20171026,52.500,52.500,52.500,52.500,0.76k,0.00
20171025,52.500,54.000,54.000,51.000,9.76k,-2.78
20171024,54.000,53.000,54.000,53.000,3.00k,1.12
20171023,53.400,52.000,53.400,52.000,10.75k,2.99
20171020,51.850,53.500,53.500,50.250,4.76k,-3.08
20171019,53.500,51.000,53.500,50.000,3.79k,4.90
20171018,51.000,49.100,51.000,49.000,1.22k,0.00
20171017,51.000,52.000,52.000,50.000,7.66k,-1.73
20171013,51.900,51.000,51.900,51.000,4.08k,1.17
20171012,51.300,51.000,52.950,51.000,5.54k,0.59
20171011,51.000,52.300,57.000,51.000,18.60k,-2.39
20171010,52.250,54.000,54.000,52.250,4.45k,-0.48
20171009,52.500,52.500,54.550,52.200,3.40k,-4.20
20171006,54.800,54.900,54.900,53.000,1.59k,-0.18
