fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,71.00,75.00,75.50,70.50,35.79k,-5.33
20180126,75.00,74.00,75.20,73.00,9.04k,3.16
20180125,72.70,76.00,77.00,70.00,58.77k,-3.64
20180124,75.45,71.00,76.50,70.50,58.17k,7.79
20180123,70.00,64.70,70.50,64.70,105.11k,8.53
20180122,64.50,62.50,65.50,61.40,50.94k,3.20
20180119,62.50,61.50,62.50,61.00,25.62k,2.46
20180118,61.00,62.50,62.50,60.55,41.13k,-3.10
20180117,62.95,59.05,63.50,59.05,9.38k,6.69
20180116,59.00,59.10,60.00,56.50,11.29k,-2.80
20180115,60.70,60.00,62.00,59.00,15.92k,2.02
20180112,59.50,58.30,60.00,58.00,11.69k,1.71
20180111,58.50,56.70,60.00,56.70,10.60k,3.17
20180110,56.70,57.00,57.00,56.00,8.82k,0.35
20180109,56.50,57.50,57.50,56.50,11.70k,-1.74
20180108,57.50,55.60,57.50,55.00,14.00k,2.68
20180105,56.00,55.95,56.20,53.50,12.81k,2.75
20180104,54.50,55.80,55.80,54.20,2.98k,-1.36
20180103,55.25,55.00,56.00,54.00,4.73k,2.31
20180102,54.00,55.50,56.00,54.00,2.88k,-2.70
20171229,55.50,55.75,55.75,54.50,2.88k,-0.54
20171228,55.80,52.00,56.00,52.00,12.52k,2.86
20171227,54.25,53.05,55.25,53.05,14.91k,1.40
20171226,53.50,53.00,53.50,51.20,14.02k,1.42
20171222,52.75,53.50,53.50,51.00,4.15k,-0.47
20171221,53.00,51.95,53.00,51.00,15.75k,2.32
20171220,51.80,52.50,52.60,51.20,8.28k,-1.33
20171219,52.50,53.00,53.00,52.40,0.38k,0.00
20171218,52.50,51.30,52.50,51.30,1.30k,2.34
20171215,51.30,52.25,52.25,51.00,0.56k,-1.82
20171214,52.25,52.25,52.25,51.50,1.98k,0.00
20171213,52.25,51.00,52.90,50.50,2.13k,1.46
20171212,51.50,53.00,53.00,51.00,20.90k,-1.90
20171211,52.50,53.00,53.00,51.00,4.79k,-0.94
20171207,53.00,52.10,53.00,51.50,1.74k,1.92
20171206,52.00,52.00,53.00,51.50,18.63k,-0.38
20171205,52.20,52.00,52.20,51.20,3.55k,-0.19
20171204,52.30,53.00,54.00,52.30,1.25k,-1.32
20171201,53.00,54.00,54.00,51.00,4.90k,0.00
20171130,53.00,52.00,53.50,52.00,1.22k,0.00
20171129,53.00,52.00,54.00,52.00,0.70k,1.15
20171128,52.40,53.00,53.75,52.00,1.35k,-1.13
20171127,53.00,52.90,54.00,52.60,3.50k,-2.30
20171124,54.25,55.50,55.50,54.00,3.52k,-1.36
20171123,55.00,53.95,55.60,53.95,4.10k,-0.18
20171122,55.10,55.40,56.00,54.55,11.26k,-0.45
20171121,55.35,56.00,56.00,54.50,16.34k,0.27
20171117,55.20,54.95,55.20,54.00,12.20k,0.64
20171116,54.85,52.50,55.00,52.50,21.56k,5.48
20171115,52.00,50.50,52.50,50.00,19.09k,4.00
20171114,50.00,52.20,53.00,50.00,24.87k,-5.21
20171113,52.75,53.00,53.05,52.75,16.20k,-1.86
20171110,53.75,55.50,55.50,53.45,3.77k,-2.27
20171109,55.00,54.75,55.00,54.75,0.78k,0.46
20171108,54.75,54.75,55.20,54.75,2.46k,0.46
20171107,54.50,53.60,56.40,53.60,7.35k,-0.18
20171103,54.60,54.50,55.60,54.00,11.16k,-1.44
20171102,55.40,53.00,55.40,52.75,19.53k,4.33
20171101,53.10,54.00,54.00,53.10,10.38k,-0.84
20171031,53.55,52.50,54.00,52.50,2.37k,2.00
20171030,52.50,52.50,52.50,52.50,7.64k,0.00
