fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,9.390,9.590,9.590,9.170,5.43,-1.78
20180126,9.560,9.750,9.850,9.500,4.24,-1.04
20180125,9.660,9.920,9.940,9.620,4.46,-1.83
20180124,9.840,9.950,9.970,9.820,5.23,-0.61
20180123,9.900,9.850,9.970,9.620,4.79,1.02
20180122,9.800,9.990,10.300,9.700,6.39,-2.00
20180119,10.000,10.050,10.400,9.620,10.95,1.42
20180118,9.860,9.480,9.890,9.470,8.29,5.01
20180117,9.390,8.860,9.390,8.860,11.48,6.95
20180116,8.780,8.600,8.860,8.400,9.32,3.91
20180115,8.450,8.100,8.500,8.100,11.42,5.36
20180112,8.020,7.900,8.140,7.800,9.50,3.08
20180111,7.780,7.750,7.850,7.710,5.08,1.30
20180110,7.680,7.770,7.770,7.500,2.78,-0.78
20180109,7.740,7.700,7.900,7.700,6.01,1.57
20180108,7.620,7.500,7.620,7.450,3.30,1.60
20180105,7.500,7.600,7.620,7.400,3.13,-1.32
20180104,7.600,7.700,7.750,7.310,5.60,-1.04
20180103,7.680,7.900,7.960,7.260,5.02,-1.54
20180102,7.800,7.700,7.900,7.550,6.55,3.31
20171229,7.550,7.600,7.720,7.520,2.59,0.94
20171228,7.480,7.380,7.530,7.360,2.85,2.33
20171227,7.310,7.330,7.400,7.260,4.17,1.11
20171226,7.230,6.950,7.300,6.950,3.20,4.03
20171222,6.950,7.000,7.050,6.900,2.85,0.00
20171221,6.950,6.900,7.010,6.800,4.60,2.21
20171220,6.800,6.500,6.800,6.500,5.37,5.59
20171219,6.440,6.250,6.490,6.240,4.10,4.72
20171218,6.150,6.200,6.260,6.150,2.27,0.00
20171215,6.150,6.120,6.290,6.120,2.45,0.49
20171214,6.120,6.250,6.270,6.090,3.66,-2.08
20171213,6.250,6.450,6.450,6.230,2.83,-2.04
20171212,6.380,6.500,6.500,6.360,2.52,-0.47
20171211,6.410,6.350,6.490,6.260,6.50,1.42
20171207,6.320,6.210,6.400,6.210,5.03,2.76
20171206,6.150,5.950,6.180,5.750,4.77,4.41
20171205,5.890,5.890,5.950,5.820,2.10,0.68
20171204,5.850,5.800,5.870,5.800,2.84,1.21
20171201,5.780,5.900,5.900,5.770,607.00k,-0.69
20171130,5.820,5.800,5.900,5.760,1.33,0.17
20171129,5.810,5.890,6.000,5.800,2.21,-1.36
20171128,5.890,5.930,5.980,5.850,2.45,0.86
20171127,5.840,5.990,6.070,5.820,5.94,-1.85
20171124,5.950,5.800,5.980,5.750,6.22,4.57
20171123,5.690,5.460,5.720,5.420,5.99,5.37
20171122,5.400,5.430,5.440,5.350,2.02,1.89
20171121,5.300,5.300,5.400,5.220,1.48,1.34
20171117,5.230,5.460,5.460,5.200,1.98,-2.24
20171116,5.350,5.370,5.410,5.320,2.24,1.33
20171115,5.280,5.150,5.350,5.100,3.41,1.54
20171114,5.200,5.400,5.600,5.180,3.94,-2.80
20171113,5.350,5.330,5.450,5.200,1.87,0.75
20171110,5.310,5.530,5.530,5.260,3.28,-3.10
20171109,5.480,5.350,5.590,5.280,5.53,2.62
20171108,5.340,5.530,5.600,5.340,3.77,-3.78
20171107,5.550,5.700,5.750,5.540,2.42,0.36
20171103,5.530,5.600,5.600,5.430,3.83,0.91
20171102,5.480,5.300,5.520,5.280,4.05,3.79
20171101,5.280,5.200,5.340,5.130,4.50,3.13
20171031,5.120,5.120,5.120,5.030,1.39,0.00
20171030,5.120,5.180,5.230,5.070,4.77,0.00
20171027,5.120,4.860,5.140,4.860,8.20,5.57
20171026,4.850,4.850,4.890,4.790,4.68,1.25
20171025,4.790,4.900,4.900,4.760,3.55,-2.04
20171024,4.890,4.900,4.920,4.800,6.06,0.82
20171023,4.850,4.760,4.900,4.710,9.87,4.30
20171020,4.650,4.620,4.690,4.550,9.81,4.49
20171019,4.450,4.260,4.530,4.260,11.97,4.46
20171018,4.260,4.370,4.370,4.230,1.46,-1.62
20171017,4.330,4.360,4.390,4.210,1.86,-0.69
20171013,4.360,4.410,4.410,4.330,1.50,-0.68
20171012,4.390,4.440,4.490,4.370,2.47,0.00
20171011,4.390,4.440,4.460,4.320,4.04,-0.68
20171010,4.420,4.530,4.530,4.320,4.62,-0.67
20171009,4.450,4.430,4.530,4.420,11.08,2.06
20171006,4.360,4.090,4.430,4.040,9.39,7.92
20171005,4.040,3.990,4.100,3.990,7.87,1.76
20171004,3.970,3.980,3.980,3.900,1.86,0.76
20171003,3.940,3.930,3.950,3.920,2.99,0.51
20171002,3.920,3.880,3.940,3.880,2.24,1.03
20170929,3.880,3.910,3.920,3.860,1.95,-0.51
20170928,3.900,3.930,3.950,3.890,1.49,-0.26
20170927,3.910,3.970,3.970,3.900,1.14,-1.26
20170926,3.960,3.930,3.980,3.930,1.32,0.00
20170925,3.960,3.980,3.990,3.950,929.21k,-0.50
20170922,3.980,4.000,4.000,3.960,1.29,0.25
20170921,3.970,3.960,4.020,3.960,1.85,-0.75
20170920,4.000,3.970,4.000,3.950,2.23,1.27
20170919,3.950,3.990,3.990,3.940,1.29,-0.75
20170918,3.980,3.990,3.990,3.950,430.48k,0.51
20170915,3.960,4.000,4.000,3.950,874.12k,0.00
20170914,3.960,4.000,4.000,3.950,2.31,-0.50
20170913,3.980,3.930,4.000,3.930,187.27k,0.51
20170912,3.960,3.950,3.970,3.930,646.58k,0.00
20170911,3.960,3.950,3.990,3.910,5.66,0.51
20170908,3.940,3.990,3.990,3.940,652.21k,-1.25
20170907,3.990,4.000,4.000,3.960,660.69k,0.25
20170906,3.980,4.000,4.000,3.970,788.02k,0.25
20170905,3.970,3.980,4.000,3.970,1.42,-0.75
20170904,4.000,3.980,4.000,3.970,738.33k,0.50
20170901,3.980,4.020,4.020,3.960,565.15k,-0.25
20170831,3.990,4.000,4.030,3.970,486.85k,-0.25
20170830,4.000,4.000,4.000,3.970,367.96k,0.25
20170829,3.990,4.040,4.040,3.980,533.00k,-1.24
20170828,4.040,4.110,4.130,4.040,1.01,-0.98
20170825,4.080,4.100,4.100,4.050,555.77k,0.25
20170824,4.070,4.000,4.100,3.950,6.28,2.52
20170823,3.970,3.960,4.090,3.900,6.00,2.06
20170822,3.890,3.960,3.960,3.890,1.63,-2.02
20170818,3.970,3.960,4.000,3.960,1.31,0.25
20170817,3.960,4.050,4.050,3.960,710.91k,-0.50
20170816,3.980,3.960,4.000,3.960,721.90k,0.00
20170815,3.980,4.000,4.000,3.960,2.01,0.00
20170814,3.980,4.010,4.100,3.960,3.56,1.27
20170811,3.930,4.000,4.140,3.900,8.31,-1.01
20170810,3.970,3.960,4.040,3.850,2.17,0.76
20170809,3.940,4.300,4.350,3.940,7.15,-5.97
20170808,4.190,4.800,5.000,4.160,12.81,-12.58
20170608,4.793,4.793,4.793,4.793,9.39,4.65
