fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,122.000,125.900,130.000,120.000,139.64k,-4.31
20180126,127.500,128.000,129.250,125.100,51.54k,-0.93
20180125,128.700,129.000,129.000,125.000,145.17k,0.55
20180124,128.000,127.100,132.250,127.000,145.65k,0.39
20180123,127.500,123.500,129.400,122.000,210.11k,2.66
20180122,124.200,123.300,127.000,122.600,48.74k,-0.48
20180119,124.800,125.900,125.900,124.100,68.35k,-0.64
20180118,125.600,125.100,127.000,123.600,74.34k,0.64
20180117,124.800,124.000,129.500,124.000,73.15k,1.05
20180116,123.500,124.500,127.600,120.300,166.53k,-1.20
20180115,125.000,121.000,129.000,121.000,99.08k,4.60
20180112,119.500,116.500,119.500,115.800,96.77k,3.15
20180111,115.850,112.500,115.850,111.500,72.08k,3.44
20180110,112.000,113.000,113.000,109.000,129.34k,-0.09
20180109,112.100,114.000,114.900,111.450,60.69k,-1.67
20180108,114.000,115.000,115.000,112.000,144.97k,-0.65
20180105,114.750,115.000,118.500,114.000,166.09k,0.22
20180104,114.500,111.950,114.500,110.000,150.91k,2.00
20180103,112.250,112.500,114.950,111.500,104.33k,-0.13
20180102,112.400,113.000,115.000,110.000,158.73k,-0.18
20171229,112.600,113.200,114.000,109.000,66.27k,-0.27
20171228,112.900,110.000,115.500,110.000,30.69k,3.11
20171227,109.500,109.000,111.000,108.300,99.58k,1.39
20171226,108.000,109.200,110.450,108.000,49.82k,-1.55
20171222,109.700,110.450,110.450,107.000,72.40k,1.15
20171221,108.450,110.000,110.000,106.800,171.31k,0.51
20171220,107.900,104.500,108.500,104.500,354.25k,4.15
20171219,103.600,104.500,104.500,100.000,194.89k,3.60
20171218,100.000,103.000,103.000,98.950,142.15k,-0.50
20171215,100.500,99.600,101.500,98.000,194.56k,1.01
20171214,99.500,101.300,102.500,99.000,259.12k,-1.68
20171213,101.200,103.350,105.000,100.600,174.45k,-0.30
20171212,101.500,100.000,101.650,99.400,61.14k,3.36
20171211,98.200,96.500,99.400,96.500,61.74k,2.77
20171207,95.550,95.000,95.550,94.000,47.36k,1.65
20171206,94.000,92.500,94.000,91.250,204.85k,2.73
20171205,91.500,92.000,93.000,91.400,26.99k,0.00
20171204,91.500,91.000,93.000,91.000,93.90k,0.99
20171201,90.600,91.000,92.000,90.050,53.83k,-0.44
20171130,91.000,95.500,97.200,90.900,53.19k,-3.04
20171129,93.850,93.900,95.000,91.000,19.23k,0.05
20171128,93.800,96.000,96.000,92.250,45.74k,-2.29
20171127,96.000,96.800,98.000,91.300,43.52k,-1.79
20171124,97.750,98.000,99.000,95.750,43.70k,0.57
20171123,97.200,95.000,97.400,95.000,24.66k,2.32
20171122,95.000,94.950,95.400,92.400,87.83k,2.81
20171121,92.400,89.500,92.600,89.500,48.22k,5.72
20171117,87.400,90.000,92.700,85.300,28.66k,-1.08
20171116,88.350,88.300,89.000,86.250,97.89k,2.14
20171115,86.500,82.000,87.000,79.500,315.89k,5.23
20171114,82.200,87.000,87.500,82.000,85.32k,-4.97
20171113,86.500,87.250,87.250,85.000,91.18k,-1.59
20171110,87.900,92.000,92.000,87.000,25.81k,-3.14
20171109,90.750,91.000,92.600,90.600,183.07k,1.23
20171108,89.650,90.900,91.350,89.500,131.21k,-1.16
20171107,90.700,92.700,93.500,89.250,58.38k,-1.79
20171103,92.350,94.000,94.000,90.650,133.79k,-0.91
20171102,93.200,94.000,94.000,92.000,77.64k,-0.59
20171101,93.750,95.000,95.250,92.850,34.49k,-0.27
20171031,94.000,91.500,95.000,91.500,49.11k,2.40
20171030,91.800,90.750,94.000,90.200,45.40k,-0.22
20171027,92.000,92.800,92.800,90.000,71.45k,-0.81
20171026,92.750,94.000,94.000,92.500,63.22k,-0.27
20171025,93.000,93.600,93.600,92.000,44.78k,-0.75
20171024,93.700,93.950,94.000,93.350,108.29k,-0.32
20171023,94.000,93.600,94.100,91.150,272.75k,5.03
20171020,89.500,90.400,91.450,89.000,212.30k,-1.00
20171019,90.400,89.000,90.400,88.000,72.03k,0.61
20171018,89.850,90.400,91.950,88.000,131.09k,-0.61
20171017,90.400,86.800,90.400,86.800,204.53k,4.15
20171013,86.800,86.600,86.950,85.600,80.02k,0.35
20171012,86.500,86.000,87.000,85.200,137.16k,2.19
20171011,84.650,84.000,85.500,84.000,431.22k,1.20
20171010,83.650,83.550,85.000,83.550,100.33k,-0.12
20171009,83.750,85.500,85.500,83.350,79.25k,-1.47
20171006,85.000,85.500,85.900,84.000,42.40k,0.59
20171005,84.500,84.250,85.500,84.250,74.72k,0.36
20171004,84.200,86.200,86.200,80.850,44.10k,-2.09
20171003,86.000,85.700,86.250,84.300,144.54k,0.35
20171002,85.700,86.000,86.500,85.200,163.49k,-0.35
20170929,86.000,83.000,86.650,83.000,144.20k,4.75
20170928,82.100,83.500,83.500,80.500,77.19k,0.12
20170927,82.000,83.500,83.500,79.000,110.19k,-0.97
20170926,82.800,82.500,83.000,81.600,433.44k,2.86
20170925,80.500,82.000,83.000,79.900,67.04k,-1.23
20170922,81.500,79.950,83.050,79.500,76.19k,3.69
20170921,78.600,79.000,79.450,78.000,96.75k,0.13
20170920,78.500,78.450,78.500,76.500,123.56k,0.90
20170919,77.800,78.450,79.000,77.500,93.83k,-0.89
20170918,78.500,77.500,79.650,77.000,379.00k,1.82
20170915,77.100,74.700,77.500,74.700,276.66k,4.47
20170914,73.800,74.000,74.000,72.800,159.04k,-0.27
20170913,74.000,72.650,74.300,72.650,778.09k,1.51
20170912,72.900,75.000,76.000,71.000,58.48k,-2.02
20170911,74.400,77.000,77.000,73.000,67.73k,0.07
20170908,74.350,77.000,77.000,73.500,61.33k,-1.52
20170907,75.500,79.000,79.500,75.000,207.35k,-1.95
20170906,77.000,77.000,80.000,76.000,58.26k,0.26
20170905,76.800,78.000,81.000,75.000,108.11k,-1.29
20170904,77.800,77.000,78.250,77.000,42.89k,2.71
20170901,75.750,75.700,77.950,75.500,52.00k,1.13
20170831,74.900,74.100,76.800,74.100,132.99k,3.31
20170830,72.500,72.500,76.700,71.000,67.91k,0.00
20170829,72.500,71.000,73.000,70.600,65.41k,2.11
20170828,71.000,73.500,73.500,69.900,165.92k,-6.58
20170825,76.000,74.200,76.950,74.000,91.04k,3.40
20170824,73.500,72.000,73.500,71.400,53.60k,3.09
20170823,71.300,70.000,72.800,70.000,29.13k,4.47
20170822,68.250,69.000,70.000,67.800,39.23k,-1.80
20170818,69.500,68.250,71.000,68.250,28.71k,1.83
20170817,68.250,66.800,68.500,66.800,306.85k,1.87
20170816,67.000,65.200,67.950,65.200,515.49k,2.76
20170815,65.200,68.000,68.000,64.900,241.19k,-3.55
20170814,67.600,64.000,68.500,64.000,323.15k,9.03
20170811,62.000,62.800,63.000,62.000,151.55k,0.00
20170810,62.000,61.000,62.500,61.000,25.76k,2.48
