fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,40.00,40.00,40.00,40.00,-,0.00
20180126,40.00,41.00,41.00,40.00,10.89k,-2.44
20180125,41.00,41.00,41.00,40.00,10.37k,-0.85
20180124,41.35,41.35,41.35,41.35,5.27k,0.00
20180123,41.35,42.00,42.00,41.35,3.68k,0.61
20180122,41.10,42.75,42.75,40.00,1.36k,-3.86
20180119,42.75,42.50,42.75,42.50,3.39k,-0.58
20180118,43.00,43.00,43.00,43.00,6.57k,0.00
20180117,43.00,42.50,43.00,42.50,5.74k,2.38
20180116,42.00,43.00,43.00,42.00,1.20k,-2.33
20180115,43.00,43.50,43.50,43.00,3.59k,-1.15
20180112,43.50,43.90,43.90,43.50,20.60k,0.00
20180111,43.50,43.90,43.90,43.50,2.59k,-1.14
20180110,44.00,44.00,44.00,44.00,1.40k,0.00
20180109,44.00,44.00,44.00,44.00,8.45k,0.00
20180108,44.00,44.00,44.00,44.00,16.70k,0.00
20180105,44.00,44.75,44.75,44.00,3.56k,0.00
20180104,44.00,44.90,44.90,44.00,20.84k,0.00
20180103,44.00,40.00,44.00,40.00,10.14k,11.11
20180102,39.60,39.00,39.60,39.00,12.53k,5.88
20171229,37.40,37.40,37.40,37.40,6.76k,0.00
20171228,37.40,37.40,37.40,37.40,2.50k,1.08
20171227,37.00,35.90,37.40,35.90,2.17k,2.78
20171226,36.00,35.50,36.50,35.50,38.73k,1.41
20171222,35.50,36.50,36.80,35.00,1.17k,0.00
20171221,35.50,35.50,35.60,34.50,3.05k,1.43
20171220,35.00,34.00,35.00,34.00,1.74k,6.06
20171219,33.00,33.50,33.50,33.00,2.48k,-1.49
20171218,33.50,33.50,33.50,33.50,0.55k,1.52
20171215,33.00,33.00,33.00,33.00,3.00k,0.00
20171214,33.00,33.00,33.00,33.00,1.10k,3.13
20171213,32.00,32.80,32.80,32.00,1.61k,-2.44
20171212,32.80,32.90,33.00,32.00,6.60k,-0.30
20171211,32.90,32.95,32.95,32.90,0.59k,-0.30
20171207,33.00,33.00,33.00,33.00,0.94k,0.00
20171206,33.00,32.80,33.00,32.80,0.20k,0.00
20171205,33.00,33.00,33.00,33.00,1.20k,0.00
20171204,33.00,33.00,33.00,33.00,1.00k,-2.65
20171130,33.90,33.90,33.90,33.90,0.94k,0.00
20171129,33.90,33.90,33.90,33.90,0.77k,0.00
20171128,33.90,33.90,33.90,33.50,0.62k,0.00
20171127,33.90,33.90,33.90,33.90,0.05k,0.00
20171124,33.90,33.90,33.90,33.90,0.28k,0.00
20171123,33.90,33.90,33.90,33.90,0.26k,0.00
20171122,33.90,34.00,34.00,33.00,5.35k,2.73
20171121,33.00,33.00,33.60,32.00,4.42k,-2.94
20171117,34.00,34.00,34.00,34.00,0.03k,1.49
20171116,33.50,33.60,33.60,33.50,7.32k,-0.89
20171115,33.80,34.00,34.00,33.80,1.52k,-1.74
20171114,34.40,34.30,34.45,34.30,3.81k,0.58
20171113,34.20,34.20,34.20,33.20,0.24k,0.00
20171110,34.20,34.30,34.50,34.20,6.16k,-4.74
20171109,35.90,34.35,35.90,34.00,3.71k,4.51
20171108,34.35,34.50,34.50,34.30,2.82k,-1.86
20171107,35.00,34.50,35.10,34.50,7.06k,1.16
20171103,34.60,36.00,36.00,34.00,8.71k,-3.89
20171102,36.00,37.50,38.00,36.00,9.37k,-4.00
20171101,37.50,36.00,37.50,36.00,2.95k,5.63
20171031,35.50,37.00,37.00,35.50,11.04k,-1.39
20171030,36.00,35.30,36.00,34.50,0.48k,2.86
20171027,35.00,37.80,38.00,35.00,8.76k,-5.41
20171026,37.00,35.50,37.00,35.50,0.61k,7.25
20171025,34.50,34.50,34.50,34.50,0.09k,0.00
20171024,34.50,36.00,36.00,34.50,13.66k,-1.43
20171023,35.00,36.50,36.60,35.00,8.88k,-1.41
20171020,35.50,35.35,35.50,35.30,12.01k,0.42
20171019,35.35,36.50,36.50,35.30,5.80k,1.00
20171018,35.00,35.00,35.00,35.00,4.00k,0.00
20171017,35.00,34.00,35.00,34.00,7.34k,-1.41
20171013,35.50,35.50,35.60,34.00,4.58k,-0.28
20171012,35.60,36.00,36.00,34.00,3.58k,0.28
20171011,35.50,34.00,35.60,34.00,9.43k,4.41
20171010,34.00,34.00,34.50,34.00,4.62k,0.00
20171009,34.00,35.00,35.00,33.50,7.54k,1.49
20171006,33.50,35.00,35.00,33.10,7.65k,0.00
20171005,33.50,34.20,34.20,33.50,4.72k,-0.89
20171004,33.80,33.80,33.80,33.80,1.27k,0.00
20171003,33.80,33.50,35.00,33.50,2.50k,-5.85
20171002,35.90,36.00,36.50,34.70,3.44k,-0.28
20170929,36.00,36.00,36.00,36.00,0.22k,2.86
20170928,35.00,34.60,35.00,34.60,1.45k,2.94
20170927,34.00,34.00,34.00,34.00,0.10k,0.00
20170922,34.00,34.50,34.50,34.00,0.08k,3.03
20170920,33.00,33.00,33.00,33.00,2.46k,0.00
20170919,33.00,33.00,33.00,33.00,2.19k,-2.94
20170918,34.00,34.00,34.00,34.00,0.01k,1.49
20170915,33.50,33.50,33.50,33.00,1.71k,-2.90
20170914,34.50,36.00,36.00,34.50,0.46k,0.29
20170913,34.40,34.00,34.40,34.00,0.53k,-0.58
20170912,34.60,34.00,34.60,33.00,2.06k,4.85
20170911,33.00,33.00,34.95,33.00,1.51k,-3.79
20170908,34.30,33.00,34.50,33.00,2.18k,3.94
20170907,33.00,33.00,33.00,33.00,2.00k,0.00
20170906,33.00,33.00,33.00,33.00,0.37k,0.00
20170905,33.00,33.00,33.00,33.00,0.54k,0.00
20170901,33.00,32.00,33.00,32.00,2.61k,3.13
20170831,32.00,32.00,32.00,32.00,2.41k,0.00
20170830,32.00,32.00,32.00,32.00,0.31k,1.27
20170829,31.60,31.60,31.60,31.60,0.16k,0.32
20170828,31.50,31.00,31.50,31.00,10.95k,0.00
20170825,31.50,31.00,31.50,31.00,1.31k,4.65
20170824,30.10,30.10,30.10,30.10,0.05k,0.00
20170823,30.10,30.10,30.10,30.10,0.09k,0.33
20170822,30.00,30.00,31.00,30.00,0.96k,-0.33
20170818,30.10,30.00,30.10,30.00,2.93k,0.33
20170815,30.00,30.30,30.30,30.00,0.52k,-1.64
20170814,30.50,30.50,30.50,30.50,0.50k,0.00
20170811,30.50,30.50,30.50,30.50,0.01k,-1.61
20170810,31.00,30.60,31.00,30.50,0.93k,3.33
20170807,30.00,30.50,30.50,30.00,3.24k,-4.76
20170804,31.50,31.50,31.50,31.50,0.08k,-1.56
20170802,32.00,32.00,32.00,32.00,0.10k,3.23
20170801,31.00,31.00,31.00,31.00,2.00k,-3.13
20170727,32.00,32.00,32.00,32.00,0.06k,0.00
20170724,32.00,32.00,32.00,32.00,0.05k,-3.03
20170719,33.00,32.95,33.00,32.95,0.85k,2.33
20170717,32.25,32.80,32.80,32.25,62.20k,-2.27
20170714,33.00,33.00,33.00,33.00,0.29k,0.00
20170713,33.00,32.00,33.00,32.00,0.36k,0.00
20170712,33.00,32.80,33.00,32.50,1.54k,0.00
20170711,33.00,32.00,33.00,32.00,1.91k,3.13
20170707,32.00,32.00,32.00,32.00,3.29k,3.23
20170706,31.00,31.00,31.10,31.00,1.02k,0.00
20170705,31.00,31.00,31.00,31.00,2.83k,-3.13
20170704,32.00,32.10,32.10,32.00,1.70k,1.59
20170703,31.50,31.00,32.10,31.00,3.84k,1.29
20170630,31.10,31.00,32.30,30.95,2.47k,0.32
20170629,31.00,30.00,31.00,30.00,5.32k,3.33
20170628,30.00,30.00,30.00,30.00,0.60k,0.00
20170626,30.00,30.00,30.00,30.00,0.07k,0.00
20170623,30.00,30.00,30.00,30.00,5.40k,0.00
20170621,30.00,30.00,30.00,30.00,4.76k,-1.64
20170619,30.50,30.00,30.50,30.00,1.64k,1.50
20170616,30.05,30.00,30.05,30.00,1.12k,0.17
20170615,30.00,30.00,30.00,30.00,0.21k,0.00
20170614,30.00,30.00,30.00,30.00,6.72k,-6.25
20170613,32.00,32.00,32.00,32.00,0.08k,2.89
20170612,31.10,30.00,31.60,30.00,1.43k,3.67
20170609,30.00,30.40,30.40,30.00,2.63k,0.00
20170608,30.00,30.00,30.00,30.00,8.24k,0.00
20170607,30.00,32.30,32.30,30.00,2.10k,0.00
20170606,30.00,30.00,30.00,30.00,0.51k,0.00
20170605,30.00,32.00,32.00,30.00,1.42k,0.00
20170602,30.00,30.00,30.00,30.00,0.92k,0.00
20170601,30.00,30.00,30.00,30.00,0.43k,0.00
20170531,30.00,30.00,30.00,30.00,15.44k,0.00
20170530,30.00,30.00,30.00,30.00,21.55k,0.00
20170529,30.00,30.00,30.25,30.00,8.45k,-0.17
20170526,30.05,30.05,30.05,30.05,-,0.00
20170524,30.05,30.05,30.05,30.00,4.12k,0.17
20170523,30.00,30.00,30.00,30.00,2.41k,0.00
20170522,30.00,30.00,30.00,30.00,1.00k,0.00
20170519,30.00,30.00,30.00,30.00,0.69k,0.00
