fecha,ultima,apertura,maximo,minimo,vol,varianza
20170929,70.000,70.000,70.000,70.000,0.08k,-4.86
20150603,73.575,73.575,73.575,73.575,1.10k,0.27
20150409,73.374,73.374,73.374,73.374,2.33k,-2.25
20150406,75.060,75.060,75.060,75.060,2.33k,-3.93
20150320,78.134,78.134,78.134,78.134,2.30k,-1.50
20150319,79.324,79.324,79.324,79.324,0.23k,2.30
20150317,77.539,77.539,77.539,77.539,0.10k,-27.25
20140930,106.589,106.589,106.589,106.589,4.63k,19.78
20140915,88.989,88.989,88.989,88.989,0.12k,5.97
20140822,83.978,83.978,83.978,83.978,0.12k,0.18
20140820,83.830,83.830,83.830,83.830,11.76k,15.40
20140731,72.643,72.643,72.643,72.643,1.50k,-1.73
20140617,73.924,73.924,73.924,73.924,0.34k,68.51
20131101,43.868,43.868,43.868,43.868,0.30k,0.00
20131025,43.868,43.868,43.868,43.868,5.00k,20.13
20131004,36.517,36.517,36.517,36.517,1.00k,-0.89
20130827,36.844,36.844,36.844,36.844,1.00k,-17.58
20130807,44.701,44.701,44.701,44.701,7.25k,14.70
20130625,38.972,38.972,38.972,38.972,1.00k,-3.77
20130606,40.499,40.499,40.499,40.499,2.00k,0.37
20130604,40.351,40.351,40.351,40.351,2.50k,5.13
20130521,38.383,38.383,38.383,38.383,0.08k,-1.64
20130509,39.023,39.023,39.023,39.023,0.61k,-0.38
20130508,39.170,39.170,39.170,39.170,1.25k,7.57
20130429,36.415,36.415,36.415,36.415,0.98k,4.08
20130425,34.988,34.988,34.988,34.988,4.50k,-8.85
20130326,38.383,38.137,38.383,38.137,0.81k,0.00
20130325,38.383,37.645,38.383,37.645,7.25k,3.45
20130322,37.104,36.661,37.104,36.661,33.71k,-0.26
20130321,37.202,37.202,37.202,37.202,12.50k,-4.55
20130320,38.974,38.974,38.974,38.974,6.25k,2.99
20130319,37.842,37.842,37.842,37.842,2.20k,0.00
20130318,37.842,37.842,37.842,37.842,7.81k,7.70
20130312,35.135,35.135,35.135,35.135,6.00k,4.34
20130306,33.675,33.675,33.675,33.675,2.90k,4.57
20130305,32.204,32.204,32.204,32.204,11.55k,0.61
20130228,32.008,32.008,32.008,32.008,3.08k,7.58
20130226,29.753,29.753,29.753,29.753,12.50k,20.67
20130130,24.656,24.656,24.656,24.656,9.80k,0.80
20130123,24.460,24.460,24.460,24.460,7.00k,-1.77
20130116,24.901,24.901,24.901,24.901,5.91k,4.74
20130115,23.773,23.773,23.773,23.773,12.37k,29.68
20121228,18.332,18.332,18.332,18.332,1.25k,-1.06
20121218,18.529,18.529,18.529,18.529,4.11k,0.81
20121212,18.381,18.332,18.381,18.332,5.00k,1.23
20121206,18.158,18.158,18.158,18.158,2.50k,7.49
20121203,16.892,16.892,16.892,16.892,2.85k,7.43
20121120,15.724,15.724,15.724,15.724,2.00k,-15.00
20121114,18.499,18.548,18.548,18.499,2.06k,-2.06
20121109,18.888,18.888,18.888,18.888,5.00k,6.30
20121022,17.769,17.769,17.769,17.769,6.40k,-4.20
20121018,18.548,18.548,18.548,18.548,5.00k,0.26
20121009,18.499,18.499,18.499,18.499,0.11k,0.27
20121003,18.450,18.450,18.450,18.450,2.14k,-13.47
20121001,21.322,21.322,21.322,21.322,2.75k,-3.74
20120917,22.150,22.150,22.150,22.150,4.36k,-0.34
20120905,22.225,22.273,22.273,22.225,5.35k,2.46
20120904,21.692,21.111,21.741,21.111,7.33k,-0.45
20120828,21.789,21.256,21.789,21.256,8.83k,-10.72
20120817,24.404,24.404,24.404,24.404,21.12k,-0.78
20120806,24.597,24.597,24.597,24.597,1.00k,-2.31
20120711,25.178,25.178,25.178,25.178,1.93k,-1.33
20120629,25.517,25.517,25.517,25.517,3.80k,3.13
20120628,24.743,24.743,24.743,24.743,3.82k,-9.40
20120618,27.309,27.309,27.309,27.309,2.84k,-0.29
20120530,27.388,25.797,27.388,25.797,4.19k,6.17
20120529,25.797,25.797,25.797,25.797,0.25k,-0.93
20120524,26.038,26.038,26.038,26.038,1.00k,2.66
20120504,25.363,25.363,25.363,25.363,12.25k,-2.95
20120503,26.134,26.134,26.134,26.134,9.15k,10.16
20120326,23.723,23.723,23.723,23.723,2.04k,2.52
20120307,23.141,23.141,23.141,23.141,5.40k,-14.39
20120216,27.030,27.030,27.030,27.030,3.53k,-0.88
20120209,27.270,27.320,27.320,27.270,3.06k,-0.55
20120208,27.420,27.520,27.520,27.420,4.87k,2.24
20120203,26.820,26.870,26.870,26.820,3.89k,4.81
