fecha,ultima,apertura,maximo,minimo,vol,varianza
20180116,908.00,908.00,908.00,908.00,0.10k,0.00
20180109,908.00,908.00,908.00,908.00,0.55k,16.11
20171201,782.00,782.00,782.00,782.00,0.10k,8.08
20171011,723.55,723.55,723.55,723.55,5.50k,5.63
20170922,685.00,685.00,685.00,685.00,0.07k,4.26
20170829,657.00,657.00,657.00,657.00,0.07k,2.42
20170621,641.50,641.50,641.50,641.50,1.00k,4.82
20170612,612.00,612.00,612.00,612.00,0.50k,-2.12
20170601,625.25,625.25,625.25,625.25,0.57k,-1.19
20170522,632.80,632.80,632.80,632.80,6.70k,10.53
20170508,572.50,572.50,572.50,572.50,0.02k,0.00
20170328,572.50,573.35,573.35,572.50,0.86k,-0.38
20170313,574.70,565.00,574.70,565.00,2.10k,0.78
20170310,570.25,570.25,570.25,570.25,0.06k,0.21
20170301,569.05,569.05,569.05,569.05,0.05k,2.04
20170224,557.70,557.70,557.70,557.70,2.00k,2.91
20170202,541.95,541.95,541.95,541.95,6.00k,-2.31
20170124,554.75,554.75,554.75,554.75,7.00k,9.89
20161114,504.81,504.81,504.81,504.81,2.00k,3.36
20161110,488.40,488.40,488.40,488.40,6.00k,-0.56
20161004,491.15,491.15,491.15,491.15,1.50k,2.17
20160926,480.70,482.30,482.30,480.70,4.90k,-0.32
20160923,482.25,482.25,482.25,482.25,12.82k,0.39
20160920,480.40,476.30,480.40,476.30,3.29k,-3.77
20160831,499.20,499.20,499.20,499.20,0.04k,-1.69
20160817,507.80,507.80,507.80,507.80,1.98k,-2.27
20160726,519.60,519.60,519.60,519.60,3.80k,-1.40
20160719,527.00,527.00,527.00,527.00,12.80k,6.59
20160706,494.40,494.40,494.40,494.40,6.00k,4.41
20160516,473.50,473.50,473.50,473.50,4.00k,-0.74
20160512,477.05,477.05,477.05,477.05,5.96k,-2.70
20160426,490.30,490.30,490.30,490.30,3.92k,0.44
20160304,488.13,488.13,488.13,488.13,4.00k,-1.11
20160303,493.60,493.60,493.60,493.60,2.08k,-0.62
20160302,496.68,477.44,496.68,477.44,4.80k,1.78
20160224,487.98,487.98,487.98,487.98,10.60k,-0.86
20160223,492.21,492.21,492.21,492.21,4.80k,6.10
20160219,463.90,463.90,463.90,463.90,6.20k,-0.14
20160217,464.55,461.80,464.55,461.80,18.80k,6.21
20160212,437.40,437.40,437.40,437.40,8.00k,-0.70
20160204,440.50,441.00,441.00,440.50,12.04k,-0.68
20160203,443.50,443.50,443.50,443.50,10.00k,-2.21
20160202,453.50,453.50,453.50,453.50,18.00k,-1.20
20160201,459.00,459.00,459.00,459.00,16.00k,5.37
20160126,435.60,437.20,437.20,435.60,19.00k,-2.32
20160108,445.95,445.95,445.95,445.95,0.59k,0.69
20151111,442.89,442.89,442.89,442.89,10.24k,6.61
20150828,415.43,415.43,415.43,415.43,0.59k,1.78
20150827,408.15,405.66,408.15,405.66,5.65k,3.79
20150812,393.25,393.25,393.25,393.25,1.20k,17.04
20150616,336.00,336.00,336.00,336.00,0.40k,2.96
20150608,326.35,326.35,326.35,326.35,4.00k,-4.21
20150408,340.70,340.70,340.70,340.70,0.16k,-0.71
20150317,343.15,343.15,343.15,343.15,0.46k,0.01
20150316,343.10,343.10,343.10,343.10,3.70k,-0.27
20150224,344.02,344.02,344.02,344.02,4.30k,17.81
20141125,292.00,292.00,292.00,292.00,0.04k,-0.73
20141121,294.14,294.14,294.14,294.14,2.20k,-1.39
20141016,298.30,298.30,298.30,298.30,11.52k,-0.90
20140919,301.00,301.00,301.00,301.00,0.33k,0.00
20140917,301.00,304.85,304.85,301.00,0.50k,1.74
20140911,295.85,295.85,295.85,295.85,0.01k,1.51
20140910,291.45,298.15,298.15,291.45,34.32k,-3.27
20140909,301.30,301.30,301.30,301.30,0.04k,0.13
20140908,300.90,302.20,302.20,300.90,1.74k,3.78
20140903,289.95,289.95,289.95,289.95,0.04k,-3.62
20140902,300.85,300.85,300.85,300.85,0.04k,0.15
20140829,300.41,300.41,300.41,300.41,0.04k,6.89
20140822,281.05,281.05,281.05,281.05,0.04k,0.75
20140821,278.95,278.95,278.95,278.95,0.04k,3.31
20140820,270.00,270.00,270.00,270.00,0.11k,26.88
20140806,212.80,212.80,212.80,212.80,14.40k,1.62
20140731,209.40,209.40,209.40,209.40,0.20k,3.66
20140724,202.00,202.00,202.00,202.00,0.15k,0.12
20140722,201.75,201.75,201.75,201.75,2.87k,-0.59
20140627,202.95,202.95,202.95,202.95,0.06k,-6.04
20140609,216.00,216.00,216.00,216.00,0.30k,-0.94
20140530,218.05,218.05,218.05,218.05,0.04k,10.13
20140428,197.99,197.99,197.99,197.99,0.06k,2.35
20140422,193.45,193.45,193.45,193.45,0.05k,-1.10
20140404,195.60,195.60,195.60,195.60,0.06k,-0.46
20140328,196.50,196.50,196.50,196.50,0.06k,-3.20
20140314,203.00,203.00,203.00,203.00,0.06k,-1.16
20140224,205.38,205.38,205.38,205.38,0.06k,-8.70
20140205,224.94,224.94,224.94,224.94,0.06k,2.61
20140130,219.21,219.21,219.21,219.21,0.04k,0.00
20140124,219.21,219.21,219.21,219.21,38.16k,14.69
20140115,191.14,191.14,191.14,191.14,29.99k,-1.34
20140110,193.73,193.73,193.73,193.73,8.26k,16.28
20131217,166.60,166.60,166.60,166.60,0.87k,-4.37
20131213,174.22,168.34,174.22,168.34,0.10k,-0.43
20131127,174.97,174.97,174.97,174.97,0.08k,-5.34
20131119,184.84,184.84,184.84,184.84,0.08k,2.81
20131114,179.78,179.78,179.78,179.78,1.57k,3.10
20131112,174.37,176.61,176.61,174.37,0.60k,-0.93
20131107,176.01,176.01,176.01,176.01,0.08k,-0.59
20131031,177.05,177.05,177.05,177.05,0.52k,-1.95
20130919,180.57,180.57,180.57,180.57,0.27k,2.33
20130917,176.46,176.46,176.46,176.46,46.22k,8.54
20130905,162.57,162.57,162.57,162.57,0.08k,1.17
20130816,160.69,160.69,160.69,160.69,6.80k,-0.43
20130801,161.38,161.38,161.38,161.38,0.08k,-0.88
20130731,162.81,162.81,162.81,162.81,0.08k,-0.27
20130730,163.26,163.26,163.26,163.26,0.08k,1.32
20130711,161.13,161.13,161.13,161.13,0.07k,5.06
20130613,153.37,153.37,153.37,153.37,0.08k,-3.81
20130612,159.45,159.45,159.45,159.45,0.08k,-0.65
20130611,160.49,160.49,160.49,160.49,0.08k,-0.22
20130610,160.84,160.84,160.84,160.84,0.08k,-0.82
20130607,162.17,162.17,162.17,162.17,0.08k,3.86
20130605,156.14,156.14,156.14,156.14,0.08k,-3.07
20130604,161.08,159.01,161.08,159.01,3.61k,-3.74
20130531,167.35,167.35,167.35,167.35,0.04k,0.83
20130517,165.97,165.97,165.97,165.97,1.80k,-1.35
20130516,168.24,168.24,168.24,168.24,0.90k,-0.09
20130515,168.38,168.38,168.38,168.38,1.70k,4.98
20130514,160.40,160.40,160.40,160.40,6.30k,-7.03
20130509,172.52,173.81,173.81,172.52,0.12k,-2.45
20130508,176.86,176.86,176.86,176.86,0.08k,2.40
20130503,172.72,172.72,172.72,172.72,0.08k,3.36
20130502,167.10,166.61,167.10,166.61,0.15k,-0.24
20130430,167.50,167.50,167.50,167.50,0.08k,-0.70
20130429,168.68,168.68,168.68,168.68,2.00k,3.04
20130426,163.70,165.92,165.92,163.70,4.25k,1.53
20130425,161.24,162.76,162.76,161.24,1.22k,0.96
20130424,159.71,161.68,161.68,159.71,0.74k,-0.71
20130423,160.84,161.93,161.93,160.84,0.61k,-0.06
20130422,160.94,161.63,161.63,160.94,0.30k,-1.36
20130419,163.16,163.16,163.16,163.16,0.08k,1.10
20130418,161.38,161.38,161.38,161.38,1.22k,0.12
20130417,161.19,162.66,162.66,161.19,0.30k,2.32
20130416,157.54,159.12,159.12,157.54,0.62k,-0.81
20130415,158.82,158.82,158.82,158.82,0.08k,0.91
20130412,157.39,157.39,157.39,157.39,3.00k,5.55
20130410,149.11,149.11,149.11,149.11,0.05k,3.60
20130408,143.93,143.93,143.93,143.93,0.05k,0.00
20130403,143.93,143.93,143.93,143.93,84.00k,1.25
20130319,142.16,142.16,142.16,142.16,14.96k,-0.21
20130318,142.46,145.51,145.51,142.46,1.92k,-1.40
20130315,144.48,144.48,144.48,144.48,12.68k,5.39
20130304,137.09,136.65,137.09,136.65,1.10k,-0.32
20130301,137.53,137.53,137.53,137.53,0.12k,0.14
20130228,137.33,137.33,137.33,137.33,1.10k,5.55
20130226,130.11,129.48,130.11,129.48,0.72k,3.03
20130225,126.28,126.28,126.28,126.28,0.12k,-2.17
20130215,129.08,129.08,129.08,129.08,0.12k,1.43
20130208,127.26,127.26,127.26,127.26,0.70k,0.16
20130207,127.07,127.07,127.07,127.07,1.55k,0.78
20130204,126.09,126.09,126.09,126.09,2.73k,-1.38
20130201,127.85,128.88,128.88,127.85,2.30k,1.13
20130129,126.43,126.43,126.43,126.43,0.18k,-0.73
20130128,127.36,126.28,127.36,124.91,2.40k,12.54
20130114,113.17,112.97,113.17,112.97,0.12k,2.72
20130110,110.17,110.17,110.17,110.17,0.08k,9.68
20121228,100.45,100.94,100.94,100.45,7.72k,0.29
20121226,100.15,100.15,100.15,100.15,1.96k,-2.25
20121213,102.46,102.46,102.46,102.46,0.45k,2.01
20121212,100.45,100.45,100.45,100.45,0.21k,-4.66
20121207,105.36,105.36,105.36,105.36,1.40k,-2.10
20121130,107.62,107.62,107.62,107.62,0.24k,0.69
20121129,106.88,106.88,106.88,106.88,0.46k,-1.00
20121114,107.96,108.70,108.70,107.96,1.18k,-2.22
20121113,110.41,111.19,111.19,110.41,1.45k,5.92
20121109,104.24,104.24,104.24,104.24,0.08k,0.05
20121107,104.19,104.19,104.19,104.19,1.88k,0.33
20121102,103.85,103.85,103.85,103.85,0.09k,6.64
20121023,97.39,97.39,97.39,97.39,0.08k,-0.50
20121019,97.88,93.52,97.88,93.52,0.18k,5.10
20121015,93.13,93.13,93.13,93.13,2.10k,-2.56
20121004,95.57,95.57,95.57,95.57,0.25k,3.06
20120925,92.73,93.13,93.13,92.73,1.53k,0.74
20120912,92.05,92.05,92.05,92.05,0.04k,-0.11
20120906,92.15,92.15,92.15,92.15,0.10k,-0.58
20120905,92.68,92.68,92.68,92.64,4.38k,1.07
20120904,91.71,91.75,91.75,91.71,4.40k,0.64
20120831,91.12,91.12,91.12,91.12,0.06k,0.22
20120830,90.92,90.92,90.92,90.92,0.06k,-0.22
20120829,91.12,91.12,91.12,91.12,0.08k,-0.69
20120828,91.75,89.75,91.80,89.75,6.63k,1.06
20120827,90.79,90.79,90.79,90.79,0.08k,-1.22
20120824,91.91,91.57,91.91,91.57,1.21k,0.80
20120823,91.18,90.99,92.69,90.99,2.21k,0.48
20120822,90.74,90.74,90.74,90.74,0.18k,-3.93
20120817,94.45,94.45,94.45,94.45,1.00k,14.35
20120809,82.60,83.08,83.08,82.60,2.10k,-1.51
20120808,83.86,83.86,83.86,83.86,5.80k,-1.21
20120726,84.89,84.89,84.89,84.89,0.11k,0.64
20120725,84.35,84.35,84.35,84.35,4.16k,-2.43
20120723,86.45,86.45,86.45,86.45,11.28k,2.07
