fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,27.50,27.50,27.50,27.50,10.00k,-1.79
20180126,28.00,28.00,28.00,28.00,0.20k,1.82
20180125,27.50,27.50,27.50,27.50,3.30k,0.00
20180124,27.50,28.00,28.00,27.50,2.54k,0.00
20180123,27.50,27.50,27.50,27.50,1.43k,0.00
20180122,27.50,27.50,27.50,27.50,7.18k,0.00
20180119,27.50,27.05,27.50,27.00,6.29k,1.85
20180117,27.00,27.05,27.05,27.00,4.99k,-0.92
20180116,27.25,27.25,27.50,27.25,3.76k,0.93
20180115,27.00,27.10,27.25,27.00,6.17k,-0.18
20180112,27.05,27.00,27.05,27.00,268.20k,0.19
20180110,27.00,27.00,27.00,27.00,11.01k,-1.64
20180109,27.45,27.00,27.45,27.00,5.18k,1.67
20180108,27.00,27.00,27.00,27.00,11.00k,0.00
20180105,27.00,27.00,27.00,27.00,6.00k,0.00
20180104,27.00,27.50,27.50,27.00,4.83k,-3.57
20171227,28.00,28.00,28.00,27.90,0.17k,3.32
20171226,27.10,27.00,27.10,27.00,3.64k,0.37
20171222,27.00,27.00,27.00,27.00,15.09k,0.00
20171221,27.00,27.10,27.10,27.00,10.88k,0.00
20171220,27.00,26.95,27.00,26.95,14.50k,0.00
20171219,27.00,27.00,27.00,27.00,10.01k,-1.82
20171215,27.50,27.50,27.50,27.50,0.41k,0.00
20171214,27.50,27.00,27.50,26.80,4.30k,1.85
20171213,27.00,27.00,27.00,27.00,0.29k,0.00
20171212,27.00,27.00,27.00,27.00,4.99k,0.00
20171207,27.00,27.00,27.00,27.00,14.00k,0.00
20171206,27.00,27.00,27.00,27.00,0.20k,0.00
20171205,27.00,27.00,27.00,27.00,41.70k,0.00
20171204,27.00,27.00,27.00,27.00,11.00k,0.00
20171201,27.00,26.80,27.00,26.80,9.53k,0.75
20171130,26.80,26.80,26.80,26.80,4.00k,-0.74
20171129,27.00,27.00,27.00,27.00,25.68k,0.00
20171128,27.00,27.00,27.00,27.00,1.90k,0.00
20171127,27.00,27.00,27.00,27.00,1.06k,-0.74
20171124,27.20,27.20,27.20,27.20,1.30k,0.74
20171122,27.00,27.00,27.00,27.00,0.78k,0.00
20171121,27.00,27.00,27.00,27.00,0.59k,0.00
20171117,27.00,27.00,27.00,27.00,1.40k,0.00
20171115,27.00,26.80,27.00,26.80,1.05k,0.00
20171114,27.00,27.00,27.00,26.60,24.80k,0.00
20171113,27.00,27.00,27.00,27.00,3.10k,0.00
20171110,27.00,27.00,27.00,26.50,6.97k,0.00
20171109,27.00,27.00,27.00,27.00,0.39k,0.00
20171108,27.00,27.00,27.00,27.00,1.00k,0.00
20171103,27.00,27.00,27.00,27.00,5.27k,0.00
20171102,27.00,27.00,27.00,27.00,35.52k,-1.82
20171030,27.50,27.00,27.50,27.00,35.68k,1.85
20171027,27.00,27.00,27.00,27.00,2.09k,0.00
20171026,27.00,27.00,27.00,27.00,3.60k,0.00
20171025,27.00,27.00,27.00,27.00,1.05k,0.00
20171024,27.00,27.00,27.00,27.00,0.30k,0.00
20171023,27.00,27.40,27.40,27.00,7.99k,0.00
20171020,27.00,27.65,27.65,27.00,9.35k,-1.82
20171019,27.50,27.50,27.50,27.50,5.22k,0.00
20171018,27.50,27.10,27.50,27.10,14.58k,1.85
20171017,27.00,27.00,27.00,27.00,3.50k,0.00
20171011,27.00,27.00,27.00,27.00,7.24k,0.00
20171010,27.00,27.50,27.50,27.00,4.38k,-1.64
20171009,27.45,27.50,27.50,27.45,0.41k,0.00
20171006,27.45,27.45,27.45,27.45,0.04k,0.00
20171005,27.45,27.45,27.45,27.45,0.18k,0.37
20171004,27.35,27.30,27.35,27.30,1.18k,0.37
20171003,27.25,26.50,27.25,26.50,5.28k,1.87
20171002,26.75,26.00,27.00,26.00,13.27k,0.94
20170929,26.50,26.50,26.50,26.50,0.70k,0.00
20170928,26.50,26.50,26.50,26.50,0.83k,0.38
20170927,26.40,26.50,26.50,26.40,1.44k,1.54
20170926,26.00,26.00,26.00,26.00,9.35k,-1.52
20170925,26.40,26.00,26.50,26.00,10.67k,0.38
20170922,26.30,26.05,26.30,26.00,9.66k,0.77
20170921,26.10,26.00,26.30,26.00,0.93k,-0.76
20170920,26.30,26.30,26.30,26.30,0.81k,1.15
20170919,26.00,26.00,26.20,26.00,0.60k,0.00
20170918,26.00,26.00,26.00,26.00,15.75k,-1.89
20170915,26.50,26.50,26.50,26.50,1.00k,0.00
20170913,26.50,26.00,26.50,26.00,10.70k,1.92
20170912,26.00,26.00,26.00,26.00,11.70k,-0.95
20170911,26.25,26.25,26.25,26.25,2.15k,0.96
20170908,26.00,26.00,26.00,26.00,0.63k,0.00
20170907,26.00,25.70,26.20,25.70,2.86k,0.78
20170906,25.80,26.00,26.25,25.80,15.57k,-0.77
20170905,26.00,25.00,26.00,25.00,4.19k,1.96
20170904,25.50,25.00,25.50,24.80,6.49k,2.00
20170901,25.00,25.70,25.70,25.00,5.45k,0.00
20170831,25.00,25.00,25.00,25.00,3.28k,-2.72
20170830,25.70,25.70,25.70,25.70,0.01k,0.39
20170829,25.60,25.60,25.60,25.60,0.25k,0.00
20170828,25.60,25.70,25.70,25.60,0.09k,0.00
20170825,25.60,25.60,25.60,25.60,0.25k,0.00
20170824,25.60,25.70,25.70,25.60,0.61k,-0.19
20170823,25.65,25.50,25.70,25.50,3.16k,0.59
20170822,25.50,25.00,25.50,24.75,4.57k,2.00
20170817,25.00,25.00,25.00,25.00,1.26k,0.81
20170816,24.80,24.15,24.80,24.15,17.80k,1.22
20170815,24.50,24.25,24.50,24.25,31.24k,-1.01
20170814,24.75,24.75,24.75,24.75,0.13k,2.06
20170811,24.25,23.90,24.25,23.90,2.50k,0.00
20170810,24.25,24.00,24.25,23.75,6.90k,2.11
20170809,23.75,24.00,24.00,23.75,12.80k,-0.63
20170808,23.90,23.90,23.90,23.90,19.00k,-1.44
20170807,24.25,24.25,24.25,24.25,0.37k,-1.02
20170804,24.50,24.25,24.50,24.25,0.31k,1.03
20170803,24.25,24.00,24.25,24.00,5.22k,1.04
20170802,24.00,24.75,24.75,24.00,20.00k,0.00
20170801,24.00,24.00,24.00,24.00,0.40k,-1.03
20170731,24.25,24.00,24.25,24.00,11.00k,1.04
20170728,24.00,24.00,24.00,24.00,5.01k,0.00
20170727,24.00,23.75,24.00,23.75,3.50k,1.05
20170725,23.75,23.90,24.00,23.75,4.40k,0.21
20170724,23.70,23.75,24.00,23.70,4.68k,-0.42
20170720,23.80,23.80,24.00,23.80,3.71k,-0.83
20170719,24.00,24.00,24.00,24.00,6.47k,2.13
20170718,23.50,23.00,23.50,23.00,11.98k,2.17
20170717,23.00,23.50,23.50,23.00,5.35k,-4.56
20170714,24.10,24.00,24.10,24.00,6.70k,0.42
20170713,24.00,24.00,24.00,24.00,1.50k,0.00
20170711,24.00,24.00,24.00,24.00,14.24k,-1.03
20170710,24.25,24.25,24.25,24.25,0.65k,1.04
20170707,24.00,24.00,24.00,24.00,1.14k,-1.44
20170706,24.35,24.20,24.50,24.20,2.27k,1.46
20170705,24.00,24.00,24.00,24.00,0.10k,-2.04
20170704,24.50,24.50,24.50,24.30,3.79k,0.82
20170703,24.30,23.00,24.30,22.50,10.45k,2.53
20170630,23.70,23.80,23.80,23.70,13.53k,0.85
20170629,23.50,23.50,23.50,23.50,7.73k,-0.84
20170628,23.70,23.50,23.70,23.20,23.84k,0.85
20170627,23.50,23.50,23.50,23.50,4.66k,0.00
20170626,23.50,23.50,23.50,23.50,1.86k,0.00
20170622,23.50,23.50,23.50,23.50,1.90k,0.86
20170621,23.30,22.50,23.30,22.50,15.90k,-1.27
20170619,23.60,24.00,24.00,23.50,25.89k,-1.26
20170616,23.90,23.90,23.90,23.90,0.85k,0.84
20170615,23.70,23.50,23.70,23.25,27.50k,0.21
