fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,19.000,19.200,19.950,18.700,102.56k,-0.26
20180126,19.050,18.850,19.700,18.650,111.17k,1.06
20180125,18.850,18.600,18.950,18.600,71.87k,1.89
20180124,18.500,18.100,18.700,18.100,78.26k,2.21
20180123,18.100,18.000,18.150,17.650,97.99k,1.12
20180122,17.900,17.500,18.150,17.350,99.08k,-0.56
20180119,18.000,18.450,18.450,17.550,131.23k,-1.64
20180118,18.300,18.550,18.550,18.000,187.88k,1.10
20180117,18.100,18.750,19.000,18.100,150.21k,-2.16
20180116,18.500,18.600,18.750,18.200,132.43k,0.54
20180115,18.400,18.500,18.900,18.100,229.00k,1.94
20180112,18.050,18.350,18.800,18.000,264.43k,-0.28
20180111,18.100,16.900,18.150,16.900,311.19k,7.10
20180110,16.900,16.600,17.100,16.000,112.97k,1.50
20180109,16.650,16.800,17.450,16.550,272.18k,-0.89
20180108,16.800,17.000,17.000,16.000,124.83k,0.90
20180105,16.650,16.000,17.000,16.000,480.34k,6.05
20180104,15.700,14.100,15.850,14.100,477.76k,12.14
20180103,14.000,13.750,14.000,13.600,132.97k,2.19
20180102,13.700,13.700,13.750,13.100,184.20k,-0.72
20171229,13.800,13.750,13.800,13.650,64.67k,1.10
20171228,13.650,13.400,13.900,13.400,73.46k,2.63
20171227,13.300,13.800,13.950,13.300,158.27k,-4.32
20171226,13.900,13.800,13.950,13.700,129.29k,-0.36
20171222,13.950,14.150,14.150,13.650,212.99k,-1.41
20171221,14.150,14.050,14.250,13.800,188.48k,0.71
20171220,14.050,14.300,14.400,13.800,110.86k,-2.43
20171219,14.400,14.350,14.550,14.000,70.63k,0.70
20171218,14.300,14.000,14.500,13.650,181.55k,0.70
20171215,14.200,14.600,14.700,14.200,58.42k,-2.74
20171214,14.600,14.100,14.700,14.100,147.65k,2.46
20171213,14.250,14.950,14.950,13.850,108.84k,-3.06
20171212,14.700,14.700,15.000,14.250,262.70k,1.38
20171211,14.500,14.500,14.850,14.050,130.21k,0.69
20171207,14.400,13.500,14.500,13.200,285.11k,7.46
20171206,13.400,13.300,13.400,12.900,128.57k,0.75
20171205,13.300,13.000,13.500,13.000,213.85k,2.31
20171204,13.000,13.350,13.600,12.900,107.42k,-1.14
20171201,13.150,13.300,13.700,13.150,48.98k,-1.13
20171130,13.300,13.700,13.700,12.900,91.16k,-1.48
20171129,13.500,13.200,13.800,12.800,236.33k,2.27
20171128,13.200,13.900,13.900,13.050,198.92k,-5.38
20171127,13.950,14.000,14.200,13.800,155.91k,0.00
20171124,13.950,14.000,14.250,13.400,519.17k,1.09
20171123,13.800,14.000,14.700,13.700,610.94k,0.00
20171122,13.800,12.500,14.150,12.500,767.60k,12.20
20171121,12.300,11.400,12.300,11.400,258.16k,10.31
20171117,11.150,11.250,11.650,11.150,270.98k,0.90
20171116,11.050,10.600,11.250,10.550,533.52k,5.24
20171115,10.500,10.300,10.950,10.100,360.47k,2.94
20171114,10.200,10.750,11.000,10.000,544.50k,-2.86
20171113,10.500,9.900,10.750,9.900,550.39k,7.14
20171110,9.800,9.800,9.990,9.600,584.38k,1.03
20171109,9.700,8.900,9.700,8.900,1.79,12.14
20171108,8.650,8.700,8.700,8.640,21.42k,-0.57
20171107,8.700,8.700,8.750,8.650,74.78k,1.16
20171103,8.600,8.700,8.700,8.550,92.66k,-0.58
20171102,8.650,8.650,8.720,8.550,89.80k,-0.46
20171101,8.690,8.400,8.690,8.300,202.03k,3.45
20171031,8.400,8.240,8.400,8.000,269.96k,2.44
20171030,8.200,8.500,8.750,8.150,90.01k,0.00
20171027,8.200,8.100,8.350,8.070,117.37k,1.11
20171026,8.110,7.960,8.110,7.960,312.70k,2.14
20171025,7.940,7.850,7.940,7.700,118.87k,1.15
20171024,7.850,7.900,7.980,7.750,78.75k,-0.63
20171023,7.900,7.700,7.900,7.650,208.08k,3.00
20171020,7.670,7.840,7.840,7.600,80.77k,-2.17
20171019,7.840,7.790,7.840,7.700,79.21k,0.64
20171018,7.790,7.900,7.900,7.550,54.84k,-1.39
20171017,7.900,8.150,8.150,7.700,74.12k,-1.86
20171013,8.050,7.800,8.100,7.700,395.28k,3.87
20171012,7.750,7.800,7.800,7.470,118.94k,0.78
20171011,7.690,7.800,7.900,7.500,175.61k,-1.41
20171010,7.800,7.500,7.950,7.500,277.55k,4.28
20171009,7.480,7.380,7.480,7.260,138.67k,1.77
20171006,7.350,7.220,7.380,7.000,222.49k,2.08
20171005,7.200,7.390,7.390,7.150,44.90k,-0.55
20171004,7.240,7.390,7.390,7.070,163.62k,-0.82
20171003,7.300,6.950,7.350,6.950,235.06k,5.04
20171002,6.950,7.250,7.250,6.950,107.11k,-3.47
20170929,7.200,7.200,7.300,7.010,163.40k,1.41
20170928,7.100,6.570,7.300,6.500,654.45k,8.07
20170927,6.570,6.430,6.570,6.300,215.99k,1.23
20170926,6.490,6.670,6.700,6.450,118.59k,-2.41
20170925,6.650,6.200,6.650,6.200,526.65k,2.31
20170922,6.500,6.800,6.800,6.500,201.11k,-3.70
20170921,6.750,6.800,6.900,6.550,192.32k,-0.74
20170920,6.800,6.800,6.800,6.500,268.10k,0.74
20170919,6.750,6.750,6.900,6.700,235.51k,0.75
20170918,6.700,6.400,6.880,6.400,435.76k,4.36
20170915,6.420,6.110,6.450,6.000,791.55k,5.07
20170914,6.110,6.140,6.140,5.810,191.86k,1.16
20170913,6.040,5.880,6.050,5.650,476.27k,2.72
20170912,5.880,6.160,6.170,5.420,1.02,-4.70
20170911,6.170,5.200,6.290,4.900,1.97,22.18
20170908,5.050,4.550,5.050,4.400,813.40k,12.22
20170907,4.500,3.900,4.520,3.900,545.50k,13.64
20170906,3.960,3.890,3.970,3.870,326.62k,3.66
20170905,3.820,3.900,3.900,3.700,82.05k,-1.29
20170904,3.870,3.870,3.870,3.820,84.53k,0.00
20170901,3.870,3.820,4.000,3.800,229.57k,1.31
20170831,3.820,3.800,3.870,3.700,202.43k,2.41
20170830,3.730,3.600,3.770,3.600,245.51k,3.04
20170829,3.620,3.630,3.630,3.580,106.32k,-0.55
20170828,3.640,3.670,3.670,3.610,129.56k,-0.82
20170825,3.670,3.700,3.700,3.530,230.63k,0.55
20170824,3.650,3.700,3.700,3.540,259.05k,-1.35
20170823,3.700,3.650,3.790,3.580,383.07k,4.23
20170822,3.550,3.440,3.550,3.340,359.03k,4.72
20170818,3.390,3.320,3.430,3.320,68.11k,2.11
20170817,3.320,3.300,3.390,3.300,32.86k,-0.60
20170816,3.340,3.390,3.450,3.300,22.71k,-1.47
20170815,3.390,3.350,3.390,3.220,52.96k,0.00
20170814,3.390,3.500,3.500,3.330,135.38k,1.19
20170811,3.350,3.300,3.450,3.300,64.10k,1.52
20170810,3.300,3.280,3.350,3.250,131.00k,0.61
20170809,3.280,3.350,3.350,3.150,60.23k,1.23
20170808,3.240,3.170,3.250,3.140,49.88k,1.57
20170807,3.190,3.160,3.200,3.160,10.32k,-0.31
20170804,3.200,3.240,3.240,3.200,15.86k,-1.54
20170803,3.250,3.250,3.250,3.250,1.00k,1.56
20170802,3.200,3.250,3.250,3.200,40.03k,-1.54
20170801,3.250,3.250,3.300,3.200,29.27k,0.93
20170731,3.220,3.240,3.240,3.220,13.25k,-0.92
20170728,3.250,3.200,3.250,3.200,29.84k,0.31
20170727,3.240,3.220,3.240,3.150,19.88k,-1.52
20170726,3.290,3.280,3.310,3.280,23.50k,1.54
20170725,3.240,3.300,3.300,3.240,47.22k,-1.82
20170724,3.300,3.300,3.310,3.250,91.40k,0.00
20170721,3.300,3.300,3.300,3.290,45.20k,-0.60
20170720,3.320,3.280,3.340,3.200,26.55k,0.91
20170719,3.290,3.250,3.300,3.200,64.35k,1.23
20170718,3.250,3.300,3.300,3.250,1.38k,-1.52
20170717,3.300,3.350,3.400,3.250,53.89k,-0.60
20170714,3.320,3.250,3.350,3.250,147.27k,2.15
20170713,3.250,3.140,3.250,3.140,63.28k,3.83
20170712,3.130,3.120,3.140,3.100,28.39k,0.64
20170711,3.110,3.100,3.110,3.100,7.31k,-0.32
