fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,36.900,36.900,36.900,36.900,0.68k,5.43
20180126,35.000,35.000,35.000,35.000,0.26k,1.45
20180125,34.500,34.500,34.500,34.500,0.59k,0.00
20180124,34.500,34.500,34.500,34.500,0.03k,7.81
20180122,32.000,32.000,32.000,32.000,2.69k,-5.88
20180118,34.000,34.000,34.000,34.000,0.08k,0.00
20180117,34.000,34.000,34.000,34.000,0.12k,0.00
20180115,34.000,34.000,34.000,34.000,0.88k,0.00
20180112,34.000,31.000,34.000,31.000,0.11k,-0.87
20180111,34.300,34.300,34.300,34.300,0.10k,0.88
20180110,34.000,34.000,34.000,34.000,0.65k,0.00
20180109,34.000,34.000,34.000,34.000,0.18k,9.68
20180105,31.000,33.700,33.700,31.000,0.65k,0.98
20180103,30.700,32.300,32.300,30.700,0.46k,-4.95
20180102,32.300,32.300,32.300,32.300,0.65k,0.94
20171229,32.000,32.000,32.000,32.000,0.24k,6.31
20171228,30.100,30.100,30.100,30.100,0.84k,-2.90
20171227,31.000,31.000,31.000,31.000,0.50k,-3.13
20171226,32.000,31.000,32.000,31.000,0.95k,-3.61
20171215,33.200,33.200,33.200,33.200,0.44k,-3.21
20171213,34.300,34.300,34.300,34.300,0.09k,0.29
20171207,34.200,34.200,34.200,34.200,0.40k,0.00
20171201,34.200,34.200,34.200,34.200,1.46k,0.00
20171130,34.200,34.200,34.200,34.200,1.39k,-5.00
20171129,36.000,35.000,36.000,35.000,0.11k,0.00
20171121,36.000,36.000,36.000,36.000,0.00k,3.75
20171117,34.700,34.000,35.000,34.000,3.60k,5.15
20171116,33.000,33.000,33.000,33.000,0.01k,3.13
20171115,32.000,32.000,32.000,32.000,0.32k,0.00
20171114,32.000,32.000,32.500,32.000,1.60k,2.56
20171113,31.200,31.200,31.200,31.200,0.02k,0.65
20171110,31.000,31.000,31.000,31.000,0.24k,3.33
20171109,30.000,30.500,30.500,29.000,3.59k,0.00
20171108,30.000,31.250,31.300,30.000,2.76k,-4.46
20171107,31.400,31.500,31.500,31.400,0.07k,-0.32
