fecha,ultima,apertura,maximo,minimo,vol,varianza
20171024,143.95,138.00,143.95,138.00,0.26k,4.31
20171011,138.00,138.00,138.00,138.00,5.50k,14.05
20170830,121.00,121.00,121.00,121.00,1.15k,0.83
20170829,120.00,120.00,120.00,120.00,0.25k,-2.44
20170817,123.00,123.00,123.00,123.00,0.25k,7.89
20170705,114.00,114.00,114.00,114.00,0.41k,2.24
20170621,111.50,111.50,111.50,111.50,1.00k,-3.96
20170522,116.10,116.10,116.10,116.10,39.00k,0.96
20170519,115.00,115.00,115.00,115.00,0.69k,4.07
20170517,110.50,110.50,110.50,110.50,0.10k,0.09
20170515,110.40,110.40,110.40,110.40,0.10k,0.14
20170419,110.25,110.25,110.25,110.25,45.00k,-0.59
20170328,110.90,111.15,111.15,110.90,0.77k,1.93
20170315,108.80,108.80,108.80,108.80,0.17k,-0.91
20170313,109.80,109.80,109.80,109.80,2.00k,-6.95
20170206,118.00,118.00,118.00,118.00,0.13k,2.25
20170202,115.40,115.40,115.40,115.40,6.50k,-3.71
20170124,119.85,119.85,119.85,119.85,9.00k,0.97
20161221,118.70,118.70,118.70,118.70,1.00k,2.68
20161214,115.60,115.60,115.60,115.60,1.00k,9.47
20161110,105.60,105.60,105.60,105.60,7.50k,-0.05
20161024,105.65,105.65,105.65,105.65,0.04k,0.00
20161021,105.65,105.65,105.65,105.65,30.10k,-8.13
20161019,115.00,115.00,115.00,115.00,0.13k,0.44
20161007,114.50,114.50,114.50,114.50,1.50k,-0.26
20161004,114.80,114.80,114.80,114.80,3.00k,3.42
20160927,111.00,111.00,111.00,111.00,0.40k,-0.27
20160920,111.30,111.30,111.30,111.30,1.50k,3.06
20160907,108.00,108.00,108.00,108.00,0.10k,3.85
20160824,104.00,107.00,107.00,104.00,2.30k,-0.38
20160817,104.40,104.40,104.40,104.40,2.24k,-1.37
20160726,105.85,105.85,105.85,105.85,4.75k,-1.07
20160720,107.00,107.00,107.00,107.00,0.50k,-1.11
20160719,108.20,99.50,108.20,99.50,16.14k,9.29
20160715,99.00,99.00,99.00,99.00,0.10k,1.02
20160711,98.00,98.00,98.00,98.00,0.50k,-1.41
20160706,99.40,99.40,99.40,99.40,7.50k,10.44
20160629,90.00,90.00,90.00,90.00,1.00k,3.75
20160627,86.75,86.75,86.75,86.75,0.38k,0.00
20160616,86.75,86.75,86.75,86.75,1.75k,2.30
