fecha,ultima,apertura,maximo,minimo,vol,varianza
20180122,314.00,314.00,314.00,314.00,0.04k,4.32
20180104,301.00,299.50,301.00,299.50,3.86k,10.46
20171213,272.50,272.50,272.50,272.50,0.46k,2.83
20171124,265.00,265.00,265.00,265.00,0.76k,1.42
20171117,261.30,261.30,261.30,261.30,0.55k,0.00
20171116,261.30,261.30,261.30,261.30,0.10k,-6.68
20171110,280.00,280.00,280.00,280.00,0.06k,1.63
20171018,275.50,275.50,275.50,275.50,0.54k,5.96
20171013,260.00,260.00,260.00,260.00,0.03k,0.00
20171012,260.00,260.00,260.00,260.00,0.01k,0.46
20171011,258.80,258.80,258.80,258.80,13.00k,-0.56
20171010,260.25,260.25,260.25,260.25,3.00k,0.48
20170928,259.00,259.00,259.00,259.00,0.32k,0.70
20170927,257.20,258.00,258.00,257.20,0.36k,-0.12
20170926,257.50,257.50,257.50,257.50,0.01k,3.00
20170912,250.00,250.00,250.00,250.00,0.01k,0.00
20170811,250.00,252.00,252.00,250.00,1.00k,-5.30
20170727,264.00,264.00,264.00,264.00,0.10k,3.94
20170726,254.00,254.00,254.00,254.00,0.01k,-0.78
20170719,256.00,256.00,256.00,256.00,0.01k,-3.40
20170717,265.00,270.00,270.00,265.00,0.02k,0.08
20170712,264.80,264.80,264.80,264.80,0.16k,5.65
20170710,250.65,257.00,257.00,250.65,0.04k,-0.75
20170627,252.55,252.55,252.55,252.55,0.12k,1.02
20170626,250.00,250.00,250.00,250.00,0.20k,0.00
20170622,250.00,250.00,250.00,250.00,0.02k,-0.20
20170621,250.50,250.50,250.50,250.50,1.00k,8.28
20170530,231.35,231.35,231.35,231.35,0.02k,-4.99
20170524,243.50,245.50,245.50,243.50,0.34k,-1.62
20170522,247.50,247.50,247.50,247.50,17.50k,10.00
20170511,225.00,225.00,225.00,225.00,0.17k,-4.86
20170510,236.50,236.50,236.50,236.50,0.04k,0.21
20170508,236.00,236.50,236.50,236.00,3.44k,-5.22
20170428,249.00,249.00,249.00,249.00,0.93k,-0.40
20170419,250.00,250.00,250.00,250.00,0.06k,-8.09
20170328,272.00,272.15,272.15,272.00,1.62k,-1.79
20170317,276.95,276.95,276.95,276.95,0.02k,0.51
20170313,275.55,275.55,275.55,275.55,3.50k,-1.27
20170306,279.10,279.10,279.10,279.10,0.04k,-0.16
20170303,279.55,279.55,279.55,279.55,0.07k,0.20
20170207,279.00,279.00,279.00,279.00,0.01k,0.90
20170202,276.50,276.50,276.50,276.50,12.00k,-0.63
20170131,278.25,278.25,278.25,278.25,0.53k,-2.54
20170125,285.50,295.00,295.00,285.50,0.04k,1.38
20170124,281.60,281.60,281.60,281.60,18.00k,4.68
20170110,269.00,270.00,270.00,269.00,0.11k,-0.37
20161223,270.00,270.00,270.00,270.00,0.18k,1.05
20161221,267.20,267.20,267.20,267.20,1.00k,-4.37
20161219,279.40,279.40,279.40,279.40,0.21k,0.00
20161215,279.40,279.40,279.40,279.40,0.02k,4.25
20161214,268.00,268.00,268.00,268.00,1.00k,5.51
20161205,254.00,254.00,254.00,254.00,0.03k,4.70
20161110,242.60,242.60,242.60,242.60,15.00k,4.17
20161102,232.89,232.89,232.89,232.89,0.01k,-1.26
20161101,235.86,235.86,235.86,235.86,0.01k,-0.90
20161024,238.00,238.00,238.00,238.00,0.02k,0.00
20161021,238.00,239.70,239.70,238.00,0.04k,-0.71
