fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,12.300,12.600,12.600,12.300,37.38k,-3.53
20180126,12.750,12.850,12.850,12.550,152.68k,-0.78
20180125,12.850,12.800,13.000,12.500,95.16k,1.18
20180124,12.700,12.800,13.000,12.700,141.29k,0.00
20180123,12.700,12.800,13.000,12.600,73.76k,-0.39
20180122,12.750,12.800,13.000,12.700,143.99k,1.19
20180119,12.600,12.900,13.100,11.950,149.05k,1.61
20180118,12.400,13.400,13.600,12.400,751.81k,-3.88
20180117,12.900,11.800,13.350,11.800,772.95k,11.21
20180116,11.600,11.850,11.850,11.550,35.98k,-1.69
20180115,11.800,11.750,11.850,11.500,32.62k,-0.42
20180112,11.850,11.750,11.850,11.550,69.85k,0.42
20180111,11.800,11.700,11.800,11.550,34.53k,0.85
20180110,11.700,11.950,11.950,11.550,28.85k,-1.68
20180109,11.900,11.800,11.900,11.750,21.77k,1.28
20180108,11.750,12.000,12.000,11.700,59.90k,-2.89
20180105,12.100,11.800,12.100,11.800,35.85k,0.83
20180104,12.000,12.100,12.100,11.800,75.97k,-0.41
20180103,12.050,12.200,12.450,11.850,34.56k,-0.41
20180102,12.100,12.000,12.200,11.850,45.67k,0.83
20171229,12.000,12.100,12.200,11.950,20.20k,0.00
20171228,12.000,11.900,12.200,11.700,43.30k,0.84
20171227,11.900,12.200,12.450,11.800,28.13k,-2.46
20171226,12.200,12.000,12.200,11.950,63.47k,1.67
20171222,12.000,11.800,12.100,11.600,61.69k,0.42
20171221,11.950,11.950,11.950,11.450,15.07k,0.00
20171220,11.950,11.900,12.250,11.800,9.76k,0.42
20171219,11.900,11.750,11.900,11.700,18.73k,1.28
20171218,11.750,11.500,11.750,11.400,18.09k,1.29
20171215,11.600,11.900,11.900,11.300,32.00k,-1.69
20171214,11.800,12.000,12.000,11.450,28.60k,-0.84
20171213,11.900,12.300,12.300,11.850,25.75k,-0.83
20171212,12.000,12.500,12.500,11.900,36.53k,-0.41
20171211,12.050,12.000,12.100,11.900,55.92k,1.26
20171207,11.900,11.700,11.900,11.500,35.09k,1.71
20171206,11.700,11.100,11.700,11.100,47.25k,1.74
20171205,11.500,11.600,11.750,11.350,105.39k,0.44
20171204,11.450,11.700,12.000,11.300,62.06k,-0.43
20171201,11.500,11.450,11.600,11.400,44.74k,-0.86
20171130,11.600,11.700,11.700,11.450,32.38k,-0.85
20171129,11.700,11.450,11.700,11.400,93.01k,2.63
20171128,11.400,11.400,11.400,11.300,85.37k,-0.44
20171127,11.450,11.450,11.550,11.200,68.91k,-0.43
20171124,11.500,11.850,11.850,11.450,32.56k,-0.43
20171123,11.550,11.200,11.600,11.200,31.48k,0.43
20171122,11.500,11.300,11.550,11.200,92.22k,-0.86
20171121,11.600,11.500,11.750,11.000,84.82k,-1.69
20171117,11.800,12.250,12.300,11.500,102.00k,-3.67
20171116,12.250,12.200,12.400,11.750,53.91k,2.08
20171115,12.000,11.750,12.150,11.200,32.61k,2.13
20171114,11.750,12.000,12.250,11.500,138.12k,-6.00
20171113,12.500,13.000,13.000,12.100,16.81k,-3.85
20171110,13.000,13.000,13.000,12.000,51.27k,-3.70
20171109,13.500,13.500,13.600,13.100,59.30k,0.00
20171108,13.500,13.200,13.700,13.000,128.36k,0.37
20171107,13.450,13.900,14.300,13.200,51.41k,-1.47
20171103,13.650,12.800,14.300,12.800,309.52k,5.81
20171102,12.900,12.050,13.300,11.950,360.04k,8.86
20171101,11.850,11.750,11.850,11.500,133.59k,3.04
20171031,11.500,11.400,11.600,11.350,28.53k,1.32
20171030,11.350,11.450,11.500,11.300,21.60k,-1.30
20171027,11.500,11.500,11.500,11.400,24.07k,0.00
20171026,11.500,11.600,11.650,11.400,27.19k,3.14
20171025,11.150,11.650,11.650,11.150,27.93k,-5.11
20171024,11.750,11.700,11.750,11.600,50.61k,1.29
20171023,11.600,11.850,11.850,11.400,20.54k,1.31
20171020,11.450,11.600,11.600,11.350,34.95k,-1.29
20171019,11.600,11.500,11.600,11.400,18.01k,0.87
20171018,11.500,11.700,11.700,11.450,39.50k,-1.71
20171017,11.700,11.600,11.700,11.400,25.33k,-0.43
20171013,11.750,11.750,11.850,11.600,71.28k,0.00
20171012,11.750,11.700,11.750,11.500,29.84k,0.43
20171011,11.700,11.600,11.800,11.400,74.67k,0.86
20171010,11.600,11.600,11.850,11.450,50.98k,0.43
20171009,11.550,11.550,11.650,11.450,38.43k,0.87
20171006,11.450,11.450,11.600,11.400,21.29k,0.44
20171005,11.400,11.650,11.850,11.400,83.33k,-1.72
20171004,11.600,11.650,11.700,11.450,76.36k,0.00
20171003,11.600,11.500,11.600,11.300,198.98k,2.20
20171002,11.350,11.400,11.400,11.250,84.69k,0.44
20170929,11.300,11.500,11.550,11.300,56.71k,-1.31
20170928,11.450,11.400,11.450,11.200,37.34k,0.44
20170927,11.400,11.250,11.500,11.250,50.97k,0.88
20170926,11.300,11.500,11.500,11.300,42.11k,-1.74
20170925,11.500,11.550,11.550,11.000,68.21k,0.88
20170922,11.400,11.350,11.400,11.200,26.66k,0.88
20170921,11.300,11.200,11.350,11.150,38.73k,0.89
20170920,11.200,11.150,11.200,11.000,37.09k,0.45
20170919,11.150,11.050,11.400,11.000,88.67k,0.90
20170918,11.050,11.000,11.050,10.950,32.73k,0.00
20170915,11.050,11.000,11.050,10.700,69.58k,0.91
20170914,10.950,11.100,11.100,10.950,29.94k,-0.45
20170913,11.000,11.000,11.200,10.650,57.18k,0.00
20170912,11.000,10.900,11.450,10.800,258.41k,3.29
20170911,10.650,10.400,11.000,10.400,119.92k,1.43
20170908,10.500,10.350,10.500,10.250,32.37k,0.96
20170907,10.400,10.250,10.400,10.200,30.11k,1.46
20170906,10.250,10.100,10.500,10.000,85.61k,0.49
20170905,10.200,10.350,10.350,10.150,85.31k,-0.97
20170904,10.300,10.400,10.500,10.250,54.94k,-0.96
20170901,10.400,10.300,10.400,10.200,56.64k,0.97
20170831,10.300,10.500,10.500,10.300,93.36k,-1.90
20170830,10.500,10.700,10.850,10.450,33.33k,-1.87
20170829,10.700,10.800,10.800,10.700,12.80k,-1.38
20170828,10.850,10.650,10.850,10.650,7.84k,0.93
20170825,10.750,11.000,11.100,10.750,31.18k,-0.46
20170824,10.800,10.500,10.850,10.500,6.05k,-1.82
20170823,11.000,10.800,11.000,10.800,20.88k,0.00
20170822,11.000,11.100,11.100,11.000,5.46k,-0.45
20170818,11.050,10.900,11.200,10.750,111.97k,0.91
20170817,10.950,10.750,10.950,10.700,15.12k,0.00
20170816,10.950,10.950,10.950,10.800,19.50k,0.00
20170815,10.950,11.000,11.000,10.950,2.86k,-0.45
20170814,11.000,11.050,11.100,10.650,23.18k,0.00
20170811,11.000,10.800,11.000,10.650,42.82k,1.85
20170810,10.800,10.800,10.900,10.750,44.02k,0.47
20170809,10.750,10.750,10.750,10.650,16.71k,-0.92
20170808,10.850,10.750,10.900,10.750,19.82k,-0.46
20170807,10.900,10.800,10.950,10.750,36.82k,0.00
20170804,10.900,10.700,10.900,10.550,24.62k,1.87
20170803,10.700,10.750,10.800,10.700,2.40k,1.90
20170802,10.500,10.400,10.650,10.250,6.88k,0.96
20170801,10.400,10.700,10.700,10.400,6.93k,-1.89
20170731,10.600,10.500,10.600,10.400,15.26k,-0.93
20170728,10.700,10.500,10.700,10.500,10.60k,-1.38
20170727,10.850,10.850,10.850,10.500,23.78k,0.00
20170726,10.850,11.200,11.200,10.600,11.45k,-1.36
20170725,11.000,10.400,11.000,10.300,29.17k,4.76
20170724,10.500,10.500,10.500,10.500,1.25k,0.00
20170721,10.500,10.550,10.800,10.500,23.63k,-0.47
20170720,10.550,10.500,10.800,10.400,22.64k,-0.47
20170719,10.600,10.400,10.700,10.400,9.89k,1.92
20170718,10.400,10.450,10.450,10.200,3.24k,-0.95
20170717,10.500,10.350,10.800,10.350,56.94k,-2.78
20170714,10.800,10.600,11.050,10.550,52.28k,0.93
20170713,10.700,11.050,11.100,10.700,29.62k,-2.73
20170712,11.000,10.800,11.100,10.800,10.37k,1.85
20170711,10.800,10.850,10.900,10.800,22.30k,0.47
20170710,10.750,11.050,11.200,10.700,56.25k,-2.71
