fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,57.30,57.20,58.40,57.00,59.54k,-0.35
20180126,57.50,56.35,57.50,55.50,139.84k,2.22
20180125,56.25,57.30,58.00,55.00,130.39k,-1.66
20180124,57.20,58.00,58.00,56.20,123.53k,-1.29
20180123,57.95,57.10,58.20,56.65,188.98k,2.93
20180122,56.30,53.80,56.50,53.80,72.07k,4.07
20180119,54.10,55.35,57.00,54.00,56.55k,-1.99
20180118,55.20,56.20,56.30,54.00,87.30k,-1.87
20180117,56.25,55.90,56.70,54.80,120.63k,0.36
20180116,56.05,55.00,56.05,54.75,295.46k,1.91
20180115,55.00,54.20,56.00,54.20,77.79k,1.85
20180112,54.00,57.00,57.00,53.85,272.78k,-4.17
20180111,56.35,58.00,59.00,55.70,398.26k,-2.93
20180110,58.05,60.50,60.50,56.05,53.84k,-2.85
20180109,59.75,59.45,60.75,59.45,56.81k,0.84
20180108,59.25,60.80,61.50,58.05,74.50k,-2.47
20180105,60.75,60.75,61.25,60.00,76.98k,0.00
20180104,60.75,59.00,61.30,58.50,102.90k,3.67
20180103,58.60,58.50,58.60,56.05,40.66k,-0.85
20180102,59.10,54.55,59.10,54.55,212.79k,8.54
20171229,54.45,54.90,55.50,53.50,120.55k,-0.82
20171228,54.90,52.70,55.50,52.70,200.27k,4.47
20171227,52.55,52.20,54.70,52.20,115.43k,-0.85
20171226,53.00,53.40,53.75,53.00,36.44k,-0.75
20171222,53.40,53.50,53.80,53.00,87.79k,0.75
20171221,53.00,52.00,53.40,51.20,138.20k,2.71
20171220,51.60,51.00,52.40,51.00,70.34k,-0.77
20171219,52.00,50.75,52.00,49.00,66.78k,2.46
20171218,50.75,50.00,51.00,49.40,56.19k,1.50
20171215,50.00,51.00,52.00,49.55,49.01k,-2.34
20171214,51.20,51.00,52.40,50.00,91.16k,-0.39
20171213,51.40,51.90,52.00,51.20,107.79k,-1.15
20171212,52.00,53.00,53.00,51.30,43.14k,-2.07
20171211,53.10,52.05,54.00,52.05,252.74k,4.22
20171207,50.95,50.00,50.95,49.00,44.29k,1.19
20171206,50.35,49.50,50.50,48.60,128.22k,1.31
