fecha,ultima,apertura,maximo,minimo,vol,varianza
20180119,555.90,556.00,556.00,555.90,0.04k,-2.47
20180118,570.00,540.00,570.00,540.00,0.01k,15.15
20171219,495.00,495.00,495.00,495.00,0.04k,-1.04
20171215,500.20,486.00,500.20,486.00,0.24k,2.29
20171108,489.00,489.00,489.00,489.00,0.38k,2.26
20171011,478.20,478.20,478.20,478.20,6.00k,7.46
20170622,445.00,445.00,445.00,445.00,0.06k,7.55
20170522,413.75,413.75,413.75,413.75,8.60k,3.92
20170516,398.15,398.15,398.15,398.15,0.01k,4.78
20170510,380.00,380.00,380.00,380.00,0.03k,0.13
20170508,379.50,379.50,379.50,379.50,0.70k,-0.13
20170426,380.00,380.00,380.00,380.00,0.01k,0.00
20170424,380.00,380.00,380.00,380.00,0.01k,-0.52
20170411,382.00,382.00,382.00,382.00,0.26k,0.00
20170407,382.00,382.00,382.00,382.00,2.06k,-1.00
20170330,385.85,385.85,385.85,385.85,0.03k,-1.32
20170328,391.00,391.15,391.15,391.00,0.88k,-0.60
20170327,393.35,393.35,393.35,393.35,0.03k,-0.66
20170314,395.95,395.95,395.95,395.95,0.01k,0.29
20170313,394.80,394.80,394.80,394.80,1.80k,8.91
20170217,362.50,362.50,362.50,362.50,0.51k,-0.14
20170216,363.00,363.00,363.00,363.00,0.12k,0.69
20170215,360.50,360.50,360.50,360.50,0.10k,-0.04
20170213,360.65,360.65,360.65,360.65,0.03k,1.04
20170202,356.95,356.95,356.95,356.95,5.50k,-1.12
20170127,361.00,357.00,361.00,357.00,0.22k,1.12
20170124,357.00,359.00,359.00,357.00,11.27k,-1.24
20170123,361.50,361.50,361.50,361.50,0.34k,-7.78
20170112,392.00,392.00,392.00,392.00,0.01k,0.00
20170102,392.00,392.00,392.00,392.00,0.01k,6.90
20161228,366.70,366.70,366.70,366.70,0.03k,0.00
20161227,366.70,366.70,366.70,366.70,0.03k,0.00
20161214,366.70,370.00,370.00,366.70,3.00k,-2.21
20161213,375.00,375.00,375.00,375.00,0.17k,4.17
20161212,360.00,360.00,360.00,360.00,0.74k,2.86
20161205,350.00,360.00,360.00,350.00,0.10k,-3.98
20161110,364.50,360.00,364.50,360.00,10.05k,3.55
20161020,352.00,352.00,352.00,352.00,0.14k,-2.49
20161007,361.00,361.00,361.00,361.00,0.29k,-0.26
20161006,361.95,361.95,361.95,361.95,0.03k,0.01
20161004,361.90,361.90,361.90,361.90,1.50k,0.39
20160928,360.50,360.50,360.50,360.50,0.01k,0.14
20160922,360.00,360.00,360.00,360.00,0.04k,0.52
20160920,358.15,358.15,358.15,358.15,0.32k,-0.51
20160907,360.00,360.00,360.00,360.00,0.02k,0.07
20160906,359.75,359.75,359.75,359.75,0.02k,2.20
20160901,352.00,352.00,352.00,352.00,0.12k,-2.05
20160817,359.35,359.35,359.35,359.35,2.24k,-1.55
20160816,365.00,365.00,365.00,365.00,0.03k,-0.41
20160812,366.50,366.50,366.50,366.50,0.03k,0.14
20160811,366.00,366.00,366.00,366.00,0.06k,0.00
20160810,366.00,367.00,367.00,365.00,1.47k,-8.50
20160804,400.00,400.00,400.00,400.00,0.01k,3.09
20160801,388.00,388.00,388.00,388.00,0.03k,0.78
20160728,385.00,385.00,385.00,385.00,0.03k,1.58
20160726,379.00,379.00,379.00,379.00,4.75k,-1.94
20160725,386.50,386.50,386.50,386.50,0.01k,-0.13
20160722,387.00,387.00,387.00,387.00,0.01k,0.52
20160720,385.00,385.00,385.00,385.00,0.10k,1.32
20160719,380.00,380.00,386.00,380.00,16.67k,4.11
20160714,365.00,365.00,365.00,365.00,0.05k,-0.54
20160707,367.00,367.00,367.00,367.00,0.01k,-0.68
20160706,369.50,369.50,369.50,369.50,7.53k,13.69
20160701,325.00,325.00,325.00,325.00,0.04k,0.00
20160622,325.00,325.00,325.00,325.00,0.05k,0.68
20160616,322.80,322.80,322.80,322.80,1.75k,-0.62
20160607,324.80,330.00,330.00,324.80,0.36k,-0.79
20160601,327.40,327.40,327.40,327.40,0.01k,1.51
20160512,322.54,322.54,322.54,322.54,7.45k,-1.49
20160426,327.40,327.40,327.40,327.40,5.40k,-0.41
20160425,328.75,328.75,328.75,328.75,2.75k,4.37
20160421,315.00,315.00,315.00,315.00,0.14k,-5.97
20160314,335.00,335.00,335.00,335.00,0.15k,0.00
20160310,335.00,335.00,335.00,335.00,0.02k,0.00
20160307,335.00,335.00,335.00,335.00,0.03k,0.18
20160303,334.40,334.40,334.40,334.40,2.73k,-2.05
20160302,341.40,341.40,341.40,341.40,6.00k,3.60
20160229,329.55,329.55,329.55,329.55,0.91k,0.92
20160224,326.55,326.55,326.55,326.55,13.25k,-0.44
20160223,328.00,328.00,328.00,328.00,6.00k,4.71
20160217,313.25,313.25,313.25,313.25,18.50k,3.41
20160212,302.92,302.92,302.92,302.92,25.00k,0.47
20160204,301.50,301.50,301.50,301.50,15.00k,0.67
20160203,299.50,299.50,299.50,299.50,17.00k,0.02
20160202,299.45,299.45,299.45,299.45,22.50k,1.44
20160129,295.20,295.20,295.20,295.20,0.30k,3.58
20160121,285.00,285.00,285.00,285.00,0.04k,3.45
20160114,275.50,275.50,275.50,275.50,0.14k,0.00
20160112,275.50,275.50,275.50,275.50,60.70k,-2.15
20160108,281.55,281.55,281.55,281.55,0.91k,-1.64
20151230,286.25,286.25,286.25,286.25,0.35k,0.62
