fecha,ultima,apertura,maximo,minimo,vol,varianza
20171226,196.90,196.90,196.90,196.90,4.94k,8.31
20171206,181.80,181.80,181.80,181.80,24.25k,7.16
20171011,169.65,169.65,169.65,169.65,12.00k,10.31
20170905,153.80,153.25,153.80,153.25,15.84k,-4.47
20170824,161.00,161.00,161.00,161.00,1.05k,-1.83
20170809,164.00,164.00,164.00,164.00,0.03k,-2.61
20170808,168.40,168.40,168.40,168.40,0.18k,3.31
20170706,163.00,163.00,163.00,163.00,1.03k,5.40
20170703,154.65,157.35,157.35,154.65,1.06k,16.63
20170601,132.60,130.91,132.60,130.91,5.38k,2.07
20170531,129.91,129.91,129.91,129.91,0.13k,-4.95
20170522,136.67,136.67,136.67,136.67,17.00k,-1.25
20170328,138.40,138.40,138.40,138.40,1.22k,-0.54
20170321,139.15,139.15,139.15,139.15,0.01k,-2.01
20170314,142.00,142.00,142.00,142.00,0.06k,-0.49
20170313,142.70,142.70,142.70,142.70,3.50k,4.73
20170213,136.25,137.65,137.65,136.25,0.30k,2.17
20170202,133.35,133.35,133.35,133.35,12.00k,-1.30
20170201,135.10,135.10,135.10,135.10,25.26k,0.33
20170131,134.65,133.80,134.65,133.80,15.01k,-0.63
20170130,135.50,135.50,135.50,135.50,22.28k,-1.17
20170127,137.10,139.00,139.00,137.10,0.05k,0.44
20170124,136.50,136.50,136.50,136.50,18.00k,-0.76
20161221,137.55,137.55,137.55,137.55,1.00k,2.88
20161214,133.70,133.70,133.70,133.70,5.00k,-1.15
20161213,135.25,135.25,135.25,135.25,25.75k,4.04
20161212,130.00,130.00,130.00,130.00,0.36k,10.17
20161117,118.00,118.00,118.00,118.00,0.01k,0.00
20161111,118.00,118.00,118.00,118.00,0.30k,1.72
20161110,116.00,116.00,116.00,116.00,15.00k,9.64
20161108,105.80,105.80,105.80,105.80,0.10k,3.67
20161007,102.05,102.05,102.05,102.05,0.05k,0.00
20161004,102.05,102.05,102.05,102.05,1.50k,1.04
20160928,101.00,101.00,101.00,101.00,0.82k,1.25
20160920,99.75,99.75,99.75,99.75,1.50k,1.37
20160912,98.40,98.40,98.40,98.40,0.02k,-1.60
20160909,100.00,100.00,100.00,100.00,0.11k,0.00
20160822,100.00,100.00,100.00,100.00,0.05k,1.73
20160817,98.30,98.05,98.30,98.05,6.51k,1.29
20160726,97.05,97.05,97.05,97.05,9.50k,0.10
20160721,96.95,96.95,96.95,96.95,3.03k,-1.62
20160719,98.55,98.55,98.55,98.55,32.00k,8.54
20160714,90.80,90.80,90.80,90.80,0.10k,0.00
20160706,90.80,89.00,90.80,89.00,15.00k,1.00
20160705,89.90,89.90,89.90,89.90,0.66k,-0.75
20160629,90.58,90.58,90.58,90.58,8.21k,3.75
20160628,87.31,87.31,87.31,87.31,0.11k,-0.11
20160627,87.40,87.40,87.40,87.40,0.34k,-1.79
20160623,89.00,89.00,89.00,89.00,0.35k,4.09
20160616,85.50,85.50,85.50,85.50,3.52k,-5.63
20160526,90.60,90.60,90.60,90.60,0.77k,-0.77
20160524,91.30,91.30,91.30,91.30,0.10k,2.58
20160517,89.00,89.00,89.00,89.00,0.10k,-1.66
20160516,90.50,90.50,90.50,90.50,0.10k,3.13
20160512,87.75,87.75,87.75,87.75,14.90k,-5.59
20160426,92.95,92.95,92.95,92.95,11.30k,1.25
20160414,91.80,91.80,91.80,91.80,0.10k,4.97
20160331,87.45,87.31,87.45,87.31,8.19k,-0.45
20160330,87.85,87.85,87.85,87.85,7.70k,-0.45
20160321,88.25,88.25,88.25,88.25,5.00k,-6.47
20160303,94.35,94.35,94.35,94.35,5.28k,-0.94
20160302,95.25,95.25,95.25,95.25,11.11k,2.64
20160301,92.80,92.80,92.80,92.80,0.47k,4.39
20160229,88.90,88.90,88.90,88.90,2.25k,2.07
20160224,87.10,87.10,87.10,87.10,26.50k,-1.86
20160223,88.75,88.75,88.75,88.75,12.00k,-0.17
20160219,88.90,88.90,88.90,88.90,20.00k,-2.20
20160217,90.90,90.90,90.90,90.90,57.00k,12.71
20160211,80.65,80.65,80.65,80.65,14.00k,-5.95
20160204,85.75,84.80,85.75,84.80,30.18k,4.26
20160203,82.25,82.25,82.25,82.25,25.00k,-0.78
20160202,82.90,85.40,85.40,82.90,45.13k,-2.93
20160201,85.40,85.40,85.40,85.40,30.00k,3.96
