fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,107.500,105.200,107.500,100.950,69.89k,2.38
20180126,105.000,103.000,105.000,101.000,69.17k,1.45
20180125,103.500,104.000,104.700,102.200,61.67k,0.49
20180124,103.000,104.350,104.500,102.700,179.69k,-1.53
20180123,104.600,96.000,105.000,96.000,1.53,8.39
20180122,96.500,94.000,97.000,94.000,47.75k,2.12
20180119,94.500,94.050,97.500,93.000,54.75k,-3.57
20180118,98.000,98.350,98.700,95.000,66.10k,-0.05
20180117,98.050,99.000,100.000,97.000,80.85k,-0.71
20180116,98.750,99.500,99.500,96.000,115.46k,0.00
20180115,98.750,94.100,98.750,94.100,152.96k,5.11
20180112,93.950,92.100,95.000,92.100,81.93k,4.22
20180111,90.150,88.100,91.500,87.700,75.46k,3.26
20180110,87.300,89.000,89.000,86.050,92.41k,-1.36
20180109,88.500,85.000,88.900,85.000,133.51k,4.67
20180108,84.550,80.450,84.800,77.500,170.87k,5.10
20180105,80.450,80.950,81.000,78.000,85.75k,1.19
20180104,79.500,80.400,80.900,78.900,102.06k,-1.36
20180103,80.600,80.500,82.000,75.750,118.53k,0.44
20180102,80.250,76.000,80.250,73.700,125.28k,7.72
20171229,74.500,72.500,78.000,70.100,119.59k,2.76
20171228,72.500,68.250,72.500,68.250,66.41k,3.87
20171227,69.800,69.500,71.250,69.200,240.30k,-0.14
20171226,69.900,70.000,72.000,68.400,71.28k,-0.14
20171222,70.000,68.100,70.150,68.100,136.51k,3.09
20171221,67.900,68.000,69.300,67.900,74.20k,-0.80
20171220,68.450,69.100,69.450,68.000,60.02k,0.66
20171219,68.000,67.000,69.000,65.000,140.12k,1.64
20171218,66.900,65.900,67.000,63.550,48.11k,1.36
20171215,66.000,66.950,67.000,64.400,108.28k,-1.49
20171214,67.000,63.000,67.000,62.500,90.82k,6.35
20171213,63.000,64.100,64.100,61.200,65.43k,-1.72
20171212,64.100,63.750,64.200,61.900,57.11k,-0.47
20171211,64.400,63.500,65.800,62.400,87.17k,1.66
20171207,63.350,60.000,64.000,59.700,80.23k,4.71
20171206,60.500,61.900,61.900,58.600,111.87k,-2.34
20171205,61.950,62.500,62.500,60.500,68.07k,-1.20
20171204,62.700,64.100,64.100,61.950,65.58k,-2.18
20171201,64.100,65.000,66.900,64.050,11.14k,-1.38
20171130,65.000,64.350,66.000,63.600,104.09k,1.01
20171129,64.350,65.000,65.300,64.000,35.56k,-1.45
20171128,65.300,66.000,66.650,63.500,156.69k,-1.80
20171127,66.500,66.500,66.800,63.750,37.70k,-0.75
20171124,67.000,67.000,67.500,65.750,41.50k,0.00
20171123,67.000,68.000,68.000,66.350,32.50k,-1.47
20171122,68.000,69.000,69.500,66.000,100.30k,0.07
20171121,67.950,67.650,69.500,67.500,78.16k,0.37
20171117,67.700,70.000,70.000,67.650,49.02k,-0.44
20171116,68.000,68.000,70.500,68.000,118.96k,0.07
20171115,67.950,65.000,68.500,63.000,118.40k,4.54
20171114,65.000,65.000,65.500,62.100,106.17k,-0.46
20171113,65.300,66.500,67.000,63.950,76.33k,-1.95
20171110,66.600,67.800,67.800,65.000,59.69k,-1.55
20171109,67.650,67.500,68.800,67.450,199.61k,0.74
20171108,67.150,69.000,72.500,65.350,455.46k,-1.25
20171107,68.000,68.900,69.500,67.250,124.47k,2.18
20171103,66.550,65.150,68.000,65.150,128.91k,2.07
20171102,65.200,65.000,68.250,64.850,192.27k,0.46
20171101,64.900,61.900,67.000,61.000,337.01k,7.27
20171031,60.500,59.600,60.500,57.500,159.50k,2.54
20171030,59.000,61.000,61.000,57.000,63.77k,0.00
20171027,59.000,61.000,61.000,58.500,170.88k,-0.84
20171026,59.500,62.000,62.000,59.500,112.70k,-2.46
20171025,61.000,60.700,63.000,59.200,155.31k,0.58
20171024,60.650,62.200,62.200,60.500,144.59k,-2.18
20171023,62.000,61.350,63.100,58.500,190.98k,2.14
20171020,60.700,59.500,60.700,59.500,125.52k,3.94
20171019,58.400,56.900,60.000,56.700,179.50k,0.26
20171018,58.250,60.300,61.450,55.750,156.71k,-3.32
20171017,60.250,61.000,61.400,58.600,96.92k,-2.03
20171013,61.500,61.500,61.500,58.850,46.05k,2.16
20171012,60.200,60.000,61.950,58.750,137.33k,-0.17
20171011,60.300,61.900,64.000,60.000,117.94k,-2.66
20171010,61.950,60.000,62.000,60.000,100.09k,3.42
20171009,59.900,61.250,61.300,59.800,46.96k,-0.83
20171006,60.400,60.000,61.000,59.500,57.73k,-0.98
20171005,61.000,59.600,65.000,58.750,141.36k,1.75
20171004,59.950,61.000,61.000,57.800,87.42k,-0.33
20171003,60.150,60.450,62.500,59.600,85.49k,-0.50
20171002,60.450,58.000,60.500,58.000,205.12k,4.22
20170929,58.000,55.500,61.100,54.050,362.61k,4.50
20170928,55.500,51.500,55.500,51.000,135.58k,8.40
20170927,51.200,51.000,51.800,51.000,94.51k,-0.19
20170926,51.300,52.000,52.600,51.100,70.10k,-2.47
20170925,52.600,53.400,53.650,52.600,23.44k,-1.50
20170922,53.400,53.500,53.800,52.350,264.20k,0.28
20170921,53.250,53.000,53.600,52.500,248.68k,0.66
20170920,52.900,53.400,53.500,52.600,61.06k,-0.94
20170919,53.400,52.250,53.500,52.250,61.06k,2.20
20170918,52.250,53.000,53.000,51.800,50.58k,-1.42
20170915,53.000,53.000,53.200,52.000,34.86k,-0.19
20170914,53.100,54.200,54.200,52.300,37.47k,-2.12
20170913,54.250,52.900,54.250,52.050,74.84k,3.33
20170912,52.500,54.000,54.000,52.000,52.37k,-2.23
20170911,53.700,53.650,54.300,53.000,94.67k,0.09
20170908,53.650,53.200,53.700,52.400,78.49k,1.13
20170907,53.050,52.700,53.250,52.300,182.78k,1.92
20170906,52.050,50.900,53.000,50.850,286.19k,2.26
20170905,50.900,51.450,51.500,50.800,62.03k,-1.17
20170904,51.500,51.600,51.700,50.450,72.83k,1.28
20170901,50.850,49.350,51.600,49.250,137.82k,3.35
20170831,49.200,49.000,49.300,48.600,59.46k,0.41
20170830,49.000,48.150,49.000,48.150,73.20k,1.24
20170829,48.400,48.800,49.000,47.500,38.77k,-1.22
20170828,49.000,48.500,49.000,48.000,65.29k,1.03
20170825,48.500,49.000,49.000,47.200,95.39k,0.00
20170824,48.500,47.400,48.500,47.300,35.64k,2.43
20170823,47.350,48.000,48.000,47.200,68.87k,-1.35
20170822,48.000,48.900,48.900,47.500,47.05k,-2.04
20170818,49.000,48.400,49.800,47.500,142.07k,1.66
20170817,48.200,48.500,48.500,47.000,43.54k,-0.10
20170816,48.250,49.000,49.100,48.000,42.15k,-1.53
20170815,49.000,48.000,49.000,47.000,134.77k,3.70
20170814,47.250,46.050,48.500,46.050,200.56k,4.42
20170811,45.250,44.000,46.000,43.500,61.21k,2.84
20170810,44.000,43.150,44.450,43.000,26.98k,0.80
20170809,43.650,44.550,44.550,41.800,127.18k,-2.02
20170808,44.550,45.000,46.000,44.550,65.53k,-3.15
20170807,46.000,46.200,46.200,45.050,46.35k,-0.97
20170804,46.450,46.650,46.650,46.000,27.58k,-0.43
20170803,46.650,47.250,47.250,46.000,26.12k,-1.79
20170802,47.500,46.500,47.600,46.400,78.96k,2.15
20170801,46.500,46.000,46.800,45.900,43.32k,-0.85
20170731,46.900,44.900,47.000,43.500,46.47k,4.45
20170728,44.900,44.300,45.000,44.300,51.34k,1.01
20170727,44.450,46.750,46.750,44.050,47.40k,-3.37
20170726,46.000,44.000,46.000,43.500,84.86k,2.22
20170725,45.000,45.450,45.450,43.700,77.51k,-0.99
20170724,45.450,45.700,46.000,44.500,39.79k,-0.66
20170721,45.750,45.200,45.900,45.000,62.13k,0.88
20170720,45.350,47.000,47.000,44.500,28.61k,-0.87
20170719,45.750,44.050,46.000,43.000,59.62k,3.51
20170718,44.200,44.500,44.500,42.750,103.68k,-0.90
20170717,44.600,45.600,45.600,44.500,142.64k,-3.15
20170714,46.050,46.500,46.700,46.050,51.28k,-0.97
20170713,46.500,46.100,46.500,45.000,21.06k,0.87
20170712,46.100,46.000,46.300,45.200,99.31k,0.66
20170711,45.800,46.000,47.000,45.000,46.88k,-0.43
20170710,46.000,46.750,47.100,46.000,126.14k,-1.60
20170707,46.750,47.000,47.000,46.000,178.90k,-1.99
20170706,47.700,49.700,49.700,46.350,102.79k,-2.15
20170705,48.750,47.950,48.850,46.700,63.26k,1.77
20170704,47.900,48.300,48.500,47.550,35.49k,-1.03
20170703,48.400,49.000,49.000,47.500,82.49k,-1.43
20170630,49.100,48.600,49.100,46.550,234.22k,1.03
20170629,48.600,46.000,49.000,45.000,92.11k,5.65
20170628,46.000,45.700,46.500,44.700,27.54k,0.66
20170627,45.700,45.500,46.000,44.600,64.19k,0.44
20170626,45.500,46.000,46.000,44.500,44.56k,1.11
20170623,45.000,44.400,45.400,43.000,103.68k,1.69
20170622,44.250,42.200,44.250,42.200,161.66k,3.87
20170621,42.600,41.800,42.600,40.000,328.43k,-3.73
20170619,44.250,44.500,46.500,44.250,95.63k,0.57
20170616,44.000,43.300,45.350,43.200,42.06k,1.62
20170615,43.300,44.200,45.000,43.100,122.73k,-3.78
20170614,45.000,47.500,47.500,45.000,396.48k,-4.05
20170613,46.900,45.900,47.000,45.900,23.89k,1.74
20170612,46.100,48.400,48.400,45.050,215.19k,-3.96
20170609,48.000,48.500,48.700,47.600,69.24k,0.00
20170608,48.000,49.000,49.000,47.250,84.64k,-1.44
20170607,48.700,48.500,48.700,48.000,53.31k,0.41
20170606,48.500,48.000,48.700,47.600,82.77k,1.04
20170605,48.000,48.900,48.950,48.000,88.55k,-1.84
20170602,48.900,48.400,48.950,48.000,63.24k,1.03
20170601,48.400,48.350,48.900,48.300,104.48k,0.10
20170531,48.350,48.300,48.800,46.500,126.65k,0.62
20170530,48.050,47.550,49.100,47.550,682.85k,1.80
20170529,47.200,45.300,47.400,45.300,384.03k,4.42
20170526,45.200,44.950,45.500,44.100,185.85k,3.20
20170524,43.800,43.000,44.300,42.500,238.43k,3.06
20170523,42.500,42.000,42.850,41.500,130.13k,2.16
20170522,41.600,42.700,42.700,41.550,28.17k,-2.35
20170519,42.600,42.000,42.750,41.950,47.32k,2.65
20170518,41.500,42.500,42.500,41.200,105.95k,-3.49
20170517,43.000,42.500,43.400,42.100,104.90k,1.18
20170516,42.500,42.600,42.750,42.150,49.98k,-0.35
20170515,42.650,42.700,42.750,42.050,65.16k,-0.12
20170512,42.700,42.800,42.950,42.000,55.50k,-0.23
20170511,42.800,42.550,43.000,42.500,48.59k,0.59
20170510,42.550,42.500,43.250,42.300,72.36k,-0.35
20170509,42.700,42.800,42.950,42.000,69.75k,1.67
20170508,42.000,43.050,43.500,42.000,48.79k,-1.75
20170505,42.750,43.000,43.800,42.350,42.20k,-0.70
20170504,43.050,43.950,44.000,42.450,95.66k,-2.16
20170503,44.000,44.200,44.450,43.500,46.94k,0.00
20170502,44.000,44.000,44.200,43.500,171.43k,-0.23
20170428,44.100,43.700,44.100,43.600,69.46k,0.68
20170427,43.800,43.900,43.900,42.200,57.31k,-0.23
20170426,43.900,43.950,44.000,43.000,54.69k,0.23
20170425,43.800,44.000,44.600,43.100,84.24k,1.86
20170424,43.000,42.850,43.300,42.700,80.85k,0.35
20170421,42.850,43.000,43.000,42.500,51.33k,0.59
20170420,42.600,42.450,42.600,41.400,47.77k,0.35
20170419,42.450,42.000,42.900,41.000,42.10k,1.31
20170418,41.900,42.900,43.000,41.500,69.56k,-2.67
20170417,43.050,43.500,44.300,42.500,91.48k,-2.05
20170412,43.950,45.000,45.000,42.300,114.67k,-1.68
20170411,44.700,44.100,45.000,43.000,164.05k,1.94
20170410,43.850,41.000,43.850,40.200,127.34k,6.95
20170407,41.000,42.300,42.400,41.000,88.41k,-3.30
20170406,42.400,41.600,43.700,41.300,108.50k,0.00
20170405,42.400,43.000,44.000,42.400,347.60k,0.00
20170404,42.400,39.500,42.400,39.400,437.27k,7.48
20170403,39.450,38.100,39.500,38.100,292.53k,6.77
20170331,36.950,38.400,39.100,36.900,153.39k,-2.76
20170330,38.000,36.800,38.950,36.800,161.52k,2.70
20170329,37.000,37.200,37.200,36.500,102.29k,0.41
20170328,36.850,36.500,36.900,35.850,104.01k,0.96
20170327,36.500,36.150,36.600,36.000,50.25k,0.69
20170323,36.250,36.500,36.900,36.000,49.78k,0.14
20170322,36.200,36.900,36.900,36.000,31.77k,-0.69
20170321,36.450,36.650,36.950,36.150,30.42k,-0.68
20170320,36.700,36.250,37.200,36.200,53.20k,1.24
20170317,36.250,36.550,36.800,36.250,35.25k,-0.68
20170316,36.500,36.200,37.300,36.050,99.41k,-0.54
20170315,36.700,36.400,37.000,36.350,52.67k,-0.27
20170314,36.800,37.250,37.250,36.500,26.62k,-1.34
20170313,37.300,37.100,37.750,36.750,23.87k,-0.53
20170310,37.500,37.450,37.500,36.750,51.22k,1.63
20170309,36.900,36.900,37.500,36.200,69.28k,-0.27
20170308,37.000,37.400,37.400,36.700,27.80k,-1.07
20170307,37.400,37.800,37.800,36.750,64.29k,-1.19
20170306,37.850,37.950,37.950,36.800,76.23k,0.93
20170303,37.500,38.550,38.950,37.100,60.71k,-2.72
20170302,38.550,36.650,38.850,36.650,278.33k,5.18
20170301,36.650,36.650,36.700,36.000,50.09k,0.00
20170224,36.650,37.700,37.700,36.000,55.00k,-2.01
20170223,37.400,37.800,37.950,36.550,55.37k,-1.06
20170222,37.800,37.850,37.850,37.400,50.00k,0.13
20170221,37.750,37.200,37.750,36.800,46.35k,0.67
20170220,37.500,37.250,37.500,36.800,58.94k,0.67
20170217,37.250,38.000,38.000,37.050,76.37k,-1.97
20170216,38.000,38.000,38.000,36.750,90.47k,1.06
20170215,37.600,37.500,38.000,36.700,42.53k,0.27
20170214,37.500,37.000,37.500,36.300,47.20k,0.54
20170213,37.300,36.800,37.300,36.400,51.36k,1.36
20170210,36.800,38.000,38.000,36.700,139.71k,-3.03
20170209,37.950,37.500,38.000,37.150,70.61k,0.93
20170208,37.600,38.000,38.200,37.200,67.50k,-0.27
20170207,37.700,38.300,38.500,37.100,44.78k,-1.44
20170206,38.250,38.000,38.300,37.900,64.32k,2.00
20170203,37.500,38.100,38.150,37.500,51.00k,-0.27
20170202,37.600,37.750,38.400,36.700,76.79k,0.80
20170201,37.300,37.600,37.900,36.400,76.73k,-0.67
20170131,37.550,38.000,38.300,37.300,121.48k,0.40
20170130,37.400,38.450,38.450,37.000,71.29k,-2.35
20170127,38.300,38.000,38.500,37.950,36.43k,-1.03
20170126,38.700,38.700,39.400,38.700,83.23k,0.00
20170125,38.700,38.000,38.700,37.600,116.21k,0.52
20170124,38.500,38.700,39.000,38.400,183.54k,-0.77
20170123,38.800,38.500,38.950,37.750,156.11k,2.78
20170120,37.750,36.000,37.750,36.000,49.14k,4.57
20170119,36.100,36.400,36.400,35.050,101.13k,-0.96
20170118,36.450,36.700,37.150,36.000,80.92k,-0.82
20170117,36.750,38.000,38.000,36.750,96.36k,-3.03
20170116,37.900,37.750,38.200,37.200,107.68k,0.40
20170113,37.750,36.100,37.800,36.100,120.44k,4.57
20170112,36.100,36.000,36.500,35.050,121.45k,-0.28
20170111,36.200,37.900,38.500,36.000,272.90k,-4.74
20170110,38.000,38.400,39.500,37.150,227.87k,-2.56
20170109,39.000,38.300,39.250,37.800,213.45k,1.83
20170106,38.300,38.200,38.500,37.700,210.07k,-1.03
20170105,38.700,38.300,39.400,36.100,593.02k,1.04
20170104,38.300,37.000,38.300,37.000,327.87k,3.51
20170103,37.000,36.400,37.350,35.300,491.66k,1.65
20170102,36.400,34.700,36.500,34.000,222.43k,4.90
20161229,34.700,34.500,35.500,33.550,358.95k,0.58
20161228,34.500,33.350,34.500,33.000,449.18k,2.99
20161227,33.500,30.000,33.900,30.000,168.57k,8.06
20161226,31.000,31.800,31.800,30.300,49.71k,-2.52
20161223,31.800,32.000,32.000,31.000,56.77k,-0.31
20161222,31.900,31.000,32.400,30.800,75.90k,2.90
20161221,31.000,29.800,32.400,29.800,79.33k,4.55
20161220,29.650,30.250,30.800,29.500,42.25k,-1.50
20161219,30.100,31.350,31.350,30.100,68.05k,-4.29
20161216,31.450,30.850,31.450,30.100,63.30k,-0.47
20161215,31.600,31.500,31.700,30.100,145.50k,1.12
20161214,31.250,32.400,32.500,30.900,84.30k,-3.55
20161213,32.400,32.500,33.000,31.600,235.21k,1.57
20161212,31.900,31.200,32.000,31.100,258.41k,2.90
20161207,31.000,30.200,31.000,29.500,97.60k,3.33
20161206,30.000,29.800,30.200,29.600,64.98k,0.33
20161205,29.900,30.000,30.000,29.000,63.29k,-0.17
20161202,29.950,31.250,31.250,29.250,119.89k,-2.12
20161201,30.600,31.500,31.600,30.500,171.48k,-3.32
20161130,31.650,32.000,32.000,31.000,88.23k,-0.63
20161129,31.850,31.850,31.850,30.800,56.80k,0.00
20161125,31.850,31.900,31.900,31.400,29.73k,-0.16
20161124,31.900,31.200,32.500,31.200,136.75k,1.27
20161123,31.500,30.900,31.500,30.200,153.06k,4.30
20161122,30.200,28.850,30.250,28.850,158.77k,5.04
20161121,28.750,28.500,28.900,28.100,42.84k,-0.35
20161118,28.850,28.550,28.850,27.500,50.66k,2.12
20161117,28.250,29.000,29.700,28.000,181.51k,-1.57
20161116,28.700,29.000,29.000,27.600,135.04k,0.17
20161115,28.650,27.450,28.650,27.100,328.06k,6.51
20161114,26.900,28.000,28.000,25.300,478.30k,-3.93
20161111,28.000,28.600,28.600,26.900,304.01k,-2.78
20161110,28.800,30.600,31.000,28.750,166.01k,-4.95
20161109,30.300,29.500,30.400,29.000,346.01k,-2.88
20161108,31.200,31.750,32.050,30.700,297.76k,-1.73
20161107,31.750,31.200,32.000,31.200,190.44k,2.42
20161104,31.000,31.000,31.500,30.600,116.30k,0.32
20161103,30.900,30.950,31.600,30.500,529.89k,3.17
20161102,29.950,28.550,30.000,27.000,323.52k,4.90
20161101,28.550,30.100,30.600,27.900,459.15k,-5.15
20161031,30.100,31.000,31.000,29.500,328.86k,-1.95
20161028,30.700,31.800,31.800,30.050,210.91k,-0.65
20161027,30.900,31.400,31.500,30.400,331.43k,-1.90
20161026,31.500,32.100,32.250,30.700,257.81k,-1.56
20161025,32.000,31.950,32.500,31.600,301.46k,0.95
20161024,31.700,32.850,33.000,31.500,485.10k,-2.16
20161021,32.400,31.000,32.700,31.000,473.07k,4.68
20161020,30.950,30.950,31.400,30.350,371.76k,0.49
20161019,30.800,31.100,32.000,30.700,347.37k,-0.96
20161018,31.100,31.900,32.000,30.850,613.23k,-3.12
