fecha,ultima,apertura,maximo,minimo,vol,varianza
20170224,669.00,669.00,669.00,669.00,1.50k,15.22
20161114,580.62,580.62,580.62,580.62,1.50k,-13.00
20160719,667.40,667.40,667.40,667.40,0.01k,9.41
20160623,610.00,610.00,610.00,610.00,0.02k,0.66
20160503,606.00,606.00,606.00,606.00,0.02k,-9.55
20160407,670.00,670.00,670.00,670.00,0.01k,-0.08
20160329,670.55,670.55,670.55,670.55,-,64.35
20150615,408.00,408.00,408.00,408.00,0.03k,7.00
20140129,381.30,381.30,381.30,381.30,0.60k,27.93
20131204,298.05,298.05,298.05,298.05,0.60k,-6.37
20131129,318.34,318.34,318.34,318.34,0.03k,45.10
20130129,219.39,219.39,219.39,219.39,2.67k,2.89
20130124,213.22,213.22,213.22,213.22,0.45k,11.58
20121130,191.10,191.10,191.10,191.10,3.63k,3.36
20121019,184.89,184.89,184.89,184.89,3.00k,1.72
20121005,181.76,181.76,181.76,181.76,1.91k,2.90
20120918,176.64,176.64,176.64,176.64,0.45k,-1.36
20120816,179.08,179.08,179.08,179.08,0.18k,-0.58
20120807,180.12,177.75,180.12,177.75,3.18k,13.76
20120529,158.34,158.34,158.34,158.34,2.16k,14.87
20120425,137.84,137.84,137.84,137.84,3.00k,5.32
20120413,130.88,130.88,130.88,130.88,1.50k,4.42
20120327,125.34,125.34,125.34,125.34,1.50k,21.32
20111123,103.31,103.31,103.31,103.31,3.00k,53.61
20100304,67.25,67.25,67.25,67.25,3.00k,8.09
20090730,62.22,62.22,62.22,62.22,3.00k,29.84
20090323,47.92,47.92,47.92,47.92,3.00k,-5.43
20081015,50.67,50.67,50.67,50.67,0.60k,-6.56
20081006,54.23,54.19,54.23,54.19,16.35k,-5.09
20081002,57.14,57.18,57.18,57.14,0.63k,2.24
20081001,55.89,55.89,55.89,55.89,0.72k,1.54
20080925,55.04,55.08,55.08,55.04,2.94k,1.56
20080924,54.19,54.19,54.19,54.19,1.19k,-1.32
20080922,54.92,54.92,54.92,54.92,0.60k,-0.73
20080917,55.32,55.36,55.36,55.32,0.66k,5.15
20080908,52.61,52.61,52.61,52.61,0.92k,2.11
20080812,51.53,51.53,51.53,51.53,0.63k,-4.78
20080418,54.11,54.11,54.11,54.11,3.00k,0.60
20080416,53.79,53.75,53.79,53.75,0.45k,-4.09
20080229,56.08,56.12,56.12,56.08,1.50k,4.87
20080123,53.48,53.48,53.48,53.48,0.90k,-9.12
20071227,58.85,58.85,58.85,58.85,0.90k,0.76
20071211,58.41,58.37,58.41,58.37,1.50k,1.85
20071109,57.34,57.34,57.34,57.34,0.97k,-3.17
20071101,59.22,59.22,59.26,59.22,0.99k,0.27
20071023,59.06,59.06,59.06,59.06,3.00k,7.05
20070620,55.17,55.13,55.17,55.13,0.30k,-3.80
20070606,57.35,57.35,57.35,57.35,0.14k,0.07
20070517,57.31,57.35,57.35,57.31,2.09k,0.62
20070516,56.96,57.00,57.00,56.96,2.59k,8.81
20061110,52.34,52.34,52.34,52.34,0.06k,8.04
20060609,48.45,48.45,48.45,48.45,4.94k,1.94
20060228,47.53,47.53,47.53,47.53,5.02k,0.25
20060223,47.41,47.45,47.45,47.41,28.58k,0.99
20060222,46.94,46.94,46.94,46.94,134.26k,3.16
20050921,45.50,45.50,45.50,45.50,0.08k,0.17
20050809,45.43,45.47,45.47,45.43,0.16k,-1.68
20040318,46.20,46.20,46.20,46.20,0.15k,4.67
20040109,44.14,44.14,44.14,44.14,6.62k,17.27
20031008,37.64,37.64,37.64,37.64,0.09k,-2.03
20030916,38.42,38.42,38.42,38.42,4.31k,-5.91
20030903,40.83,40.83,40.83,40.83,20.59k,0.87
20030902,40.48,40.40,40.48,40.40,29.51k,12.31
20030212,36.04,36.04,36.04,36.04,0.05k,-17.54
20021218,43.71,43.75,43.75,43.71,86.48k,-10.80
20021126,49.01,49.01,49.01,49.01,4.40k,-0.24
20021114,49.12,49.20,49.20,49.12,56.36k,-1.71
20021111,49.98,50.02,50.02,49.98,9.42k,0.31
20021101,49.82,49.75,49.82,49.75,4.47k,-0.54
20021028,50.10,50.06,50.10,50.06,4.31k,-9.75
20021016,55.51,55.51,55.51,55.51,1.43k,-8.00
20021001,60.33,60.80,60.84,60.29,13.24k,0.00
20020926,60.33,60.29,60.33,60.29,4.68k,2.92
20020919,58.62,58.54,58.62,58.54,26.80k,2.03
20020905,57.45,57.53,57.53,57.45,26.03k,1.72
20020814,56.48,56.48,56.48,56.48,8.16k,-1.83
20020725,57.53,57.53,57.53,57.53,15.55k,6.79
20020716,53.87,53.87,53.87,53.87,14.37k,-2.95
20020715,55.51,55.43,55.51,55.43,53.90k,-3.26
20020712,57.38,57.34,57.38,57.34,105.64k,270.36
