fecha,ultima,apertura,maximo,minimo,vol,varianza
20151015,69.391,69.391,69.391,69.391,0.03k,2.50
20150410,67.700,67.700,67.700,67.700,5.00k,-1.46
20150401,68.700,68.700,68.700,68.700,1.00k,-0.72
20150327,69.200,69.200,69.200,69.200,0.15k,0.14
20150202,69.100,69.100,69.100,69.100,5.00k,-0.58
20141210,69.500,69.500,69.500,69.500,1.00k,-3.67
20141103,72.150,74.000,74.000,72.150,5.59k,-5.56
20140825,76.400,76.400,76.400,76.400,3.00k,10.40
20140815,69.200,69.200,69.200,69.200,10.34k,11.25
20140808,62.200,62.200,62.200,62.200,1.00k,-3.19
20140805,64.250,64.250,64.250,64.250,5.00k,1.34
20140718,63.400,63.400,63.400,63.400,0.04k,-3.06
20140708,65.400,65.400,65.400,65.400,0.35k,-4.04
20140319,68.153,68.153,68.153,68.153,5.00k,-5.67
20140306,72.250,72.250,72.250,72.250,5.00k,-0.76
20140227,72.800,72.800,72.800,72.800,2.50k,12.43
20131114,64.750,64.750,64.750,64.750,1.00k,21.37
20130726,53.350,53.350,53.350,53.350,5.00k,14.00
20130617,46.800,46.800,46.800,46.800,5.00k,-4.39
20130531,48.950,48.950,48.950,48.950,1.00k,-0.61
20130425,49.250,49.250,49.250,49.250,1.35k,1.76
20130424,48.400,48.400,48.400,48.400,1.03k,1.57
20130423,47.650,47.650,47.650,47.650,0.84k,0.85
20130422,47.250,47.250,47.250,47.250,1.26k,-5.22
20130419,49.850,49.850,49.850,49.850,0.60k,-0.70
20130418,50.200,50.200,50.200,50.200,0.59k,-1.67
20130417,51.050,51.050,51.050,51.050,0.98k,-2.76
20130416,52.500,52.500,52.500,52.500,0.57k,3.24
20130415,50.850,50.850,50.850,50.850,0.59k,-2.49
20130412,52.150,52.150,52.150,52.150,3.45k,4.40
20130403,49.950,49.950,49.950,49.950,50.00k,-0.10
20130326,50.000,50.000,50.000,50.000,0.05k,0.50
20130325,49.750,49.750,49.750,49.750,3.96k,-1.00
20130322,50.250,50.250,50.250,50.250,3.96k,-0.79
20130315,50.650,50.650,50.650,50.650,0.99k,15.38
20130225,43.900,43.900,43.900,43.900,1.14k,-8.73
20130204,48.100,48.100,48.100,48.100,1.04k,9.69
20130124,43.850,43.850,43.850,43.850,2.74k,9.35
20130114,40.100,40.100,40.100,40.100,2.50k,12.01
