fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,33.900,34.000,34.000,33.000,23.07k,-0.29
20180126,34.000,34.050,35.000,33.800,107.11k,0.00
20180125,34.000,34.150,34.700,33.000,84.47k,-0.73
20180124,34.250,33.000,34.250,33.000,130.20k,3.79
20180123,33.000,32.800,33.000,31.900,52.92k,0.61
20180122,32.800,32.150,33.000,32.100,63.02k,2.02
20180119,32.150,32.000,32.150,31.050,120.94k,0.78
20180118,31.900,30.000,31.900,30.000,169.75k,6.33
20180117,30.000,30.000,30.000,29.550,154.53k,0.67
20180116,29.800,30.000,30.450,29.500,74.35k,-0.50
20180115,29.950,31.100,32.000,29.500,139.76k,-3.39
20180112,31.000,30.150,31.000,29.700,129.51k,0.81
20180111,30.750,31.500,31.700,30.200,44.41k,-1.91
20180110,31.350,31.750,31.750,31.000,39.41k,-1.26
20180109,31.750,31.500,32.600,31.100,123.73k,-0.47
20180108,31.900,32.950,33.800,31.300,49.22k,-2.89
20180105,32.850,33.000,33.000,32.000,64.83k,2.66
20180104,32.000,33.000,33.000,31.700,55.81k,-2.74
20180103,32.900,33.200,33.900,32.200,61.21k,0.15
20180102,32.850,32.000,33.200,32.000,94.98k,4.29
20171229,31.500,30.650,31.900,29.250,253.36k,2.61
20171228,30.700,32.050,32.500,30.500,200.20k,-4.95
20171227,32.300,35.250,35.500,32.000,344.76k,-8.37
20171226,35.250,37.450,37.450,35.250,193.31k,-4.73
