fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,17.45,17.80,17.80,17.00,53.74k,-0.29
20180126,17.50,17.05,17.80,17.05,72.11k,0.57
20180125,17.40,17.85,17.85,17.25,20.50k,-0.29
20180124,17.45,17.00,17.90,17.00,92.52k,1.75
20180123,17.15,17.15,17.20,17.00,19.30k,0.00
20180122,17.15,16.95,17.15,16.80,70.48k,-0.87
20180119,17.30,17.50,17.50,16.90,39.45k,-0.57
20180118,17.40,17.20,17.80,17.10,31.48k,1.75
20180117,17.10,17.75,17.75,17.00,116.01k,-1.72
20180116,17.40,17.70,17.70,17.15,24.82k,-1.69
20180115,17.70,18.00,18.30,17.40,68.91k,-1.67
20180112,18.00,18.10,18.50,17.70,115.59k,-0.55
20180111,18.10,17.80,18.15,17.80,180.52k,1.97
20180110,17.75,16.90,17.75,16.10,114.07k,5.03
20180109,16.90,17.20,17.35,16.50,47.15k,-2.31
20180108,17.30,17.20,17.95,17.05,25.45k,-2.26
20180105,17.70,17.45,17.90,17.20,98.06k,1.43
20180104,17.45,17.20,17.95,17.20,36.75k,-0.57
20180103,17.55,18.00,18.00,17.15,67.38k,0.29
20180102,17.50,17.20,17.60,16.80,86.36k,1.16
20171229,17.30,17.50,17.50,16.75,33.53k,0.00
20171228,17.30,17.00,17.30,16.60,55.59k,2.37
20171227,16.90,16.30,16.90,16.15,79.17k,3.68
20171226,16.30,16.20,16.50,16.10,26.39k,0.00
20171222,16.30,15.35,16.40,15.35,122.19k,3.49
20171221,15.75,15.80,15.80,15.20,94.19k,-0.94
20171220,15.90,15.80,16.25,15.30,47.05k,1.27
20171219,15.70,15.50,15.90,15.30,51.13k,0.32
20171218,15.65,15.90,16.00,15.35,45.95k,-1.88
20171215,15.95,16.55,16.55,15.90,63.21k,-0.93
20171214,16.10,16.65,16.65,15.90,72.80k,-2.13
20171213,16.45,16.05,16.65,15.90,16.24k,0.00
20171212,16.45,16.60,16.70,16.00,20.93k,-0.90
20171211,16.60,16.25,16.70,16.20,18.50k,2.15
20171207,16.25,16.25,16.25,15.65,44.25k,0.00
20171206,16.25,16.40,16.70,16.10,24.37k,-0.91
20171205,16.40,16.95,17.00,15.90,48.34k,-2.67
20171204,16.85,17.45,17.60,16.65,39.72k,-3.44
20171201,17.45,16.80,17.45,16.05,31.35k,3.87
20171130,16.80,17.40,17.40,16.60,54.10k,-3.45
20171129,17.40,17.70,17.70,17.00,79.89k,-1.42
20171128,17.65,18.00,18.30,17.40,60.45k,-1.67
20171127,17.95,18.40,19.00,17.90,122.79k,1.99
20171124,17.60,17.70,17.70,17.00,83.46k,-0.56
20171123,17.70,17.80,18.10,17.50,126.51k,-1.39
20171122,17.95,18.80,19.20,17.40,431.30k,-0.83
20171121,18.10,15.80,18.15,15.80,552.90k,14.92
20171117,15.75,15.40,15.80,14.85,70.49k,2.27
20171116,15.40,15.50,15.50,14.85,47.19k,0.65
20171115,15.30,14.65,15.30,14.00,40.38k,3.38
20171114,14.80,15.10,15.10,14.65,46.43k,-3.58
20171113,15.35,15.50,15.50,14.90,20.69k,-2.85
20171110,15.80,15.45,15.80,15.00,29.06k,1.94
20171109,15.50,16.00,16.00,15.50,56.89k,-0.96
20171108,15.65,16.30,16.30,15.60,35.56k,-1.57
20171107,15.90,15.75,16.35,15.45,49.08k,1.27
