fecha,ultima,apertura,maximo,minimo,vol,varianza
20180125,6370.75,6370.75,6370.75,6370.75,0.00k,0.00
20180123,6370.75,6370.75,6370.75,6370.75,0.12k,4.78
20180110,6080.00,6080.00,6080.00,6080.00,0.30k,-0.33
20180105,6100.00,6099.95,6100.00,6099.95,0.01k,7.58
20171221,5670.30,5670.30,5670.30,5670.30,0.06k,0.33
20171220,5651.90,5651.90,5651.90,5651.90,0.24k,0.13
20171219,5644.60,5642.70,5644.60,5642.70,0.39k,2.63
20171215,5500.00,5500.00,5500.00,5500.00,0.00k,0.02
20171214,5498.80,5498.80,5498.80,5498.80,1.97k,1.60
20171212,5412.00,5412.00,5412.00,5412.00,0.23k,-0.26
20171204,5426.00,5426.00,5426.00,5426.00,0.06k,-2.32
20171130,5554.90,5554.90,5554.90,5554.90,0.31k,-0.18
20171129,5565.00,5565.00,5565.00,5565.00,0.09k,1.11
20171128,5503.80,5500.00,5503.80,5500.00,0.24k,0.57
20171127,5472.85,5472.85,5472.85,5472.85,0.15k,1.63
20171122,5385.00,5385.00,5385.00,5385.00,0.08k,-1.46
20171114,5464.80,5464.80,5464.80,5464.80,0.22k,0.31
20171110,5447.70,5447.70,5447.70,5447.70,0.10k,-4.43
20171109,5700.00,5700.00,5700.00,5700.00,0.00k,3.44
20171107,5510.20,5510.20,5510.20,5510.20,0.38k,-3.67
20171103,5720.00,5720.00,5720.00,5720.00,0.00k,4.96
20171031,5449.50,5340.00,5449.50,5340.00,0.15k,-0.01
20171030,5450.30,5450.30,5450.30,5450.30,0.23k,20.81
20171025,4511.50,4511.50,4511.50,4511.50,-,-20.15
20171024,5650.00,5650.00,5650.00,5650.00,0.00k,0.00
20171023,5650.00,5650.00,5650.00,5650.00,0.00k,3.67
20171020,5450.00,5450.00,5450.00,5450.00,0.01k,-0.43
20171018,5473.50,5473.50,5473.50,5473.50,0.06k,-0.72
20171017,5513.30,5513.30,5513.30,5513.30,0.16k,-1.10
20171012,5574.70,5574.70,5574.70,5574.70,0.08k,0.45
20171010,5550.00,5580.00,5580.00,5550.00,0.02k,0.40
20171006,5527.90,5527.90,5527.90,5527.90,0.25k,4.30
20170928,5300.00,5440.00,5440.00,5300.00,0.08k,-2.55
20170926,5438.70,5438.70,5438.70,5438.70,0.08k,3.08
20170920,5276.40,5276.40,5276.40,5276.40,0.10k,1.94
20170918,5175.75,5200.00,5200.00,5175.75,0.17k,-0.05
20170912,5178.40,5211.70,5211.70,5178.40,0.25k,1.34
20170911,5110.00,5110.00,5110.00,5110.00,0.08k,-1.77
20170907,5202.20,5202.20,5202.20,5202.20,0.15k,-0.40
20170901,5223.30,5223.30,5223.30,5223.30,0.28k,-0.32
20170830,5240.00,5240.00,5240.00,5240.00,0.08k,0.31
20170823,5223.80,5223.80,5223.80,5223.80,0.18k,0.39
20170815,5203.50,5126.00,5228.50,5000.00,0.51k,-1.97
20170808,5308.00,5422.55,5422.55,5308.00,0.12k,1.05
20170807,5253.00,5253.00,5253.00,5253.00,0.09k,1.84
20170801,5157.90,5157.90,5157.90,5157.90,0.17k,-0.18
20170728,5167.00,5167.00,5167.00,5167.00,0.09k,4.83
20170726,4929.15,4929.15,4929.15,4929.15,0.09k,-1.71
20170721,5014.80,5014.80,5014.80,5014.80,0.07k,2.59
20170720,4888.00,4888.00,4888.00,4888.00,0.09k,-0.24
20170719,4900.00,4900.00,4900.00,4900.00,0.01k,0.75
20170717,4863.30,4863.30,4863.30,4863.30,0.17k,3.91
20170712,4680.50,4680.50,4680.50,4680.50,0.17k,-3.58
20170710,4854.40,4854.40,4854.40,4854.40,0.09k,0.82
20170705,4815.00,4795.20,4815.00,4795.20,0.53k,4.12
20170703,4624.50,4500.00,4624.50,4500.00,0.34k,2.09
20170626,4530.00,4540.00,4540.00,4530.00,0.01k,-0.19
20170623,4538.50,4538.50,4538.50,4538.50,0.18k,-1.17
20170621,4592.10,4592.10,4592.10,4592.10,0.17k,5.44
20170615,4355.00,4355.00,4355.00,4355.00,0.27k,1.07
20170614,4309.00,4309.00,4309.00,4309.00,0.63k,-2.29
20170609,4410.00,4410.00,4410.00,4410.00,0.18k,-0.53
20170608,4433.50,4433.50,4433.50,4433.50,0.14k,2.15
20170607,4340.00,4500.00,4500.00,4340.00,0.20k,-3.59
20170530,4501.50,4190.00,4501.50,4190.00,0.11k,6.54
20170516,4225.00,4225.00,4225.00,4225.00,0.30k,2.05
20170510,4140.00,4140.00,4140.00,4140.00,0.36k,1.47
20170508,4080.00,4080.00,4080.00,4080.00,0.74k,-1.44
20170504,4139.70,4139.70,4139.70,4139.70,0.13k,0.66
20170502,4112.50,4112.50,4112.50,4112.50,0.30k,1.79
20170426,4040.00,4040.00,4040.00,4040.00,0.37k,-2.92
20170425,4161.40,4300.00,4300.00,4161.40,0.19k,-0.33
20170421,4175.00,4120.00,4175.00,4120.00,0.31k,1.87
20170417,4098.25,4098.25,4098.25,4098.25,0.19k,0.94
20170405,4060.00,4060.00,4060.00,4060.00,0.19k,-1.44
20170331,4119.40,4119.40,4119.40,4119.40,0.13k,1.97
20170328,4040.00,4040.00,4040.00,4040.00,0.19k,-2.91
20170327,4161.00,4190.00,4190.00,4161.00,0.32k,-1.13
20170321,4208.40,4208.40,4208.40,4208.40,1.06k,1.34
20170316,4152.75,4152.75,4152.75,4152.75,0.11k,1.29
20170315,4100.00,4100.00,4100.00,4100.00,0.00k,1.23
20170310,4050.00,4185.00,4185.00,4050.00,0.19k,-2.71
20170307,4162.90,4050.00,4162.90,4050.00,0.31k,-0.88
20170303,4200.00,4200.00,4200.00,4200.00,0.02k,2.10
20170302,4113.70,4113.70,4113.70,4113.70,0.48k,-0.32
20170222,4126.90,4126.90,4126.90,4126.90,0.15k,2.90
20170207,4010.70,4010.70,4010.70,4010.70,0.37k,1.32
20170201,3958.50,3930.00,3958.50,3930.00,0.46k,0.47
20170118,3940.00,3940.00,3940.00,3940.00,0.06k,-2.05
20170117,4022.30,4022.30,4022.30,4022.30,0.16k,0.72
20170112,3993.70,3993.70,3993.70,3993.70,0.15k,-1.73
20170105,4064.20,4064.20,4064.20,4064.20,0.43k,3.15
20170104,3940.00,3940.00,3940.00,3940.00,0.79k,-1.57
20161221,4002.85,4002.85,4002.85,4002.85,0.28k,1.08
20161214,3960.00,3960.00,3960.00,3960.00,0.03k,-0.01
20161212,3960.55,3960.55,3960.55,3960.55,0.30k,-6.15
20161206,4220.00,4220.00,4220.00,4220.00,0.06k,0.17
20161201,4213.00,4255.00,4255.00,4213.00,0.16k,0.02
20161130,4212.25,4212.25,4212.25,4212.25,0.11k,2.22
20161125,4120.80,4120.80,4120.80,4120.80,0.30k,3.02
20161122,4000.00,4000.00,4000.00,4000.00,0.57k,-3.38
20161117,4140.00,4140.00,4140.00,4140.00,0.06k,1.57
20161116,4076.00,4076.00,4076.00,4076.00,0.49k,-1.01
20161114,4117.70,4000.00,4117.70,3950.00,0.49k,6.13
20161111,3880.00,3800.00,3880.00,3800.00,0.03k,2.11
20161110,3800.00,3800.00,3800.00,3800.00,0.01k,3.43
20161101,3674.00,3674.00,3674.00,3674.00,0.31k,-3.57
20161026,3810.00,3795.70,3810.00,3795.70,0.22k,5.83
20161025,3600.00,3600.00,3600.00,3600.00,0.01k,3.45
20161021,3480.00,3480.00,3480.00,3480.00,0.05k,1.46
20161020,3430.00,3520.00,3520.00,3430.00,0.86k,-2.56
20161019,3520.00,3520.00,3520.00,3520.00,0.05k,2.18
20161012,3445.00,3445.00,3445.00,3445.00,0.43k,-2.67
20161007,3539.55,3539.55,3539.55,3539.55,0.39k,-2.42
20161003,3627.50,3627.50,3627.50,3627.50,0.08k,-3.32
20160928,3752.20,3752.20,3752.20,3752.20,0.29k,4.23
20160927,3600.00,3600.00,3600.00,3600.00,0.00k,1.54
20160913,3545.40,3545.40,3545.40,3545.40,0.13k,1.30
20160912,3500.00,3500.00,3500.00,3500.00,0.08k,-1.13
20160908,3540.00,3603.00,3603.00,3540.00,0.50k,-1.67
20160907,3600.00,3600.00,3600.00,3600.00,0.00k,-0.48
20160906,3617.50,3619.70,3619.70,3617.50,0.39k,0.26
20160826,3608.00,3608.00,3608.00,3608.00,0.40k,-2.49
20160801,3700.00,3700.00,3700.00,3700.00,-,-1.33
20160726,3750.00,3750.00,3750.00,3750.00,0.06k,-0.53
20160707,3770.00,3770.00,3770.00,3770.00,0.00k,0.18
20160706,3763.20,3763.20,3763.20,3763.20,2.00k,-1.36
20160705,3815.10,3815.10,3815.10,3815.10,1.20k,6.63
20160628,3578.00,3578.00,3578.00,3578.00,0.20k,8.42
20160623,3300.00,3300.00,3300.00,3300.00,0.42k,-1.72
20160622,3357.60,3331.15,3389.00,3331.15,0.11k,0.79
20160621,3331.15,3331.15,3331.15,3331.15,0.42k,0.47
20160615,3315.45,3315.45,3315.45,3315.45,0.42k,-0.17
20160614,3320.95,3320.95,3320.95,3320.95,0.45k,0.63
20160613,3300.00,3300.00,3300.00,3300.00,0.01k,-0.69
20160610,3323.05,3323.05,3323.05,3323.05,0.98k,0.66
20160606,3301.35,3301.35,3301.35,3301.35,0.48k,0.03
20160602,3300.50,3300.50,3300.50,3300.50,0.14k,2.02
20160601,3235.00,3195.00,3235.00,3195.00,0.43k,-2.18
20160531,3307.25,3324.00,3324.00,3307.25,0.42k,-1.35
20160526,3352.65,3348.18,3361.84,3348.18,0.63k,0.17
20160524,3346.94,3346.94,3346.94,3346.94,0.08k,0.60
20160523,3327.08,3327.08,3327.08,3327.08,0.08k,-2.03
20160516,3396.10,3396.10,3396.10,3396.10,0.12k,0.03
20160512,3395.00,3395.00,3395.00,3395.00,0.01k,-0.04
20160511,3396.25,3409.70,3409.70,3396.25,0.20k,-0.14
