fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,92.750,96.650,96.650,91.050,98.90k,-1.64
20180126,94.300,95.300,96.200,93.800,130.96k,-0.05
20180125,94.350,94.000,94.700,91.800,118.59k,0.37
20180124,94.000,95.000,97.500,93.350,144.86k,-0.63
20180123,94.600,95.150,96.500,93.250,255.05k,-0.42
20180122,95.000,95.000,95.500,92.150,89.34k,0.53
20180119,94.500,93.750,95.000,91.600,198.96k,0.91
20180118,93.650,95.000,95.000,92.500,119.04k,0.70
20180117,93.000,95.000,95.000,92.300,247.19k,-2.11
20180116,95.000,99.400,99.400,94.100,371.56k,-3.31
20180115,98.250,95.200,102.000,95.000,165.55k,3.42
20180112,95.000,91.900,95.000,91.900,245.33k,4.86
20180111,90.600,91.450,92.000,89.000,130.03k,0.11
20180110,90.500,88.050,91.000,88.000,66.57k,1.40
20180109,89.250,90.500,92.000,88.800,158.87k,-1.38
20180108,90.500,92.050,93.000,87.000,160.11k,-1.63
20180105,92.000,93.000,94.700,91.000,281.53k,-0.11
20180104,92.100,90.000,94.500,90.000,336.99k,3.48
20180103,89.000,89.100,92.000,88.000,195.27k,0.68
20180102,88.400,86.000,90.500,85.500,119.78k,3.51
20171229,85.400,85.300,87.000,84.000,29.39k,0.59
20171228,84.900,83.300,86.900,83.300,69.61k,2.04
20171227,83.200,81.900,84.000,81.400,90.40k,1.59
20171226,81.900,80.100,82.300,80.100,122.30k,2.25
20171222,80.100,79.500,81.000,79.400,81.04k,0.63
20171221,79.600,79.000,80.200,79.000,103.08k,-0.19
20171220,79.750,81.000,81.000,78.500,67.99k,-1.54
20171219,81.000,76.800,81.000,76.000,256.60k,7.14
20171218,75.600,76.000,76.800,74.950,45.34k,0.40
20171215,75.300,76.500,76.500,75.000,79.52k,-0.66
20171214,75.800,76.000,77.000,73.500,85.02k,0.93
20171213,75.100,77.000,78.000,75.000,67.34k,-1.51
20171212,76.250,76.400,76.700,75.000,61.39k,0.33
20171211,76.000,76.000,76.950,74.900,101.91k,1.33
20171207,75.000,74.000,75.800,73.800,67.96k,1.35
20171206,74.000,74.200,74.700,72.750,49.28k,0.00
20171205,74.000,76.950,76.950,73.000,128.12k,-1.60
20171204,75.200,76.000,77.900,74.000,83.81k,-0.92
20171201,75.900,77.900,78.000,75.900,62.30k,-2.57
20171130,77.900,77.000,80.000,76.100,117.10k,0.00
20171129,77.900,80.000,80.000,75.100,87.24k,-2.26
20171128,79.700,80.400,81.000,79.600,248.94k,-0.87
20171127,80.400,84.000,84.000,79.000,93.67k,-3.02
20171124,82.900,83.000,83.000,81.500,143.26k,-0.36
20171123,83.200,84.750,84.950,82.600,185.42k,0.73
20171122,82.600,80.000,82.900,80.000,311.96k,4.16
20171121,79.300,77.900,79.850,77.900,304.98k,2.99
20171117,77.000,76.500,77.250,76.500,162.04k,0.46
20171116,76.650,74.200,76.900,74.200,244.69k,3.37
20171115,74.150,73.000,74.500,72.000,403.62k,1.58
20171114,73.000,74.350,74.350,72.500,222.65k,-1.68
20171113,74.250,75.000,75.000,73.800,206.10k,0.20
20171110,74.100,75.500,77.300,74.000,384.20k,-1.85
20171109,75.500,77.200,77.700,75.000,373.75k,-1.31
20171108,76.500,75.100,76.500,74.650,389.26k,2.14
20171107,74.900,76.000,77.400,74.850,530.99k,-1.12
20171103,75.750,77.000,77.500,75.000,814.18k,0.26
