fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6.100,6.340,6.340,6.070,10.93k,-2.09
20180126,6.230,6.340,6.340,6.230,3.77k,-1.74
20180125,6.340,6.400,6.400,6.300,26.69k,0.16
20180124,6.330,6.300,6.370,6.250,42.62k,0.96
20180123,6.270,6.150,6.280,6.100,50.23k,2.79
20180122,6.100,6.300,6.400,6.060,24.85k,0.49
20180119,6.070,6.190,6.190,6.070,45.54k,-1.94
20180118,6.190,6.000,6.400,6.000,110.98k,1.48
20180117,6.100,6.170,6.170,6.080,36.24k,-1.13
20180116,6.170,6.200,6.200,6.000,88.88k,-1.75
20180115,6.280,6.200,6.500,6.200,41.75k,0.48
20180112,6.250,6.340,6.340,6.150,43.10k,-1.42
20180111,6.340,6.020,6.350,6.020,21.65k,2.26
20180110,6.200,6.350,6.350,6.110,21.89k,-2.67
20180109,6.370,6.400,6.400,6.100,32.34k,-0.31
20180108,6.390,6.200,6.390,6.200,15.52k,-0.16
20180105,6.400,6.500,6.500,6.350,34.30k,-1.54
20180104,6.500,6.490,6.500,6.360,77.23k,1.56
20180103,6.400,6.400,6.460,6.300,38.68k,-0.78
20180102,6.450,6.150,6.450,6.010,84.37k,4.20
20171229,6.190,6.100,6.190,6.030,24.06k,1.14
20171228,6.120,6.020,6.180,6.000,28.57k,-0.97
20171227,6.180,6.160,6.250,6.040,28.96k,-1.59
20171226,6.280,6.250,6.300,6.220,58.64k,1.62
20171222,6.180,6.090,6.250,6.000,175.14k,3.17
20171221,5.990,5.900,5.990,5.760,70.02k,1.53
20171220,5.900,6.000,6.000,5.800,45.86k,1.72
20171219,5.800,5.900,5.900,5.710,11.84k,-1.69
20171218,5.900,5.800,5.900,5.760,20.18k,0.00
20171215,5.900,5.900,5.900,5.760,19.76k,-1.67
20171214,6.000,5.850,6.000,5.680,23.13k,3.09
20171213,5.820,6.100,6.100,5.820,37.47k,-3.00
20171212,6.000,6.100,6.200,6.000,63.73k,-1.64
20171211,6.100,6.230,6.250,6.100,69.61k,-2.09
20171207,6.230,6.250,6.250,6.050,21.09k,-1.11
20171206,6.300,6.300,6.300,6.250,28.30k,0.00
20171205,6.300,6.210,6.300,6.000,42.71k,0.00
20171204,6.300,6.450,6.450,6.290,41.46k,-1.72
20171201,6.410,6.790,6.790,6.410,8.05k,-5.04
20171130,6.750,6.600,6.750,6.550,44.91k,3.85
20171129,6.500,6.410,6.500,6.400,81.02k,0.00
20171128,6.500,6.600,6.600,6.500,42.78k,-1.66
20171127,6.610,6.900,6.900,6.600,14.70k,-3.36
20171124,6.840,6.700,6.840,6.500,21.50k,1.33
20171123,6.750,6.600,6.750,6.600,28.90k,-2.03
20171122,6.890,6.550,6.900,6.550,80.99k,2.07
20171121,6.750,6.670,6.750,6.400,34.39k,1.20
20171117,6.670,6.600,6.670,6.150,87.18k,2.62
20171116,6.500,6.500,6.550,6.350,19.14k,0.00
20171115,6.500,6.500,6.600,6.400,103.18k,-1.52
20171114,6.600,6.800,6.800,6.500,17.32k,-4.35
20171113,6.900,7.090,7.090,6.800,52.30k,-5.48
20171110,7.300,7.700,8.250,7.300,18.55k,-3.95
20171109,7.600,7.590,7.600,7.500,17.18k,1.06
20171108,7.520,7.450,7.650,7.400,22.34k,-2.21
20171107,7.690,7.300,7.700,7.300,53.12k,1.18
20171103,7.600,7.750,7.750,7.380,35.02k,0.26
20171102,7.580,7.450,7.580,7.350,46.41k,2.43
20171101,7.400,7.250,7.400,7.110,49.18k,1.37
20171031,7.300,7.150,7.340,7.000,15.23k,1.67
20171030,7.180,7.000,7.180,7.000,10.69k,-1.64
20171027,7.300,7.020,7.300,7.000,43.54k,0.00
20171026,7.300,7.060,7.300,7.060,50.76k,3.40
20171025,7.060,7.200,7.200,6.950,80.87k,-1.94
20171024,7.200,7.350,7.350,7.100,25.26k,0.00
20171023,7.200,7.200,7.250,7.150,90.93k,2.86
20171020,7.000,7.250,7.250,6.960,45.06k,-2.78
20171019,7.200,7.000,7.200,6.900,49.26k,4.35
20171018,6.900,7.000,7.000,6.800,38.90k,-1.85
20171017,7.030,7.280,7.280,7.030,23.83k,-4.35
20171013,7.350,7.440,7.440,7.250,90.63k,0.00
20171012,7.350,7.300,7.500,7.250,54.82k,0.00
20171011,7.350,7.590,7.700,7.100,327.83k,-0.54
20171010,7.390,7.050,7.650,7.000,195.68k,5.57
20171009,7.000,6.950,7.130,6.840,97.18k,1.45
20171006,6.900,6.900,6.970,6.900,65.17k,0.00
20171005,6.900,6.900,7.000,6.800,53.41k,1.47
20171004,6.800,6.930,6.950,6.700,18.38k,-1.88
20171003,6.930,7.100,7.100,6.800,57.28k,-1.00
20171002,7.000,7.040,7.050,6.700,67.67k,0.00
20170929,7.000,7.230,7.230,6.850,202.54k,0.14
20170928,6.990,6.550,6.990,6.500,251.50k,7.70
20170927,6.490,6.500,6.500,6.250,77.76k,2.20
