fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,209.00,210.90,210.90,205.15,150.56k,-2.79
20180126,215.00,214.00,215.95,212.00,112.66k,0.70
20180125,213.50,216.25,216.25,211.00,165.04k,-1.16
20180124,216.00,213.70,219.95,210.25,232.50k,1.36
20180123,213.10,219.95,220.00,213.00,303.60k,-3.14
20180122,220.00,217.45,220.00,216.50,71.66k,1.15
20180119,217.50,221.60,223.00,216.50,200.56k,-1.76
20180118,221.40,221.00,225.00,220.30,269.68k,0.43
20180117,220.45,220.00,222.00,219.00,166.56k,0.34
20180116,219.70,216.50,220.00,216.50,158.32k,1.24
20180115,217.00,216.55,217.00,208.00,138.39k,0.00
20180112,217.00,213.80,217.00,211.00,101.20k,1.50
20180111,213.80,206.00,214.00,205.75,78.29k,2.74
20180110,208.10,212.80,212.80,206.00,134.15k,-3.39
20180109,215.40,217.85,218.00,214.00,42.77k,-1.19
20180108,218.00,220.00,220.00,214.05,144.30k,-0.77
20180105,219.70,218.45,223.50,216.95,244.77k,0.41
20180104,218.80,218.90,219.00,215.00,178.11k,0.83
20180103,217.00,216.60,219.00,213.00,109.52k,0.37
20180102,216.20,217.00,219.85,216.05,124.66k,0.09
20171229,216.00,218.00,219.50,215.00,82.87k,-1.37
20171228,219.00,214.65,222.00,214.65,85.34k,2.00
20171227,214.70,213.75,217.00,213.75,88.92k,0.40
20171226,213.85,210.50,215.00,209.00,171.56k,1.14
20171222,211.45,210.00,212.00,209.00,93.41k,0.81
20171221,209.75,207.15,210.00,206.50,62.02k,0.84
20171220,208.00,206.00,209.90,205.50,108.66k,0.00
20171219,208.00,204.00,209.45,203.00,182.24k,1.96
20171218,204.00,201.00,205.00,201.00,145.81k,1.24
20171215,201.50,202.60,205.00,200.10,76.75k,-0.59
20171214,202.70,204.90,205.50,201.00,81.21k,-1.60
20171213,206.00,209.00,210.25,201.00,200.64k,-1.44
20171212,209.00,207.00,210.50,206.00,206.67k,1.01
20171211,206.90,200.20,208.00,200.20,199.77k,3.97
20171207,199.00,196.00,199.50,193.55,215.65k,1.48
20171206,196.10,182.90,196.10,182.70,389.02k,7.25
20171205,182.85,181.00,183.90,180.60,189.98k,1.19
20171204,180.70,177.00,181.60,177.00,118.75k,2.18
20171201,176.85,178.30,179.60,175.10,53.45k,-0.65
20171130,178.00,179.95,181.00,175.50,81.78k,-1.08
20171129,179.95,179.50,183.00,179.00,77.73k,0.11
20171128,179.75,184.00,184.70,177.80,147.98k,-1.94
20171127,183.30,182.05,186.60,181.00,149.96k,0.47
20171124,182.45,180.00,183.50,172.00,388.46k,1.08
20171123,180.50,175.25,181.50,174.00,131.42k,3.74
20171122,174.00,171.95,177.10,170.00,579.89k,0.06
20171121,173.90,176.40,179.00,171.00,668.93k,-4.71
20171117,182.50,191.00,193.85,176.25,524.40k,-3.54
20171116,189.20,184.00,192.40,182.00,807.23k,6.29
20171115,178.00,172.50,179.50,162.50,1.68,2.48
20171114,173.70,200.90,200.90,172.50,976.49k,-13.58
20171113,201.00,209.50,210.00,200.00,74.06k,-2.43
20171110,206.00,210.00,212.45,203.50,57.29k,-3.06
20171109,212.50,214.10,218.00,211.05,116.41k,-0.07
20171108,212.65,212.50,216.25,212.40,158.13k,-0.16
20171107,213.00,216.00,218.00,210.05,183.26k,1.77
20171103,209.30,209.80,211.95,206.00,148.06k,-0.24
20171102,209.80,216.00,216.00,205.00,178.65k,-1.57
20171101,213.15,223.40,224.85,212.00,87.38k,-4.59
20171031,223.40,220.00,224.00,219.05,109.23k,-0.71
20171030,225.00,230.00,230.00,224.50,119.92k,-2.98
20171027,231.90,234.20,237.90,230.10,152.79k,-2.52
20171026,237.90,235.00,238.10,234.30,64.26k,1.67
20171025,234.00,234.50,235.00,230.60,101.95k,-0.21
20171024,234.50,234.90,237.60,230.20,194.65k,-0.21
20171023,235.00,222.15,235.00,222.15,182.98k,7.80
20171020,218.00,216.75,218.00,216.50,258.01k,0.69
20171019,216.50,215.50,217.00,213.00,119.61k,0.23
20171018,216.00,217.50,218.00,215.00,283.46k,-0.92
20171017,218.00,219.00,220.00,215.00,240.88k,-0.68
20171013,219.50,214.00,220.00,214.00,89.09k,1.39
20171012,216.50,213.40,216.50,213.00,128.27k,1.45
20171011,213.40,214.50,218.00,213.00,89.80k,-0.28
20171010,214.00,208.05,216.85,208.05,89.07k,1.78
20171009,210.25,214.15,214.15,206.00,73.36k,-1.82
20171006,214.15,213.50,215.00,213.00,117.62k,0.21
20171005,213.70,213.75,214.80,209.50,116.07k,-0.02
20171004,213.75,214.70,215.00,208.00,149.70k,-0.58
20171003,215.00,209.00,215.00,209.00,76.30k,2.87
20171002,209.00,203.25,209.00,203.25,108.83k,2.80
20170929,203.30,198.45,204.00,197.45,97.12k,2.73
20170928,197.90,192.90,202.00,192.90,129.92k,2.70
20170927,192.70,199.00,199.00,191.00,32.12k,-1.43
20170926,195.50,193.30,196.35,193.10,107.36k,1.30
20170925,193.00,196.00,196.70,190.10,119.87k,-1.98
20170922,196.90,189.05,197.25,189.00,175.58k,5.29
20170921,187.00,183.00,187.00,183.00,98.09k,3.03
