fecha,ultima,apertura,maximo,minimo,vol,varianza
20171206,749.00,749.00,749.00,749.00,0.18k,0.00
20171201,749.00,749.00,749.00,749.00,0.11k,5.26
20171018,711.60,700.00,711.60,700.00,0.28k,0.00
20171011,711.60,711.60,711.60,711.60,6.00k,7.82
20171005,660.00,660.00,660.00,660.00,0.03k,-0.04
20170929,660.25,660.25,660.25,660.25,0.01k,0.00
20170918,660.25,660.25,660.25,660.25,0.02k,-5.00
20170908,695.00,695.00,695.00,695.00,0.03k,-0.29
20170829,697.00,698.00,698.00,697.00,0.12k,0.29
20170811,695.00,700.35,700.35,695.00,0.40k,-0.71
20170731,700.00,720.00,720.00,700.00,0.04k,0.63
20170725,695.60,590.00,695.60,590.00,0.05k,17.90
20170712,590.00,590.00,590.00,590.00,0.00k,0.00
20170613,590.00,590.00,590.00,590.00,0.02k,-0.96
20170612,595.70,595.70,595.70,595.70,1.00k,-0.29
20170522,597.45,597.45,597.45,597.45,6.00k,9.62
20170505,545.00,545.00,545.00,545.00,0.00k,-0.91
20170427,550.00,550.00,550.00,550.00,0.02k,6.18
20170425,518.00,520.00,520.00,518.00,0.05k,-0.15
20170406,518.80,518.90,518.90,518.80,0.05k,2.90
20170328,504.20,505.30,505.30,504.20,1.06k,-0.39
20170327,506.15,506.15,506.15,506.15,0.06k,1.82
20170313,497.10,494.10,497.10,494.10,1.02k,-0.74
20170301,500.80,500.80,500.80,500.80,0.03k,2.69
20170217,487.70,487.70,487.70,487.70,0.56k,-0.06
20170215,488.00,488.25,488.25,488.00,0.07k,-0.05
20170202,488.25,488.25,488.25,488.25,5.00k,0.62
20170124,485.25,485.25,485.25,485.25,7.00k,-1.49
20161221,492.60,492.60,492.60,492.60,1.00k,0.92
20161214,488.10,450.00,488.10,450.00,1.02k,4.97
20161213,465.00,465.00,465.00,465.00,0.00k,0.00
20161205,465.00,465.00,465.00,465.00,0.08k,6.84
20161110,435.25,435.25,435.25,435.25,5.00k,1.29
20161021,429.70,429.70,429.70,429.70,7.04k,-4.08
20160909,448.00,448.00,448.00,448.00,0.02k,2.28
20160819,438.00,438.00,438.00,438.00,0.02k,0.36
20160817,436.45,442.00,442.00,436.45,1.08k,-0.35
20160816,438.00,438.00,438.00,438.00,0.02k,-0.90
20160808,442.00,442.00,442.00,442.00,2.72k,-3.91
20160804,460.00,460.00,460.00,460.00,0.01k,1.77
20160729,452.00,452.00,452.00,452.00,0.02k,0.00
20160727,452.00,451.95,452.00,451.95,0.04k,-6.84
20160719,485.20,485.20,485.20,485.20,12.80k,6.87
20160706,454.00,439.00,454.00,439.00,6.06k,3.18
20160701,440.00,440.00,440.00,440.00,0.08k,-1.53
20160516,446.86,446.86,446.86,446.86,4.00k,-2.62
20160512,458.87,458.87,458.87,458.87,5.96k,-0.77
20160426,462.45,462.45,462.45,462.45,3.92k,1.41
20160407,456.00,456.00,456.00,456.00,0.03k,0.48
20160304,453.80,457.00,457.00,453.80,4.09k,-0.87
20160303,457.80,457.80,457.80,457.80,2.16k,-2.82
20160302,471.10,471.10,471.10,471.10,5.40k,4.06
