fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,47.500,46.750,47.500,46.750,3.93k,2.15
20180125,46.500,47.900,47.900,46.500,0.03k,-1.06
20180124,47.000,47.000,47.000,47.000,1.00k,0.00
20180123,47.000,47.200,48.950,46.300,5.85k,0.11
20180122,46.950,46.950,46.950,46.950,0.04k,-0.11
20180117,47.000,47.000,47.000,47.000,0.01k,0.21
20180115,46.900,44.000,46.900,44.000,0.92k,8.06
20180112,43.400,39.500,43.400,39.500,0.19k,9.87
20180109,39.500,39.000,39.500,39.000,1.80k,0.00
20180108,39.500,40.000,40.000,39.000,5.82k,-1.25
20180105,40.000,40.000,40.000,40.000,0.05k,-3.85
20180104,41.600,41.500,41.600,41.500,1.00k,0.24
20180103,41.500,41.500,41.500,41.500,0.00k,1.47
20180102,40.900,39.950,41.000,39.900,6.54k,2.38
20171229,39.950,39.000,40.000,39.000,1.01k,0.50
20171228,39.750,39.000,39.800,38.500,5.45k,1.92
20171227,39.000,38.950,39.000,38.950,5.00k,0.00
20171226,39.000,37.000,39.000,37.000,5.94k,2.90
20171222,37.900,37.900,37.900,37.700,10.54k,0.53
20171221,37.700,36.500,37.700,36.500,1.31k,2.59
20171220,36.750,36.400,38.500,36.400,1.25k,0.00
20171219,36.750,36.750,36.750,36.000,7.82k,-0.68
20171218,37.000,37.500,37.500,37.000,3.14k,-2.63
20171215,38.000,38.000,38.000,37.500,1.31k,0.00
20171213,38.000,39.000,39.000,38.000,5.25k,-4.76
20171212,39.900,39.900,39.900,39.900,5.00k,-0.25
20171211,40.000,37.500,40.450,37.500,1.64k,2.56
20171207,39.000,39.000,39.000,39.000,15.24k,-2.38
20171206,39.950,40.950,40.950,38.500,13.43k,-2.44
20171205,40.950,39.000,42.000,39.000,13.78k,5.00
20171204,39.000,35.000,39.500,35.000,23.94k,11.43
20171201,35.000,34.750,36.000,34.750,7.88k,0.72
20171130,34.750,31.000,39.000,31.000,46.34k,16.22
20171129,29.900,27.250,30.300,27.250,8.85k,9.72
20171128,27.250,27.500,27.500,27.250,5.42k,0.93
20171127,27.000,27.000,27.000,27.000,9.93k,3.85
20171124,26.000,24.500,26.000,23.000,388.13k,9.24
20171123,23.800,23.500,23.950,23.500,1.35k,1.28
20171122,23.500,23.450,23.500,23.450,2.56k,4.44
20171121,22.500,23.000,25.000,22.500,81.88k,2.27
20171117,22.000,22.000,22.000,21.950,424.40k,0.00
20171116,22.000,22.000,22.000,22.000,115.90k,0.00
20171115,22.000,22.000,22.000,22.000,20.00k,0.00
20171114,22.000,22.000,22.000,22.000,20.00k,0.00
20171113,22.000,22.000,22.000,22.000,15.00k,0.00
20171110,22.000,22.000,22.000,22.000,15.00k,0.00
20171109,22.000,22.050,22.050,22.000,16.00k,0.00
20171108,22.000,22.050,22.050,22.000,11.00k,0.00
20171107,22.000,22.000,22.000,22.000,1.00k,-4.35
20171103,23.000,23.000,23.000,23.000,10.00k,0.00
20171102,23.000,23.000,23.000,23.000,13.20k,0.00
20171101,23.000,23.000,23.000,23.000,10.25k,-4.17
20171031,24.000,24.000,24.000,24.000,0.50k,-5.88
20171030,25.500,25.500,25.500,25.500,0.10k,-1.92
20171026,26.000,24.000,26.000,24.000,0.50k,0.00
20171023,26.000,26.000,26.000,26.000,0.29k,0.00
20171019,26.000,26.000,26.000,26.000,0.90k,4.00
20171017,25.000,25.000,25.000,25.000,0.10k,6.38
20171012,23.500,23.500,23.500,23.500,0.14k,2.17
20171011,23.000,23.000,23.000,23.000,0.45k,-4.17
20171009,24.000,24.000,24.000,24.000,0.60k,4.35
20171005,23.000,22.000,23.000,22.000,0.08k,4.55
20171004,22.000,22.000,22.000,22.000,0.07k,-4.35
20170929,23.000,24.000,24.000,23.000,1.13k,-5.15
20170926,24.250,24.250,24.250,24.250,1.00k,1.04
20170919,24.000,24.000,24.000,24.000,0.10k,4.35
20170915,23.000,23.000,23.000,23.000,0.09k,0.00
20170912,23.000,24.200,24.200,23.000,3.00k,-4.17
20170911,24.000,24.000,24.000,24.000,0.50k,0.00
20170908,24.000,25.050,25.050,24.000,1.59k,-4.00
20170907,25.000,26.000,26.000,25.000,1.50k,-6.37
20170906,26.700,26.700,26.700,26.700,0.50k,-4.64
20170829,28.000,27.500,28.000,27.500,1.07k,3.70
20170828,27.000,27.000,27.000,27.000,0.12k,0.00
20170825,27.000,27.000,27.000,27.000,0.30k,0.00
20170824,27.000,27.000,27.000,27.000,0.50k,-3.57
20170823,28.000,28.000,28.000,28.000,0.07k,0.00
20170817,28.000,28.000,28.000,28.000,0.62k,-3.45
20170816,29.000,29.000,29.000,29.000,0.50k,-7.05
20170811,31.200,31.200,31.200,31.200,0.05k,4.00
20170810,30.000,30.000,30.000,30.000,0.50k,0.00
20170808,30.000,30.000,30.000,30.000,0.26k,-3.69
20170807,31.150,31.150,31.150,31.150,0.23k,0.16
20170804,31.100,30.000,31.100,30.000,0.51k,1.97
20170727,30.500,30.500,30.500,30.500,0.20k,-2.24
20170721,31.200,31.200,31.200,31.200,0.10k,4.00
20170718,30.000,28.500,30.000,28.500,1.10k,-3.69
20170711,31.150,31.150,31.150,31.150,0.10k,0.00
20170710,31.150,31.150,31.150,31.150,0.10k,0.16
20170706,31.100,31.100,31.100,31.100,0.19k,0.00
20170630,31.100,31.000,31.100,31.000,0.06k,0.32
20170628,31.000,31.000,31.000,31.000,0.05k,-0.16
20170623,31.050,31.050,31.050,31.050,0.05k,-0.48
20170621,31.200,27.000,31.200,27.000,0.20k,9.47
20170616,28.500,27.000,28.500,27.000,0.60k,9.62
20170615,26.000,25.000,26.000,25.000,0.63k,8.33
20170614,24.000,24.000,24.000,24.000,0.10k,-3.61
20170612,24.900,24.900,24.900,24.900,3.00k,-2.35
20170609,25.500,25.500,25.500,25.500,0.10k,2.00
20170607,25.000,25.000,25.000,25.000,0.20k,2.04
20170606,24.500,23.000,24.500,23.000,0.39k,6.52
20170601,23.000,23.000,23.000,23.000,-,0.00
20170530,23.000,23.000,23.000,23.000,0.35k,6.98
20170529,21.500,21.500,21.500,21.500,0.16k,0.00
20170526,21.500,18.500,21.500,18.500,1.52k,7.50
20170524,20.000,20.000,20.000,20.000,1.31k,0.00
20170522,20.000,19.000,20.000,19.000,1.79k,0.00
20170519,20.000,19.000,20.000,19.000,0.62k,5.26
20170518,19.000,20.000,22.000,19.000,4.58k,-13.64
20170517,22.000,22.000,22.000,22.000,0.50k,-8.33
20170516,24.000,24.000,24.000,24.000,0.50k,-7.69
20170510,26.000,26.000,26.000,26.000,0.28k,0.00
20170504,26.000,26.000,26.000,26.000,0.15k,1.96
20170426,25.500,25.500,25.500,25.500,0.50k,4.08
20170424,24.500,24.500,24.500,24.500,0.05k,2.08
20170421,24.000,24.000,24.000,24.000,0.24k,4.35
20170420,23.000,23.000,23.000,23.000,0.67k,0.00
20170419,23.000,23.000,23.000,23.000,0.25k,0.00
20170418,23.000,23.000,23.000,23.000,0.30k,0.00
20170412,23.000,23.000,23.000,23.000,0.28k,2.68
20170411,22.400,22.000,22.400,22.000,1.22k,-0.44
20170410,22.500,21.500,22.500,21.500,0.53k,2.27
20170407,22.000,22.000,22.000,22.000,0.15k,4.76
20170406,21.000,20.400,21.000,20.400,0.69k,5.00
20170405,20.000,20.000,20.000,20.000,0.12k,-0.50
20170404,20.100,20.100,20.100,20.100,0.40k,5.79
20170329,19.000,19.000,19.000,19.000,-,-2.56
20170327,19.500,19.500,19.500,19.500,0.79k,-2.50
20170323,20.000,20.000,20.000,20.000,0.53k,-2.44
20170321,20.500,20.500,20.500,20.500,1.00k,2.50
20170320,20.000,20.000,20.000,20.000,1.10k,0.00
20170317,20.000,20.000,20.000,20.000,1.10k,2.56
20170315,19.500,19.500,19.500,19.500,0.26k,2.63
20170314,19.000,19.000,19.000,19.000,0.30k,-2.31
20170313,19.450,19.450,19.450,19.450,0.17k,8.06
20170308,18.000,18.000,18.000,18.000,1.83k,-0.55
20170307,18.100,19.450,19.450,18.100,2.50k,-6.94
20170303,19.450,19.450,19.450,19.450,0.74k,2.37
20170224,19.000,19.000,19.000,19.000,1.15k,0.00
20170223,19.000,18.000,19.500,18.000,1.70k,5.56
20170221,18.000,18.000,18.000,18.000,0.34k,0.00
20170220,18.000,18.000,18.000,18.000,0.10k,0.00
20170216,18.000,20.000,20.000,18.000,2.98k,5.88
20170215,17.000,17.000,17.000,17.000,0.15k,-5.56
20170214,18.000,19.500,19.500,18.000,0.66k,-5.76
