fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3850.00,3838.00,3850.00,3730.00,0.19k,3.36
20180126,3725.00,3550.00,3725.00,3550.00,0.90k,6.43
20180125,3500.00,3550.00,3550.00,3500.00,1.07k,-0.14
20180124,3505.00,3515.00,3515.00,3505.00,0.03k,0.43
20180123,3490.00,3490.00,3500.00,3490.00,0.02k,2.65
20180122,3400.00,3400.00,3400.00,3400.00,0.02k,4.62
20180119,3250.00,3200.00,3300.00,3200.00,0.42k,0.00
20180118,3250.00,3245.00,3250.00,3200.00,0.02k,-1.52
20180117,3300.00,3300.00,3300.00,3220.00,0.50k,0.00
20180116,3300.00,3280.00,3300.00,3250.00,0.21k,0.30
20180115,3290.00,3150.00,3290.00,3150.00,0.03k,3.26
20180112,3186.00,3200.00,3200.00,3186.00,0.06k,-1.97
20180111,3250.00,3150.00,3250.00,3150.00,0.11k,1.88
20180110,3190.00,3170.00,3300.00,3170.00,0.04k,0.00
20180109,3190.00,3300.00,3300.00,3190.00,1.12k,-0.62
20180108,3210.00,3210.00,3210.00,3200.00,0.13k,1.90
20180105,3150.00,3000.00,3150.00,3000.00,0.14k,5.00
20180104,3000.00,3000.00,3020.00,3000.00,0.13k,0.00
20180103,3000.00,2990.00,3050.00,2990.00,0.12k,0.33
20180102,2990.00,2990.00,2990.00,2990.00,0.03k,1.15
20171229,2956.00,2956.00,2990.00,2956.00,0.03k,-1.14
20171228,2990.00,2955.00,2995.00,2955.00,0.16k,1.08
20171227,2958.00,2975.00,2995.00,2958.00,0.08k,-1.40
20171226,3000.00,2900.00,3000.00,2900.00,0.38k,4.90
20171222,2859.85,2886.00,2900.00,2859.85,0.03k,-0.87
20171221,2885.00,2830.00,2885.00,2820.00,0.07k,2.30
20171220,2820.00,2880.00,2880.00,2770.00,2.93k,-3.46
20171219,2921.00,2890.00,2930.00,2890.00,0.16k,0.72
20171218,2900.00,2801.00,2900.00,2801.00,0.72k,3.53
20171215,2801.10,2900.00,2900.00,2800.00,1.36k,0.04
20171214,2800.00,2800.00,2850.00,2760.00,0.95k,1.82
20171213,2750.00,2590.00,2750.00,2590.00,2.15k,9.56
20171212,2510.00,2499.00,2567.10,2475.00,0.85k,0.72
20171211,2492.00,2400.00,2492.00,2400.00,0.70k,5.37
20171207,2365.00,2362.50,2365.00,2362.50,0.02k,0.21
20171206,2360.00,2350.00,2360.00,2300.00,0.20k,-1.48
20171205,2395.45,2391.00,2420.00,2390.00,0.03k,0.02
20171204,2395.00,2365.00,2395.00,2365.00,0.09k,1.05
20171201,2370.00,2420.00,2420.00,2350.00,0.93k,-1.25
20171130,2400.00,2372.00,2400.00,2372.00,0.13k,2.13
20171129,2350.00,2340.00,2350.00,2330.00,0.57k,-1.26
20171128,2380.00,2320.00,2380.00,2320.00,0.08k,-0.42
20171127,2390.00,2400.00,2450.00,2320.00,0.10k,-0.42
20171124,2400.00,2310.00,2400.00,2310.00,0.21k,3.90
20171122,2310.00,2350.00,2350.00,2310.00,0.04k,-2.94
20171121,2380.00,2380.00,2380.00,2310.00,0.01k,-0.42
20171117,2390.00,2290.00,2390.00,2290.00,0.06k,0.42
20171116,2380.00,2380.00,2380.00,2380.00,0.00k,1.49
20171115,2345.00,2295.75,2348.00,2295.75,0.32k,2.07
20171114,2297.50,2280.00,2297.50,2280.00,0.33k,-2.85
20171113,2365.00,2365.00,2400.00,2350.00,0.08k,-0.21
20171110,2370.00,2350.00,2420.00,2340.00,1.41k,0.85
20171109,2350.00,2270.00,2369.00,2260.00,1.26k,2.17
20171108,2300.00,2365.00,2365.00,2300.00,0.34k,-3.16
20171107,2375.00,2353.00,2375.00,2290.00,1.89k,-0.21
20171103,2380.00,2175.00,2405.00,2175.00,9.55k,14.98
20171102,2070.00,2116.00,2116.00,2055.00,1.34k,-2.13
20171101,2115.00,2140.00,2140.00,2110.00,0.29k,-1.17
20171031,2140.00,2160.00,2160.00,2100.00,0.15k,1.90
20171030,2100.00,2175.00,2175.00,2030.00,0.04k,0.38
20171027,2092.00,2040.00,2095.00,2040.00,0.73k,2.30
20171026,2045.00,1990.00,2050.00,1950.00,0.41k,4.34
20171025,1960.00,1940.00,1960.00,1908.00,2.08k,-1.01
20171024,1980.00,1961.00,2030.00,1961.00,0.33k,0.61
20171023,1968.00,2050.00,2050.00,1931.00,1.56k,-5.29
20171020,2078.00,2110.00,2150.00,2030.00,0.36k,-0.29
20171019,2084.00,2070.00,2085.00,2040.00,0.94k,-1.37
20171018,2113.00,2100.00,2114.00,2055.00,1.57k,2.82
20171017,2055.00,2090.00,2090.00,2025.00,2.61k,-4.86
20171013,2160.00,2170.00,2180.00,2105.00,1.87k,-0.46
20171012,2170.00,2255.00,2255.00,2117.00,4.70k,-9.51
20171011,2398.00,2410.00,2430.00,2398.00,0.19k,-0.66
20171010,2414.00,2380.00,2414.00,2380.00,0.13k,1.43
20171009,2380.00,2350.00,2380.00,2350.00,0.10k,1.28
20171006,2350.00,2400.00,2400.00,2350.00,0.50k,0.00
20171005,2350.00,2370.00,2370.00,2350.00,0.03k,1.29
20171004,2320.00,2280.00,2330.00,2280.00,0.06k,1.31
20171003,2290.00,2295.95,2350.00,2248.00,0.24k,-1.72
20171002,2330.00,2280.00,2345.00,2280.00,0.26k,2.64
20170929,2270.00,2290.00,2290.00,2250.00,0.35k,-0.87
20170928,2290.00,2400.00,2400.00,2290.00,0.23k,-2.97
20170927,2360.00,2345.00,2390.00,2340.00,0.05k,-0.80
20170926,2379.00,2320.00,2390.00,2320.00,0.06k,-0.04
20170925,2380.00,2350.00,2380.00,2275.00,0.07k,-2.10
20170922,2431.00,2500.00,2500.00,2430.00,0.19k,-2.76
20170921,2500.00,2487.00,2500.00,2450.00,0.18k,0.00
20170920,2500.00,2500.00,2520.00,2470.00,0.42k,0.40
20170919,2490.00,2500.00,2500.00,2490.00,0.04k,-0.40
20170918,2500.00,2420.00,2500.00,2420.00,0.15k,2.88
20170915,2430.00,2480.00,2480.00,2380.00,0.05k,-2.02
20170914,2480.00,2500.00,2500.00,2440.00,0.49k,-0.80
20170913,2500.00,2480.00,2510.00,2470.00,0.44k,1.01
20170912,2475.00,2430.00,2520.00,2430.00,0.94k,1.02
20170911,2450.00,2364.00,2460.00,2362.00,0.79k,7.46
20170908,2280.00,2259.00,2280.00,2255.00,0.15k,1.33
20170907,2250.00,2260.00,2280.00,2250.00,0.46k,-0.44
