fecha,ultima,apertura,maximo,minimo,vol,varianza
20171110,100.00,100.00,100.00,100.00,0.40k,-10.43
20171030,111.65,111.65,111.65,111.65,0.01k,0.00
20171012,111.65,111.65,111.65,111.65,0.10k,0.00
20171011,111.65,111.65,111.65,111.65,9.00k,7.10
20170522,104.25,104.25,104.25,104.25,17.20k,5.62
20170328,98.70,98.70,98.70,98.70,3.00k,-6.00
20170315,105.00,105.00,105.00,105.00,0.08k,4.84
20170313,100.15,100.15,100.15,100.15,3.00k,-1.09
20170221,101.25,101.25,101.25,101.25,1.00k,0.15
20170202,101.10,101.10,101.10,101.10,15.00k,2.80
20170124,98.35,98.35,98.35,98.35,18.00k,0.82
20161214,97.55,97.55,97.55,97.55,1.00k,-1.32
20161110,98.85,98.85,98.85,98.85,15.00k,3.35
20160906,95.65,95.65,95.65,95.65,1.20k,5.57
20160719,90.60,90.60,90.60,90.60,32.00k,2.95
20160715,88.00,88.00,88.00,88.00,1.33k,1.73
20160713,86.50,87.00,87.00,86.50,0.76k,-2.70
20160706,88.90,88.90,88.90,88.90,16.00k,8.41
20160630,82.00,82.00,82.00,82.00,0.05k,3.40
20160622,79.30,79.30,79.30,79.30,0.07k,0.13
20160616,79.20,79.20,79.20,79.20,3.50k,1.08
20160518,78.35,78.35,78.35,78.35,0.10k,0.00
20160516,78.35,81.33,81.33,78.35,0.10k,2.47
20160512,76.47,76.47,76.47,76.47,14.90k,1.21
20160505,75.55,75.55,75.55,75.55,0.20k,-7.19
20160426,81.40,81.40,81.40,81.40,11.30k,3.04
20160412,79.00,79.00,79.00,79.00,0.09k,2.07
20160321,77.40,77.40,77.40,77.40,5.00k,-4.15
20160303,80.75,80.75,80.75,80.75,5.30k,-1.93
20160302,82.34,82.34,82.34,82.34,13.20k,5.13
20160224,78.32,79.41,79.41,78.32,26.55k,-1.37
20160223,79.41,79.41,79.41,79.41,12.00k,3.00
20160219,77.10,77.10,77.10,77.10,15.50k,-0.84
20160217,77.75,77.75,77.75,77.75,57.00k,7.99
20160204,72.00,72.00,72.00,72.00,50.00k,1.41
20160203,71.00,71.00,71.00,71.00,25.00k,-2.41
20160202,72.75,72.75,72.75,72.75,45.00k,-2.02
20160126,74.25,74.25,74.25,74.25,75.00k,-6.67
20151117,79.56,74.58,79.56,74.58,0.77k,6.67
20151116,74.58,74.58,74.58,74.58,0.08k,0.72
20151102,74.05,74.05,74.05,74.05,77.00k,-5.25
20151023,78.15,78.15,78.15,78.15,0.09k,0.53
20150804,77.74,77.74,77.74,77.74,12.00k,-0.89
20150731,78.43,78.43,78.43,78.43,12.00k,-1.44
20150720,79.58,79.58,79.58,79.58,0.05k,2.50
20150716,77.64,77.64,77.64,77.64,0.64k,10.91
20150618,70.00,70.00,70.00,70.00,0.65k,0.00
20150617,70.00,70.00,70.00,70.00,0.02k,0.00
20150616,70.00,70.00,70.00,70.00,0.07k,0.00
20150611,70.00,70.00,70.00,70.00,0.10k,0.51
20150608,69.64,69.64,69.64,69.64,10.00k,-0.51
20150511,70.00,70.00,70.00,70.00,1.20k,-1.55
20150430,71.10,71.10,71.10,71.10,6.00k,1.57
20150428,70.00,70.00,72.00,70.00,2.80k,0.00
20150427,70.00,70.00,70.00,70.00,0.16k,0.00
20150316,70.00,70.00,70.00,70.00,0.18k,-5.41
20141027,74.00,74.00,74.00,74.00,-,-8.50
20141008,80.87,80.87,80.87,80.87,28.80k,-0.58
20140909,81.35,81.74,81.74,81.35,0.60k,16.21
20140829,70.00,70.00,70.00,70.00,0.05k,-6.23
20140825,74.65,74.65,74.65,74.65,1.33k,19.44
20140812,62.50,62.50,62.50,62.50,0.25k,5.49
20140731,59.25,59.25,59.25,59.25,2.00k,3.04
20140616,57.50,57.50,57.50,57.50,0.13k,-1.95
20140609,58.64,58.84,58.84,58.64,0.50k,0.00
20140602,58.64,58.64,58.64,58.64,0.11k,-4.65
20140527,61.50,59.00,61.50,59.00,1.00k,4.24
20140312,59.00,59.00,59.00,59.00,-,0.59
20140219,58.65,58.65,58.65,58.65,0.76k,0.26
20140129,58.50,57.50,58.50,57.50,0.30k,2.63
20140128,57.00,57.00,57.00,57.00,0.20k,16.33
20140115,49.00,49.00,49.00,49.00,0.30k,9.56
20131206,44.72,44.72,44.72,44.72,0.11k,1.65
20131114,44.00,44.00,44.00,44.00,-,2.33
20131108,43.00,43.00,43.00,43.00,0.20k,0.00
20131107,43.00,43.00,43.00,43.00,0.30k,0.00
20131105,43.00,43.00,43.00,43.00,0.30k,5.50
20130816,40.76,40.26,40.76,40.26,15.00k,2.50
20130815,39.76,39.76,39.76,39.76,0.07k,-1.81
20130712,40.50,40.50,40.50,40.50,0.73k,6.58
20130614,38.00,38.00,38.00,38.00,0.07k,-9.52
20130603,42.00,42.00,42.00,42.00,0.07k,-2.33
20130528,43.00,43.00,43.00,43.00,0.03k,-2.27
20130506,44.00,44.10,44.10,44.00,0.47k,0.00
20130430,44.00,42.75,44.00,42.75,13.05k,-1.01
20130429,44.45,44.45,44.45,44.45,7.01k,10.71
20130412,40.15,40.15,40.15,40.15,29.90k,4.29
20130408,38.50,37.00,38.50,37.00,1.00k,3.77
20130405,37.10,37.10,37.10,37.10,0.30k,0.00
20130404,37.10,37.10,37.10,37.10,40.01k,-2.24
20130403,37.95,37.95,37.95,37.95,10.96k,2.15
20130327,37.15,37.20,37.20,37.15,4.03k,-1.72
20130326,37.80,37.80,37.80,37.80,2.64k,1.89
20130325,37.10,36.05,37.10,36.05,2.98k,1.37
20130322,36.60,36.90,36.90,36.60,5.50k,-0.81
20130320,36.90,36.90,36.90,36.90,8.39k,2.64
20130319,35.95,36.25,36.25,35.95,8.34k,-0.83
20130318,36.25,36.25,36.25,36.25,8.28k,-2.03
20130315,37.00,37.00,37.00,37.00,0.12k,1.37
20130314,36.50,36.50,36.50,36.50,0.75k,5.55
20130305,34.58,34.58,34.58,34.58,2.88k,1.74
20130301,33.99,33.99,33.99,33.99,1.53k,3.79
20130219,32.75,32.70,32.75,32.70,13.75k,2.18
20130215,32.05,32.05,32.05,32.05,31.25k,0.16
20130213,32.00,32.00,32.00,32.00,2.20k,-3.32
20130207,33.10,33.10,33.10,33.10,1.20k,0.00
20130201,33.10,32.20,33.10,32.20,10.15k,-1.05
20130129,33.45,33.45,33.45,33.45,6.00k,2.61
20130124,32.60,32.60,32.60,32.60,12.25k,2.03
20130123,31.95,31.95,31.95,31.95,2.00k,3.90
20130116,30.75,30.75,30.75,30.75,8.05k,-0.32
20130114,30.85,30.85,30.85,30.85,1.60k,10.38
20121228,27.95,27.95,27.95,27.95,6.00k,-3.12
20121217,28.85,28.85,28.85,28.85,8.60k,-1.67
20121210,29.34,29.34,29.34,29.34,5.07k,-2.52
20121128,30.10,30.25,30.25,30.10,3.32k,-2.27
20121114,30.80,30.85,30.85,30.80,3.22k,-1.60
20121113,31.30,31.30,31.30,31.30,4.81k,3.30
20121031,30.30,30.30,30.30,30.30,9.92k,4.30
20121015,29.05,29.05,29.05,29.05,2.00k,-0.34
20121009,29.15,29.15,29.15,29.15,6.81k,2.10
20120928,28.55,28.65,28.65,28.55,5.00k,-0.70
20120925,28.75,28.75,28.75,28.75,1.74k,-1.03
20120914,29.05,29.05,29.05,29.05,0.30k,0.69
20120905,28.85,28.80,28.85,28.80,10.80k,1.55
20120904,28.41,28.01,28.46,28.01,14.54k,0.71
20120828,28.21,27.86,28.26,27.86,29.08k,-0.70
20120824,28.41,28.41,28.41,28.41,4.30k,1.25
20120822,28.06,28.06,28.06,28.06,1.30k,1.81
20120817,27.56,27.56,27.56,27.56,17.90k,-2.82
20120809,28.36,28.36,28.36,28.36,4.00k,-1.87
20120802,28.90,28.90,28.90,28.90,12.00k,-3.34
20120801,29.90,29.90,29.90,29.90,2.30k,-0.17
20120723,29.95,29.95,29.95,29.95,33.25k,9.47
20120706,27.36,27.36,27.36,27.36,3.60k,2.20
20120628,26.77,26.77,26.77,26.77,2.20k,10.67
20120621,24.19,23.19,24.19,23.19,0.26k,5.13
20120530,23.01,23.05,23.05,23.01,3.39k,0.22
20120524,22.96,22.96,22.96,22.96,1.80k,5.47
20120521,21.77,21.77,21.77,21.77,4.25k,-3.72
20120517,22.61,22.56,22.61,22.56,39.00k,4.77
20120511,21.58,21.58,21.58,21.58,9.15k,1.65
20120503,21.23,21.23,21.23,21.23,8.15k,3.61
20120502,20.49,20.49,20.49,20.49,1.30k,-5.27
20120418,21.63,21.63,21.63,21.63,18.90k,5.56
20120417,20.49,20.49,20.49,20.49,0.25k,0.94
20120412,20.30,20.25,20.30,20.25,19.50k,-2.59
20120409,20.84,20.84,20.84,20.84,1.20k,1.21
20120405,20.59,20.59,20.59,20.59,1.30k,0.00
20120404,20.59,20.59,20.59,20.59,1.30k,7.18
20120330,19.21,19.21,19.21,19.21,0.15k,-2.49
20120326,19.70,19.70,19.70,19.70,3.27k,4.95
20120321,18.77,18.77,18.77,18.77,5.25k,4.86
20120312,17.90,18.29,18.34,17.90,22.60k,0.85
20120307,17.75,17.75,17.75,17.75,9.35k,1.08
20120223,17.56,17.56,17.56,17.56,0.20k,-0.79
20120209,17.70,17.75,17.75,17.70,6.34k,0.00
20120208,17.70,17.75,17.75,17.70,6.36k,-0.56
20120207,17.80,17.80,17.80,17.80,2.35k,1.37
20120206,17.56,17.56,17.56,17.56,7.76k,-2.44
