fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,330.00,332.00,332.00,330.00,0.82k,0.61
20180124,328.00,335.80,335.80,328.00,0.26k,-0.29
20180111,328.95,328.95,328.95,328.95,0.09k,9.29
20180105,301.00,329.00,329.00,300.00,15.68k,-4.54
20180104,315.30,315.30,315.30,315.30,0.01k,2.47
20171221,307.70,298.00,307.70,298.00,0.03k,6.84
20171211,288.00,288.00,288.00,288.00,0.01k,0.52
20171205,286.50,286.50,286.50,286.50,0.06k,-1.21
20171204,290.00,290.00,290.00,290.00,0.01k,-1.02
20171201,293.00,294.00,294.00,293.00,0.33k,-0.68
20171130,295.00,295.00,295.00,295.00,0.58k,1.37
20171129,291.00,291.00,291.00,291.00,0.01k,1.04
20171117,288.00,288.00,288.00,288.00,0.12k,-0.18
20171114,288.53,296.49,296.49,288.53,0.12k,0.00
20171113,288.53,288.53,288.53,288.53,0.03k,-2.08
20171110,294.65,294.65,294.65,294.65,0.01k,4.47
20171027,282.05,282.05,282.05,282.05,0.06k,4.46
20171026,270.00,270.00,270.00,270.00,0.02k,-1.46
20171024,274.00,274.00,274.00,274.00,0.05k,0.00
20171020,274.00,274.00,274.00,274.00,0.06k,0.81
20171019,271.80,279.00,279.00,271.80,0.19k,1.95
20171011,266.60,264.00,266.60,264.00,6.51k,0.98
20171010,264.00,264.00,264.00,264.00,0.08k,1.54
20171009,260.00,260.00,260.00,260.00,0.04k,-0.76
20171006,262.00,259.00,262.00,259.00,0.12k,1.16
20171005,259.00,259.00,259.00,259.00,0.02k,0.00
20171003,259.00,265.00,265.00,259.00,0.08k,0.15
20171002,258.60,258.60,258.60,258.60,0.12k,0.41
20170929,257.55,257.55,258.85,257.55,0.20k,0.00
20170927,257.55,257.55,257.55,257.55,0.12k,0.61
20170920,256.00,256.00,256.00,256.00,0.18k,0.00
20170918,256.00,256.00,256.00,256.00,0.05k,3.23
20170913,248.00,260.00,260.00,247.00,0.40k,-3.97
20170912,258.25,258.00,258.25,255.00,0.16k,-0.67
20170911,260.00,260.00,260.00,260.00,0.04k,0.00
20170908,260.00,260.00,260.00,260.00,0.08k,-1.14
20170906,263.00,264.00,264.00,263.00,0.17k,0.00
20170901,263.00,263.00,263.00,263.00,0.01k,0.00
20170831,263.00,263.00,263.00,263.00,0.26k,4.37
20170830,252.00,250.00,252.00,250.00,0.08k,0.80
20170825,250.00,251.00,251.00,250.00,0.13k,-1.96
20170824,255.00,256.50,256.50,254.00,0.93k,-0.58
20170823,256.50,256.00,256.50,256.00,0.02k,0.98
20170818,254.00,257.00,257.00,254.00,0.09k,-0.39
20170817,255.00,262.00,262.00,255.00,0.18k,-5.56
20170811,270.00,270.00,270.00,270.00,0.13k,4.25
20170809,259.00,259.00,259.00,259.00,0.19k,-0.25
20170808,259.65,260.00,260.00,259.65,0.17k,1.03
20170807,257.00,260.00,260.00,257.00,0.23k,-0.46
20170804,258.20,258.20,258.20,258.20,0.01k,3.28
20170801,250.00,255.00,255.00,250.00,0.15k,2.88
20170718,243.00,243.00,243.00,243.00,0.02k,0.00
20170707,243.00,235.00,245.00,235.00,0.47k,-0.41
20170705,244.00,245.00,245.00,244.00,0.12k,2.52
20170628,238.00,240.00,240.00,238.00,0.07k,3.34
20170627,230.30,242.00,242.00,230.30,0.22k,-0.30
20170626,231.00,231.00,231.00,231.00,0.02k,1.76
20170622,227.00,227.00,227.00,227.00,0.01k,-1.20
20170621,229.75,230.15,230.15,229.75,1.14k,2.16
20170613,224.90,224.90,224.90,224.90,0.03k,0.72
20170612,223.30,223.30,223.30,223.30,0.40k,-2.91
20170609,230.00,230.00,230.00,230.00,0.08k,-0.35
20170602,230.80,230.80,230.80,230.80,0.04k,4.43
20170523,221.00,221.00,221.00,221.00,0.04k,1.38
20170522,218.00,221.50,221.50,218.00,8.71k,0.46
20170517,217.00,222.00,222.00,217.00,0.05k,-2.25
20170510,222.00,222.00,222.00,222.00,0.06k,4.72
20170508,212.00,212.00,212.00,212.00,0.01k,-0.89
20170504,213.90,213.90,213.90,213.90,0.15k,-0.51
20170502,215.00,215.00,215.00,215.00,0.01k,-4.87
20170428,226.00,226.00,226.00,226.00,0.03k,1.80
20170426,222.00,222.00,222.00,222.00,0.03k,1.83
20170425,218.00,218.00,218.00,218.00,0.01k,7.39
20170420,203.00,203.00,203.00,203.00,0.04k,-0.25
20170328,203.50,202.25,203.50,202.25,1.01k,0.74
20170327,202.00,200.00,202.00,200.00,0.09k,0.00
20170322,202.00,202.00,202.00,202.00,0.53k,0.00
20170321,202.00,205.00,205.00,198.00,0.25k,0.00
20170320,202.00,200.00,202.00,200.00,0.15k,0.50
20170316,201.00,200.00,201.00,200.00,0.22k,-0.47
20170313,201.95,201.95,201.95,201.95,2.00k,-0.02
20170308,202.00,202.00,202.00,202.00,1.10k,2.02
