fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,663.95,646.00,668.00,640.70,69.13k,2.17
20180126,649.85,618.10,649.85,618.10,30.04k,4.48
20180125,622.00,627.00,629.00,618.00,9.15k,0.00
20180124,622.00,608.00,629.00,608.00,15.73k,1.89
20180123,610.45,612.15,614.50,600.05,13.20k,-0.58
20180122,614.00,620.05,624.95,610.00,17.68k,-0.80
20180119,618.95,610.00,633.95,601.00,51.28k,2.14
20180118,606.00,587.00,609.00,576.60,38.09k,3.24
20180117,587.00,589.05,595.00,581.00,17.31k,-0.18
20180116,588.05,607.00,607.00,587.00,12.34k,-2.80
20180115,605.00,600.00,609.00,593.50,24.98k,0.17
20180112,604.00,595.00,605.00,590.00,28.92k,1.37
20180111,595.85,583.95,596.40,582.00,25.55k,2.20
20180110,583.00,574.00,585.00,560.00,12.73k,0.87
20180109,578.00,573.00,579.70,563.00,15.87k,0.87
20180108,573.00,575.50,575.50,562.00,36.70k,-0.52
20180105,576.00,584.00,584.00,567.00,19.35k,-1.54
20180104,585.00,578.00,593.00,572.00,42.62k,1.39
20180103,577.00,558.05,578.00,551.00,45.51k,3.04
20180102,560.00,515.00,560.00,515.00,55.10k,8.80
20171229,514.70,498.00,519.00,498.00,31.76k,3.35
20171228,498.00,495.00,503.00,487.10,16.61k,0.65
20171227,494.80,492.00,499.30,482.00,14.00k,0.20
20171226,493.80,499.30,507.90,490.00,20.61k,-1.24
20171222,500.00,500.00,502.00,493.00,20.35k,0.00
20171221,500.00,492.35,503.90,485.20,12.58k,1.46
20171220,492.80,484.00,494.00,484.00,6.33k,1.76
20171219,484.30,478.15,488.00,472.05,8.26k,0.91
20171218,479.95,459.00,482.00,459.00,22.54k,4.34
20171215,460.00,462.00,479.00,456.00,21.51k,-1.50
20171214,467.00,472.50,477.00,461.55,12.62k,-1.05
20171213,471.95,477.00,480.00,462.00,23.15k,-1.88
20171212,481.00,488.00,493.85,475.05,16.79k,-1.30
20171211,487.35,481.00,498.45,481.00,8.21k,1.53
20171207,480.00,475.00,490.00,475.00,5.64k,0.00
20171206,480.00,484.05,489.00,470.05,28.57k,-1.39
20171205,486.75,495.00,499.95,465.00,21.25k,-1.67
20171204,495.00,505.00,506.00,488.00,14.16k,-2.27
20171201,506.50,504.00,508.00,501.50,6.26k,0.34
20171130,504.80,507.80,510.95,502.00,9.79k,-0.83
20171129,509.00,501.00,509.00,500.50,22.06k,1.80
20171128,500.00,509.00,510.00,495.00,14.49k,-1.19
20171127,506.00,505.00,514.00,504.50,18.41k,0.60
20171124,503.00,496.95,507.90,492.00,21.16k,1.95
20171123,493.40,490.00,496.00,483.15,6.88k,-0.71
20171122,496.95,503.00,507.90,490.00,8.81k,-1.20
20171121,503.00,514.40,514.40,502.50,16.96k,0.60
20171117,500.00,509.00,515.00,494.00,10.35k,-1.35
20171116,506.85,498.00,509.85,496.00,22.36k,2.09
20171115,496.45,485.00,499.00,478.10,17.65k,1.94
20171114,487.00,506.00,516.40,479.00,57.86k,-3.94
20171113,507.00,488.45,507.00,478.00,19.99k,3.54
20171110,489.65,501.10,514.00,475.20,28.74k,-1.81
20171109,498.70,489.90,498.75,484.00,19.97k,2.93
20171108,484.50,484.00,490.00,480.00,5.31k,1.36
20171107,478.00,474.00,490.00,473.50,11.20k,1.49
20171103,471.00,475.00,485.00,471.00,9.58k,-0.52
20171102,473.45,482.00,499.90,466.00,35.63k,-1.46
20171101,480.45,482.15,500.00,478.25,17.67k,1.56
20171031,473.05,492.50,504.00,470.00,20.02k,-4.24
20171030,494.00,493.00,494.95,488.00,6.72k,0.20
20171027,493.00,503.90,503.90,490.00,9.57k,-1.20
20171026,499.00,493.50,504.00,493.50,9.69k,1.11
20171025,493.50,509.00,509.00,492.00,15.34k,-2.85
20171024,508.00,500.00,509.95,487.25,26.73k,2.06
20171023,497.75,494.00,507.00,485.00,27.96k,2.84
20171020,484.00,487.00,496.00,478.50,30.14k,0.46
20171019,481.80,454.00,487.00,450.00,32.73k,6.17
20171018,453.80,468.60,475.00,450.00,18.03k,-3.43
20171017,469.90,487.00,487.00,466.00,33.51k,-2.88
20171013,483.85,488.00,494.00,473.00,23.50k,-1.00
20171012,488.75,490.00,497.00,480.00,37.31k,-0.26
20171011,490.00,490.00,498.95,473.00,62.73k,1.03
20171010,485.00,475.00,489.00,475.00,44.83k,4.53
20171009,464.00,445.00,464.00,444.00,22.03k,4.48
20171006,444.10,446.00,448.50,435.00,16.47k,-0.41
20171005,445.95,428.45,449.95,428.45,29.05k,3.99
20171004,428.85,435.00,438.25,422.00,21.58k,-1.38
20171003,434.85,426.65,440.00,420.00,23.84k,1.84
20171002,427.00,435.00,435.00,416.00,30.40k,-1.84
20170929,435.00,445.00,445.90,432.00,26.15k,-1.81
20170928,443.00,435.00,444.50,430.05,62.76k,1.84
20170927,435.00,410.00,435.00,408.00,57.44k,6.62
20170926,408.00,415.00,415.00,405.00,45.01k,-0.60
20170925,410.45,391.00,414.90,391.00,111.96k,6.75
20170922,384.50,339.80,385.00,339.80,174.68k,13.76
20170921,338.00,336.00,338.00,332.00,16.98k,1.06
20170920,334.45,330.00,334.75,328.05,22.88k,1.04
20170919,331.00,329.00,332.70,325.05,21.69k,0.85
20170918,328.20,325.00,329.00,325.00,5.60k,0.52
20170915,326.50,330.00,331.00,324.00,7.62k,-0.46
20170914,328.00,320.00,335.00,320.00,34.00k,1.86
20170913,322.00,314.00,323.00,314.00,32.36k,2.21
20170912,315.05,320.00,321.00,312.00,84.87k,-3.06
20170911,325.00,330.00,336.95,318.50,10.51k,-2.11
20170908,332.00,335.00,335.95,331.00,5.22k,-0.42
20170907,333.40,331.80,341.00,331.00,19.79k,0.23
20170906,332.65,333.00,339.75,331.05,11.42k,-0.72
20170905,335.05,333.00,340.95,332.00,22.35k,1.01
20170904,331.70,337.70,337.70,328.00,26.65k,-1.86
20170901,338.00,346.00,350.00,336.00,22.93k,-2.31
20170831,346.00,349.00,355.00,345.00,23.81k,-1.98
20170830,353.00,322.00,353.00,322.00,103.26k,9.29
20170829,323.00,315.00,325.95,307.00,28.10k,1.59
20170828,317.95,322.00,324.95,315.00,33.20k,-2.17
20170825,325.00,326.20,329.50,322.25,17.47k,-0.61
20170824,327.00,327.00,329.45,326.00,17.76k,-0.06
20170823,327.20,330.00,331.50,326.00,15.37k,-0.24
20170822,328.00,330.00,339.90,325.05,8.56k,-0.61
20170818,330.00,327.10,334.95,327.10,12.12k,1.23
20170817,326.00,337.00,337.00,325.10,21.59k,-2.76
20170816,335.25,340.10,345.50,330.00,24.95k,-0.81
20170815,338.00,344.00,346.45,337.00,12.67k,-1.73
20170814,343.95,348.00,353.65,342.00,23.01k,1.31
20170811,339.50,340.00,345.00,338.00,16.84k,0.15
20170810,339.00,326.75,340.00,325.20,8.92k,4.08
20170809,325.70,328.00,332.00,322.50,5.20k,-1.45
20170808,330.50,334.95,334.95,330.00,6.05k,-1.64
20170807,336.00,338.00,348.00,336.00,10.36k,-1.16
20170804,339.95,337.00,341.20,335.00,2.75k,0.58
20170803,338.00,339.90,345.00,338.00,5.10k,-0.56
20170802,339.90,337.00,341.95,332.50,7.11k,1.09
20170801,336.25,338.00,339.00,333.50,2.48k,-0.49
20170731,337.90,326.00,339.00,320.00,9.35k,3.97
20170728,325.00,325.95,325.95,321.00,8.93k,-0.55
20170727,326.80,332.00,335.00,326.70,6.51k,-1.55
20170726,331.95,332.25,333.50,328.00,5.71k,-0.45
20170725,333.45,335.00,337.00,331.00,7.95k,-1.32
20170724,337.90,344.00,344.00,336.05,3.75k,-1.77
20170721,344.00,340.00,345.10,340.00,9.90k,0.67
20170720,341.70,347.00,347.00,338.00,5.93k,0.50
20170719,340.00,345.00,345.00,337.00,9.53k,0.00
20170718,340.00,338.00,343.00,333.90,10.82k,0.44
20170717,338.50,358.00,358.00,338.00,16.13k,-5.31
20170714,357.50,346.00,359.80,346.00,53.16k,3.35
20170713,345.90,346.80,349.50,342.00,14.65k,-0.26
20170712,346.80,350.00,350.00,344.20,13.33k,0.39
20170711,345.45,345.00,345.70,342.05,19.64k,0.99
20170710,342.05,338.00,345.00,330.55,8.99k,1.06
20170707,338.45,342.75,342.75,334.00,5.95k,-1.30
20170706,342.90,347.00,347.00,339.00,4.33k,-0.90
20170705,346.00,350.00,352.95,345.25,12.72k,-0.29
20170704,347.00,348.80,350.35,345.00,6.86k,0.00
20170703,347.00,347.00,357.00,340.00,16.98k,-0.29
20170630,348.00,348.00,348.00,340.00,15.16k,0.58
20170629,346.00,350.45,358.50,343.00,12.25k,-1.14
20170628,350.00,360.00,365.00,346.00,9.11k,-1.96
20170627,357.00,350.00,359.00,350.00,29.86k,2.38
20170626,348.70,341.00,350.00,341.00,55.73k,4.67
20170623,333.15,340.00,343.00,330.00,18.96k,2.16
20170622,326.10,317.00,345.00,317.00,28.81k,3.13
20170621,316.20,311.00,330.00,311.00,25.40k,-5.61
20170619,335.00,336.00,344.00,331.05,7.68k,-0.71
20170616,337.40,341.00,342.90,336.45,10.19k,-0.18
20170615,338.00,333.00,344.00,329.00,20.42k,1.35
20170614,333.50,346.00,354.95,332.00,17.44k,-3.43
20170613,345.35,335.00,350.00,334.00,10.46k,3.40
20170612,334.00,350.00,352.00,332.00,11.18k,-5.54
20170609,353.60,365.00,366.00,350.35,8.36k,-2.05
20170608,361.00,359.85,368.95,355.00,37.67k,1.63
20170607,355.20,353.00,364.00,346.00,47.20k,1.49
20170606,350.00,329.95,350.00,327.00,36.63k,5.50
20170605,331.75,340.25,340.25,330.00,14.03k,-2.50
20170602,340.25,345.00,345.00,338.60,5.77k,-1.69
20170601,346.10,350.00,355.00,341.40,18.00k,0.17
20170531,345.50,324.95,349.80,319.00,23.96k,5.75
20170530,326.70,320.00,329.90,320.00,7.83k,0.21
20170529,326.00,332.00,336.00,326.00,17.35k,-1.76
20170526,331.85,326.00,334.00,320.00,28.88k,1.90
20170524,325.65,326.00,334.00,325.00,5.98k,0.02
20170523,325.60,339.00,339.00,325.60,13.95k,-1.63
20170522,331.00,338.00,338.00,327.00,7.03k,-2.22
20170519,338.50,325.95,339.90,325.95,11.45k,3.91
20170518,325.75,328.85,328.85,312.65,14.87k,-3.34
20170517,337.00,343.00,345.00,336.35,5.64k,-1.61
20170516,342.50,344.00,346.00,336.70,9.57k,-0.44
20170515,344.00,350.00,350.00,343.00,14.26k,-1.15
20170512,348.00,348.50,353.90,342.00,18.51k,-0.14
20170511,348.50,350.00,353.00,342.10,21.09k,1.00
20170510,345.05,337.00,347.00,336.20,40.57k,3.62
20170509,333.00,325.00,335.00,324.40,8.95k,2.56
20170508,324.70,331.25,331.95,321.00,23.51k,-1.14
20170505,328.45,333.00,333.00,326.50,20.17k,-1.81
20170504,334.50,338.00,339.25,330.40,19.90k,-1.04
20170503,338.00,330.00,340.00,328.00,73.87k,3.06
20170502,327.95,316.00,338.00,315.00,27.68k,3.78
20170428,316.00,317.50,318.00,315.00,17.58k,-0.47
20170427,317.50,312.50,317.85,302.10,15.09k,1.60
20170426,312.50,312.00,317.95,307.00,30.42k,0.16
20170425,312.00,312.00,318.00,305.00,24.71k,0.32
20170424,311.00,295.00,312.00,292.80,54.00k,5.10
20170421,295.90,286.50,296.60,286.50,27.28k,3.46
20170420,286.00,278.00,286.00,278.00,11.50k,2.14
20170419,280.00,283.80,285.00,276.05,4.42k,-1.34
20170418,283.80,285.00,287.00,273.00,9.03k,-0.42
20170417,285.00,282.00,285.00,273.50,9.93k,2.15
20170412,279.00,280.20,282.50,276.00,5.49k,-1.64
20170411,283.65,278.95,286.50,278.95,11.51k,1.68
20170410,278.95,287.50,290.00,278.95,11.00k,-2.97
20170407,287.50,290.00,290.00,286.00,8.49k,-1.00
20170406,290.40,288.30,295.00,287.00,11.25k,0.75
20170405,288.25,288.00,293.95,288.00,18.53k,0.61
20170404,286.50,291.00,291.00,285.00,11.15k,-1.38
20170403,290.50,294.00,297.95,284.00,13.46k,0.17
20170331,290.00,289.00,298.00,284.90,27.13k,0.73
20170330,287.90,268.10,287.90,258.00,41.54k,7.43
20170329,268.00,278.00,279.00,266.00,18.43k,-3.34
20170328,277.25,280.00,282.80,275.00,23.74k,-2.72
20170327,285.00,285.00,291.50,284.00,13.56k,-2.68
20170323,292.85,288.05,293.25,287.50,5.02k,0.64
20170322,291.00,294.00,295.10,288.00,7.39k,-0.89
20170321,293.60,303.95,305.45,292.40,12.43k,-3.41
20170320,303.95,301.00,307.50,301.00,8.92k,0.98
20170317,301.00,312.00,318.95,300.00,23.90k,-3.28
20170316,311.20,304.00,318.90,302.90,53.51k,4.12
20170315,298.90,284.00,300.00,284.00,26.77k,6.75
20170314,280.00,284.00,284.90,274.00,8.61k,-0.87
20170313,282.45,278.00,283.80,276.00,27.17k,2.54
20170310,275.45,286.75,286.80,266.10,17.86k,-3.99
20170309,286.90,293.00,300.00,285.00,6.64k,-2.08
20170308,293.00,290.00,295.00,289.00,23.92k,1.12
20170307,289.75,289.75,289.75,285.10,7.94k,-0.02
20170306,289.80,294.90,294.90,282.15,8.53k,-0.65
20170303,291.70,288.50,294.95,285.00,14.24k,1.30
20170302,287.95,294.85,295.00,285.50,17.42k,-1.39
20170301,292.00,295.50,297.00,280.00,25.06k,-3.15
20170224,301.50,310.00,310.05,299.50,19.06k,-2.74
20170223,310.00,312.00,320.00,308.20,11.12k,-0.64
20170222,312.00,316.95,316.95,300.00,32.20k,-2.35
20170221,319.50,326.50,326.50,315.00,13.32k,-2.29
20170220,327.00,328.75,329.00,320.00,11.41k,-0.76
20170217,329.50,327.00,330.00,318.00,12.46k,0.97
20170216,326.35,337.00,337.00,325.35,6.69k,-1.97
20170215,332.90,331.00,339.00,330.15,24.64k,0.96
20170214,329.75,335.00,335.00,325.50,14.26k,0.59
20170213,327.80,335.00,337.50,324.20,19.61k,-0.50
20170210,329.45,339.00,339.00,326.00,28.47k,-3.09
20170209,339.95,349.50,361.00,336.45,51.38k,-1.46
20170208,345.00,308.05,345.00,307.00,81.64k,12.78
20170207,305.90,292.00,305.90,288.00,15.35k,4.58
20170206,292.50,303.05,305.00,285.00,40.99k,-2.99
20170203,301.50,305.00,308.00,297.50,11.36k,-2.11
20170202,308.00,309.00,309.00,301.00,12.15k,-0.61
20170201,309.90,319.00,319.00,303.00,16.70k,-2.24
20170131,317.00,317.10,318.00,308.45,9.76k,0.03
20170130,316.90,326.00,326.00,310.00,15.80k,-2.94
20170127,326.50,332.00,333.00,325.70,5.84k,-1.69
20170126,332.10,333.00,335.00,331.00,8.78k,-0.69
20170125,334.40,336.00,338.00,325.10,9.92k,-0.54
20170124,336.20,336.00,349.50,331.00,19.44k,-0.53
20170123,338.00,322.90,338.00,322.00,11.26k,4.68
20170120,322.90,317.00,338.95,311.00,20.88k,1.86
20170119,317.00,336.00,338.85,315.00,26.14k,-5.37
20170118,335.00,349.50,349.50,334.80,18.24k,-4.14
20170117,349.45,356.90,357.00,345.00,6.32k,-2.09
20170116,356.90,360.00,367.90,352.00,11.50k,-0.29
20170113,357.95,349.00,363.95,341.00,15.61k,2.49
20170112,349.25,343.10,356.95,331.00,27.65k,1.82
20170111,343.00,379.00,379.00,341.00,39.13k,-9.72
20170110,379.95,390.00,394.95,365.00,33.60k,-1.57
20170109,386.00,383.90,390.00,375.00,40.93k,4.69
20170106,368.70,350.00,369.00,350.00,34.16k,5.95
20170105,348.00,332.05,353.00,328.90,49.08k,5.78
20170104,329.00,325.00,330.00,320.00,25.87k,2.89
20170103,319.75,300.00,325.00,300.00,32.94k,7.52
20170102,297.40,289.00,298.90,282.00,17.11k,5.46
20161229,282.00,275.90,285.00,267.00,28.31k,2.21
20161228,275.90,286.10,294.95,272.10,12.52k,-3.19
20161227,285.00,290.00,295.10,272.00,21.08k,-1.55
20161226,289.50,309.95,309.95,285.00,12.21k,-5.05
20161223,304.90,304.90,309.90,300.00,4.36k,0.00
20161222,304.90,315.00,324.00,298.70,11.89k,-1.96
20161221,311.00,300.00,311.00,290.00,30.64k,5.96
20161220,293.50,300.00,303.00,291.00,10.75k,-1.18
20161219,297.00,307.00,311.45,285.00,25.29k,-4.65
20161216,311.50,318.00,320.00,303.00,14.37k,-2.60
20161215,319.80,329.00,335.00,315.05,7.19k,-3.09
20161214,330.00,343.00,343.00,328.00,8.83k,-1.49
20161213,335.00,341.50,348.40,330.35,7.94k,-1.92
20161212,341.55,360.00,360.00,338.00,6.64k,-3.52
20161207,354.00,355.00,358.00,341.00,10.71k,-0.28
20161206,355.00,343.00,358.00,336.00,22.74k,2.16
20161205,347.50,351.65,351.65,340.05,6.22k,-1.18
20161202,351.65,361.00,366.90,345.00,12.20k,-2.33
20161201,360.05,380.00,381.90,360.05,12.66k,-5.75
20161130,382.00,396.00,396.00,372.00,11.50k,-3.54
20161129,396.00,395.00,398.00,384.55,11.18k,-0.63
20161125,398.50,404.95,404.95,396.90,6.34k,-1.60
20161124,405.00,407.15,415.90,395.00,5.15k,-0.49
20161123,407.00,403.00,408.00,395.00,9.14k,0.99
20161122,403.00,398.05,407.50,398.05,18.41k,1.51
20161121,397.00,391.00,398.40,380.30,11.69k,0.84
20161118,393.70,403.00,403.00,380.50,5.24k,-2.48
20161117,403.70,409.80,415.15,400.10,4.98k,-1.30
20161116,409.00,410.00,410.00,390.00,6.92k,1.77
20161115,401.90,370.05,401.95,370.05,24.24k,9.21
20161114,368.00,380.00,380.00,348.00,35.39k,-4.42
20161111,385.00,418.00,418.00,378.10,13.33k,-8.36
20161110,420.10,435.00,435.00,410.00,19.26k,-3.43
20161109,435.00,413.00,435.00,413.00,16.89k,-0.85
20161108,438.75,434.95,443.30,421.00,22.79k,1.09
20161107,434.00,422.05,434.00,422.05,12.77k,2.84
20161104,422.00,418.50,430.00,405.00,10.61k,0.69
20161103,419.10,425.00,426.50,410.00,7.76k,0.75
20161102,416.00,420.10,420.10,380.00,23.83k,-0.60
20161101,418.50,441.95,445.00,410.00,25.36k,-6.79
20161031,449.00,455.00,455.00,438.00,14.57k,-2.18
20161028,459.00,475.90,488.00,440.00,9.03k,-3.57
20161027,476.00,485.00,489.95,471.15,9.73k,-2.06
20161026,486.00,505.00,509.00,471.00,53.45k,-1.02
20161025,491.00,450.00,497.20,450.00,24.14k,8.63
20161024,452.00,457.43,457.43,446.00,8.77k,-1.19
20161021,457.43,452.17,460.00,452.17,17.71k,1.05
20161020,452.67,462.90,463.00,450.00,9.50k,-2.21
20161019,462.90,469.53,471.67,460.00,17.65k,-1.41
20161018,469.53,470.00,471.67,462.33,15.28k,0.04
20161017,469.33,466.63,469.33,463.33,15.16k,2.10
20161014,459.67,450.00,466.67,445.00,16.16k,3.53
20161013,444.00,440.00,445.00,435.33,5.08k,0.91
20161012,440.00,440.67,443.33,433.72,7.91k,-0.07
20161011,440.33,446.33,446.67,433.37,5.17k,-1.34
20161007,446.33,449.33,450.00,438.33,5.54k,-0.45
20161006,448.33,455.63,455.67,444.33,3.68k,-1.60
20161005,455.63,450.67,456.67,450.67,6.95k,0.88
20161004,451.67,448.67,463.33,448.67,9.47k,0.82
20161003,448.00,453.33,455.00,446.67,6.99k,-1.83
20160930,456.33,458.67,461.67,446.67,7.53k,-0.51
20160929,458.67,473.33,473.33,458.67,11.03k,-3.44
20160928,475.00,481.67,483.00,474.33,6.73k,-1.88
20160927,484.08,486.70,493.33,475.05,11.69k,-0.53
20160926,486.67,473.17,486.67,466.67,15.56k,2.85
20160923,473.17,474.48,474.50,467.00,4.72k,-0.27
20160922,474.47,459.67,476.67,457.37,21.91k,3.22
20160921,459.67,455.00,459.67,450.33,9.17k,0.80
20160920,456.00,458.33,459.97,450.67,6.15k,0.02
20160919,455.93,446.67,458.33,446.00,11.67k,1.70
