fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,4.400,4.490,4.490,4.320,101.52k,-1.35
20180126,4.460,4.400,4.470,4.350,212.90k,2.53
20180125,4.350,4.400,4.550,4.250,288.06k,0.00
20180124,4.350,4.150,4.430,3.990,661.28k,7.41
20180123,4.050,3.900,4.080,3.900,324.26k,3.58
20180122,3.910,4.000,4.100,3.900,137.56k,-3.22
20180119,4.040,4.160,4.160,3.990,82.18k,-2.42
20180118,4.140,3.900,4.160,3.900,373.94k,6.15
20180117,3.900,3.940,3.950,3.860,63.81k,-0.76
20180116,3.930,3.900,4.030,3.840,164.48k,-2.00
20180115,4.010,4.000,4.150,3.830,102.51k,1.52
20180112,3.950,4.000,4.000,3.860,124.30k,0.00
20180111,3.950,3.900,4.000,3.820,106.02k,1.80
20180110,3.880,3.850,4.000,3.850,46.49k,-2.51
20180109,3.980,3.920,4.000,3.920,71.21k,0.25
20180108,3.970,4.050,4.050,3.900,102.03k,-2.46
20180105,4.070,3.970,4.080,3.950,154.24k,-0.49
20180104,4.090,4.010,4.200,3.980,193.77k,2.00
20180103,4.010,4.090,4.110,4.010,172.65k,-0.99
20180102,4.050,4.000,4.080,3.850,184.41k,1.76
20171229,3.980,4.000,4.000,3.900,55.28k,0.76
20171228,3.950,3.850,3.990,3.800,135.32k,2.60
20171227,3.850,3.850,3.940,3.850,111.90k,1.32
20171226,3.800,3.850,3.920,3.700,386.86k,-1.30
20171222,3.850,4.000,4.000,3.850,0.00k,0.52
20171221,3.830,3.700,3.850,3.700,54.06k,0.79
20171220,3.800,3.900,3.900,3.770,27.40k,0.53
20171219,3.780,3.800,3.900,3.700,76.98k,1.34
20171218,3.730,3.860,3.910,3.730,40.95k,-4.11
20171215,3.890,3.870,3.900,3.850,11.26k,-0.26
20171214,3.900,3.820,3.980,3.610,36.79k,0.00
20171213,3.900,4.000,4.000,3.900,24.16k,-1.27
20171212,3.950,3.950,4.000,3.850,29.24k,-1.25
20171211,4.000,3.900,4.140,3.900,77.67k,1.01
20171207,3.960,3.900,3.970,3.850,6.31k,2.86
20171206,3.850,3.810,3.850,3.800,32.08k,-2.53
20171205,3.950,3.900,3.960,3.810,35.60k,0.51
20171204,3.930,3.950,3.950,3.910,14.14k,-0.51
20171201,3.950,4.000,4.000,3.920,6.61k,-0.75
20171130,3.980,4.000,4.000,3.900,12.31k,-0.50
20171129,4.000,4.000,4.090,3.900,21.98k,0.00
20171128,4.000,4.050,4.100,3.960,74.44k,-2.68
20171127,4.110,4.100,4.110,4.000,68.33k,0.49
20171124,4.090,4.200,4.200,3.960,81.45k,-0.24
20171123,4.100,4.140,4.140,4.050,11.72k,-1.20
20171122,4.150,4.040,4.150,4.030,80.60k,2.72
20171121,4.040,4.060,4.080,4.030,19.87k,1.00
20171117,4.000,4.050,4.050,4.000,8.00k,0.00
20171116,4.000,4.050,4.050,3.940,49.15k,1.01
20171115,3.960,3.800,3.960,3.720,117.56k,0.76
20171114,3.930,4.000,4.000,3.780,55.64k,-1.50
20171113,3.990,4.080,4.080,3.890,81.76k,-2.21
20171110,4.080,4.200,4.200,4.000,135.51k,-2.39
20171109,4.180,4.050,4.250,4.050,85.69k,-0.71
20171108,4.210,4.250,4.300,4.100,52.33k,-0.71
20171107,4.240,4.150,4.290,4.150,93.93k,2.17
20171103,4.150,4.220,4.220,4.080,73.02k,-1.89
20171102,4.230,4.300,4.340,4.200,34.52k,-0.47
20171101,4.250,4.240,4.390,4.210,117.11k,0.95
20171031,4.210,4.170,4.260,4.150,149.35k,3.19
20171030,4.080,3.900,4.240,3.900,266.01k,3.29
20171027,3.950,4.020,4.040,3.950,38.56k,-2.23
20171026,4.040,4.000,4.050,3.960,57.40k,1.76
20171025,3.970,3.990,3.990,3.850,58.18k,0.00
20171024,3.970,3.960,4.000,3.940,76.92k,1.79
20171023,3.900,4.100,4.100,3.900,120.86k,-0.76
20171020,3.930,3.900,4.000,3.900,90.88k,-1.75
20171019,4.000,4.000,4.000,3.850,112.99k,1.52
20171018,3.940,3.960,3.960,3.840,83.60k,-1.50
20171017,4.000,4.150,4.150,3.950,91.75k,-2.20
20171013,4.090,4.200,4.200,4.090,54.80k,-0.24
