fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,188.00,198.00,198.00,188.00,0.81k,-5.05
20180126,198.00,193.10,200.00,193.00,6.01k,2.59
20180125,193.00,187.00,198.10,186.50,12.85k,3.49
20180124,186.50,175.00,187.00,175.00,5.59k,3.90
20180123,179.50,171.00,180.00,170.00,2.96k,4.97
20180122,171.00,168.70,172.00,168.70,3.14k,-1.72
20180119,174.00,175.35,175.35,170.00,1.71k,-0.68
20180118,175.20,172.00,175.20,170.00,3.18k,1.86
20180117,172.00,170.00,175.00,170.00,3.81k,0.58
20180116,171.00,168.95,175.00,168.95,3.79k,1.18
20180115,169.00,170.00,170.00,165.00,7.55k,-0.59
20180112,170.00,169.00,170.00,167.00,3.58k,0.59
20180111,169.00,168.00,170.00,167.10,1.76k,1.08
20180110,167.20,174.00,174.00,167.00,4.87k,-2.79
20180109,172.00,173.05,173.50,169.50,3.36k,-1.71
20180108,175.00,180.00,180.00,169.00,2.74k,-1.96
20180105,178.50,178.00,178.50,177.00,2.94k,0.28
20180104,178.00,180.00,180.00,177.00,1.43k,-0.56
20180103,179.00,181.00,183.50,175.00,2.36k,-0.58
20180102,180.05,180.05,180.05,175.00,2.44k,0.03
20171229,180.00,177.50,180.00,175.00,0.93k,1.12
20171228,178.00,169.00,178.00,166.00,4.43k,5.33
20171227,169.00,170.00,173.00,168.50,1.80k,-1.74
20171226,172.00,172.00,173.00,165.00,2.45k,0.58
20171222,171.00,168.50,171.00,168.00,2.96k,0.59
20171221,170.00,174.00,174.00,167.00,2.72k,-2.30
20171220,174.00,168.00,175.00,167.50,1.66k,0.00
20171219,174.00,167.00,174.00,163.00,6.25k,2.35
20171218,170.00,167.00,170.00,165.05,1.54k,1.80
20171215,167.00,163.00,170.00,161.00,2.39k,1.83
20171214,164.00,165.00,165.00,162.00,0.72k,0.00
20171213,164.00,162.00,165.00,159.00,3.32k,-0.61
20171212,165.00,165.00,165.00,162.00,6.99k,-0.60
20171211,166.00,163.00,166.00,162.00,3.57k,0.00
20171207,166.00,164.80,166.00,163.00,2.06k,0.73
20171206,164.80,167.00,167.00,164.50,3.23k,-1.32
20171205,167.00,170.00,171.00,166.00,3.49k,-1.76
20171204,170.00,170.00,174.00,168.00,3.25k,-0.58
20171201,171.00,170.00,173.00,170.00,0.56k,-1.16
20171130,173.00,174.15,174.15,171.00,1.09k,-0.57
20171129,174.00,175.00,175.00,171.50,1.67k,-0.57
20171128,175.00,175.00,175.00,172.00,3.43k,0.00
20171127,175.00,177.65,177.65,173.50,1.84k,-1.96
20171124,178.50,177.00,179.00,177.00,4.57k,-0.31
20171123,179.05,178.00,180.30,178.00,0.72k,-1.08
20171122,181.00,177.00,182.00,176.80,2.75k,1.89
20171121,177.65,180.00,180.00,172.00,2.08k,-1.31
20171117,180.00,182.00,182.00,180.00,0.37k,-0.55
20171116,181.00,182.00,182.00,178.00,4.95k,0.56
20171115,180.00,174.00,183.00,172.00,2.41k,0.00
20171114,180.00,188.00,188.00,178.00,1.79k,-2.17
20171113,184.00,189.00,189.00,181.00,1.91k,-2.13
20171110,188.00,191.00,191.00,187.50,0.81k,-1.31
20171109,190.50,193.00,193.00,190.00,2.41k,-1.80
20171108,194.00,194.00,194.00,193.00,1.61k,-1.52
20171107,197.00,195.00,199.00,194.00,3.71k,1.03
20171103,195.00,194.00,195.00,192.00,4.27k,0.93
20171102,193.20,193.00,193.50,190.00,5.46k,0.62
20171101,192.00,188.00,192.00,188.00,7.89k,1.05
