fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,66.00,66.65,66.65,63.00,26.75k,-1.12
20180126,66.75,66.70,68.00,65.45,20.25k,0.07
20180125,66.70,63.00,66.70,63.00,45.66k,7.58
20180124,62.00,59.60,62.40,59.60,20.72k,2.48
20180123,60.50,61.00,61.00,59.05,10.76k,0.00
20180122,60.50,60.25,61.60,60.25,4.94k,-2.42
20180119,62.00,61.70,63.00,61.00,11.13k,0.24
20180118,61.85,61.00,61.85,60.05,21.03k,1.73
20180117,60.80,60.80,61.20,59.50,17.66k,0.00
20180116,60.80,61.40,61.40,59.00,10.94k,-0.98
20180115,61.40,60.00,61.40,59.10,25.52k,4.24
20180112,58.90,58.20,58.90,57.50,14.98k,1.55
20180111,58.00,57.00,59.00,57.00,13.47k,0.78
20180110,57.55,57.90,58.40,56.55,18.68k,-2.29
20180109,58.90,59.00,59.00,57.00,20.25k,0.68
20180108,58.50,60.00,60.15,58.00,16.05k,-2.99
20180105,60.30,60.00,61.50,60.00,28.57k,0.00
20180104,60.30,61.00,61.00,60.00,14.42k,0.17
20180103,60.20,61.00,61.00,59.30,12.71k,-1.31
20180102,61.00,61.50,61.60,58.05,16.30k,0.83
20171229,60.50,60.30,60.50,58.00,12.62k,1.00
20171228,59.90,56.00,60.00,56.00,26.70k,6.96
20171227,56.00,55.20,59.00,55.20,14.20k,-1.75
20171226,57.00,55.70,57.85,55.70,24.45k,2.33
20171222,55.70,55.50,56.00,55.40,12.73k,0.45
20171221,55.45,56.50,57.00,55.00,16.46k,-1.86
20171220,56.50,57.00,57.00,55.50,5.76k,0.80
20171219,56.05,56.00,57.50,54.80,16.81k,0.09
20171218,56.00,54.70,56.00,54.70,8.75k,1.82
20171215,55.00,56.60,58.80,54.50,5.24k,-0.99
20171214,55.55,55.10,55.85,54.50,6.54k,-0.54
20171213,55.85,55.00,57.00,54.00,19.58k,0.18
20171212,55.75,56.00,56.50,55.70,15.07k,0.09
20171211,55.70,56.50,56.50,55.00,13.94k,-2.28
20171207,57.00,57.00,57.70,56.50,5.32k,-0.78
20171206,57.45,56.75,57.50,56.00,9.98k,1.68
20171205,56.50,57.45,57.45,56.00,7.38k,-1.14
20171204,57.15,58.00,58.80,57.15,3.59k,-2.72
20171201,58.75,60.00,60.00,58.10,3.76k,-1.76
