fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5.850,5.700,6.100,5.650,230.74k,0.86
20180126,5.800,5.050,5.800,5.050,338.78k,14.85
20180125,5.050,4.980,5.200,4.780,255.57k,1.41
20180124,4.980,4.450,4.990,4.350,268.09k,17.18
20180123,4.250,3.790,4.300,3.790,89.00k,14.86
20180122,3.700,3.860,3.880,3.700,71.31k,-4.15
20180119,3.860,3.890,4.000,3.820,65.03k,1.05
20180118,3.820,3.620,3.920,3.610,154.52k,5.82
20180117,3.610,3.790,3.800,3.600,146.55k,-3.73
20180116,3.750,3.800,3.900,3.720,41.60k,-1.06
20180115,3.790,3.800,3.800,3.630,29.98k,0.00
20180112,3.790,3.700,3.820,3.670,34.38k,3.84
20180111,3.650,3.700,3.750,3.650,48.80k,1.39
20180110,3.600,3.710,3.740,3.600,80.07k,-2.96
20180109,3.710,4.090,4.090,3.700,77.65k,-4.87
20180108,3.900,4.000,4.000,3.700,52.74k,1.30
20180105,3.850,3.850,4.100,3.850,38.66k,2.67
20180104,3.750,3.810,3.900,3.750,33.26k,0.00
20180103,3.750,3.850,3.850,3.700,11.62k,-3.85
20180102,3.900,3.650,3.900,3.650,14.59k,3.17
20171228,3.780,3.800,3.800,3.700,34.48k,-0.53
20171227,3.800,3.850,3.850,3.800,20.61k,-2.31
20171226,3.890,3.800,3.890,3.800,6.04k,2.37
20171222,3.800,3.780,3.890,3.650,17.34k,2.15
20171221,3.720,3.750,3.800,3.650,32.96k,-1.59
20171220,3.780,3.650,3.800,3.650,11.61k,-0.53
20171219,3.800,3.920,3.920,3.800,28.64k,-3.06
20171218,3.920,3.920,3.920,3.920,9.50k,-0.25
20171215,3.930,3.800,3.930,3.800,40.03k,5.93
20171214,3.710,3.710,3.710,3.700,20.57k,-2.88
20171213,3.820,3.750,3.820,3.750,8.86k,1.87
20171212,3.750,3.800,3.800,3.750,14.09k,-1.32
20171211,3.800,3.850,3.850,3.700,8.33k,-0.52
20171206,3.820,3.820,3.820,3.820,7.93k,-3.05
20171205,3.940,3.950,3.950,3.860,20.23k,-0.25
20171204,3.950,4.050,4.050,3.950,28.39k,-2.47
20171201,4.050,4.000,4.050,3.980,47.05k,1.76
20171130,3.980,4.000,4.000,3.980,10.30k,-2.93
20171129,4.100,4.050,4.100,4.000,53.39k,0.00
20171128,4.100,4.100,4.230,4.100,8.60k,0.00
20171127,4.100,4.300,4.300,4.050,30.12k,-1.20
20171124,4.150,4.050,4.250,4.050,22.39k,-0.72
20171123,4.180,4.000,4.200,4.000,15.00k,1.95
20171122,4.100,4.000,4.100,4.000,52.57k,2.50
20171121,4.000,3.900,4.000,3.850,10.69k,3.36
