fecha,ultima,apertura,maximo,minimo,vol,varianza
20180123,563.30,563.30,563.30,563.30,0.10k,2.35
20180109,550.35,550.35,550.35,550.35,1.80k,-2.04
20180105,561.80,561.80,561.80,561.80,1.80k,3.66
20171227,541.95,541.95,541.95,541.95,0.44k,1.77
20171226,532.50,532.50,532.50,532.50,0.08k,3.27
20171205,515.65,515.65,515.65,515.65,5.06k,-3.73
20170817,535.62,535.62,535.62,535.62,0.37k,-5.47
20170803,566.60,566.60,566.60,566.60,6.68k,7.98
20170703,524.75,524.75,524.75,524.75,0.23k,10.45
20170418,475.11,475.21,475.21,475.11,3.94k,-3.43
20170323,492.00,492.00,492.00,492.00,3.00k,5.77
20170313,465.15,465.15,465.15,465.15,0.08k,-0.62
20170125,468.05,468.05,468.05,468.05,0.20k,1.24
20170112,462.30,462.30,462.30,462.30,0.14k,-0.51
20170103,464.65,464.65,464.65,464.65,0.04k,2.00
20161227,455.55,455.55,455.55,455.55,0.66k,3.08
20161110,441.92,441.92,441.92,441.92,2.20k,-11.79
20161007,501.00,501.00,501.00,501.00,4.80k,-4.58
20160817,525.05,525.05,525.05,525.05,0.95k,3.93
20160624,505.20,505.20,505.20,505.20,1.00k,2.06
20160610,495.00,495.00,495.00,495.00,1.00k,-1.30
20160406,501.53,501.53,501.53,501.53,0.40k,-3.07
20160330,517.40,517.40,517.40,517.40,0.34k,0.27
20160307,516.00,516.00,516.00,516.00,0.10k,15.05
20160120,448.50,448.50,448.50,448.50,1.00k,-6.22
20151218,478.25,478.25,478.25,478.25,0.21k,-5.91
20151125,508.30,508.30,508.30,508.30,2.30k,-3.25
20151117,525.40,525.40,525.40,525.40,2.30k,5.62
20151026,497.45,501.25,501.25,497.45,2.10k,4.37
20151014,476.60,476.60,476.60,476.60,0.29k,-1.61
20151013,484.40,484.40,484.40,484.40,0.30k,-0.75
20151009,488.05,488.05,488.05,488.05,1.15k,-1.64
20151008,496.20,494.95,496.20,494.95,1.80k,6.32
20150921,466.70,466.70,466.70,466.70,1.64k,1.61
20150902,459.30,459.30,459.30,459.30,1.37k,1.15
20150831,454.10,454.10,454.10,454.10,0.60k,1.08
20150810,449.25,449.25,449.25,449.25,1.64k,0.21
20150805,448.30,448.30,448.30,448.30,0.60k,0.48
20150803,446.15,446.15,446.15,446.15,1.20k,5.72
20150701,422.00,422.00,422.00,422.00,0.40k,0.26
20150511,420.90,420.90,420.90,420.90,4.94k,4.70
20150429,402.00,402.00,402.00,402.00,0.10k,1.40
20150414,396.45,396.45,396.45,396.45,0.86k,2.27
20150410,387.65,387.65,387.65,387.65,1.00k,-2.87
20150401,399.10,399.10,399.10,399.10,1.00k,2.48
20150326,389.45,389.45,389.45,389.45,3.00k,-7.53
20150213,421.15,421.15,421.15,421.15,0.40k,-1.08
20150205,425.75,425.75,425.75,425.75,0.70k,-0.97
20150130,429.90,429.90,429.90,429.90,0.90k,-1.34
20150126,435.75,432.25,435.75,432.25,1.18k,7.61
20141230,404.95,404.95,404.95,404.95,0.50k,-1.53
20141229,411.25,411.25,411.25,411.25,1.00k,1.90
20141219,403.60,403.60,403.60,403.60,0.50k,-9.91
20141113,448.01,448.01,448.01,448.01,0.80k,-9.40
20141031,494.50,494.50,494.50,494.50,1.62k,-7.59
20140929,535.10,535.10,535.10,535.10,0.60k,11.91
20140916,478.15,478.15,478.15,478.15,2.89k,-0.69
20140903,481.45,481.45,481.45,481.45,0.10k,5.76
20140822,455.25,455.25,455.25,455.25,0.40k,6.43
20140819,427.75,427.75,427.75,427.75,2.10k,2.25
20140814,418.35,418.35,418.35,418.35,0.24k,1.10
20140813,413.80,413.80,413.80,413.80,1.40k,4.73
20140812,395.10,395.10,395.10,395.10,0.60k,5.08
20140811,376.00,376.00,376.00,376.00,0.05k,0.86
20140806,372.80,372.80,372.80,372.80,0.80k,-0.09
20140805,373.15,373.15,373.15,373.15,0.40k,0.91
20140804,369.80,369.80,369.80,369.80,0.70k,3.30
20140801,358.00,358.00,358.00,358.00,0.40k,-1.12
20140731,362.05,362.05,362.05,362.05,4.00k,-2.27
20140721,370.47,370.47,370.47,370.47,0.15k,-0.81
20140711,373.50,373.50,373.50,373.50,0.80k,-2.56
20140703,383.30,383.30,383.30,383.30,4.00k,-0.25
20140702,384.25,384.25,384.25,384.25,0.24k,1.92
20140623,377.00,377.00,377.00,377.00,0.01k,-5.36
20140619,398.35,398.35,398.35,398.35,0.36k,0.10
20140618,397.95,399.95,399.95,397.95,1.78k,3.27
20140617,385.35,385.35,385.35,385.35,2.00k,-5.68
20140520,408.55,408.55,408.55,408.55,1.10k,17.92
20140512,346.45,346.45,346.45,346.45,1.30k,-4.36
20140227,362.25,362.25,362.25,362.25,1.70k,-10.56
20140204,405.00,405.00,405.00,405.00,1.60k,17.39
20140130,345.00,340.00,345.00,340.00,0.35k,19.94
20140102,287.65,291.10,291.10,287.65,4.70k,9.39
20131206,262.95,262.95,262.95,262.95,1.60k,0.67
20131204,261.20,261.20,261.20,261.20,2.00k,-8.11
20131114,284.25,284.25,284.25,284.25,0.20k,-1.20
20131111,287.70,287.70,287.70,287.70,1.80k,-0.84
20131105,290.15,290.15,290.15,290.15,1.10k,-1.51
20131025,294.60,294.60,294.60,294.60,1.80k,7.26
20131016,274.65,274.65,274.65,274.65,1.10k,-0.25
20131004,275.35,275.50,275.50,275.35,1.00k,-0.38
20130924,276.40,276.40,276.40,276.40,1.00k,7.11
20130904,258.05,258.05,258.05,258.05,0.80k,1.20
20130903,255.00,255.00,255.00,255.00,0.50k,3.30
20130827,246.85,246.85,246.85,246.85,0.50k,-0.68
20130815,248.55,248.55,248.55,248.55,2.00k,-3.66
20130807,258.00,258.00,258.00,258.00,1.30k,1.47
20130805,254.25,254.25,254.25,254.25,0.50k,3.97
20130723,244.55,244.55,244.55,244.55,1.70k,-0.69
20130716,246.25,245.00,246.25,245.00,1.50k,8.94
20130708,226.05,226.05,226.05,226.05,1.10k,-4.07
20130617,235.65,235.65,235.65,235.65,1.00k,-0.17
20130613,236.05,236.05,236.05,236.05,0.50k,-5.68
20130531,250.26,250.26,250.26,250.26,0.20k,-7.86
20130422,271.60,271.60,271.60,271.60,0.11k,-0.15
20130417,272.00,272.00,272.00,272.00,1.20k,11.02
20130404,245.00,245.00,245.00,245.00,3.40k,-1.07
20130403,247.65,247.65,247.65,247.65,1.20k,0.00
20130327,247.65,247.65,247.65,247.65,1.20k,3.84
20130321,238.50,238.50,238.50,238.50,0.40k,0.93
20130318,236.30,236.30,236.30,236.30,0.53k,3.44
20130311,228.45,228.45,228.45,228.45,3.40k,10.98
20130215,205.85,205.80,205.85,205.80,2.00k,-2.58
20130213,211.30,211.30,211.30,211.30,1.20k,-0.02
20130208,211.35,212.25,212.25,211.35,2.57k,-0.05
20130206,211.45,211.45,211.45,211.45,0.70k,16.57
20120817,181.40,181.40,181.40,181.40,-,0.97
20120816,179.65,181.00,181.00,179.65,6.30k,-1.80
20120815,182.95,182.95,182.95,182.95,2.40k,8.54
20120810,168.55,168.55,168.55,168.55,2.22k,-2.32
20120726,172.55,175.00,175.00,172.55,6.30k,-4.77
20120718,181.20,181.20,181.20,181.20,1.70k,2.26
20120706,177.20,177.20,177.20,177.20,0.28k,12.33
20120515,157.75,157.75,157.75,157.75,4.00k,2.37
20120511,154.10,154.10,154.10,154.10,1.10k,5.33
20120418,146.30,146.30,146.30,146.30,1.10k,19.92
20120217,122.00,122.00,122.00,122.00,1.24k,2.69
20120209,118.80,118.80,118.80,118.80,1.00k,-1.45
20120208,120.55,120.55,120.55,120.55,1.24k,8.60
20120119,111.00,111.00,111.00,111.00,0.59k,-1.64
20120105,112.85,112.55,112.85,112.55,2.00k,2.36
20111207,110.25,110.25,110.25,110.25,0.27k,-3.42
20111123,114.15,114.15,114.15,114.15,0.44k,-2.93
20111110,117.60,117.60,117.60,117.60,1.27k,1.99
20110908,115.30,115.55,115.55,115.30,3.00k,8.36
20110726,106.40,106.45,106.45,106.40,2.00k,3.60
20110712,102.70,102.70,102.70,102.70,0.96k,-8.63
20110510,112.40,112.40,112.40,112.40,0.89k,17.82
20110223,95.40,95.45,95.45,95.40,0.52k,0.37
20110222,95.05,95.05,95.05,95.05,2.00k,1.88
20110207,93.30,93.30,93.30,93.30,0.80k,5.54
20110118,88.40,88.40,88.40,88.40,0.45k,-1.72
20110110,89.95,89.95,89.95,89.95,0.56k,-2.18
20110105,91.95,91.95,91.95,91.95,1.09k,5.57
20101210,87.10,87.10,87.10,87.10,1.15k,-7.24
