fecha,ultima,apertura,maximo,minimo,vol,varianza
20170817,618.95,618.95,618.95,618.95,0.50k,5.80
20160901,585.04,585.04,585.04,585.04,0.50k,-5.64
20160722,620.00,600.00,620.00,600.00,0.05k,32.01
20160513,469.65,469.65,469.65,469.65,0.04k,2.18
20160503,459.65,459.65,459.65,459.65,0.04k,23.35
20160217,372.63,372.63,372.63,372.63,0.03k,-2.70
20160212,382.97,382.97,382.97,382.97,0.04k,3.61
20160211,369.63,369.63,369.63,369.63,0.05k,26.15
20151211,293.00,293.00,293.00,293.00,0.03k,14.34
20151201,256.26,256.26,256.26,256.26,6.51k,-5.47
20151023,271.10,271.10,271.10,271.10,1.70k,6.31
20151022,255.00,255.00,255.00,255.00,0.03k,7.14
20150917,238.00,238.00,238.00,238.00,0.02k,0.00
20150916,238.00,238.00,238.00,238.00,0.05k,1.14
20150729,235.32,235.32,235.32,235.32,1.70k,-9.40
20150722,259.75,259.75,259.75,259.75,0.10k,-1.89
20150720,264.74,264.74,264.74,264.74,0.02k,-10.17
20150715,294.71,294.71,294.71,294.71,0.01k,-7.84
20150528,319.77,319.77,319.77,319.77,0.05k,-0.07
20150513,320.00,320.00,320.00,320.00,0.05k,16.36
20150422,275.00,275.00,275.00,275.00,0.05k,-7.34
20150305,296.78,296.78,296.78,296.78,1.51k,36.46
20141215,217.49,217.49,217.49,217.49,0.03k,-7.46
20141210,235.03,235.03,235.03,235.03,0.05k,2.28
20141202,229.79,228.59,229.79,228.59,3.06k,-1.03
20141201,232.19,232.54,232.54,230.69,7.09k,2.42
20141128,226.69,226.69,226.69,226.69,0.05k,-33.73
20140909,342.05,342.05,342.05,342.05,0.04k,1.28
20140908,337.74,337.74,337.74,337.74,0.04k,2.99
20140904,327.95,327.95,327.95,327.95,0.04k,0.43
20140822,326.55,326.55,326.55,326.55,0.04k,20.28
20140807,271.50,271.50,271.50,271.50,0.05k,10.95
20140724,244.70,244.70,244.70,244.70,0.05k,-3.60
20140718,253.85,253.85,253.85,253.85,0.05k,-1.74
20140715,258.35,258.35,258.35,258.35,0.09k,1.17
20140714,255.35,255.35,255.35,255.35,0.05k,-1.01
20140618,257.95,257.95,257.95,257.95,0.05k,5.33
20140616,244.90,244.90,244.90,244.90,0.05k,-0.71
20140613,246.65,246.65,246.65,246.65,0.05k,1.88
20140603,242.10,242.10,242.10,242.10,0.05k,-5.00
20140528,254.84,254.84,254.84,254.84,0.09k,0.73
20140523,252.99,252.99,252.99,252.99,0.05k,4.20
20140509,242.80,242.80,242.80,242.80,0.05k,0.70
20140421,241.10,241.10,241.10,241.10,0.02k,2.12
20140328,236.10,236.10,236.10,236.10,0.05k,-2.07
20140326,241.10,241.10,241.10,241.10,0.05k,-9.02
20140317,265.00,265.00,265.00,265.00,0.04k,0.38
20140313,264.00,264.00,264.00,264.00,0.05k,5.22
20140311,250.90,250.90,250.90,250.90,0.05k,1.59
20140310,246.97,246.97,246.97,246.97,0.05k,-2.84
20140306,254.20,254.20,254.20,254.20,0.05k,1.92
20140227,249.40,249.40,249.40,249.40,0.05k,-0.87
20140226,251.60,251.60,251.60,251.60,0.05k,-0.22
20140225,252.15,252.15,252.15,252.15,0.05k,0.92
20140224,249.85,249.85,249.85,249.85,0.05k,-3.25
20140219,258.25,258.25,258.25,258.25,0.05k,1.21
20140218,255.15,255.15,255.15,255.15,0.08k,0.00
20140214,255.15,255.15,255.15,255.15,0.05k,1.29
20140212,251.90,251.90,251.90,251.90,0.05k,5.97
20140207,237.70,237.70,237.70,237.70,0.05k,-7.98
20140205,258.30,258.30,258.30,258.30,0.05k,-4.98
20140203,271.85,271.85,271.85,271.85,0.05k,8.35
20140121,250.90,251.85,251.85,250.90,1.21k,10.75
20140114,226.55,226.55,226.55,226.55,0.08k,0.00
20140113,226.55,226.55,226.55,226.55,0.06k,9.44
20140109,207.00,215.00,215.00,207.00,41.58k,-3.86
20140108,215.30,215.30,215.30,215.30,0.06k,9.68
20131217,196.30,196.30,196.30,196.30,9.39k,-2.60
20131216,201.55,201.55,201.55,201.55,1.51k,0.07
20131213,201.40,201.40,201.40,201.40,0.06k,-6.21
20131127,214.73,214.73,214.73,214.73,0.06k,-2.26
20131126,219.70,219.70,219.70,219.70,0.06k,-10.84
20131119,246.40,246.40,246.40,246.40,0.05k,-0.98
20131113,248.84,249.03,249.03,248.84,2.92k,-0.52
20131112,250.13,250.13,250.13,250.13,0.05k,-3.06
20131107,258.03,258.03,258.03,258.03,0.05k,1.49
20131105,254.25,254.25,254.25,254.25,0.05k,-2.11
20131028,259.72,259.72,259.72,259.72,1.29k,1.18
20131025,256.69,256.69,256.69,256.69,22.00k,0.45
20131023,255.55,267.10,267.10,255.55,3.67k,0.85
20131021,253.40,253.40,253.40,253.40,7.41k,5.52
20131010,240.15,243.45,243.45,240.15,0.98k,-3.17
20131008,248.00,247.70,248.00,247.70,0.07k,0.83
20131004,245.95,245.95,245.95,245.95,0.05k,-1.11
20131003,248.70,248.70,248.70,248.70,0.05k,3.93
20131001,239.30,239.30,239.30,239.30,0.37k,-7.96
20130925,260.00,260.00,260.00,260.00,0.04k,-0.99
20130923,262.60,262.60,262.60,262.60,0.05k,-0.92
20130920,265.05,265.05,265.05,265.05,0.05k,0.65
20130918,263.35,263.35,263.35,263.35,0.30k,-2.46
20130917,270.00,270.00,270.00,270.00,0.04k,5.10
20130912,256.90,257.65,257.65,256.90,6.36k,-2.49
20130911,263.45,261.95,263.45,261.95,1.18k,-0.98
20130909,266.05,267.60,267.60,266.05,0.71k,-0.80
20130906,268.20,269.95,269.95,268.20,1.95k,-1.36
20130905,271.90,270.00,271.90,270.00,0.17k,-1.25
20130903,275.35,281.00,281.00,275.35,1.80k,-1.43
20130829,279.33,279.33,279.33,279.33,0.13k,-3.75
20130828,290.23,295.05,295.05,290.23,0.17k,15.23
20130809,251.87,251.87,251.87,251.87,0.35k,10.57
20130807,227.80,230.75,230.75,227.80,2.00k,-0.50
20130806,228.95,228.95,228.95,228.95,0.05k,-6.95
20130802,246.05,246.05,246.05,246.05,0.05k,0.33
20130801,245.25,245.25,245.25,245.25,0.05k,-0.55
20130731,246.60,246.60,246.60,246.60,0.05k,-1.87
20130730,251.30,252.40,252.40,251.30,7.15k,-0.79
20130729,253.30,252.75,253.30,252.75,16.58k,1.04
20130725,250.70,255.05,255.05,250.70,6.84k,-0.52
20130722,252.00,252.00,252.00,252.00,3.42k,3.77
20130717,242.85,243.15,243.15,242.85,19.41k,-0.47
20130716,244.00,244.00,244.00,244.00,0.05k,-8.94
20130613,267.95,267.95,267.95,267.95,0.05k,-3.30
20130612,277.10,277.10,277.10,277.10,0.04k,0.02
20130611,277.05,277.05,277.05,277.05,0.04k,-1.51
20130610,281.30,281.30,281.30,281.30,0.04k,-0.84
