fecha,ultima,apertura,maximo,minimo,vol,varianza
20171226,386.70,386.70,386.70,386.70,1.84k,3.67
20171219,373.00,373.00,373.00,373.00,0.30k,7.80
20171215,346.00,346.00,346.00,346.00,0.11k,0.00
20171206,346.00,346.00,346.00,346.00,8.36k,11.38
20171020,310.64,310.64,310.64,310.64,6.40k,4.68
20171011,296.74,296.74,296.74,296.74,2.40k,-14.58
20170811,347.40,347.40,347.40,347.40,0.30k,0.26
20170725,346.50,346.50,346.50,346.50,1.20k,1.55
20170724,341.20,341.20,341.20,341.20,0.48k,0.35
20170720,340.00,340.00,340.00,340.00,0.15k,2.97
20170703,330.20,330.20,330.20,330.20,0.54k,15.76
20170621,285.25,285.25,285.25,285.25,0.90k,-1.43
20170612,289.40,289.40,289.40,289.40,0.42k,4.05
20170522,278.13,278.13,278.13,278.13,5.10k,2.37
20170511,271.70,271.70,271.70,271.70,0.04k,-5.00
20170417,286.00,286.00,286.00,286.00,0.15k,-2.65
20170328,293.80,291.00,293.80,291.00,0.61k,-0.25
20170313,294.55,294.55,294.55,294.55,0.90k,-0.15
20170223,295.00,295.00,295.00,295.00,0.09k,-0.51
20170221,296.50,296.50,296.50,296.50,3.00k,7.04
20170214,277.00,277.00,277.00,277.00,0.01k,-0.50
20170202,278.40,278.40,278.40,278.40,3.60k,-0.36
20170201,279.40,279.40,279.40,279.40,3.94k,0.98
20170131,276.70,276.70,276.70,276.70,1.44k,-3.23
20170124,285.95,285.95,285.95,285.95,6.30k,3.49
20161221,276.30,276.30,276.30,276.30,0.45k,0.69
20161214,274.40,274.40,274.40,274.40,0.90k,4.08
20161118,263.65,263.65,263.65,263.65,10.62k,1.99
20161110,258.50,258.50,258.50,258.50,6.00k,-2.82
20161020,266.00,266.00,266.00,266.00,0.11k,2.50
20161019,259.50,259.50,259.50,259.50,2.10k,0.39
20161013,258.50,258.50,258.50,258.50,0.05k,-2.98
20161004,266.45,266.45,266.45,266.45,0.90k,-4.84
20160928,280.00,280.00,280.00,280.00,0.10k,0.00
20160926,280.00,280.00,280.00,280.00,2.00k,1.65
20160920,275.45,275.45,275.45,275.45,2.50k,-2.67
20160914,283.00,283.00,283.00,283.00,2.00k,0.07
20160817,282.80,281.25,282.80,281.25,2.11k,-1.81
20160801,288.00,288.00,288.00,288.00,0.50k,1.12
20160726,284.80,284.80,284.80,284.80,2.85k,-1.03
20160721,287.75,287.75,287.75,287.75,1.22k,-3.11
20160719,297.00,297.00,297.00,297.00,9.66k,3.85
20160714,286.00,286.00,286.00,286.00,1.00k,0.00
20160713,286.00,286.00,286.00,286.00,1.00k,0.00
20160712,286.00,286.00,286.00,286.00,0.30k,2.42
20160707,279.25,279.25,279.25,279.25,0.05k,0.00
20160706,279.25,279.25,279.25,279.25,4.50k,13.75
20160616,245.50,245.50,245.50,245.50,1.05k,-3.73
20160615,255.00,255.00,255.00,255.00,0.23k,1.07
20160614,252.30,252.30,252.30,252.30,1.58k,-2.52
20160524,258.82,258.82,258.82,258.82,0.03k,-5.76
20160512,274.65,274.65,274.65,274.65,4.47k,-4.73
20160426,288.30,288.30,288.30,288.30,3.39k,-2.99
20160404,297.20,297.20,297.20,297.20,1.08k,-2.06
20160331,303.45,304.10,304.10,303.45,2.08k,-0.51
20160330,305.00,305.00,305.00,305.00,2.60k,-5.21
20160304,321.75,321.75,321.75,321.75,0.03k,0.00
20160303,321.75,328.00,328.00,321.75,1.76k,0.22
20160302,321.05,321.05,321.05,321.05,4.50k,4.87
20160224,306.14,306.14,306.14,306.14,7.95k,-1.04
20160223,309.36,309.36,309.36,309.36,4.80k,2.49
20160218,301.85,301.85,301.85,301.85,4.50k,1.84
20160217,296.40,296.40,296.40,296.40,11.10k,2.60
20160216,288.90,288.90,288.90,288.90,6.00k,-3.98
20151218,300.88,300.88,300.88,300.88,3.32k,-47.38
20151013,571.79,571.79,571.79,571.79,0.75k,2.14
20151007,559.81,559.81,559.81,559.81,1.59k,2.25
20150918,547.50,547.50,547.50,547.50,0.02k,6.93
20150904,512.00,512.00,512.00,512.00,5.37k,5.51
20150706,485.25,485.25,485.25,485.25,1.20k,13.84
20150616,426.25,426.25,426.25,426.25,0.62k,6.43
20150529,400.50,400.50,400.50,400.50,0.60k,1.82
20150430,393.36,393.36,393.36,393.36,5.40k,2.79
20150313,382.70,382.70,382.70,382.70,1.05k,0.45
20150223,381.00,381.00,381.00,381.00,2.33k,-2.16
20141126,389.40,389.40,389.40,389.40,3.20k,-4.09
20141103,406.00,406.00,406.00,406.00,7.37k,4.50
20141016,388.50,388.50,388.50,388.50,1.54k,51.05
20140722,257.20,257.20,257.20,257.20,2.25k,-5.16
20140228,271.20,271.20,271.20,271.20,9.00k,5.81
20140122,256.30,256.30,256.30,256.30,6.60k,6.57
20131105,240.50,240.50,240.50,240.50,13.05k,134.21
20120817,102.68,102.68,102.68,102.68,5.99k,-50.22
20120511,206.26,206.26,206.26,206.26,0.74k,28.49
20120203,160.53,160.53,160.53,160.53,0.33k,2.96
20120127,155.92,155.92,155.92,155.92,0.54k,-0.19
20120123,156.22,156.22,156.22,156.22,0.48k,2.10
20120106,153.00,153.00,153.00,153.00,0.24k,0.56
20120105,152.15,152.10,152.15,152.10,1.94k,0.26
20111221,151.76,151.76,151.76,151.76,0.12k,3.97
