fecha,ultima,apertura,maximo,minimo,vol,varianza
20171114,73.300,73.300,73.300,73.300,0.13k,-3.87
20170627,76.250,76.250,76.250,76.250,0.33k,4.17
20170306,73.198,73.198,73.198,73.198,0.11k,-4.00
20161021,76.250,76.250,76.250,76.250,0.13k,-14.33
20160801,89.000,89.000,89.000,89.000,0.11k,-10.37
20151130,99.302,99.302,99.302,99.302,1.44k,-5.55
20151120,105.138,105.138,105.138,105.138,0.50k,3.24
20140825,101.840,101.840,101.840,101.840,1.94k,8.58
20140820,93.793,88.857,93.793,88.857,0.69k,7.95
20140814,86.882,86.882,86.882,86.882,0.14k,8.70
20140523,79.929,79.929,79.929,79.929,0.40k,6.33
20140522,75.171,75.171,75.171,75.171,0.40k,1.94
20140520,73.744,74.172,74.172,73.744,0.90k,-6.89
20140224,79.200,79.200,79.200,79.200,1.20k,19.37
20131218,66.350,66.350,66.350,66.350,1.34k,-7.20
20131114,71.500,72.100,72.100,71.500,1.39k,-1.85
20131113,72.850,72.850,72.850,72.850,1.29k,23.47
20131002,59.000,59.000,59.000,59.000,0.33k,0.00
20130926,59.000,59.000,59.000,59.000,0.53k,-3.28
20130919,61.000,60.000,61.000,60.000,0.10k,28.42
20130909,47.500,47.000,47.500,47.000,1.98k,-0.84
20130905,47.900,46.500,47.900,46.500,1.00k,3.01
20130904,46.500,46.000,46.500,46.000,1.20k,3.33
20130903,45.000,45.000,45.000,45.000,0.58k,50.00
20130702,30.000,30.000,30.000,30.000,0.33k,2.21
20130628,29.350,29.350,29.350,29.350,0.34k,-2.17
20130618,30.000,30.000,30.000,30.000,0.10k,1.35
20130614,29.600,29.600,29.600,29.600,0.33k,0.00
20130610,29.600,29.600,29.600,29.600,0.10k,3.86
20130521,28.500,28.500,28.500,28.500,0.17k,-1.72
20130419,29.000,29.000,29.000,29.000,0.33k,1.05
20130411,28.700,28.700,28.700,28.700,0.79k,0.70
20130408,28.500,28.500,28.500,28.500,1.04k,2.89
20130322,27.700,27.700,27.700,27.700,7.67k,-10.65
20130321,31.000,31.000,31.000,31.000,0.10k,-0.96
20130215,31.300,31.350,31.350,31.300,2.74k,-9.28
20130117,34.500,34.500,34.500,34.500,0.35k,1.47
20130115,34.000,33.300,34.000,33.000,2.63k,0.89
20130114,33.700,33.300,33.700,33.300,3.30k,5.31
20130111,32.000,32.000,32.000,32.000,0.22k,6.67
20130110,30.000,30.000,30.000,30.000,0.56k,2.74
20130103,29.200,29.200,29.200,29.200,0.09k,8.75
20121227,26.850,26.900,26.900,26.850,3.72k,20.40
20121127,22.300,22.300,22.300,22.300,14.38k,-3.46
20121123,23.100,23.100,23.100,23.100,0.29k,7.44
20121121,21.500,21.850,21.850,21.500,10.12k,10.54
20121114,19.450,19.450,19.450,19.450,23.40k,6.28
20121016,18.300,18.300,18.300,18.300,0.30k,4.57
20121009,17.500,17.500,17.500,17.500,0.56k,-1.69
20120919,17.800,18.700,18.700,17.800,1.99k,-7.29
20120914,19.200,19.200,19.200,19.200,0.40k,1.86
20120823,18.850,15.300,18.850,15.300,1.15k,23.61
20120814,15.250,15.250,15.250,15.250,3.80k,-11.59
20120810,17.250,17.250,17.250,17.250,1.00k,40.82
20120710,12.250,12.250,12.250,12.250,0.45k,-8.92
20120705,13.450,13.450,13.450,13.450,0.55k,-19.22
20120615,16.650,16.650,16.650,16.650,1.10k,-3.20
20120516,17.200,17.200,17.200,17.200,0.57k,-30.87
20120217,24.880,24.880,24.880,24.880,1.40k,9.22
20120210,22.780,22.780,22.780,22.780,0.80k,3.03
20120206,22.110,22.110,22.110,22.110,2.06k,379.61
20110712,4.610,4.610,4.610,4.610,7.65k,-11.85
20110629,5.230,5.230,5.230,5.230,3.70k,-11.36
20110531,5.900,5.900,5.900,5.900,15.00k,-19.40
20110519,7.320,7.320,7.320,7.320,4.00k,9.58
20110328,6.680,6.680,6.680,6.680,4.06k,12.84
20110317,5.920,6.190,6.190,5.920,21.02k,-6.62
20110309,6.340,6.340,6.340,6.340,14.15k,2.26
20110304,6.200,6.200,6.200,6.200,14.18k,-7.88
20110303,6.730,7.180,7.180,6.730,1.00k,1.66
20110301,6.620,6.650,6.650,6.620,16.28k,0.30
20110225,6.600,6.600,6.600,6.600,13.70k,-19.41
20110210,8.190,8.190,8.190,8.190,11.00k,-1.56
20110203,8.320,8.320,8.320,8.320,10.86k,8.19
20110106,7.690,7.690,7.690,7.690,8.80k,7.10
20101118,7.180,7.180,7.180,7.180,18.45k,-9.69
20101021,7.950,7.950,7.950,7.950,0.21k,16.40
20100608,6.830,6.820,6.830,6.820,5.93k,1.79
20100604,6.710,6.710,6.710,6.710,2.00k,-4.69
20100520,7.040,7.040,7.040,7.040,1.00k,-7.73
20100513,7.630,8.070,8.070,7.630,2.50k,-3.90
20100510,7.940,8.070,8.070,7.940,2.22k,-14.86
20100412,9.326,9.326,9.326,9.326,2.16k,8.49
20100304,8.596,8.556,8.596,8.556,28.00k,0.95
20100208,8.515,8.515,8.515,8.515,1.44k,9.60
20100127,7.769,7.769,7.769,7.769,7.49k,-3.03
20091204,8.012,8.012,8.012,8.012,8.10k,-4.55
20090730,8.394,8.394,8.394,8.394,1.00k,-0.47
20090727,8.434,8.434,8.434,8.434,3.35k,-9.18
20090617,9.286,9.245,9.286,9.245,12.50k,3.24
20090423,8.995,8.995,8.995,8.995,2.00k,43.05
20090219,6.288,6.280,6.288,6.280,25.00k,-14.43
20090211,7.348,7.356,7.356,7.348,29.50k,-23.43
20081030,9.597,9.597,9.597,9.597,35.73k,-11.16
20080919,10.802,10.802,10.802,10.802,2.25k,8.48
20080909,9.958,9.718,9.958,9.718,80.50k,-22.26
20080822,12.809,12.850,12.850,12.809,22.50k,0.31
20080716,12.769,12.729,12.769,12.729,2.50k,-2.46
20080626,13.091,13.091,13.091,13.091,5.00k,5.50
20080619,12.408,12.448,12.448,12.408,4.08k,-16.71
20080530,14.898,14.938,14.938,14.898,26.49k,4.51
20080527,14.255,14.496,14.496,14.255,5.50k,-6.58
20080520,15.259,15.219,15.259,15.219,6.41k,4.91
20080508,14.545,14.583,14.583,14.545,5.00k,-1.80
20080507,14.811,14.811,14.811,14.811,2.50k,3.73
20080506,14.278,14.240,14.278,14.240,9.90k,1.35
20080424,14.088,14.088,14.088,14.088,6.41k,-11.70
20080313,15.954,15.915,15.954,15.915,2.50k,-2.55
20080304,16.372,16.334,16.372,16.334,21.00k,-4.02
20080303,17.058,17.096,17.096,17.058,4.80k,-3.03
20080131,17.591,17.553,17.591,17.553,5.40k,5.24
20080130,16.715,16.677,16.715,16.677,5.00k,-11.31
20071205,18.847,18.847,18.847,18.847,1.30k,-3.32
20071203,19.495,19.495,19.495,19.495,1.40k,1.39
20071130,19.228,19.228,19.228,19.228,11.25k,6.54
20071127,18.048,18.048,18.048,18.048,0.90k,0.00
20071121,18.048,18.010,18.048,18.010,10.47k,0.21
20071112,18.010,18.010,18.010,18.010,48.05k,-9.73
20071107,19.951,19.913,19.951,19.913,52.10k,6.29
20071101,18.771,18.771,18.771,18.771,4.04k,-2.18
20071026,19.190,19.228,19.228,19.190,150.00k,2.86
20071023,18.657,18.657,18.657,18.657,1.95k,3.59
20070926,18.010,17.972,18.010,17.972,28.73k,8.24
