fecha,ultima,apertura,maximo,minimo,vol,varianza
20170929,1390.00,1390.00,1390.00,1390.00,0.20k,8.17
20170828,1285.00,1285.00,1285.00,1285.00,0.10k,16.92
20170725,1099.00,1099.00,1099.00,1099.00,12.80k,-4.43
20170721,1150.00,1150.00,1150.00,1150.00,0.60k,-0.86
20170712,1160.00,1160.00,1160.00,1160.00,0.10k,0.87
20170705,1150.00,1150.00,1150.00,1150.00,0.10k,17.35
20170628,980.00,980.00,980.00,980.00,0.02k,3.59
20170519,946.00,946.00,946.00,946.00,0.20k,7.13
20170508,883.00,883.00,883.00,883.00,0.20k,8.34
20170206,815.00,815.00,815.00,815.00,0.12k,9.15
20170124,746.70,746.70,746.70,746.70,0.12k,-5.21
20170117,787.70,787.70,787.70,787.70,0.20k,-3.93
20161229,819.90,819.90,819.90,819.90,0.20k,10.80
20161125,740.00,740.00,740.00,740.00,12.80k,7.56
20161118,688.00,688.00,688.00,688.00,0.20k,5.85
20161110,650.00,650.00,650.00,650.00,0.05k,-7.14
20161007,700.00,700.00,700.00,700.00,0.05k,-6.35
20160930,747.50,747.50,747.50,747.50,0.90k,15.00
20160907,650.00,650.00,650.00,650.00,0.40k,-2.03
20160906,663.50,663.50,663.50,663.50,0.76k,0.84
20160831,658.00,658.00,658.00,658.00,0.05k,-18.36
20160608,806.00,806.00,806.00,806.00,0.20k,38.14
20160429,583.48,583.48,583.48,583.48,0.10k,-8.26
20160310,636.00,636.00,636.00,636.00,0.30k,11.58
20160226,570.00,570.00,570.00,570.00,0.10k,32.25
20160111,431.00,431.00,431.00,431.00,0.40k,-6.30
20151217,460.00,460.00,460.00,460.00,0.05k,-19.16
20151110,569.00,569.00,569.00,569.00,0.10k,7.77
20151104,528.00,528.00,528.00,528.00,0.05k,13.06
20151027,467.00,467.00,467.00,467.00,0.20k,4.24
20150731,448.00,448.00,448.00,448.00,0.10k,-4.68
20150710,470.00,470.00,470.00,470.00,0.10k,6.58
20150619,441.00,441.00,441.00,441.00,0.20k,49.38
20150521,295.22,295.22,295.22,295.22,0.20k,-12.85
20150220,338.74,338.74,338.74,338.74,0.10k,8.06
20150112,313.48,313.48,313.48,313.48,0.10k,7.07
20141230,292.78,292.78,292.78,292.78,0.15k,0.21
20141222,292.17,292.17,292.17,292.17,0.20k,-13.98
20141118,339.65,339.65,339.65,339.65,0.10k,-11.15
20141103,382.26,382.26,382.26,382.26,0.10k,26.17
20141015,302.98,302.98,302.98,302.98,0.05k,-13.24
20140922,349.22,349.22,349.22,349.22,0.10k,15.26
20140912,302.98,302.98,302.98,302.98,0.10k,5.56
20140828,287.03,287.03,287.03,287.03,0.10k,4.85
20140826,273.74,273.74,273.74,273.74,0.15k,2.33
20140730,267.50,267.50,267.50,267.50,0.20k,10.61
20140725,241.85,241.85,241.85,241.85,0.10k,-5.11
20140710,254.87,255.14,255.14,254.87,0.70k,-3.13
20140618,263.11,263.11,263.11,263.11,0.10k,-9.92
20140610,292.08,292.08,292.08,292.08,0.10k,42.92
20140606,204.36,204.36,204.36,204.36,0.10k,0.00
20140605,204.36,204.36,204.36,204.36,0.10k,8.79
20140523,187.84,187.84,187.84,187.84,0.15k,3.88
20140520,180.82,180.82,180.82,180.82,0.10k,6.83
20140430,169.26,169.26,169.26,169.26,0.10k,9.33
20140310,154.81,154.81,154.81,154.81,0.20k,-7.02
20140203,166.50,166.50,166.50,166.50,0.10k,9.00
20131230,152.75,152.75,152.75,152.75,0.10k,58.52
20131213,96.36,96.36,96.36,96.36,1.65k,2.11
20131212,94.37,94.37,94.37,94.37,0.10k,-5.00
20131031,99.34,99.34,99.34,99.34,0.10k,7.23
20131029,92.64,92.64,92.64,92.64,0.10k,-8.58
20131022,101.33,101.33,101.33,101.33,0.10k,7.94
