fecha,ultima,apertura,maximo,minimo,vol,varianza
20171227,778.25,778.25,778.25,778.25,0.24k,2.03
20171226,762.80,730.00,762.80,730.00,0.08k,4.92
20171215,727.00,727.00,727.00,727.00,0.02k,-0.04
20171205,727.30,727.30,727.30,727.30,1.75k,3.90
20170705,700.00,700.00,700.00,700.00,0.05k,-0.14
20170703,701.00,701.00,701.00,701.00,0.21k,26.06
20170215,556.10,556.10,556.10,556.10,0.34k,-2.56
20170125,570.70,570.70,570.70,570.70,0.02k,0.67
20161227,566.90,566.90,566.90,566.90,0.53k,-3.09
20160912,585.00,585.00,585.00,585.00,0.02k,-0.85
20160825,590.00,590.00,590.00,590.00,0.06k,-2.56
20160817,605.50,605.50,605.50,605.50,0.82k,12.78
20160330,536.90,536.90,536.90,536.90,0.48k,-6.35
20151218,573.32,573.32,573.32,573.32,0.17k,-9.00
20151117,630.00,630.00,630.00,630.00,0.01k,0.51
20151112,626.80,626.80,626.80,626.80,0.01k,-0.02
20151111,626.90,626.90,626.90,626.90,4.63k,0.34
20151014,624.75,624.75,624.75,624.75,0.10k,-1.87
20151009,636.65,636.65,636.65,636.65,0.78k,-4.95
20150902,669.80,669.80,669.80,669.80,0.84k,-1.03
20150827,676.80,676.80,676.80,676.80,0.02k,9.16
20150824,620.00,620.00,620.00,620.00,0.00k,3.33
20150521,600.00,600.00,600.00,600.00,0.01k,-1.40
20150506,608.55,608.55,608.55,608.55,0.02k,-1.18
20150423,615.80,615.80,615.80,615.80,0.13k,1.45
20150415,607.00,607.00,607.00,607.00,0.05k,0.00
20150409,607.00,607.00,607.00,607.00,1.12k,4.66
20150317,580.00,580.00,580.00,580.00,0.22k,0.43
20150316,577.50,577.50,577.50,577.50,1.95k,-4.32
20150225,603.59,603.59,603.59,603.59,0.03k,0.66
20150204,599.65,599.65,599.65,599.65,0.02k,11.98
20141219,535.50,535.50,535.50,535.50,0.51k,-12.71
20141031,613.50,613.50,613.50,613.50,1.06k,17.63
20140819,521.55,521.55,521.55,521.55,0.34k,15.39
20140811,452.00,452.00,452.00,452.00,0.04k,-0.20
20140806,452.90,452.90,452.90,452.90,6.80k,-7.57
20140610,490.00,490.00,490.00,490.00,0.50k,13.95
20140513,430.00,430.00,430.00,430.00,0.03k,0.00
20140505,430.00,430.00,430.00,430.00,0.03k,-0.46
20140430,432.00,432.00,432.00,432.00,0.12k,2.86
20140401,420.00,420.00,420.00,420.00,2.40k,3.33
20140328,406.45,406.45,406.45,406.45,0.03k,-3.63
20140128,421.76,430.88,430.88,421.76,0.07k,-4.29
20140124,440.65,440.65,440.65,440.65,0.04k,-2.84
20140123,453.55,453.55,453.55,453.55,1.53k,10.29
20140121,411.25,412.00,412.00,411.25,0.11k,22.58
20131220,335.50,335.50,335.50,335.50,1.00k,2.62
20131211,326.95,326.95,326.95,326.95,6.04k,-5.60
20131127,346.35,346.35,346.35,346.35,0.04k,-2.81
20131126,356.35,356.35,356.35,356.35,0.04k,-0.77
20131119,359.10,359.10,359.10,359.10,0.04k,-1.07
20131108,363.00,363.00,363.00,363.00,0.03k,0.00
20131023,363.00,363.00,363.00,363.00,8.30k,19.74
20130802,303.15,303.15,303.15,303.15,0.04k,2.43
20130801,295.95,295.95,295.95,295.95,0.04k,-0.37
20130731,297.05,299.00,299.00,297.05,0.11k,-0.13
20130730,297.45,297.45,297.45,297.45,0.04k,-1.13
20130729,300.85,300.85,300.85,300.85,0.04k,-3.70
20130717,312.40,312.40,312.40,312.40,0.04k,5.99
20130613,294.75,294.75,294.75,294.75,0.04k,-2.35
20130612,301.85,301.85,301.85,301.85,0.04k,0.32
20130611,300.90,300.90,300.90,300.90,0.04k,1.42
20130605,296.70,296.70,296.70,296.70,0.04k,-1.00
20130604,299.70,299.70,299.70,299.70,0.04k,-13.74
20130509,347.45,345.00,347.45,345.00,3.87k,-0.26
20130503,348.35,348.35,348.35,348.35,0.04k,2.40
20130502,340.20,340.20,340.20,340.20,0.04k,-0.23
20130430,341.00,342.20,342.20,341.00,0.09k,4.94
20130425,324.95,328.00,328.00,324.95,0.45k,1.39
20130424,320.50,325.00,325.00,320.50,0.23k,-1.45
20130423,325.20,327.50,327.50,325.20,0.12k,1.50
20130422,320.40,324.35,324.35,320.40,0.18k,0.30
20130419,319.45,324.65,324.65,319.45,0.09k,-0.41
20130418,320.75,322.15,322.15,320.75,0.09k,-0.94
20130417,323.80,323.80,323.80,323.80,0.16k,-0.55
20130416,325.60,327.55,327.55,325.60,0.09k,0.08
20130415,325.35,325.35,325.35,325.35,0.04k,2.31
20130412,318.00,318.00,318.00,318.00,0.39k,11.43
20130405,285.38,285.38,285.38,285.38,0.17k,-2.78
20130325,293.55,293.55,293.55,293.55,0.17k,-2.22
20130320,300.20,300.20,300.20,300.20,0.27k,2.63
20130318,292.50,295.05,295.05,292.50,0.09k,-1.02
20130315,295.50,296.05,296.05,295.50,3.74k,1.01
20130314,292.55,292.55,292.55,292.55,0.47k,4.80
20130306,279.15,276.15,279.15,276.15,0.21k,1.73
20130304,274.40,274.40,274.40,274.40,0.04k,-0.94
20130301,277.00,277.00,277.00,277.00,0.10k,5.91
20130226,261.55,261.55,261.55,261.55,0.50k,-3.47
20130225,270.95,270.95,270.95,270.95,0.10k,1.10
20130215,268.00,268.00,268.00,268.00,0.10k,0.54
20130207,266.55,270.00,270.00,266.45,0.62k,-0.47
20130201,267.80,267.80,267.80,267.80,0.15k,3.36
20130128,259.10,259.10,259.10,259.10,0.35k,3.14
20130123,251.20,251.20,251.20,251.20,0.01k,6.06
20130114,236.85,236.85,236.85,236.85,0.42k,4.04
20130109,227.65,227.65,227.65,227.65,0.30k,5.27
20130103,216.25,216.25,216.25,216.25,0.23k,2.34
20121227,211.30,211.30,211.30,211.30,0.10k,1.86
20121219,207.45,207.45,207.45,207.45,1.20k,0.36
20121211,206.70,207.15,207.15,206.70,0.48k,-2.87
20121130,212.80,212.80,212.80,212.80,0.30k,-0.40
20121128,213.65,213.65,213.65,213.65,0.15k,1.02
20121127,211.50,211.50,211.50,211.50,1.53k,2.67
20121123,206.00,206.00,206.00,206.00,0.20k,-1.20
20121116,208.50,208.50,208.50,208.50,0.15k,-3.07
20121113,215.10,214.20,215.10,214.20,0.90k,3.26
20121109,208.30,208.35,208.35,208.30,0.24k,4.57
20121031,199.20,200.85,200.85,199.20,0.49k,0.48
20121016,198.25,198.25,198.25,198.25,0.05k,0.63
20121015,197.00,197.00,197.00,197.00,0.76k,-0.28
20121010,197.55,197.55,197.55,197.55,0.10k,0.87
20121004,195.85,195.85,195.85,195.85,0.20k,0.82
20121001,194.25,194.25,194.25,194.25,0.10k,0.96
20120918,192.40,192.40,192.40,192.40,0.05k,0.03
20120917,192.35,192.35,192.35,192.35,0.14k,-0.59
20120912,193.50,193.50,193.50,193.50,0.10k,0.23
20120910,193.05,193.05,193.05,193.05,1.49k,-0.36
20120907,193.75,193.75,193.75,193.75,0.20k,0.03
20120905,193.70,193.70,193.70,193.70,0.26k,1.20
20120830,191.40,191.75,191.75,191.40,0.98k,-0.96
20120829,193.25,193.25,193.25,193.25,0.20k,-2.82
20120824,198.85,198.85,198.85,198.85,0.05k,-2.52
20120823,204.00,205.00,205.00,204.00,0.02k,2.05
20120815,199.90,199.90,199.90,199.90,2.75k,6.27
20120814,188.10,190.15,190.15,188.10,1.00k,4.79
20120810,179.50,183.30,185.00,179.50,9.61k,-5.77
20120809,190.50,190.50,190.50,190.50,0.10k,2.09
20120713,186.60,186.60,186.60,186.60,1.07k,3.61
20120627,180.10,182.05,182.05,180.10,0.20k,-0.72
20120625,181.40,181.50,181.50,181.40,1.27k,-1.23
20120622,183.65,184.80,184.80,183.65,0.20k,-0.62
20120619,184.80,184.80,184.80,184.80,0.10k,5.78
20120613,174.70,174.70,174.70,174.70,0.25k,19.99
20120502,145.60,145.60,145.60,145.60,0.12k,-0.92
20120427,146.95,146.95,146.95,146.95,0.69k,-6.40
20120420,157.00,157.00,157.00,157.00,0.10k,7.02
20120416,146.70,146.70,146.70,146.70,0.23k,-0.20
20120413,147.00,147.00,147.00,147.00,3.16k,1.24
20120327,145.20,145.20,145.20,145.20,2.00k,3.86
20120319,139.80,139.80,139.80,139.80,0.20k,15.44
20111214,121.10,121.10,121.10,121.10,0.20k,4.20
20111129,116.22,116.22,116.22,116.22,0.25k,-1.62
20110912,118.13,118.18,118.18,118.13,0.82k,-6.19
20110729,125.93,125.93,125.93,125.93,0.10k,-0.23
20110727,126.22,126.22,126.22,126.22,0.10k,0.23
20110722,125.93,125.93,125.93,125.93,0.80k,1.26
20110714,124.36,124.79,124.79,124.31,0.39k,-0.46
20110712,124.93,124.98,124.98,124.93,0.15k,-1.02
20110711,126.22,126.22,126.22,126.22,0.10k,2.89
20110701,122.68,123.54,123.54,122.63,0.55k,-1.46
20110630,124.50,124.50,124.50,124.50,1.00k,0.66
20110629,123.68,123.68,123.68,123.68,0.30k,-2.09
20110616,126.32,126.32,126.32,126.32,0.10k,-0.41
20110615,126.84,126.84,126.84,126.84,0.10k,-0.16
20110614,127.04,127.42,127.42,127.04,0.75k,-1.48
20110609,128.95,128.95,128.95,128.95,0.10k,-2.18
20110607,131.82,131.82,131.82,131.82,0.14k,0.11
20110603,131.68,131.68,131.68,131.68,0.72k,-0.83
20110602,132.78,132.78,132.78,132.78,0.10k,-1.73
20110601,135.12,135.84,135.84,135.12,0.20k,3.67
20110520,130.34,130.34,130.34,130.34,0.10k,1.12
20110516,128.90,128.90,128.90,128.90,0.10k,1.09
20110513,127.51,127.51,127.51,127.51,0.79k,3.29
20110505,123.45,123.45,123.45,123.45,0.10k,1.46
20110502,121.67,121.67,121.67,121.67,0.25k,0.16
20110429,121.48,121.48,121.48,121.48,0.71k,2.17
20110427,118.90,118.90,118.90,118.90,2.01k,4.46
20110419,113.82,113.82,113.82,113.82,0.20k,3.66
