fecha,ultima,apertura,maximo,minimo,vol,varianza
20170728,8.750,9.000,9.100,8.500,27.10k,-3.85
20170727,9.100,8.900,9.200,8.900,81.64k,-2.67
20170726,9.350,9.500,9.500,9.350,18.45k,-0.53
20170725,9.400,9.800,9.900,9.300,28.97k,-1.05
20170724,9.500,10.000,10.000,9.010,130.35k,-9.52
20170721,10.500,11.800,11.850,10.500,94.91k,-8.70
20170720,11.500,12.700,12.700,11.500,37.32k,-10.85
20170719,12.900,12.600,13.200,12.500,12.78k,-0.77
20170718,13.000,13.000,13.300,12.750,10.40k,-1.89
20170717,13.250,13.400,13.400,13.150,16.18k,-1.12
20170714,13.400,13.800,13.800,13.400,17.53k,-0.74
20170713,13.500,13.500,13.500,13.200,1.00k,0.37
20170712,13.450,13.450,13.450,13.450,0.20k,0.37
20170711,13.400,13.500,13.500,13.400,5.34k,-0.74
20170710,13.500,13.500,13.500,13.500,0.74k,0.00
20170707,13.500,13.650,13.700,13.450,20.65k,-1.10
20170706,13.650,13.600,13.650,13.600,1.20k,0.00
20170705,13.650,13.600,13.650,13.600,1.04k,-0.36
20170704,13.700,13.700,13.750,13.500,58.27k,0.00
20170703,13.700,13.600,13.700,13.500,46.92k,0.74
20170630,13.600,13.600,13.600,13.500,15.08k,-2.16
20170629,13.900,13.800,13.900,13.750,3.04k,-1.77
20170628,14.150,14.150,14.150,14.100,3.10k,0.00
20170627,14.150,14.200,14.300,13.900,22.38k,-0.35
20170626,14.200,14.200,14.200,14.200,0.50k,-1.39
20170623,14.400,14.000,14.450,14.000,9.34k,-0.69
20170622,14.500,14.400,15.000,14.400,2.29k,2.11
20170621,14.200,14.250,14.250,13.800,16.00k,-0.35
20170619,14.250,14.400,14.400,14.000,1.15k,0.35
20170616,14.200,14.300,14.300,14.200,2.43k,3.65
20170615,13.700,14.100,14.100,13.700,5.12k,-2.14
20170614,14.000,14.500,14.500,13.850,9.78k,-3.11
20170613,14.450,14.850,15.000,14.400,24.16k,-3.99
20170612,15.050,15.500,15.500,15.050,23.16k,-2.27
20170609,15.400,15.400,15.400,15.400,-,0.33
20170608,15.350,15.350,15.350,15.350,0.20k,-0.32
20170607,15.400,15.400,15.650,15.200,3.09k,0.33
20170606,15.350,15.500,15.600,15.300,28.32k,0.00
20170605,15.350,15.650,15.650,15.300,10.50k,-3.15
20170602,15.850,15.950,15.950,15.850,2.02k,-0.31
20170601,15.900,16.000,16.000,15.900,2.25k,-0.63
20170531,16.000,15.800,16.150,15.300,9.84k,0.00
20170530,16.000,16.250,16.250,15.700,2.94k,-0.62
20170529,16.100,16.000,16.200,15.700,6.36k,0.63
20170526,16.000,16.300,16.300,15.950,26.90k,-0.31
20170524,16.050,16.000,16.050,15.800,18.29k,-2.13
20170523,16.400,16.400,16.400,16.400,0.16k,2.50
20170522,16.000,16.000,16.000,15.950,6.57k,-0.31
20170519,16.050,16.400,16.450,16.000,13.38k,-0.93
20170518,16.200,16.050,16.200,16.000,19.40k,1.25
20170517,16.000,16.400,16.500,15.950,32.73k,0.00
20170516,16.000,16.500,16.500,15.900,19.97k,0.00
20170515,16.000,16.400,16.400,16.000,35.37k,-1.54
20170512,16.250,16.400,16.400,15.900,7.61k,-0.91
20170511,16.400,16.800,16.800,16.100,11.50k,-0.61
20170510,16.500,16.550,17.100,16.300,27.44k,1.23
20170509,16.300,16.000,16.350,16.000,4.01k,1.87
20170508,16.000,16.150,16.150,16.000,25.30k,0.00
20170505,16.000,16.300,16.300,16.000,8.63k,-1.84
20170504,16.300,16.100,16.300,15.800,6.55k,0.00
20170503,16.300,16.800,16.800,16.300,21.33k,-2.10
20170502,16.650,16.900,16.900,16.650,12.95k,-0.30
