fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,55.25,55.3,55.5,53.5,867.34k,-0.09
20180126,55.3,55.5,55.95,54.7,461.58k,-0.27
20180125,55.45,55.15,55.5,54.1,749.54k,0.54
20180124,55.15,54,55.4,53.85,729.93k,2.51
20180123,53.8,54,54.6,53.65,978.51k,0.09
20180122,53.75,53.4,54,52.7,823.84k,0.56
20180119,53.45,54.4,54.4,52.75,841.50k,-1.75
20180118,54.4,55.25,55.25,53.9,1.54,0.28
20180117,54.25,54.95,55.85,54,1.75,-1.18
20180116,54.9,56,56,54.05,2.56,-1.88
20180115,55.95,53.95,56.15,53.7,1.04,3.71
20180112,53.95,52.7,54.2,52.7,1.44,2.76
20180111,52.5,51.5,53,51.05,1.68,1.55
20180110,51.7,52.9,52.9,51.5,977.49k,-2.27
20180109,52.9,53.45,54.15,52.85,560.64k,-0.94
20180108,53.4,52.3,53.5,51.7,1.1,1.91
20180105,52.4,52,52.5,51.3,942.41k,0.77
20180104,52,51.85,52.2,51,1.07,0.58
20180103,51.7,51.2,51.85,50.5,851.22k,0.98
20180102,51.2,50,51.6,49.95,838.71k,2.71
20171229,49.85,50.2,50.9,48.8,807.72k,-0.8
20171228,50.25,49.3,51.25,49.15,1.84,2.13
20171227,49.2,49.1,49.95,49,917.37k,0.2
20171226,49.1,49.1,49.35,48.8,1.11,0.61
20171222,48.8,48.2,49.3,48.2,1.03,0.72
20171221,48.45,47.5,48.5,47.1,1.25,3.53
20171220,46.8,46.6,47.3,46.5,766.42k,0.43
20171219,46.6,44.4,47.1,44.4,1.27,4.6
20171218,44.55,44.7,45.3,44.1,839.63k,-0.45
20171215,44.75,44.5,45.25,44.25,1.03,0.56
20171214,44.5,44.4,45.3,43.2,879.49k,0.23
20171213,44.4,44.9,45.25,43.75,524.85k,-0.78
20171212,44.75,44.35,45.3,43.85,692.21k,1.24
20171211,44.2,44.35,45.15,44,720.40k,-0.34
20171207,44.35,44,44.5,43.8,689.66k,1.37
20171206,43.75,42.75,44.15,42.15,782.47k,2.34
20171205,42.75,43.3,43.75,42.6,727.25k,-1.04
20171204,43.2,44.1,44.7,42.85,910.68k,-1.82
20171201,44,44.2,44.9,43.75,445.34k,-0.68
20171130,44.3,45,46,44,459.44k,-1.34
20171129,44.9,44.75,45.2,44.2,419.14k,-0.22
20171128,45,45.5,46.4,44.9,606.13k,-0.66
20171127,45.3,46.05,46.8,45.3,617.34k,-2.58
20171124,46.5,46.85,47.5,46.35,395.50k,-0.75
20171123,46.85,47,47.7,46.2,287.55k,0.32
20171122,46.7,45.5,47.9,45.3,971.90k,3.2
20171121,45.25,45.4,45.55,44.45,699.58k,-0.33
20171117,45.4,45.55,46,44.55,443.95k,-0.22
20171116,45.5,45.4,45.9,44.2,1.28,4.6
20171115,43.5,42.1,44.2,41.15,1.53,2.96
20171114,42.25,44,44.25,41,2.05,-3.98
20171113,44,45.2,45.2,42.5,832.43k,-3.08
20171110,45.4,46.7,47.2,45.2,597.27k,-2.68
20171109,46.65,46.5,47.2,46.45,777.32k,0.32
20171108,46.5,47.15,47.6,46,1.47,-1.48
20171107,47.2,47.45,48.2,47,777.77k,-0.42
20171103,47.4,48.5,48.5,47,1.21,-2.47
20171102,48.6,48.8,49,48,657.56k,0.73
20171101,48.25,48.6,49.5,48,994.07k,0.52
20171031,48,47,48.55,46.95,610.19k,2.13
20171030,47,47,47.25,45.5,1.01,-0.74
20171027,47.35,48.5,48.9,47,826.33k,-2.37
20171026,48.5,48.75,48.95,47.8,847.05k,-0.51
20171025,48.75,49.4,49.4,47.1,1.34,-1.71
20171024,49.6,49,49.6,48.6,1.48,1.85
20171023,48.7,47.7,48.8,47.15,2.06,4.73
20171020,46.5,45.5,46.75,45.2,2.4,3.33
20171019,45,44.1,45,44.1,1.04,2.04
20171018,44.1,44.8,44.8,43.6,1.47,-1.12
20171017,44.6,45.95,45.95,44.5,1.85,-4.8
20171013,46.85,47.4,47.4,46.75,467.12k,-1.26
20171012,47.45,47.35,47.65,46.7,1.07,0.96
20171011,47,47.15,47.75,46.3,824.43k,0.53
20171010,46.75,47.5,47.5,46.6,823.10k,-0.64
20171009,47.05,47,47.6,47,753.47k,-0.32
20171006,47.2,46,47.2,46,1.2,1.4
20171005,46.55,45.65,46.9,45.65,972.51k,2.42
20171004,45.45,45.8,45.8,45.1,1.09,-1.2
20171003,46,46.2,46.8,45.9,861.92k,-0.43
20171002,46.2,45.95,46.3,45.3,1.21,2.1
20170929,45.25,44,45.5,44,1.73,4.02
20170928,43.5,43.4,44,43.2,789.14k,0.69
20170927,43.2,43.3,43.6,42.55,1.13,0
20170926,43.2,43,44,42.7,1.16,0.82
20170925,42.85,43.5,43.5,42.8,686.44k,-0.7
20170922,43.15,42.55,43.25,42.5,683.68k,1.29
20170921,42.6,41.7,42.6,41.55,1.08,2.16
20170920,41.7,41.7,41.85,41.4,818.32k,0
20170919,41.7,42.1,42.5,41.6,963.88k,-0.24
20170918,41.8,41.4,42.1,40.8,725.04k,0.97
20170915,41.4,41.5,41.7,41,448.43k,-0.24
20170914,41.5,41.6,41.9,41,528.26k,-0.24
20170913,41.6,41.7,42,41.5,812.91k,-0.48
20170912,41.8,42.8,42.8,41.45,646.13k,-2.11
20170911,42.7,42.8,43.05,42.7,632.82k,-0.23
20170908,42.8,43.05,43.2,42,792.94k,-0.7
20170907,43.1,42.95,43.2,42.6,628.78k,0.7
20170906,42.8,43.7,43.7,42.5,795.21k,-1.72
20170905,43.55,43.3,43.55,42.75,544.25k,0.58
20170904,43.3,42,43.3,42,195.71k,0.7
20170901,43,42.7,43.2,42.3,505.25k,0.7
20170831,42.7,42.7,43.1,42.5,447.90k,0
20170830,42.7,43,43.4,42.7,505.61k,-0.35
20170829,42.85,43.35,43.35,40.65,471.68k,-1.15
20170828,43.35,42.9,43.4,42.6,655.73k,1.76
20170825,42.6,43.1,43.45,42.5,719.45k,-1.05
20170824,43.05,41.85,43.2,41.8,900.53k,4.49
20170823,41.2,40.6,41.7,40.4,803.41k,1.6
20170822,40.55,41.2,41.2,40.1,1.63,-2.29
20170818,41.5,42.95,42.95,41.4,976.08k,-0.95
20170817,41.9,43.15,43.15,41.6,772.46k,-2.9
20170816,43.15,42.6,43.3,42.5,1.54,1.29
20170815,42.6,42.5,42.8,41.1,2.83,0.24
20170814,42.5,41.3,42.5,40.5,3.25,8.28
20170811,39.25,37.75,39.4,37.75,1.42,3.7
20170810,37.85,37.35,38,37.3,373.93k,0.93
20170809,37.5,38.3,38.3,37,1.13,-2.6
20170808,38.5,39.5,39.55,38.1,1.08,-2.28
20170807,39.4,40,40.15,38,687.44k,-1.62
20170804,40.05,39.8,40.1,39.75,1.1,0.63
20170803,39.8,39.25,39.85,39.25,564.49k,1.02
20170802,39.4,38.9,39.4,38.75,422.88k,1.81
20170801,38.7,38.6,39.2,38.6,543.72k,0.52
20170731,38.5,38.95,39.2,38.05,643.10k,-1.53
20170728,39.1,38,39.15,38,904.09k,2.89
20170727,38,37.45,38.1,37.45,546.09k,0.26
20170726,37.9,38.2,38.5,37.8,704.91k,-0.66
20170725,38.15,38.55,38.55,37,1.05,-1.17
20170724,38.6,38.85,39.1,38,1.05,-0.64
20170721,38.85,38.15,39.15,38.15,1.98,3.05
20170720,37.7,37,37.8,36.7,976.51k,2.72
20170719,36.7,36.3,36.8,36.1,859.19k,1.94
20170718,36,35.15,36.1,35,3.13,0.84
20170717,35.7,36.8,36.8,35.5,2.07,-3.64
20170714,37.05,37.1,37.55,36.55,1.74,-0.13
20170713,37.1,38.35,38.35,36.6,3.07,-3.13
20170712,38.3,38.8,39.15,38,458.85k,-1.16
20170711,38.75,39,39,38.5,1.22,-0.39
20170710,38.9,40.15,40.15,38.5,987.76k,-3.11
20170707,40.15,40.2,40.7,39.9,505.93k,-0.25
20170706,40.25,40.15,40.85,39.7,1.37,0.5
20170705,40.05,40,40.5,39.3,1,0.38
20170704,39.9,40,41,39.9,457.84k,-0.25
20170703,40,39.4,41.25,39,1.17,1.52
20170630,39.4,39.2,39.5,39,794.97k,1.29
20170629,38.9,39.5,39.5,38.6,665.15k,0.39
20170628,38.75,39,39,38.6,352.11k,0.91
20170627,38.4,38.8,39.5,38.15,497.93k,-0.78
20170626,38.7,38.75,39.2,38.2,860.03k,0.78
20170623,38.4,39,39.05,37.7,852.29k,-1.03
20170622,38.8,38.3,39.15,38.3,1.66,1.04
20170621,38.4,38.95,39.1,37.9,4.6,-8.35
20170619,41.9,41.25,42.3,41.25,1.12,3.2
20170616,40.6,39.7,40.6,39.65,791.99k,2.53
20170615,39.6,39.85,39.85,39.4,1.2,-1
20170614,40,39.7,40.2,39.7,606.53k,0.76
20170613,39.7,39,40,39,486.14k,0.63
20170612,39.45,40.45,40.45,39,1.36,-2.59
20170609,40.5,40.8,40.8,40,896.43k,0.37
20170608,40.35,40.5,41,40,751.95k,0.5
20170607,40.15,40.5,40.9,40.1,1.01,-0.62
20170606,40.4,37.4,40.9,37.4,735.35k,-1.22
20170605,40.9,41.55,41.55,40.8,882.09k,-0.97
20170602,41.3,42,42,41.25,1.18,-1.08
20170601,41.75,41,41.95,40.7,960.72k,2.71
20170531,40.65,41.85,41.85,40.4,1.02,0
20170530,40.65,41.25,41.25,40.4,996.63k,-1.45
20170529,41.25,40.8,42.1,40.8,1.04,1.23
20170526,40.75,40,41,39.15,1.41,5.03
20170524,38.8,38.3,38.8,38.1,426.70k,1.31
20170523,38.3,38.6,38.75,38,592.16k,-0.52
20170522,38.5,38,38.5,37.8,928.27k,0.79
20170519,38.2,36.35,38.35,36.35,1.62,4.66
20170518,36.5,35.9,36.9,35.5,1.47,-1.62
20170517,37.1,37.4,37.4,37,463.17k,-0.8
20170516,37.4,36.5,37.55,36.5,593.13k,1.91
20170515,36.7,36.7,36.9,36.45,647.59k,-1.08
20170512,37.1,38,38,36.7,985.96k,0.54
20170511,36.9,36.9,36.9,36.2,931.99k,0.41
20170510,36.75,35.95,36.75,35.95,746.28k,2.51
20170509,35.85,35.8,36,35.6,747.29k,0.14
20170508,35.8,35.05,36,35,854.03k,0.56
20170505,35.6,35.95,35.95,35.3,634.00k,0.14
20170504,35.55,35.85,35.85,35.5,793.68k,-0.14
20170503,35.6,35.2,35.7,35,1.05,1.14
20170502,35.2,34.5,35.25,33.7,1.41,3.53
20170428,34,34.25,34.25,33.75,1.04,-0.44
20170427,34.15,34.7,34.7,33.4,2.53,-2.57
20170426,35.05,35.75,35.75,34.9,845.60k,-2.64
20170425,36,36.9,36.9,35.4,696.64k,-1.23
20170424,36.45,36.2,36.5,36,946.01k,0.97
20170421,36.1,35.8,36.15,35.5,1.36,0.98
20170420,35.75,35.4,36,34.9,839.60k,1.71
20170419,35.15,35.45,35.45,34.8,780.78k,-1.4
20170418,35.65,35.75,36.5,35,706.88k,-0.14
20170417,35.7,35.85,36.35,35.7,667.31k,-0.14
20170412,35.75,35.9,35.9,35,968.30k,-0.69
20170411,36,36.4,36.9,35.8,1.28,0
20170410,36,34.8,36,34.6,1.34,4.2
20170407,34.55,34.9,35,34.35,1.04,-0.86
20170406,34.85,33.8,34.95,33.8,1.1,3.41
20170405,33.7,33.6,34.25,33.2,994.84k,0
20170404,33.7,33,33.95,33,1.04,2.12
20170403,33,33.75,33.75,32.85,1.02,-2.08
20170331,33.7,34,34,33.5,1.28,-0.88
20170330,34,33.7,34,33.05,891.56k,0.89
20170329,33.7,33.05,34,33.05,1.32,1.97
20170328,33.05,32.2,33.15,32.2,1.01,2.64
20170327,32.2,32.15,32.65,32.15,1.33,2.88
20170323,31.3,31.05,31.3,30.65,305.34k,0.81
20170322,31.05,31,31.2,30.7,630.07k,0.49
20170321,30.9,32,32,30.6,886.61k,-1.9
20170320,31.5,30.65,31.5,30.5,853.40k,3.62
20170317,30.4,30.75,30.75,30.25,691.29k,-0.49
20170316,30.55,30,30.6,30,856.12k,2.52
20170315,29.8,29.5,29.8,28.9,793.53k,1.36
20170314,29.4,29.05,29.4,28.9,717.09k,1.03
20170313,29.1,28.8,29.1,28.7,571.47k,1.22
20170310,28.75,28.75,29.15,28.3,581.67k,0
20170309,28.75,29.45,29.5,28.7,735.80k,-2.38
20170308,29.45,29.15,29.45,29.1,749.91k,0.86
20170307,29.2,29.2,29.9,29.1,615.45k,0
20170306,29.2,29.1,29.45,28.8,488.85k,0.34
20170303,29.1,28.25,29.2,28.25,551.32k,2.11
20170302,28.5,29.3,29.6,28.5,588.72k,-2.06
20170301,29.1,28.75,29.2,28.75,647.43k,2.11
20170224,28.5,29,29.3,27.7,897.46k,-1.38
20170223,28.9,30.2,30.3,28.6,1.11,-3.51
20170222,29.95,30.45,30.5,29.85,1.01,-1.64
20170221,30.45,30.8,30.8,30.1,1.17,-0.16
20170220,30.5,29.65,30.6,29.4,940.35k,3.74
20170217,29.4,29.2,29.9,28.85,1.84,1.38
20170216,29,29.6,29.6,28.5,854.53k,-1.02
20170215,29.3,29.3,29.35,28.75,621.51k,0.34
20170214,29.2,29.1,29.2,28.8,578.35k,1.39
20170213,28.8,29.5,29.95,28.75,1.08,-1.2
20170210,29.15,28.6,29.5,28.6,645.88k,1.57
20170209,28.7,28.85,29.15,28.65,1.2,-0.52
20170208,28.85,29.8,30,28.7,1.65,-4.15
20170207,30.1,30.45,30.45,29.95,1.15,0.5
20170206,29.95,29.45,30.3,29.45,2.24,1.7
20170203,29.45,31,31.5,29.15,2.06,-4.85
20170202,30.95,30.3,31,30,2.01,2.31
20170201,30.25,29.6,30.25,29.6,1.74,2.54
20170131,29.5,28.95,29.5,28.85,1.38,2.08
20170130,28.9,28.8,29,28.5,2.59,0.17
20170127,28.85,28.8,28.9,28.4,716.13k,0
20170126,28.85,28.85,29,28.5,1.76,1.58
20170125,28.4,28.5,28.8,27.8,832.65k,-0.53
20170124,28.55,28.8,29.6,28.35,1.84,-0.87
20170123,28.8,27.7,28.8,27.7,1.45,3.97
20170120,27.7,26.55,27.75,26.5,1.19,2.59
20170119,27,27.4,27.7,26.75,2.28,-1.28
20170118,27.35,27.2,27.75,26.85,2.16,2.43
20170117,26.7,26.5,26.9,26.05,1.57,1.33
20170116,26.35,26,26.4,25.85,786.53k,1.35
20170113,26,25.15,26,25.15,943.69k,3.59
20170112,25.1,25.8,25.95,25,694.73k,-0.79
20170111,25.3,25.05,25.45,25,2.3,1.81
20170110,24.85,24.45,24.95,24,1.53,4.85
20170109,23.7,24,24,23.65,1.45,0.85
20170106,23.5,23.2,23.6,23,952.02k,2.17
20170105,23,23.55,23.8,22.8,4.91,-1.5
20170104,23.35,23.2,23.75,23.2,1.01,0.86
20170103,23.15,23.35,23.8,23,1.83,-0.22
20170102,23.2,22.15,23.4,22.15,836.17k,5.45
20161229,22,20.75,22.1,20.75,1.2,6.02
20161228,20.75,20.9,21.15,20.5,513.65k,0.73
20161227,20.6,20.2,20.9,19.7,991.03k,1.48
20161226,20.3,20.95,21,19.85,752.90k,-3.1
20161223,20.95,21.35,21.35,20,1.15,-1.87
20161222,21.35,21.7,22,21.1,703.22k,-1.39
20161221,21.65,21.1,21.75,20.5,797.12k,2.61
20161220,21.1,21.5,21.6,20.55,1.25,-2.09
20161219,21.55,22.25,22.3,21.5,998.81k,-2.27
20161216,22.05,22,22.25,22,689.70k,-0.68
20161215,22.2,22,22.35,21.7,1.14,0.68
20161214,22.05,22.7,22.8,22,562.57k,-2.86
20161213,22.7,22.5,22.8,22.25,1.19,2.02
20161212,22.25,22.75,22.75,22,1.74,-2.41
20161207,22.8,23,23,22.4,538.09k,0
20161206,22.8,22.25,22.9,21.9,742.81k,2.47
20161205,22.25,22.25,22.4,21.9,916.00k,0.23
20161202,22.2,22,22.45,21.7,1.62,0.91
20161201,22,22.5,22.65,21.75,687.11k,-1.12
20161130,22.25,22.1,22.5,21.85,2,2.06
20161129,21.8,22.45,22.5,21.6,2.79,-1.36
20161125,22.1,22.2,22.65,22,1.84,-0.45
20161124,22.2,22.8,23,22.1,554.05k,-1.99
20161123,22.65,23,23.2,22.6,2.37,-1.52
20161122,23,21.5,23,21.5,2.33,6.98
20161121,21.5,20.65,21.6,20.6,1.84,3.86
20161118,20.7,21,21.1,20.65,880.77k,-1.43
20161117,21,21,21.4,20.8,846.60k,0.24
20161116,20.95,21,21,20.5,611.32k,0.96
20161115,20.75,20.3,20.8,20,1.62,4.27
20161114,19.9,19.65,20,19,5.23,1.27
20161111,19.65,19.85,19.85,19.25,8.18,-2
20161110,20.05,21,21.1,19.75,5.96,-2.91
20161109,20.65,19.65,20.85,19.65,4.84,0.49
20161108,20.55,20.8,20.8,20.5,3.26,-0.72
20161107,20.7,20.8,20.8,20.35,1.98,2.48
20161104,20.2,20.15,20.2,19.95,1.73,0.5
20161103,20.1,20.3,20.45,20,1.28,-0.25
20161102,20.15,20.15,20.2,19.8,2.08,-1.23
20161101,20.4,20.7,20.7,20,2.54,-0.73
20161031,20.55,20.9,20.9,20.35,2.08,-0.96
