fecha,ultima,apertura,maximo,minimo,vol,varianza
20170929,953.02,953.02,953.02,953.02,0.10k,30.91
20170922,728.00,728.00,728.00,728.00,-,0.00
20170921,728.00,728.00,728.00,728.00,-,1.45
20151116,717.60,717.60,717.60,717.60,0.01k,3.39
20151111,694.10,694.10,694.10,694.10,0.02k,8.06
20150827,642.34,642.34,642.34,642.34,0.02k,0.77
20150803,637.45,637.45,637.45,637.45,0.08k,14.25
20150312,557.92,557.92,557.92,557.92,2.00k,-3.04
20150226,575.40,575.40,575.40,575.40,0.13k,-3.97
20150126,599.16,599.16,599.16,599.16,1.00k,3.10
20150102,581.15,581.15,581.15,581.15,2.00k,6.31
20141230,546.65,546.65,546.65,546.65,1.00k,-10.43
20140908,610.30,610.30,610.30,610.30,0.60k,5.34
20140905,579.34,579.34,579.34,579.34,0.60k,-2.86
20140828,596.40,596.40,596.40,596.40,0.70k,11.20
20140819,536.35,536.35,536.35,536.35,0.90k,30.87
20140227,409.83,409.83,409.83,409.83,1.00k,-7.90
20140130,445.00,445.00,445.00,445.00,0.03k,-0.36
20140129,446.60,446.60,446.60,446.60,0.60k,14.62
20131025,389.63,389.63,389.63,389.63,0.60k,5.92
20131004,367.85,367.85,367.85,367.85,0.03k,-1.97
20130919,375.25,375.25,375.25,375.25,0.90k,8.38
20130829,346.24,346.24,346.24,346.24,0.10k,-1.63
20130828,351.97,351.97,351.97,351.97,0.80k,2.97
20130823,341.80,341.80,341.80,341.80,1.40k,-3.26
20130730,353.30,353.30,353.30,353.30,0.10k,-1.94
20130725,360.30,360.30,360.30,360.30,1.20k,1.52
20130716,354.90,354.90,354.90,354.90,0.60k,7.46
20130625,330.25,330.25,330.25,330.25,0.10k,2.96
20130624,320.75,320.75,320.75,320.75,1.20k,-15.64
20130429,380.21,380.21,380.21,380.21,0.88k,5.53
20130417,360.30,360.30,360.30,360.30,0.40k,1.82
20130416,353.85,353.85,353.85,353.85,0.72k,4.23
20130410,339.50,337.55,339.50,337.55,1.00k,6.34
20130403,319.25,319.25,319.25,319.25,1.00k,-4.33
20130327,333.70,333.70,333.70,333.70,1.00k,2.49
20130315,325.60,325.60,325.60,325.60,0.90k,5.30
20130307,309.20,309.20,309.20,309.20,0.48k,3.05
20130228,300.05,300.05,300.05,300.05,0.90k,1.57
20130227,295.40,295.40,295.40,295.40,0.60k,12.96
20130118,261.50,261.50,261.50,261.50,0.13k,4.60
20130109,250.00,246.50,250.00,246.50,1.04k,4.30
20130107,239.70,239.70,239.70,239.70,0.60k,1.27
20121127,236.70,236.70,236.70,236.70,0.01k,-1.91
20121113,241.32,241.32,241.32,241.32,1.16k,1.46
20120828,237.85,237.85,237.85,237.85,-,0.97
20120815,235.56,235.56,235.56,235.56,1.40k,1.19
20120814,232.78,232.78,232.78,232.78,1.16k,0.17
20120809,232.38,232.38,232.38,232.38,0.38k,-4.26
20120807,242.72,242.72,242.72,242.72,0.10k,0.00
20120731,242.72,244.47,244.47,242.72,1.25k,2.09
20120724,237.75,237.75,237.75,237.75,0.15k,-0.40
20120723,238.70,238.70,238.70,238.70,1.30k,4.37
20120619,228.70,228.70,228.70,228.70,0.17k,-0.93
20120618,230.84,230.84,230.84,230.84,1.00k,12.40
20120605,205.37,205.37,205.37,205.37,0.48k,-2.59
20120601,210.84,210.84,210.84,210.84,0.60k,0.26
20120531,210.29,210.29,210.29,210.29,2.00k,-0.28
20120530,210.89,210.89,210.89,210.89,0.05k,15.88
20120508,181.99,181.99,181.99,181.99,0.60k,2.19
20120502,178.09,178.09,178.09,178.09,0.18k,-2.78
20120420,183.18,183.82,183.82,183.18,1.22k,-1.14
20120418,185.30,185.30,185.30,185.30,1.00k,1.87
20120417,181.89,181.05,181.89,181.05,2.10k,8.13
20120327,168.21,168.21,168.21,168.21,4.60k,3.62
20120321,162.33,162.33,162.33,162.33,1.00k,3.21
20120314,157.28,157.28,157.28,157.28,0.90k,2.74
20120309,153.09,153.09,153.09,153.09,0.26k,2.45
20120302,149.43,149.43,149.43,149.43,1.30k,-0.59
20120301,150.32,150.32,150.32,150.32,1.40k,-0.15
20120214,150.55,150.55,150.55,150.55,2.00k,-2.44
20120104,154.32,154.32,154.32,154.32,0.19k,3.08
20111202,149.71,149.71,149.71,149.71,0.20k,5.49
20111123,141.92,141.92,141.92,141.92,2.00k,0.04
20111107,141.87,141.87,141.87,141.87,0.28k,-1.98
20111021,144.74,144.69,144.74,144.69,1.70k,4.35
20110902,138.70,138.75,138.75,138.70,2.00k,1.69
20110829,136.39,136.39,136.39,136.39,0.99k,2.25
20110804,133.39,133.39,133.39,133.39,0.72k,2.95
20110801,129.57,129.53,129.57,129.53,1.50k,-2.40
20110721,132.76,132.76,132.76,132.76,1.45k,-8.12
20110616,144.50,144.50,144.50,144.50,0.27k,0.24
20110615,144.16,144.16,144.16,144.16,0.67k,12.48
20110304,128.17,128.17,128.17,128.17,0.22k,1.76
20110202,125.95,125.95,125.95,125.95,0.70k,-0.94
20110125,127.14,127.09,127.14,127.09,0.90k,-1.00
20110105,128.43,128.47,128.47,128.43,0.89k,2.20
20101222,125.67,125.67,125.67,125.67,0.70k,1.54
20101202,123.76,123.76,123.76,123.76,0.23k,1.60
20101110,121.81,121.76,121.81,121.76,1.55k,0.67
20101025,121.00,121.00,121.00,121.00,0.39k,-2.14
20101007,123.65,123.70,123.70,123.65,3.30k,-2.35
20101005,126.63,126.67,126.67,126.63,0.28k,10.55
20100722,114.54,114.59,114.59,114.54,1.03k,6.16
20100527,107.89,107.89,107.89,107.89,0.43k,-1.69
20100428,109.75,109.70,109.75,109.70,45.74k,5.03
20100216,104.49,104.49,104.49,104.49,0.43k,1.41
20091125,103.04,103.08,103.08,103.04,2.40k,1.37
20091015,101.65,101.69,101.69,101.65,25.60k,2.23
20091013,99.44,99.44,99.44,99.44,1.00k,-0.48
20091006,99.91,99.96,99.96,99.91,4.00k,3.41
20090910,96.62,96.66,96.66,96.62,1.00k,4.82
20090721,92.17,92.13,92.17,92.13,2.00k,-1.06
20090713,93.16,93.16,93.16,93.16,2.00k,2.46
20090611,90.93,90.93,90.93,90.93,2.00k,-0.14
20090604,91.06,91.06,91.06,91.06,2.36k,-7.46
20080213,98.39,98.39,98.39,98.39,8.53k,7.40
20080129,91.62,91.58,91.62,91.58,0.34k,-2.08
20080125,93.57,93.57,93.57,93.57,0.79k,-5.15
20080117,98.65,98.69,98.69,98.65,0.64k,-5.17
20080109,104.03,104.03,104.03,104.03,0.19k,2.46
20080107,101.53,101.53,101.53,101.53,1.33k,-1.24
20071227,102.80,103.01,103.01,102.76,12.44k,1.34
20071219,101.44,101.49,101.49,101.44,10.70k,-2.48
