fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,4.600,4.600,4.600,4.600,30.72k,-3.36
20180126,4.760,4.750,4.760,4.750,42.66k,0.21
20180125,4.750,4.750,4.750,4.750,45.66k,0.00
20180124,4.750,4.600,4.750,4.600,41.93k,4.17
20180123,4.560,4.450,4.560,4.450,50.36k,12.59
20180122,4.050,4.000,4.050,4.000,44.56k,0.00
20180119,4.050,3.950,4.050,3.950,42.31k,0.75
20180118,4.020,4.100,4.100,4.000,34.64k,-3.83
20180117,4.180,4.050,4.180,4.050,17.76k,-0.48
20180116,4.200,4.200,4.200,4.200,18.68k,0.00
20180115,4.200,4.200,4.200,4.010,50.67k,0.00
20180112,4.200,4.210,4.210,4.200,38.57k,-0.24
20180111,4.210,4.210,4.210,4.210,61.52k,0.00
20180110,4.210,4.450,4.450,4.210,46.01k,-3.22
20180109,4.350,4.700,4.700,4.350,26.60k,-8.23
20180108,4.740,4.750,4.750,4.740,11.27k,-0.84
20180105,4.780,4.880,4.880,4.780,15.99k,-2.25
20180104,4.890,4.890,4.890,4.890,7.19k,0.00
20180103,4.890,5.000,5.000,4.890,17.16k,0.00
20180102,4.890,4.900,4.900,4.890,6.50k,-0.20
20171229,4.900,4.820,4.900,4.820,8.00k,1.87
20171228,4.810,4.850,4.850,4.800,19.48k,-0.82
20171227,4.850,5.000,5.000,4.800,52.87k,-1.02
20171226,4.900,4.900,4.940,4.860,19.04k,0.00
20171222,4.900,5.030,5.030,4.700,13.54k,0.00
20171221,4.900,4.960,5.030,4.750,21.27k,-1.21
20171220,4.960,5.000,5.000,4.960,7.08k,-0.80
20171219,5.000,4.850,5.070,4.850,17.60k,5.26
20171218,4.750,4.750,4.750,4.750,5.00k,0.00
20171215,4.750,4.800,4.900,4.750,13.13k,-3.06
20171214,4.900,5.050,5.050,4.780,30.90k,-2.00
20171213,5.000,5.000,5.130,5.000,75.62k,1.01
20171212,4.950,5.050,5.050,4.850,11.99k,-1.98
20171211,5.050,4.900,5.150,4.800,16.37k,6.32
20171207,4.750,4.800,4.800,4.610,13.11k,-1.04
20171206,4.800,4.550,4.800,4.550,11.56k,-3.03
20171205,4.950,4.800,4.990,4.800,36.13k,1.02
20171204,4.900,4.990,4.990,4.900,3.02k,-0.20
20171201,4.910,4.900,4.950,4.500,20.73k,0.20
20171130,4.900,4.900,4.900,4.900,6.00k,-1.61
20171129,4.980,4.940,4.980,4.940,15.60k,0.81
20171128,4.940,4.860,4.980,4.860,66.88k,2.92
20171127,4.800,4.900,4.970,4.800,21.40k,-1.84
20171124,4.890,5.000,5.000,4.800,21.68k,-1.21
20171123,4.950,5.050,5.050,4.950,16.05k,-1.00
20171122,5.000,5.000,5.070,4.900,34.89k,-1.96
20171121,5.100,5.170,5.170,5.000,7.80k,-0.97
20171117,5.150,5.200,5.250,5.000,30.97k,0.00
20171116,5.150,5.200,5.350,5.150,33.45k,0.98
20171115,5.100,5.100,5.100,4.900,16.45k,0.00
20171114,5.100,5.350,5.350,5.020,4.37k,-5.56
20171113,5.400,5.400,5.400,5.200,33.23k,-1.82
20171110,5.500,5.600,5.600,5.500,1.60k,-1.61
20171109,5.590,5.600,5.650,5.450,58.34k,-2.78
20171108,5.750,5.750,5.800,5.700,32.80k,0.00
20171107,5.750,5.880,5.880,5.700,37.16k,-2.38
20171103,5.890,5.500,5.890,5.500,99.84k,3.33
20171102,5.700,5.750,5.790,5.700,44.95k,-0.87
20171101,5.750,6.000,6.000,5.700,35.24k,-2.87
20171031,5.920,5.900,5.930,5.850,15.38k,-1.17
20171030,5.990,5.800,5.990,5.600,58.31k,2.04
20171027,5.870,5.900,6.000,5.600,49.32k,-0.51
20171026,5.900,6.000,6.000,5.700,25.34k,-1.67
20171025,6.000,5.890,6.070,5.890,20.14k,1.69
20171024,5.900,6.000,6.090,5.900,16.20k,-3.12
20171023,6.090,6.150,6.150,5.900,72.63k,2.35
20171020,5.950,6.000,6.000,5.600,20.73k,-0.67
20171019,5.990,6.000,6.000,5.800,14.91k,0.00
20171018,5.990,6.000,6.050,5.800,15.49k,-0.99
20171017,6.050,6.390,6.390,6.000,50.45k,-2.42
20171013,6.200,6.350,6.390,6.200,43.92k,-2.36
20171012,6.350,6.150,6.350,6.010,96.36k,3.25
20171011,6.150,6.200,6.500,5.950,117.30k,-0.81
20171010,6.200,5.960,6.240,5.950,107.70k,3.68
20171009,5.980,5.850,5.980,5.800,74.36k,1.36
20171006,5.900,5.820,6.000,5.500,85.51k,0.34
20171005,5.880,6.000,6.300,5.810,98.58k,2.26
20171004,5.750,5.510,6.600,5.500,329.72k,6.88
20171003,5.380,5.400,5.500,5.250,66.86k,0.00
20171002,5.380,5.400,5.400,5.250,60.01k,3.46
20170929,5.200,5.450,5.550,5.200,94.81k,-3.70
20170928,5.400,5.000,5.650,5.000,141.29k,8.00
20170927,5.000,5.100,5.100,5.000,9.00k,0.00
20170926,5.000,5.120,5.120,4.950,10.64k,1.01
20170925,4.950,5.180,5.180,4.700,24.78k,0.00
20170922,4.950,5.200,5.200,4.950,42.63k,-1.00
20170921,5.000,4.950,5.120,4.950,52.25k,2.46
20170920,4.880,4.900,4.980,4.880,17.99k,-3.94
20170919,5.080,4.990,5.080,4.990,16.69k,-0.20
20170918,5.090,5.000,5.090,4.900,19.72k,0.79
20170915,5.050,5.050,5.050,4.890,29.54k,-0.20
20170914,5.060,5.040,5.250,5.000,114.68k,0.60
20170913,5.030,5.000,5.600,4.800,270.11k,-4.37
20170912,5.260,4.450,5.340,4.450,477.05k,18.20
20170911,4.450,4.050,4.480,4.050,91.83k,10.15
20170908,4.040,4.100,4.150,4.020,22.65k,-1.46
20170907,4.100,4.240,4.240,4.100,32.94k,0.00
20170906,4.100,4.380,4.380,4.100,16.86k,-4.43
20170905,4.290,4.390,4.390,4.200,19.57k,-0.46
20170904,4.310,4.460,4.460,4.310,7.90k,-3.36
20170901,4.460,4.350,4.460,4.350,9.15k,0.00
20170831,4.460,4.300,4.460,4.300,10.50k,-0.89
20170830,4.500,4.500,4.500,4.500,0.20k,0.00
20170829,4.500,4.300,4.540,4.200,44.03k,0.00
20170828,4.500,4.450,4.600,4.450,26.15k,0.00
20170825,4.500,4.600,4.680,4.500,24.48k,-3.23
20170824,4.650,4.770,4.770,4.650,13.33k,-2.52
20170823,4.770,4.580,4.770,4.400,29.32k,3.70
20170822,4.600,4.500,4.600,4.500,47.68k,-1.08
20170818,4.650,4.700,4.750,4.650,11.78k,-0.85
20170817,4.690,4.730,4.730,4.690,16.45k,0.00
20170816,4.690,4.500,4.690,4.500,46.37k,4.22
20170815,4.500,4.500,4.510,4.400,31.76k,0.45
20170814,4.480,4.050,4.700,4.050,94.90k,13.13
20170811,3.960,3.890,4.050,3.800,54.23k,-1.00
20170810,4.000,4.300,4.300,4.000,64.69k,-6.10
20170809,4.260,4.500,4.500,4.250,34.09k,-0.93
20170808,4.300,4.800,4.800,4.300,7.28k,-12.24
20170807,4.900,4.980,4.980,4.900,4.70k,0.00
20170804,4.900,4.850,5.000,4.850,36.86k,0.41
20170803,4.880,4.850,4.880,4.850,17.16k,3.17
20170802,4.730,4.800,4.800,4.730,16.91k,-1.46
20170801,4.800,4.800,4.830,4.800,6.46k,1.05
20170731,4.750,4.800,4.850,4.750,12.91k,-1.66
20170728,4.830,4.800,4.860,4.660,46.66k,-1.23
20170727,4.890,5.000,5.000,4.800,59.32k,-4.86
20170726,5.140,5.100,5.140,5.050,37.15k,1.78
20170725,5.050,5.000,5.250,5.000,92.33k,-3.81
20170724,5.250,5.300,5.500,5.250,25.95k,-2.78
20170721,5.400,5.300,5.400,5.300,20.02k,0.00
20170720,5.400,5.380,5.480,5.380,6.72k,-1.64
20170719,5.490,5.530,5.530,5.150,101.48k,-0.72
20170718,5.530,5.700,5.700,5.500,18.63k,-4.33
20170717,5.780,5.730,5.870,5.700,42.61k,1.40
20170714,5.700,5.700,5.850,5.600,122.67k,3.07
20170713,5.530,5.190,5.550,5.190,267.58k,6.55
20170712,5.190,5.000,5.200,5.000,81.78k,5.92
20170711,4.900,5.100,5.150,4.900,163.00k,-7.55
20170710,5.300,5.600,5.600,5.120,152.57k,-5.36
20170707,5.600,5.250,6.100,4.500,332.38k,-9.68
20170602,6.200,4.800,8.500,4.800,2.54,33.62
20170601,4.640,4.320,4.640,4.320,26.74k,8.67
20170531,4.270,4.340,4.340,4.000,207.80k,-1.84
20170530,4.350,4.600,4.600,4.300,112.81k,-6.45
20170529,4.650,4.710,4.850,4.480,168.22k,-3.33
20170526,4.810,5.000,5.000,4.760,42.74k,-3.41
20170524,4.980,4.950,5.000,4.900,48.71k,-0.40
20170523,5.000,5.000,5.100,4.650,50.37k,0.00
20170522,5.000,5.180,5.180,5.000,42.58k,-3.66
20170519,5.190,5.170,5.200,5.170,24.07k,0.39
20170518,5.170,5.200,5.200,5.050,40.65k,-3.36
20170517,5.350,5.500,5.500,5.350,38.05k,-0.93
20170516,5.400,5.550,5.700,5.300,56.16k,-2.70
20170515,5.550,5.350,5.550,5.310,40.48k,-0.89
20170512,5.600,5.700,5.700,5.400,95.15k,-1.75
20170511,5.700,5.800,5.850,5.700,16.23k,-1.72
20170510,5.800,5.650,6.000,5.650,19.86k,0.87
20170509,5.750,6.000,6.000,5.750,66.08k,-3.52
20170508,5.960,6.110,6.250,5.950,32.05k,-2.45
20170505,6.110,6.300,6.350,6.080,32.14k,-3.78
20170504,6.350,6.400,6.400,6.350,8.81k,0.79
20170503,6.300,6.300,6.550,6.300,29.46k,-1.56
20170502,6.400,6.500,6.500,6.380,67.12k,-2.29
20170428,6.550,6.690,6.690,6.550,21.77k,-2.09
20170427,6.690,6.500,6.750,6.500,15.86k,-0.89
20170426,6.750,6.750,6.750,6.500,17.52k,-0.74
20170425,6.800,6.730,7.030,6.600,41.95k,1.04
20170424,6.730,6.800,6.800,6.700,14.50k,-1.32
20170421,6.820,6.900,6.900,6.460,90.77k,6.56
20170420,6.400,6.630,6.630,6.380,31.85k,-3.47
20170419,6.630,6.350,6.650,6.350,29.98k,0.45
20170418,6.600,6.350,6.630,6.350,25.07k,-0.60
20170417,6.640,6.300,6.900,6.300,37.25k,-0.15
20170412,6.650,6.580,6.650,6.500,12.45k,1.06
20170411,6.580,6.600,6.600,6.500,36.91k,-0.45
20170410,6.610,6.710,6.790,6.610,35.23k,-2.79
20170407,6.800,6.850,6.900,6.750,31.93k,-2.86
20170406,7.000,7.050,7.050,7.000,0.60k,1.45
20170405,6.900,7.050,7.180,6.790,12.00k,-1.43
20170404,7.000,6.950,7.000,6.890,74.85k,0.72
20170403,6.950,6.550,7.090,6.550,104.36k,5.14
20170331,6.610,6.610,6.900,6.600,50.96k,-2.51
20170330,6.780,6.850,6.850,6.600,81.00k,-3.14
20170329,7.000,7.000,7.000,6.870,36.59k,0.29
20170328,6.980,6.860,7.200,6.650,87.30k,1.45
20170327,6.880,7.000,7.000,6.880,35.85k,-2.69
20170323,7.070,7.250,7.250,7.000,24.33k,-2.08
20170322,7.220,7.000,7.480,7.000,27.78k,-2.30
20170321,7.390,7.500,7.500,7.150,17.75k,-1.47
20170320,7.500,7.450,7.550,7.200,25.53k,0.00
20170317,7.500,7.600,7.650,7.450,16.95k,-1.32
20170316,7.600,7.540,7.600,7.500,9.97k,1.33
20170315,7.500,7.600,7.600,7.300,17.46k,1.49
20170314,7.390,7.000,7.390,6.600,24.88k,4.08
20170313,7.100,7.200,7.300,7.100,20.18k,-4.05
20170310,7.400,7.300,7.400,7.110,32.12k,1.37
20170309,7.300,7.500,7.500,7.200,17.33k,-3.31
20170308,7.550,7.550,7.550,7.350,30.90k,0.00
20170307,7.550,7.500,7.580,7.310,36.55k,0.80
20170306,7.490,7.450,7.490,7.200,16.00k,0.54
20170303,7.450,7.400,7.450,7.300,10.56k,0.68
20170302,7.400,7.350,7.450,7.050,43.06k,0.68
20170301,7.350,7.400,7.400,7.100,43.22k,-1.34
20170224,7.450,7.650,7.650,7.070,47.86k,-3.87
20170223,7.750,7.840,7.840,7.750,7.27k,-1.15
20170222,7.840,7.900,7.900,7.650,9.34k,-1.38
20170221,7.950,7.990,8.030,7.810,27.87k,-0.38
20170220,7.980,7.800,7.990,7.800,36.00k,2.31
20170217,7.800,7.850,7.850,7.600,12.73k,-0.64
20170216,7.850,7.850,7.990,7.850,21.23k,0.51
20170215,7.810,7.900,7.900,7.800,27.41k,0.13
20170214,7.800,7.700,8.000,7.600,41.13k,1.96
20170213,7.650,8.000,8.000,7.650,40.72k,-4.37
20170210,8.000,8.050,8.050,7.850,17.71k,0.00
20170209,8.000,8.000,8.000,7.880,41.27k,-0.62
20170208,8.050,8.050,8.050,7.850,46.26k,-1.23
20170207,8.150,8.250,8.300,8.000,58.05k,-1.81
20170206,8.300,8.400,8.400,8.100,27.81k,0.00
20170203,8.300,8.350,8.450,8.120,76.52k,0.85
20170202,8.230,8.150,8.250,8.100,42.37k,1.48
20170201,8.110,8.400,8.400,7.900,125.65k,-3.45
20170131,8.400,8.200,8.400,8.000,31.21k,2.44
20170130,8.200,8.550,8.550,8.200,7.17k,-4.09
20170127,8.550,8.470,8.550,8.300,20.57k,0.00
20170126,8.550,8.700,8.700,8.550,29.80k,-1.16
20170125,8.650,8.600,8.790,8.600,38.68k,0.58
20170124,8.600,8.600,8.940,8.600,46.89k,-0.69
20170123,8.660,8.990,8.990,8.500,69.11k,-2.59
20170120,8.890,8.800,8.990,8.610,37.21k,0.45
20170119,8.850,8.790,8.850,8.400,44.25k,0.00
20170118,8.850,8.700,8.980,8.600,14.67k,0.00
20170117,8.850,8.710,8.950,8.600,73.54k,0.57
20170116,8.800,9.150,9.150,8.800,127.66k,-4.35
20170113,9.200,9.050,9.850,9.000,691.31k,2.79
20170112,8.950,8.050,8.950,7.800,217.92k,11.18
20170111,8.050,8.180,8.180,7.750,46.73k,-1.59
20170110,8.180,8.290,8.290,8.050,186.55k,1.24
20170109,8.080,7.800,8.200,7.500,187.31k,6.04
20170106,7.620,8.300,8.300,7.500,417.11k,-8.19
20170105,8.300,9.300,9.480,7.300,1.10,-8.79
20170104,9.100,8.290,9.240,8.290,870.32k,12.90
20170103,8.060,6.510,8.080,6.510,784.75k,24.57
20170102,6.470,5.500,6.470,5.410,239.18k,19.81
20161229,5.400,5.350,5.400,5.300,16.53k,1.89
20161228,5.300,5.350,5.350,5.250,14.92k,0.00
20161227,5.300,5.170,5.300,5.070,17.80k,2.91
20161226,5.150,5.250,5.250,5.150,2.79k,-3.74
20161223,5.350,5.000,5.350,5.000,17.23k,3.88
20161222,5.150,5.090,5.150,4.950,26.13k,1.38
20161221,5.080,5.140,5.200,5.080,13.76k,-1.36
20161220,5.150,5.400,5.400,5.150,18.28k,-3.74
20161219,5.350,5.110,5.350,5.110,11.08k,0.00
