fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,27.35,27.70,27.70,26.25,8.09k,-1.26
20180126,27.70,27.60,28.20,27.60,46.12k,0.36
20180125,27.60,28.30,28.45,27.60,14.15k,-1.43
20180124,28.00,27.40,28.00,27.00,38.76k,2.19
20180123,27.40,27.00,27.45,27.00,41.37k,0.92
20180122,27.15,26.00,27.20,25.20,84.26k,4.42
20180119,26.00,27.20,27.75,26.00,28.17k,-3.70
20180118,27.00,26.90,27.75,26.90,23.43k,0.00
20180117,27.00,27.45,28.00,27.00,16.66k,-1.64
20180116,27.45,27.50,27.50,26.85,106.62k,2.04
20180115,26.90,26.50,27.00,26.50,10.94k,0.75
20180112,26.70,25.05,26.75,25.00,279.97k,2.30
20180111,26.10,24.45,26.20,24.45,21.64k,2.76
20180110,25.40,25.70,25.80,24.50,102.21k,-1.74
20180109,25.85,25.35,26.00,25.35,64.09k,2.17
20180108,25.30,25.00,26.00,25.00,142.82k,0.20
20180105,25.25,25.00,25.50,24.80,324.48k,1.00
20180104,25.00,25.55,25.55,25.00,120.63k,-1.77
20180103,25.45,25.55,25.55,24.75,57.17k,0.39
20180102,25.35,24.50,25.55,24.50,72.24k,2.42
20171229,24.75,25.00,25.00,24.05,8.71k,-0.80
20171228,24.95,24.20,25.00,24.20,25.33k,2.89
20171227,24.25,24.30,24.30,24.00,37.29k,-0.21
20171226,24.30,24.65,24.65,24.00,68.60k,-0.21
20171222,24.35,24.40,24.90,23.30,321.14k,1.46
20171221,24.00,22.90,24.00,22.85,54.12k,5.03
20171220,22.85,22.15,22.90,22.15,67.87k,1.56
20171219,22.50,21.75,22.85,21.00,48.10k,5.63
20171218,21.30,21.60,21.60,21.10,11.05k,0.95
20171215,21.10,20.95,21.50,20.95,103.14k,0.72
20171214,20.95,21.60,21.60,20.95,190.79k,-1.64
20171213,21.30,21.20,21.40,21.00,36.17k,-2.07
20171212,21.75,21.45,22.40,21.00,264.78k,1.16
20171211,21.50,21.65,21.65,21.30,58.42k,-0.69
20171207,21.65,21.80,22.10,21.65,187.81k,-0.69
20171206,21.80,21.50,21.80,21.50,101.72k,0.69
20171205,21.65,21.50,21.85,21.35,90.44k,0.70
20171204,21.50,21.20,21.60,21.20,52.54k,-1.60
20171201,21.85,21.90,22.15,21.75,132.35k,2.82
20171130,21.25,22.20,22.20,21.25,2.13k,-2.97
20171129,21.90,21.70,21.90,21.40,149.07k,0.00
20171128,21.90,21.25,22.30,21.25,176.17k,-1.35
20171127,22.20,22.55,22.70,22.20,108.63k,-1.33
20171124,22.50,22.50,22.80,22.50,12.20k,0.22
20171123,22.45,22.45,22.50,22.45,22.11k,0.00
20171122,22.45,21.70,22.65,21.70,104.53k,0.22
20171121,22.40,21.25,22.65,21.25,35.05k,-0.44
20171117,22.50,22.55,22.65,22.50,14.54k,0.22
20171116,22.45,21.80,22.75,21.80,157.06k,2.98
20171115,21.80,21.10,21.80,20.60,136.28k,2.83
20171114,21.20,21.80,21.80,21.00,60.18k,-2.75
20171113,21.80,22.80,22.80,21.55,31.10k,-4.39
20171110,22.80,23.50,23.50,22.70,29.19k,-2.98
20171109,23.50,23.25,23.50,23.00,39.70k,-0.84
20171108,23.70,23.10,23.70,22.90,25.75k,2.60
20171107,23.10,23.30,23.70,23.10,55.00k,-0.86
20171103,23.30,23.70,23.70,23.30,44.76k,-1.69
20171102,23.70,23.60,23.90,23.50,76.32k,0.42
20171101,23.60,23.50,23.70,23.50,80.12k,0.43
20171031,23.50,22.90,23.50,22.90,123.21k,2.17
20171030,23.00,23.20,23.95,23.00,55.69k,-2.95
20171027,23.70,24.00,24.00,23.50,87.43k,-0.84
20171026,23.90,24.00,24.00,23.70,72.91k,1.06
20171025,23.65,24.00,24.00,23.50,135.84k,-1.46
20171024,24.00,23.55,24.30,23.55,91.53k,2.78
20171023,23.35,23.00,23.35,22.00,79.05k,5.18
20171020,22.20,22.00,22.90,22.00,394.10k,0.91
20171019,22.00,21.50,22.00,21.10,66.58k,2.56
20171018,21.45,21.60,22.00,21.10,53.48k,-2.94
20171017,22.10,22.95,23.00,22.10,26.19k,-4.33
20171013,23.10,23.50,23.50,22.80,174.11k,-1.70
20171012,23.50,23.00,23.50,23.00,73.56k,1.95
20171011,23.05,23.50,23.65,23.00,84.24k,0.00
20171010,23.05,23.45,23.50,22.80,25.22k,-1.91
20171009,23.50,23.15,23.50,23.00,88.21k,1.73
20171006,23.10,23.00,23.40,22.50,38.21k,0.43
20171005,23.00,23.00,23.10,22.75,57.50k,1.77
20171004,22.60,23.15,23.15,22.50,107.42k,-1.74
20171003,23.00,22.30,23.10,22.10,309.02k,3.14
20171002,22.30,22.15,22.50,22.15,31.96k,0.45
20170929,22.20,21.60,22.40,21.60,56.57k,3.26
20170928,21.50,21.35,21.50,21.10,39.78k,0.70
20170927,21.35,21.25,21.35,21.20,32.27k,1.67
20170926,21.00,21.00,21.30,20.65,80.03k,1.45
20170925,20.70,20.95,20.95,20.60,245.01k,-2.13
20170922,21.15,20.75,21.25,20.75,40.53k,1.93
20170921,20.75,20.45,20.80,20.45,31.47k,1.47
20170920,20.45,20.00,20.50,20.00,94.91k,0.74
20170919,20.30,20.30,20.80,20.30,89.53k,-1.46
20170918,20.60,20.70,20.70,20.50,19.59k,-0.48
20170915,20.70,21.00,21.00,20.50,88.66k,0.49
20170914,20.60,20.50,21.00,20.50,29.49k,0.73
20170913,20.45,20.65,20.70,20.30,70.50k,-0.73
20170912,20.60,21.00,21.00,20.50,161.59k,-0.96
20170911,20.80,20.10,21.35,20.10,270.11k,-0.48
20170908,20.90,21.20,21.20,20.90,129.38k,-2.56
20170907,21.45,21.20,21.90,21.20,42.71k,0.47
20170906,21.35,21.35,21.40,21.20,36.48k,0.00
20170905,21.35,21.25,21.45,21.20,166.10k,0.23
20170904,21.30,21.00,21.50,21.00,44.64k,-1.39
20170901,21.60,21.40,22.00,21.20,31.70k,2.13
20170831,21.15,21.00,21.20,20.90,248.90k,-0.47
20170830,21.25,22.00,22.00,21.20,47.98k,-0.23
20170829,21.30,21.00,21.45,21.00,66.37k,-0.23
20170828,21.35,21.20,21.70,21.20,24.20k,-0.70
20170825,21.50,21.90,22.00,21.20,127.20k,-2.27
20170824,22.00,20.90,22.00,20.90,100.80k,5.26
20170823,20.90,21.00,21.00,20.20,40.27k,2.45
20170822,20.40,21.10,21.10,20.40,7.09k,-3.32
20170818,21.10,20.20,21.50,20.20,24.04k,-0.47
20170817,21.20,21.80,22.00,21.20,44.06k,-0.93
20170816,21.40,21.25,21.60,21.25,61.18k,2.88
20170815,20.80,21.00,21.60,20.65,62.75k,-0.48
20170814,20.90,20.15,21.00,20.15,124.61k,6.63
20170811,19.60,19.30,19.80,19.00,42.21k,4.26
20170810,18.80,18.50,18.90,18.50,71.08k,0.53
20170809,18.70,19.00,19.10,18.60,24.44k,-2.60
20170808,19.20,19.95,19.95,19.20,17.91k,-4.00
20170807,20.00,20.05,20.10,19.90,116.22k,-0.25
20170804,20.05,19.80,20.10,19.80,56.43k,0.75
20170803,19.90,19.70,19.90,19.65,9.57k,1.27
20170802,19.65,19.50,19.70,19.40,76.52k,0.00
20170801,19.65,19.60,19.80,19.35,26.20k,1.29
20170731,19.40,19.55,19.70,19.10,78.76k,-0.77
20170728,19.55,19.00,19.60,19.00,74.25k,3.44
20170727,18.90,19.60,19.60,18.90,8.23k,-1.05
20170726,19.10,19.05,19.10,18.50,29.11k,0.00
20170725,19.10,19.00,19.20,19.00,147.93k,-1.55
20170724,19.40,19.50,19.60,19.00,163.65k,-0.51
20170721,19.50,19.00,19.60,19.00,114.26k,6.27
20170720,18.35,18.40,18.90,18.35,39.43k,0.27
20170719,18.30,17.50,18.70,17.50,103.43k,1.39
20170718,18.05,18.00,18.05,17.50,149.98k,0.28
20170717,18.00,18.30,18.50,17.85,115.69k,-2.70
20170714,18.50,18.80,18.80,18.40,16.16k,-1.60
20170713,18.80,19.30,19.30,18.50,64.67k,-2.59
20170712,19.30,19.90,20.00,19.10,165.23k,-3.02
20170711,19.90,19.45,19.90,19.45,41.57k,2.05
20170710,19.50,20.05,20.15,19.50,213.05k,-2.99
20170707,20.10,20.00,20.40,20.00,30.97k,-1.23
20170706,20.35,20.40,20.50,20.20,27.41k,-0.25
20170705,20.40,20.00,20.50,20.00,63.31k,1.75
20170704,20.05,19.70,20.20,19.70,61.19k,1.52
20170703,19.75,19.90,20.10,19.35,164.16k,0.51
20170630,19.65,19.75,19.90,19.60,165.03k,-0.25
20170629,19.70,19.60,19.85,19.50,146.72k,0.51
20170628,19.60,19.50,19.65,19.40,164.40k,0.51
20170627,19.50,19.65,19.90,19.50,61.79k,-0.51
20170626,19.60,19.60,19.70,19.00,137.26k,0.00
20170623,19.60,20.00,20.20,19.55,57.82k,-2.00
20170622,20.00,19.65,20.00,19.55,71.16k,1.52
20170621,19.70,20.00,20.20,19.50,105.38k,-7.29
20170619,21.25,20.75,21.30,20.70,547.48k,3.16
20170616,20.60,20.10,20.60,20.10,112.75k,1.98
20170615,20.20,20.20,20.60,20.10,203.03k,-0.74
20170614,20.35,20.00,20.50,20.00,251.81k,1.50
20170613,20.05,20.00,20.65,20.00,66.20k,-0.74
20170612,20.20,20.95,20.95,20.00,224.85k,-2.42
20170609,20.70,21.10,21.20,20.60,167.26k,-1.19
20170608,20.95,21.00,21.20,20.70,34.14k,0.24
20170607,20.90,20.85,21.30,20.80,32.14k,0.24
20170606,20.85,20.00,21.50,19.60,49.37k,-2.34
20170605,21.35,22.00,22.00,21.00,99.05k,-1.61
20170602,21.70,22.00,22.00,21.45,128.71k,-0.23
20170601,21.75,21.00,22.00,20.70,127.61k,2.59
20170531,21.20,20.55,21.20,20.50,185.88k,3.41
20170530,20.50,21.10,21.10,20.50,80.96k,-2.38
20170529,21.00,20.90,21.30,20.90,62.38k,0.48
20170526,20.90,20.00,21.00,20.00,576.27k,7.18
20170524,19.50,19.60,19.60,19.30,48.31k,-0.76
20170523,19.65,19.80,19.80,19.20,119.41k,0.77
20170522,19.50,19.40,19.70,19.05,125.49k,-0.76
20170519,19.65,18.60,19.70,18.60,492.35k,4.80
20170518,18.75,18.00,18.85,18.00,144.35k,-0.79
20170517,18.90,19.00,19.00,18.70,55.98k,-0.53
20170516,19.00,19.00,19.05,18.60,140.39k,1.06
20170515,18.80,19.00,19.00,18.80,9.66k,-1.05
20170512,19.00,18.80,19.00,18.80,65.66k,1.06
20170511,18.80,18.45,18.80,18.45,21.25k,1.90
20170510,18.45,18.30,18.45,18.30,265.13k,0.82
20170509,18.30,18.30,18.40,18.00,110.21k,0.55
20170508,18.20,18.30,18.50,18.05,23.52k,-0.55
20170505,18.30,17.50,18.30,17.50,37.09k,1.10
20170504,18.10,18.10,18.20,18.00,67.92k,1.12
20170503,17.90,17.95,18.20,17.85,189.01k,0.56
20170502,17.80,17.60,17.80,17.15,75.67k,0.28
20170428,17.75,17.95,18.00,17.25,32.64k,0.57
20170427,17.65,18.70,18.70,17.15,138.56k,-3.81
20170426,18.35,18.30,18.90,17.80,54.20k,0.27
20170425,18.30,18.95,18.95,18.25,130.51k,0.55
20170424,18.20,18.40,18.80,17.85,85.92k,-1.36
20170421,18.45,18.30,18.45,18.05,221.48k,1.65
20170420,18.15,18.00,18.20,18.00,55.57k,0.28
20170419,18.10,18.00,18.20,17.80,120.12k,-1.63
20170418,18.40,18.10,18.45,18.10,122.48k,-1.08
20170417,18.60,18.70,18.70,18.10,62.99k,0.00
20170412,18.60,18.60,18.60,17.90,51.30k,0.00
20170411,18.60,18.90,18.95,18.40,162.82k,0.54
20170410,18.50,17.75,18.50,17.75,94.43k,5.11
20170407,17.60,18.00,18.00,17.60,111.71k,-1.95
20170406,17.95,17.50,17.95,17.40,106.67k,2.57
20170405,17.50,17.80,17.80,17.00,172.46k,-1.69
20170404,17.80,17.00,17.80,16.75,57.75k,4.71
20170403,17.00,17.20,17.30,16.70,58.02k,-1.73
20170331,17.30,17.90,17.90,16.80,419.84k,0.58
20170330,17.20,16.90,17.20,16.80,243.85k,1.78
20170329,16.90,16.65,17.10,16.60,212.36k,1.50
20170328,16.65,16.50,16.85,16.35,315.19k,1.83
20170327,16.35,16.20,16.40,16.05,503.07k,3.48
20170323,15.80,15.80,15.95,15.60,112.46k,0.00
20170322,15.80,15.70,15.90,15.00,88.49k,0.96
20170321,15.65,16.00,16.10,15.65,77.82k,-1.57
20170320,15.90,15.35,15.90,15.35,186.06k,4.26
20170317,15.25,15.45,15.60,15.25,122.36k,-1.29
20170316,15.45,15.05,15.45,15.05,150.86k,3.00
20170315,15.00,14.70,15.00,14.70,196.17k,1.35
20170314,14.80,14.50,14.90,14.50,188.86k,0.00
20170313,14.80,14.50,14.90,14.50,174.70k,1.37
20170310,14.60,14.60,14.80,14.30,73.13k,-0.34
20170309,14.65,15.00,15.10,14.65,340.10k,-2.33
20170308,15.00,14.80,15.00,14.80,150.63k,1.35
20170307,14.80,14.85,15.10,14.70,188.08k,-0.67
20170306,14.90,14.80,15.00,14.60,83.56k,1.02
20170303,14.75,14.30,14.75,14.30,171.85k,2.08
20170302,14.45,14.50,14.70,14.45,171.90k,-0.34
20170301,14.50,14.30,14.60,14.30,222.91k,1.40
20170224,14.30,14.60,14.60,14.20,122.24k,-2.05
20170223,14.60,15.15,15.20,14.50,72.07k,-3.63
20170222,15.15,15.15,15.20,15.00,429.66k,0.00
20170221,15.15,15.35,15.40,15.00,481.27k,-1.62
20170220,15.40,15.25,15.50,15.00,222.26k,3.70
20170217,14.85,14.30,14.95,14.30,1.23,2.06
20170216,14.55,14.50,14.65,14.50,52.50k,-1.69
20170215,14.80,14.70,14.80,14.60,91.36k,-0.34
20170214,14.85,14.90,14.90,14.65,86.00k,0.34
20170213,14.80,15.00,15.30,14.75,96.41k,-1.33
20170210,15.00,14.50,15.00,14.40,154.24k,0.67
20170209,14.90,14.75,15.00,14.30,150.55k,1.36
20170208,14.70,15.40,15.40,14.50,164.45k,-4.55
20170207,15.40,15.95,15.95,15.20,64.64k,-0.96
20170206,15.55,15.15,15.55,15.10,132.28k,2.98
20170203,15.10,16.10,16.15,15.00,493.44k,-5.62
20170202,16.00,15.70,16.05,15.60,179.25k,2.56
20170201,15.60,15.10,15.65,15.10,155.54k,3.65
20170131,15.05,14.80,15.05,14.80,512.57k,1.69
20170130,14.80,14.70,14.90,14.50,463.90k,-0.67
20170127,14.90,15.00,15.00,14.65,79.20k,1.36
20170126,14.70,14.80,15.05,14.70,322.40k,0.00
20170125,14.70,14.60,14.80,14.00,126.22k,1.38
20170124,14.50,14.95,15.00,14.50,300.06k,0.00
20170123,14.50,14.10,14.70,14.10,201.70k,2.84
20170120,14.10,13.70,14.15,13.50,537.84k,2.92
20170119,13.70,13.75,14.00,13.55,108.69k,-0.36
20170118,13.75,13.40,14.15,13.40,216.15k,2.61
20170117,13.40,13.20,13.50,13.20,374.85k,2.29
20170116,13.10,13.15,13.20,12.95,140.89k,0.00
20170113,13.10,12.25,13.10,12.25,263.13k,3.97
20170112,12.60,12.50,13.00,12.50,84.66k,0.80
20170111,12.50,12.85,12.85,12.50,493.65k,0.00
20170110,12.50,11.80,12.55,11.80,429.08k,5.93
20170109,11.80,12.10,12.15,11.80,221.42k,0.00
20170106,11.80,11.55,11.80,11.55,145.29k,1.29
20170105,11.65,12.05,12.05,11.55,302.78k,-2.10
20170104,11.90,12.00,12.00,11.60,359.05k,0.85
20170103,11.80,11.60,12.10,11.50,562.48k,1.72
20170102,11.60,11.05,11.70,10.95,264.89k,4.98
20161229,11.05,10.65,11.05,10.50,888.21k,4.74
20161228,10.55,10.30,10.60,10.25,564.12k,2.43
20161227,10.30,10.00,10.30,9.90,453.22k,3.00
20161226,10.00,10.15,10.40,9.75,291.52k,-1.96
20161223,10.20,9.59,10.35,9.49,2.65,15.25
20161222,8.85,8.90,8.95,8.67,324.09k,-0.56
