fecha,ultima,apertura,maximo,minimo,vol,varianza
20170731,274.71,274.71,274.71,274.71,0.04k,-5.00
20170727,289.17,289.17,289.17,289.17,0.20k,-1.91
20170615,294.80,294.80,294.80,294.80,0.04k,4.17
20170531,283.00,283.00,283.00,283.00,0.06k,0.35
20170524,282.00,282.00,282.00,282.00,0.20k,2.55
20170519,275.00,275.00,275.00,275.00,0.28k,12.24
20170511,245.00,245.00,245.00,245.00,0.04k,-0.12
20160912,245.30,245.30,245.30,245.30,0.15k,-4.18
20160819,256.00,256.00,256.00,256.00,0.06k,-0.78
20160804,258.00,258.00,258.00,258.00,0.06k,-4.44
20160718,270.00,270.00,270.00,270.00,0.40k,12.66
20160512,239.65,239.65,239.65,239.65,0.15k,-11.24
20151104,270.00,270.00,270.00,270.00,0.07k,3.85
20151006,260.00,260.00,260.00,260.00,0.04k,6.12
20150925,245.00,245.00,245.00,245.00,0.04k,-9.26
20150915,270.00,270.00,270.00,270.00,0.00k,1.03
20150910,267.25,267.25,267.25,267.25,6.55k,-39.58
20140915,442.35,442.35,442.35,442.35,0.02k,29.55
20140729,341.44,341.44,341.44,341.44,0.04k,-1.98
20140725,348.33,348.33,348.33,348.33,0.02k,10.58
20140624,315.00,315.00,315.00,315.00,0.05k,0.64
20140623,313.00,313.00,313.00,313.00,0.04k,0.00
20140609,313.00,313.00,313.00,313.00,0.31k,2.62
20140528,305.00,305.00,305.00,305.00,0.01k,18.46
20140317,257.47,257.47,257.47,257.47,5.80k,-6.43
20140227,275.15,275.15,275.15,275.15,1.40k,-0.31
20140130,276.00,280.00,280.00,276.00,0.40k,-3.16
20140124,285.00,285.00,285.00,285.00,0.04k,18.06
20131227,241.40,241.40,241.40,241.40,1.40k,-7.51
20131129,261.00,261.00,261.00,261.00,0.07k,-2.85
20131010,268.65,268.65,268.65,268.65,1.38k,12.77
20130730,238.23,238.23,238.23,238.23,1.32k,-18.25
20130503,291.42,291.42,291.42,291.42,1.32k,9.55
20130325,266.01,266.01,266.01,266.01,1.30k,-3.69
20130322,276.20,276.20,276.20,276.20,0.72k,-4.33
20130315,288.70,288.70,288.70,288.70,0.18k,8.98
20130221,264.90,264.90,264.90,264.90,1.10k,-2.86
20130128,272.70,272.70,272.70,272.70,0.20k,3.96
20130117,262.30,262.30,262.30,262.30,0.38k,5.70
20130108,248.15,248.15,248.15,248.15,0.40k,3.53
20121226,239.70,232.00,239.70,232.00,1.07k,4.88
20121109,228.55,228.55,228.55,228.55,0.13k,9.46
20121009,208.80,208.80,208.80,208.80,1.44k,5.64
20120911,197.65,197.65,197.65,197.65,1.00k,-4.62
20120817,207.22,207.27,207.27,207.22,0.50k,1.99
20120809,203.18,203.18,203.18,203.18,0.20k,-0.14
20120807,203.47,203.42,203.47,203.42,2.10k,-1.88
20120702,207.37,207.37,207.37,207.37,1.00k,-3.91
20120622,215.81,215.81,215.81,215.81,0.52k,-0.97
20120615,217.93,217.93,217.93,217.93,0.30k,3.40
20120611,210.77,209.05,210.77,209.05,1.44k,9.87
20120531,191.83,191.83,191.83,191.83,2.10k,6.07
20120411,180.86,180.86,180.86,180.86,0.80k,0.62
20120314,179.74,179.74,179.74,179.74,0.34k,3.29
20120308,174.01,174.01,174.01,174.01,0.34k,2.61
20120207,169.59,169.54,169.59,169.54,1.60k,4.24
