fecha,ultima,apertura,maximo,minimo,vol,varianza
20171227,336.60,336.60,336.60,336.60,0.09k,1.36
20171226,332.10,332.10,332.10,332.10,3.62k,8.11
20171206,307.20,307.20,307.20,307.20,16.29k,-1.03
20171114,310.40,310.40,310.40,310.40,0.04k,-2.57
20171020,318.60,318.60,318.60,318.60,0.11k,0.00
20171011,318.60,318.60,318.60,318.60,3.00k,1.05
20171006,315.30,315.30,315.30,315.30,0.08k,0.73
20171003,313.00,313.00,313.00,313.00,0.10k,10.72
20170713,282.70,282.70,282.70,282.70,6.36k,-0.98
20170703,285.50,285.50,285.50,285.50,0.56k,2.85
20170621,277.60,274.50,277.60,274.50,0.43k,6.16
20170522,261.50,261.50,261.50,261.50,21.00k,-0.76
20170428,263.50,263.50,263.50,263.50,0.38k,1.93
20170419,258.50,258.50,258.50,258.50,23.40k,-2.08
20170404,264.00,264.00,264.00,264.00,0.02k,-0.26
20170331,264.70,264.70,264.70,264.70,0.01k,-0.34
20170330,265.60,265.60,265.60,265.60,0.11k,-0.38
20170328,266.60,266.60,266.60,266.60,0.50k,0.60
20170317,265.00,265.00,265.00,265.00,0.02k,-0.30
20170313,265.80,265.80,265.80,265.80,0.40k,0.82
20170307,263.65,263.65,263.65,263.65,0.40k,1.68
20170306,259.30,259.30,259.30,259.30,0.08k,-0.65
20170221,261.00,261.00,261.00,261.00,1.00k,1.95
20170206,256.00,256.00,256.00,256.00,0.02k,2.52
20170202,249.70,249.70,249.70,249.70,2.00k,0.89
20170201,247.50,247.50,247.50,247.50,8.08k,-1.59
20170125,251.50,251.50,251.50,251.50,0.04k,0.78
20170124,249.55,249.55,249.55,249.55,4.00k,-1.87
20161227,254.30,254.30,254.30,254.30,0.79k,-2.31
20161215,260.30,260.30,260.30,260.30,0.01k,0.00
20161214,260.30,260.30,260.30,260.30,1.00k,3.17
20161117,252.30,252.30,252.30,252.30,0.11k,-1.14
20161110,255.20,255.20,255.20,255.20,3.00k,9.53
20161104,233.00,233.00,233.00,233.00,0.07k,0.00
20161103,233.00,233.00,233.00,233.00,0.10k,-3.84
20161021,242.30,247.00,247.00,242.30,11.29k,-6.81
20161011,260.00,260.00,260.00,260.00,0.03k,2.81
20161007,252.90,252.90,252.90,252.90,0.78k,-2.73
