fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,9.500,9.500,9.500,9.500,4.50k,0.00
20180125,9.500,9.500,9.500,9.500,0.50k,0.00
20180124,9.500,9.500,9.500,9.500,0.50k,0.00
20180123,9.500,9.300,9.500,9.300,0.51k,2.70
20180122,9.250,9.250,9.250,9.250,1.30k,0.00
20180119,9.250,9.250,9.250,9.250,2.40k,-2.63
20180118,9.500,9.500,9.500,9.500,4.42k,2.15
20180117,9.300,9.490,9.490,9.250,3.81k,0.54
20180116,9.250,9.400,9.400,9.250,4.34k,-2.63
20180115,9.500,9.500,9.500,9.500,1.20k,0.00
20180112,9.500,9.500,9.500,9.500,4.12k,0.00
20180111,9.500,9.500,9.500,9.500,0.20k,0.00
20180110,9.500,9.500,9.500,9.500,0.20k,0.00
20180109,9.500,9.500,9.500,9.500,9.24k,-0.11
20180108,9.510,9.900,9.900,9.510,0.80k,-3.94
20180105,9.900,9.900,9.900,9.900,0.25k,3.12
20180104,9.600,9.620,9.620,9.600,2.44k,0.73
20180103,9.530,9.500,9.530,9.500,2.22k,1.93
20180102,9.350,9.250,9.350,9.250,3.00k,-4.59
20171229,9.800,10.100,10.100,9.800,7.00k,-3.92
20171227,10.200,10.200,10.200,10.200,0.33k,-1.45
20171226,10.350,10.300,10.450,10.300,1.75k,3.71
20171222,9.980,10.300,10.300,9.800,2.71k,-0.20
20171221,10.000,10.000,10.000,10.000,0.02k,4.17
20171220,9.600,9.500,9.750,9.500,3.37k,2.13
20171219,9.400,9.400,9.400,9.400,0.12k,0.00
20171218,9.400,9.300,9.500,9.000,3.97k,-1.05
20171215,9.500,9.500,9.500,9.500,0.05k,-1.55
20171214,9.650,9.650,9.650,9.650,0.04k,0.00
20171213,9.650,10.000,10.000,9.650,1.07k,-1.53
20171207,9.800,10.150,10.150,9.750,4.42k,1.03
20171206,9.700,9.100,9.700,9.100,11.96k,0.00
20171205,9.700,10.000,10.000,9.700,3.50k,0.00
20171204,9.700,10.000,10.000,9.100,3.00k,-3.00
20171201,10.000,10.000,10.000,10.000,0.81k,0.00
20171130,10.000,10.000,10.250,10.000,6.79k,-4.76
20171129,10.500,10.200,10.500,10.000,1.92k,0.48
20171128,10.450,10.450,10.600,10.450,1.89k,0.48
20171127,10.400,10.500,10.700,10.400,6.85k,-4.15
20171124,10.850,10.900,10.900,10.700,4.19k,-3.12
20171123,11.200,11.000,11.200,11.000,0.03k,-1.75
20171122,11.400,11.500,11.700,11.400,0.62k,-3.80
20171121,11.850,12.100,12.100,11.000,1.32k,-0.84
20171117,11.950,12.000,12.000,11.950,1.22k,3.91
20171116,11.500,11.000,11.500,11.000,3.86k,5.50
20171115,10.900,10.500,11.000,10.500,6.90k,1.40
20171114,10.750,11.000,11.000,10.450,5.26k,2.38
20171113,10.500,11.500,11.500,10.500,2.11k,-8.70
20171110,11.500,12.000,12.000,11.500,0.03k,-5.35
20171109,12.150,11.800,12.300,11.500,11.50k,5.65
20171108,11.500,10.850,11.500,10.850,3.10k,-2.54
20171107,11.800,11.800,11.800,11.800,0.35k,-1.67
20171103,12.000,11.100,12.100,11.100,20.93k,7.14
20171102,11.200,11.300,11.300,11.000,8.89k,-2.18
20171101,11.450,10.850,11.500,10.850,3.15k,4.09
20171031,11.000,11.550,11.550,10.700,5.10k,-4.76
20171030,11.550,10.500,11.600,10.500,6.76k,5.00
20171027,11.000,10.500,11.000,10.500,15.35k,1.85
20171026,10.800,11.000,11.000,10.800,7.39k,-3.14
20171025,11.150,11.150,11.150,11.150,0.88k,-0.89
20171024,11.250,11.700,11.700,11.250,2.61k,-2.17
20171023,11.500,11.300,11.500,11.100,26.27k,4.55
20171020,11.000,11.150,11.400,11.000,20.07k,-3.08
20171019,11.350,11.400,11.500,11.350,8.82k,-0.44
20171018,11.400,11.400,11.450,11.400,8.31k,-2.98
20171017,11.750,11.800,11.800,11.650,9.36k,0.86
20171013,11.650,11.200,11.650,11.200,11.56k,1.75
20171012,11.450,11.000,11.600,10.950,17.44k,3.62
20171011,11.050,12.600,13.000,11.050,56.95k,-10.53
20171010,12.350,11.550,13.800,11.550,110.51k,7.39
20171009,11.500,9.450,12.000,9.250,91.28k,27.78
20171006,9.000,8.200,9.300,8.200,44.07k,7.78
20171005,8.350,8.000,8.500,8.000,20.53k,4.38
20171004,8.000,8.000,8.200,8.000,11.28k,1.27
20171003,7.900,7.850,7.900,7.800,6.38k,0.00
20171002,7.900,7.900,8.000,7.750,4.47k,-1.25
20170929,8.000,8.000,8.200,7.800,12.42k,0.00
20170928,8.000,7.990,8.000,7.800,37.71k,-1.23
20170922,8.100,8.100,8.100,8.100,2.00k,0.62
20170921,8.050,8.000,8.150,8.000,1.17k,0.63
20170920,8.000,7.950,8.000,7.950,3.00k,-0.62
20170919,8.050,7.900,8.050,7.800,7.95k,1.90
20170918,7.900,7.900,7.900,7.900,3.24k,0.00
20170915,7.900,7.600,7.900,7.600,2.25k,3.95
20170914,7.600,7.610,7.610,7.550,2.21k,0.66
20170912,7.550,7.550,7.560,7.550,2.68k,-3.82
20170908,7.850,7.850,7.850,7.850,0.23k,0.00
20170907,7.850,7.600,7.850,7.510,1.45k,1.95
20170906,7.700,7.800,7.800,7.550,3.20k,2.67
20170905,7.500,7.500,7.500,7.500,0.40k,-5.06
20170904,7.900,7.800,7.910,7.600,19.12k,-0.13
20170901,7.910,8.000,8.000,7.910,0.29k,0.13
20170831,7.900,7.600,8.000,7.600,7.33k,5.33
20170829,7.500,7.500,7.500,7.500,1.36k,2.04
20170828,7.350,7.500,7.500,7.350,3.17k,-5.16
20170824,7.750,7.750,7.850,7.750,1.65k,0.65
20170823,7.700,7.710,7.710,7.700,1.16k,-4.94
20170818,8.100,8.050,8.200,8.050,1.92k,0.62
20170817,8.050,8.000,8.050,8.000,2.17k,0.63
