fecha,ultima,apertura,maximo,minimo,vol,varianza
20171219,324.85,324.85,324.85,324.85,3.50k,5.83
20171031,306.95,306.95,306.95,306.95,3.50k,-4.30
20171011,320.75,320.75,320.75,320.75,5.00k,2.80
20171006,312.00,312.00,312.00,312.00,0.03k,0.05
20170725,311.85,311.85,311.85,311.85,1.25k,1.78
20170724,306.40,306.40,306.40,306.40,2.00k,5.66
20170626,290.00,290.00,290.00,290.00,0.02k,-0.09
20170623,290.25,290.25,290.25,290.25,0.11k,0.00
20170622,290.25,290.25,290.25,290.25,0.11k,-0.60
20170621,292.00,292.00,292.00,292.00,1.00k,2.93
20170612,283.70,283.70,283.70,283.70,0.40k,1.32
20170522,280.00,280.00,280.00,280.00,8.50k,1.73
20170421,275.25,275.25,275.25,275.25,0.11k,-2.81
20170328,283.20,283.35,283.35,283.20,1.41k,0.02
20170314,283.15,283.15,283.15,283.15,0.11k,-0.47
20170313,284.50,284.50,284.50,284.50,2.00k,1.90
20170307,279.20,279.20,279.20,279.20,0.04k,-2.04
20170221,285.00,285.00,285.00,285.00,1.50k,7.55
20170220,265.00,265.00,265.00,265.00,0.04k,-4.69
20170210,278.05,278.05,278.05,278.05,0.11k,0.00
20170202,278.05,278.05,278.05,278.05,7.00k,-1.40
20170125,282.00,282.00,282.00,282.00,0.01k,-0.04
20170124,282.10,282.10,282.10,282.10,9.00k,2.51
20170123,275.20,275.20,275.20,275.20,0.45k,0.07
20170105,275.00,275.00,275.00,275.00,0.01k,1.49
20161214,270.95,270.95,270.95,270.95,2.00k,3.42
20161125,262.00,262.00,262.00,262.00,0.11k,2.75
20161122,255.00,255.00,255.00,255.00,0.04k,0.91
20161110,252.70,252.70,252.70,252.70,10.00k,-2.24
20161019,258.50,258.50,258.50,258.50,2.00k,-4.26
20161018,270.00,270.00,270.00,270.00,0.01k,0.22
20161004,269.40,269.40,269.40,269.40,3.00k,-1.30
20160928,272.95,272.95,272.95,272.95,0.16k,1.47
20160921,269.00,269.00,269.00,269.00,0.07k,0.20
20160920,268.45,267.45,268.45,267.45,1.54k,1.69
20160907,264.00,264.00,264.00,264.00,0.01k,2.01
20160817,258.80,258.80,258.80,258.80,2.24k,-0.46
20160808,260.00,260.00,260.00,260.00,0.02k,-0.21
20160803,260.55,260.55,260.55,260.55,0.02k,0.21
20160802,260.00,260.00,260.00,260.00,0.01k,0.81
20160726,257.90,257.90,257.90,257.90,4.75k,-1.94
20160719,262.99,262.99,262.99,262.99,16.00k,2.17
20160706,257.40,257.40,257.40,257.40,7.50k,2.96
20160629,250.00,250.00,250.00,250.00,0.08k,0.00
20160628,250.00,250.00,250.00,250.00,0.13k,8.46
20160616,230.50,230.50,230.50,230.50,1.75k,-1.83
20160512,234.80,234.80,234.80,234.80,7.45k,4.36
20160503,225.00,225.00,225.00,225.00,0.10k,-2.17
20160429,230.00,230.00,230.00,230.00,0.07k,-0.17
20160426,230.40,230.40,230.40,230.40,5.65k,-5.44
20160321,243.66,243.66,243.66,243.66,2.50k,-6.82
20160307,261.50,261.75,261.75,261.50,0.02k,0.00
20160303,261.50,262.00,262.00,261.50,2.69k,-0.27
20160302,262.20,262.20,262.20,262.20,7.80k,3.21
