fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,15.25,15.50,15.70,15.25,22.53k,-0.97
20180126,15.40,15.00,15.95,15.00,89.05k,2.67
20180125,15.00,14.60,15.00,14.55,22.80k,3.45
20180124,14.50,13.70,14.50,13.15,58.34k,5.84
20180123,13.70,13.40,13.70,13.40,11.45k,2.24
20180122,13.40,13.40,13.60,13.40,17.01k,1.13
20180119,13.25,13.20,13.25,13.05,21.13k,0.38
20180118,13.20,13.50,13.50,13.20,17.61k,-0.75
20180117,13.30,13.30,13.40,13.00,84.23k,2.31
20180116,13.00,13.40,13.40,12.90,40.98k,-3.35
20180115,13.45,13.60,13.70,13.45,29.61k,0.00
20180112,13.45,13.45,13.90,13.45,39.35k,-0.37
20180111,13.50,13.45,13.50,13.45,14.10k,0.00
20180110,13.50,13.40,13.75,13.20,20.10k,0.00
20180109,13.50,13.50,13.75,13.40,25.63k,0.75
20180108,13.40,13.50,13.50,13.40,5.05k,-2.19
20180105,13.70,13.60,13.80,13.60,23.40k,0.37
20180104,13.65,13.50,14.00,13.50,74.04k,2.25
20180103,13.35,13.30,13.35,13.30,6.07k,0.75
20180102,13.25,12.95,13.30,12.95,26.62k,-1.12
20171229,13.40,13.40,13.40,13.20,2.61k,-0.37
20171228,13.45,13.40,13.45,13.20,10.03k,0.37
20171227,13.40,13.40,13.50,13.40,8.73k,0.37
20171226,13.35,13.10,13.35,13.10,22.65k,4.30
20171222,12.80,13.00,13.00,12.80,14.81k,-1.54
20171221,13.00,12.50,13.15,12.50,9.47k,0.00
20171220,13.00,12.80,13.25,12.80,17.99k,1.56
20171219,12.80,12.40,12.80,12.30,12.85k,0.00
20171218,12.80,13.00,13.00,12.70,25.33k,1.19
20171215,12.65,12.70,12.70,12.50,6.73k,-0.39
20171214,12.70,12.50,12.95,12.50,4.20k,1.60
20171213,12.50,12.60,12.80,12.30,13.94k,-2.34
20171212,12.80,12.55,12.80,12.50,12.10k,1.59
20171211,12.60,12.30,12.90,12.30,22.51k,2.44
20171207,12.30,12.00,12.30,12.00,4.56k,2.50
20171206,12.00,12.00,12.20,11.80,8.60k,-0.41
20171205,12.05,12.10,12.25,12.05,9.29k,-1.23
20171204,12.20,12.20,12.20,12.05,4.66k,-2.40
20171201,12.50,12.50,12.50,12.05,5.37k,0.40
20171130,12.45,12.50,12.50,12.15,6.27k,-0.40
20171129,12.50,12.50,12.70,12.30,25.57k,-1.96
20171128,12.75,12.75,12.85,12.75,4.57k,1.19
20171127,12.60,12.65,13.00,12.55,11.72k,-3.08
20171124,13.00,13.00,13.10,12.65,7.32k,0.00
20171123,13.00,13.00,13.00,12.50,8.40k,0.00
20171122,13.00,13.20,13.40,12.70,46.93k,-3.35
20171121,13.45,12.80,14.00,12.80,18.22k,1.13
20171117,13.30,14.00,14.20,13.30,16.73k,-2.92
20171116,13.70,13.10,13.70,13.10,14.75k,4.58
20171115,13.10,12.40,13.50,11.80,17.89k,9.17
20171114,12.00,13.50,13.50,12.00,36.01k,-7.69
20171113,13.00,13.60,13.60,13.00,5.77k,-4.06
20171110,13.55,14.70,14.70,13.50,48.75k,-6.55
20171109,14.50,15.35,15.35,14.50,22.25k,-3.33
20171108,15.00,15.40,15.70,14.00,36.38k,-2.91
20171107,15.45,14.80,16.00,14.80,57.82k,4.39
20171103,14.80,14.50,14.80,14.30,27.63k,0.34
20171102,14.75,14.40,14.75,14.40,17.48k,2.79
20171101,14.35,14.20,14.50,14.05,20.29k,1.06
20171031,14.20,14.80,14.80,13.95,18.53k,-0.70
20171030,14.30,14.50,14.60,14.10,12.59k,1.42
20171027,14.10,14.60,15.50,14.00,73.73k,-2.08
20171026,14.40,13.35,14.90,13.30,154.99k,10.77
20171025,13.00,12.85,13.00,12.85,17.73k,-2.99
20171024,13.40,13.00,13.40,13.00,10.82k,0.37
20171023,13.35,13.40,13.40,12.80,21.27k,2.69
20171020,13.00,13.10,13.10,13.00,12.95k,0.00
20171019,13.00,13.00,13.00,12.80,13.79k,0.78
20171018,12.90,13.20,13.45,12.80,4.35k,-2.27
20171017,13.20,13.40,13.40,13.00,18.68k,-1.86
20171013,13.45,13.10,13.45,13.00,11.54k,2.28
20171012,13.15,13.15,13.20,13.15,16.44k,0.00
20171011,13.15,13.40,13.50,13.00,62.20k,1.15
20171010,13.00,12.85,13.30,12.85,32.41k,1.56
20171009,12.80,13.20,13.20,12.80,19.70k,-1.54
20171006,13.00,13.05,13.05,12.85,7.53k,-0.38
20171005,13.05,13.00,13.15,13.00,21.82k,2.35
20171004,12.75,13.00,13.20,12.70,14.94k,-1.92
20171003,13.00,13.20,13.20,12.70,24.70k,-1.52
20171002,13.20,13.00,13.20,12.50,40.83k,2.33
20170929,12.90,12.25,12.95,12.25,58.01k,6.17
20170928,12.15,12.10,12.30,12.10,11.89k,0.41
20170927,12.10,12.30,12.30,11.90,14.76k,0.00
20170926,12.10,12.40,12.40,12.10,12.35k,-1.63
20170925,12.30,12.10,12.30,12.10,45.48k,3.36
20170922,11.90,11.60,12.15,11.60,66.31k,3.48
20170921,11.50,11.20,11.50,11.20,20.18k,0.88
20170920,11.40,11.50,11.50,11.30,25.44k,-0.87
20170919,11.50,11.50,11.50,11.20,14.82k,0.88
20170918,11.40,11.60,11.60,11.40,0.45k,0.00
20170915,11.40,11.40,11.70,11.40,5.63k,0.00
20170914,11.40,11.50,11.50,11.25,9.09k,0.44
20170913,11.35,11.20,11.35,11.20,13.97k,1.34
20170912,11.20,11.20,11.50,11.20,9.82k,-0.88
20170911,11.30,11.35,11.35,11.10,39.92k,-0.88
20170908,11.40,11.30,11.45,11.20,12.66k,0.88
20170907,11.30,11.55,11.60,11.25,15.28k,-0.88
20170906,11.40,11.55,11.55,11.20,31.71k,-1.30
20170905,11.55,11.45,11.60,11.35,39.18k,0.43
20170904,11.50,11.50,11.50,11.50,2.00k,-3.36
20170901,11.90,11.90,11.90,11.50,4.16k,0.00
20170831,11.90,11.95,11.95,11.90,1.75k,3.48
20170830,11.50,11.55,11.85,11.45,11.05k,-0.43
20170829,11.55,11.55,11.55,11.55,2.24k,-1.28
20170828,11.70,11.90,11.90,11.70,7.87k,-1.68
20170825,11.90,11.80,11.90,11.75,6.22k,1.28
20170824,11.75,11.75,11.85,11.75,10.72k,-0.84
20170823,11.85,12.15,12.15,11.85,3.66k,-3.66
20170822,12.30,12.20,12.40,12.20,13.75k,0.00
20170818,12.30,11.70,12.30,11.70,14.51k,5.13
20170817,11.70,11.70,11.80,11.45,30.36k,0.00
20170816,11.70,11.70,12.00,11.70,23.06k,0.00
20170815,11.70,11.90,11.90,11.70,34.28k,-1.68
20170814,11.90,12.35,12.40,11.90,21.22k,-4.03
20170811,12.40,12.50,13.50,12.25,61.63k,-2.36
20170810,12.70,12.00,12.70,12.00,6.26k,5.83
20170809,12.00,12.00,12.50,12.00,6.73k,-2.44
20170808,12.30,12.20,12.50,12.20,12.30k,0.00
20170807,12.30,12.30,12.50,12.25,4.15k,-0.81
20170804,12.40,12.30,12.50,12.30,6.31k,-2.36
20170803,12.70,12.10,12.70,12.10,13.60k,2.42
20170802,12.40,12.70,12.70,12.10,10.96k,-0.80
20170801,12.50,12.00,12.75,12.00,12.18k,4.17
20170731,12.00,12.20,12.20,12.00,10.01k,-1.64
20170728,12.20,12.10,12.45,12.05,35.24k,1.67
20170727,12.00,11.80,12.00,11.75,5.19k,-2.04
20170726,12.25,12.25,12.25,12.25,0.93k,0.82
20170725,12.15,11.75,12.20,11.75,16.25k,2.53
20170724,11.85,11.90,12.05,11.85,4.27k,-1.25
20170721,12.00,12.20,12.20,11.80,8.76k,0.00
20170720,12.00,11.75,12.05,11.75,21.26k,3.00
20170719,11.65,11.30,11.80,11.30,6.50k,4.95
20170718,11.10,11.30,11.30,10.80,8.86k,-0.89
