fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,63.00,63.00,63.00,63.00,0.10k,-0.79
20180126,63.50,63.00,63.50,63.00,0.30k,0.79
20180125,63.00,62.50,63.00,62.50,0.15k,-0.79
20180124,63.50,63.50,63.50,63.50,0.75k,0.16
20180123,63.40,63.40,63.40,63.40,0.31k,0.63
20180122,63.00,63.00,63.00,63.00,0.30k,0.00
20180119,63.00,63.00,63.00,63.00,4.10k,0.00
20180118,63.00,63.00,63.00,63.00,0.10k,0.80
20180117,62.50,62.50,62.50,62.50,0.50k,0.00
20180116,62.50,62.50,62.50,62.50,0.40k,0.81
20180115,62.00,62.00,62.00,62.00,0.38k,0.00
20180112,62.00,62.00,62.00,62.00,0.10k,1.64
20180111,61.00,61.00,61.00,61.00,2.06k,0.83
20180110,60.50,58.00,60.50,58.00,3.75k,0.83
20180109,60.00,61.20,61.20,60.00,1.90k,-2.36
20180108,61.45,61.45,61.45,61.45,0.30k,0.74
20180105,61.00,61.00,61.00,61.00,0.45k,-0.81
20180104,61.50,62.00,62.00,61.50,0.27k,-0.81
20180103,62.00,62.50,62.50,62.00,2.30k,-1.59
20180102,63.00,63.00,63.00,63.00,0.12k,0.80
20171229,62.50,62.50,62.50,62.50,0.10k,0.81
20171228,62.00,62.00,62.00,62.00,0.26k,0.00
20171227,62.00,62.00,62.00,62.00,1.85k,1.64
20171226,61.00,61.00,61.00,61.00,1.31k,-1.61
20171222,62.00,61.00,62.00,61.00,2.61k,1.64
20171221,61.00,60.00,61.00,60.00,2.73k,0.00
20171220,61.00,61.00,61.00,61.00,0.10k,2.09
20171219,59.75,59.75,59.75,59.75,0.10k,0.08
20171218,59.70,59.70,59.70,59.70,0.50k,0.34
20171215,59.50,60.00,60.00,59.50,2.49k,0.00
20171214,59.50,60.00,60.00,59.50,0.54k,2.15
20171213,58.25,60.00,60.00,58.25,12.33k,-2.92
20171212,60.00,61.00,61.00,60.00,7.25k,0.00
20171211,60.00,60.00,60.00,60.00,0.01k,0.00
20171207,60.00,60.00,60.50,60.00,23.58k,1.69
20171206,59.00,59.00,59.00,59.00,0.92k,0.00
20171205,59.00,59.00,59.00,59.00,1.97k,0.17
20171204,58.90,58.90,58.90,58.90,0.88k,1.55
20171201,58.00,58.00,58.00,58.00,0.05k,0.00
20171130,58.00,58.00,58.00,58.00,0.41k,0.00
20171129,58.00,58.00,58.00,58.00,0.05k,0.00
20171127,58.00,58.00,58.00,58.00,0.05k,0.00
20171124,58.00,59.00,59.00,58.00,1.03k,-1.69
20171123,59.00,59.50,59.50,59.00,0.57k,0.00
20171122,59.00,59.00,59.00,59.00,0.01k,0.00
20171121,59.00,59.00,59.00,59.00,0.05k,0.00
20171117,59.00,59.00,59.00,59.00,0.05k,-3.28
20171116,61.00,59.00,61.00,59.00,0.20k,3.39
20171115,59.00,59.00,59.00,59.00,0.05k,-1.67
20171114,60.00,60.00,60.00,60.00,0.05k,0.00
20171113,60.00,60.00,60.00,60.00,9.36k,-1.64
20171110,61.00,62.00,62.00,61.00,0.12k,-2.40
20171109,62.50,63.00,63.00,62.50,1.20k,-1.57
20171108,63.50,63.50,63.50,63.50,0.05k,-0.78
20171107,64.00,62.00,64.00,62.00,0.02k,0.00
20171103,64.00,64.00,64.00,64.00,0.09k,0.00
20171102,64.00,64.00,64.00,64.00,0.23k,0.00
20171101,64.00,64.00,64.00,64.00,0.45k,0.00
20171031,64.00,64.00,64.00,64.00,0.36k,-1.54
20171030,65.00,64.00,65.00,64.00,0.11k,0.78
20171026,64.50,64.00,64.50,64.00,1.49k,0.78
20171025,64.00,63.50,64.00,63.50,0.66k,0.79
20171024,63.50,63.00,63.50,63.00,2.10k,0.79
20171023,63.00,62.50,63.00,62.50,0.65k,1.61
20171020,62.00,62.00,62.10,62.00,3.14k,0.00
20171019,62.00,62.00,62.00,62.00,2.66k,0.00
20171018,62.00,62.00,62.00,62.00,3.87k,0.00
20171017,62.00,63.50,63.50,62.00,0.14k,-2.36
20171013,63.50,63.50,63.50,63.50,0.04k,2.09
20171012,62.20,62.20,62.20,62.20,0.30k,0.00
20171011,62.20,62.50,62.50,62.00,2.20k,0.32
20171010,62.00,62.00,62.00,62.00,1.92k,3.33
20171009,60.00,60.00,60.00,60.00,0.27k,0.84
20171005,59.50,59.00,59.50,59.00,0.57k,-0.83
20171004,60.00,62.00,62.00,60.00,0.10k,-3.23
20171003,62.00,62.00,62.00,62.00,0.01k,2.48
20171002,60.50,61.00,62.00,60.50,0.80k,0.83
20170929,60.00,60.00,60.20,60.00,3.88k,0.84
20170928,59.50,59.00,60.00,59.00,9.12k,0.85
20170927,59.00,59.00,59.00,59.00,0.03k,0.00
20170926,59.00,59.00,59.00,59.00,1.10k,1.72
20170925,58.00,58.00,58.00,58.00,2.08k,0.00
20170922,58.00,58.00,58.00,58.00,0.34k,-2.93
20170921,59.75,59.75,59.75,59.75,0.04k,0.42
20170920,59.50,59.50,59.50,57.00,1.05k,0.00
20170919,59.50,59.50,59.50,59.50,0.09k,0.00
20170918,59.50,59.50,59.50,59.50,0.10k,0.85
20170915,59.00,59.00,59.00,59.00,0.09k,0.00
20170914,59.00,59.00,59.00,59.00,0.83k,0.00
20170913,59.00,59.90,59.90,59.00,3.50k,-1.50
20170912,59.90,59.90,59.90,59.90,0.10k,0.50
20170911,59.60,59.60,59.60,59.60,0.22k,0.17
20170908,59.50,59.10,59.50,59.10,0.24k,0.00
20170907,59.50,59.50,59.50,59.30,0.61k,0.51
20170906,59.20,59.20,59.20,59.20,0.10k,0.34
20170905,59.00,59.00,59.00,59.00,0.10k,1.72
20170904,58.00,58.00,58.00,58.00,2.02k,0.00
20170901,58.00,58.00,58.00,58.00,0.79k,0.87
20170830,57.50,57.50,57.50,57.50,0.10k,0.00
20170829,57.50,57.00,57.50,57.00,0.26k,0.88
20170828,57.00,56.00,57.00,55.00,0.49k,1.79
20170825,56.00,55.00,56.00,55.00,0.93k,3.70
20170824,54.00,50.00,54.00,50.00,3.24k,1.89
20170823,53.00,51.80,53.00,50.00,16.64k,1.92
20170822,52.00,52.00,52.00,52.00,0.10k,0.00
20170818,52.00,52.00,52.00,52.00,0.41k,1.96
20170817,51.00,50.00,51.00,50.00,1.39k,0.99
20170816,50.50,50.00,50.50,50.00,1.54k,1.00
20170815,50.00,49.90,50.00,49.90,5.23k,0.00
20170814,50.00,50.00,50.00,50.00,0.03k,4.38
20170811,47.90,47.90,47.90,47.90,1.03k,0.00
20170810,47.90,47.90,47.90,47.90,0.02k,-0.21
20170808,48.00,48.00,48.00,48.00,0.10k,3.00
20170807,46.60,46.60,46.60,46.60,0.65k,0.00
20170804,46.60,46.00,46.60,46.00,4.54k,-0.64
20170803,46.90,47.00,47.00,46.90,0.49k,-2.09
20170802,47.90,47.90,47.90,47.90,0.02k,-0.21
20170801,48.00,48.00,48.00,48.00,0.05k,0.00
20170731,48.00,47.00,48.00,47.00,1.39k,2.13
20170728,47.00,47.00,47.00,47.00,0.59k,-1.05
20170727,47.50,47.50,47.50,47.50,0.20k,-3.06
20170726,49.00,49.00,49.00,49.00,1.40k,1.03
20170725,48.50,45.00,48.50,45.00,3.88k,7.78
20170724,45.00,45.00,45.00,45.00,0.22k,0.00
20170721,45.00,46.00,46.00,45.00,6.79k,-4.26
20170720,47.00,47.00,47.00,47.00,0.16k,0.00
20170719,47.00,47.00,47.00,47.00,0.38k,4.44
20170718,45.00,46.00,46.50,42.40,4.31k,-4.26
20170717,47.00,48.25,48.25,47.00,0.13k,-2.08
20170714,48.00,48.00,48.00,48.00,2.82k,0.00
20170713,48.00,48.00,48.00,48.00,0.88k,0.00
20170712,48.00,48.00,48.00,48.00,6.15k,0.00
20170711,48.00,48.00,48.00,48.00,2.57k,0.21
20170710,47.90,48.00,48.00,47.85,1.30k,-2.24
20170707,49.00,48.00,50.00,47.50,0.80k,6.52
20170706,46.00,47.00,47.00,46.00,4.29k,-2.13
20170705,47.00,45.00,47.00,45.00,1.26k,1.08
20170704,46.50,45.00,46.50,45.00,2.91k,3.33
20170703,45.00,44.50,45.00,44.50,4.73k,3.45
20170630,43.50,41.90,43.50,41.90,1.16k,6.10
20170629,41.00,41.00,41.00,41.00,0.44k,0.00
20170628,41.00,41.00,41.00,41.00,0.61k,-1.20
20170627,41.50,41.50,41.50,41.50,0.46k,-1.19
20170626,42.00,41.00,42.00,41.00,0.85k,4.22
20170623,40.30,40.30,40.30,40.30,1.60k,0.75
20170622,40.00,40.00,40.00,40.00,0.13k,2.56
20170621,39.00,37.00,39.00,37.00,0.18k,0.00
20170619,39.00,39.00,40.00,39.00,1.75k,-2.99
20170616,40.20,40.20,40.20,40.20,1.50k,0.00
20170612,40.20,40.00,40.20,38.00,1.12k,-0.50
20170609,40.40,40.00,40.40,40.00,4.27k,1.00
20170607,40.00,40.00,40.00,40.00,1.26k,0.00
20170606,40.00,40.00,40.00,40.00,1.50k,0.00
20170605,40.00,38.50,40.00,38.50,1.54k,0.00
20170602,40.00,40.70,40.70,40.00,2.50k,-1.23
20170601,40.50,44.00,44.95,40.00,3.05k,-7.95
20170530,44.00,44.00,44.00,44.00,0.24k,0.00
20170529,44.00,44.00,44.00,44.00,0.19k,-4.24
20170526,45.95,45.95,45.95,45.95,0.29k,2.36
20170523,44.89,44.89,44.89,44.89,0.10k,-4.39
20170519,46.95,47.80,47.80,43.50,3.82k,-2.19
20170516,48.00,47.00,48.00,47.00,1.07k,2.13
20170515,47.00,47.00,47.00,47.00,0.10k,-3.98
20170512,48.95,45.00,49.00,45.00,1.72k,6.88
20170511,45.80,45.80,45.80,45.80,0.10k,-0.76
20170510,46.15,46.20,46.20,45.90,0.74k,-0.11
20170509,46.20,46.20,46.20,45.00,2.12k,0.00
20170508,46.20,46.50,46.50,46.20,0.24k,-4.25
20170505,48.25,48.25,48.25,48.25,0.45k,0.00
20170504,48.25,50.00,50.00,48.25,0.41k,-1.43
20170503,48.95,46.00,50.00,46.00,2.00k,6.41
20170502,46.00,46.00,46.00,46.00,1.10k,0.00
20170428,46.00,46.00,46.00,46.00,0.10k,0.00
20170427,46.00,46.00,46.00,46.00,0.32k,-1.71
20170425,46.80,46.80,46.80,46.80,2.53k,-0.85
20170424,47.20,46.00,47.20,46.00,0.32k,1.29
20170421,46.60,47.45,47.45,46.60,0.50k,-0.85
20170420,47.00,47.00,47.00,47.00,0.60k,0.00
20170419,47.00,47.00,47.00,47.00,0.08k,0.00
20170418,47.00,47.00,47.00,47.00,0.05k,0.00
20170417,47.00,47.00,47.00,47.00,0.03k,2.17
20170412,46.00,46.00,46.00,46.00,0.28k,-5.15
20170410,48.50,49.00,49.10,48.50,1.15k,-1.02
20170407,49.00,49.00,49.00,49.00,0.03k,0.00
20170406,49.00,49.00,49.00,49.00,0.03k,-2.00
20170405,50.00,48.90,50.00,48.90,0.91k,2.25
20170404,48.90,49.00,49.00,48.90,0.30k,-0.20
20170403,49.00,49.10,49.10,48.75,1.86k,0.00
20170331,49.00,47.00,49.00,47.00,0.55k,4.26
20170330,47.00,47.50,48.00,47.00,1.70k,2.17
20170329,46.00,46.00,46.00,46.00,0.10k,1.10
20170328,45.50,45.50,45.50,45.50,0.03k,-1.09
20170327,46.00,47.00,47.00,46.00,1.53k,-2.13
20170322,47.00,47.50,47.50,47.00,0.57k,-1.05
20170321,47.50,47.50,47.50,47.50,0.03k,-1.04
20170317,48.00,48.00,48.00,48.00,0.10k,0.00
20170316,48.00,48.00,48.00,48.00,0.03k,0.00
20170315,48.00,47.00,48.00,47.00,0.66k,0.00
20170314,48.00,48.00,48.00,48.00,0.25k,-0.21
20170313,48.10,48.50,48.50,48.10,1.47k,0.00
20170310,48.10,49.90,49.90,48.10,0.05k,-3.70
20170309,49.95,49.95,49.95,49.95,0.04k,0.10
20170308,49.90,50.00,50.00,49.90,1.08k,-0.10
20170307,49.95,49.95,49.95,49.95,0.03k,-0.10
20170306,50.00,50.20,50.20,50.00,0.04k,-0.50
20170302,50.25,50.25,50.25,50.25,0.02k,-2.43
20170301,51.50,50.05,51.50,50.05,0.70k,0.00
20170223,51.50,51.45,51.50,51.45,0.40k,-0.96
20170222,52.00,52.00,52.00,47.00,2.92k,1.07
20170220,51.45,52.00,52.00,51.45,0.32k,-2.92
20170217,53.00,54.00,54.00,53.00,0.59k,-1.76
20170216,53.95,52.00,53.95,52.00,0.04k,-1.01
20170215,54.50,54.50,54.50,54.50,0.05k,0.00
20170214,54.50,55.10,55.10,54.50,5.53k,-0.91
20170213,55.00,54.50,55.00,54.00,1.05k,0.92
20170210,54.50,55.00,55.00,54.50,0.15k,0.93
20170209,54.00,52.00,54.00,52.00,0.56k,0.47
20170208,53.75,55.00,55.00,53.75,1.16k,1.42
20170207,53.00,53.00,53.00,53.00,1.46k,6.00
20170206,50.00,50.00,50.00,50.00,0.32k,0.00
