fecha,ultima,apertura,maximo,minimo,vol,varianza
20160801,370.00,370.00,370.00,370.00,0.04k,-3.90
20160308,385.00,385.00,385.00,385.00,0.04k,0.52
20160304,383.00,386.00,386.00,383.00,0.04k,3.26
20150421,370.90,370.90,370.90,370.90,1.12k,17.07
20131227,316.83,316.83,316.83,316.83,1.22k,-5.01
20131029,333.55,333.55,333.55,333.55,2.00k,3.30
20130919,322.90,322.90,322.90,322.90,0.22k,1.62
20130916,317.75,319.00,319.00,317.75,2.86k,5.69
20130903,300.65,300.65,300.65,300.65,1.00k,4.17
20130808,288.61,288.61,288.61,288.61,0.40k,3.00
20130802,280.20,280.20,280.20,280.20,2.00k,0.86
20130801,277.80,277.80,277.80,277.80,1.86k,-7.72
20130723,301.05,301.05,301.05,301.05,0.03k,0.10
20130722,300.75,300.75,300.75,300.75,0.10k,0.42
20130424,299.50,299.50,299.50,299.50,0.01k,9.71
20130404,273.00,273.00,273.00,273.00,0.28k,-1.82
20130403,278.05,278.05,278.05,278.05,4.52k,-1.94
20130327,283.55,283.55,283.55,283.55,0.18k,0.30
20130326,282.70,282.70,282.70,282.70,0.02k,2.26
20130325,276.45,276.45,276.45,276.45,0.28k,-1.04
20130322,279.35,279.50,279.50,279.35,2.00k,-0.59
20130307,281.00,281.00,281.00,281.00,1.07k,6.66
20130227,263.45,263.45,263.45,263.45,0.60k,-8.62
20130130,288.30,288.30,288.30,288.30,2.52k,1.07
20130129,285.25,285.25,285.25,285.25,0.25k,1.26
20130128,281.70,281.70,281.70,281.70,0.30k,5.35
20130122,267.40,267.40,267.40,267.40,1.10k,0.13
20130118,267.05,267.05,267.05,267.05,1.50k,7.01
20130108,249.55,249.55,249.55,249.55,0.40k,4.37
20121227,239.10,239.10,239.10,239.10,0.42k,4.14
20121119,229.60,229.60,229.60,229.60,0.25k,-8.10
20121113,249.85,249.85,249.85,249.85,1.10k,10.95
20121016,225.20,225.20,225.20,225.20,0.50k,-8.04
20120815,244.90,244.90,244.90,244.90,2.24k,9.18
20120813,224.30,224.30,224.30,224.30,1.17k,-1.71
20120810,228.20,228.20,228.20,228.20,2.05k,-4.12
20120809,238.00,238.00,238.00,238.00,0.17k,1.92
20120731,233.52,233.52,233.52,233.52,0.85k,-5.06
20120717,245.97,245.97,245.97,245.97,0.08k,1.66
20120716,241.95,241.95,241.95,241.95,0.10k,3.81
20120710,233.08,233.08,233.08,233.08,0.10k,5.03
20120625,221.92,221.92,221.92,221.92,0.62k,-1.47
20120615,225.24,225.24,225.24,225.24,1.76k,3.11
20120614,218.45,218.45,218.45,218.45,0.15k,3.13
20120611,211.81,211.81,211.81,211.81,0.56k,6.43
20120601,199.01,199.01,199.01,199.01,0.60k,3.99
20120515,191.38,191.38,191.38,191.38,0.30k,1.87
20120509,187.86,187.86,187.86,187.86,1.05k,2.66
20120411,183.00,183.00,183.00,183.00,0.33k,0.36
20120410,182.35,182.31,182.35,182.31,2.00k,0.10
20120330,182.16,182.16,182.16,182.16,0.90k,2.60
20120308,177.55,177.60,177.60,177.55,0.34k,-0.94
20120229,179.23,179.23,179.23,179.23,0.90k,1.55
20120224,176.50,176.50,176.50,176.50,0.20k,-2.79
20120103,181.56,181.56,181.56,181.56,1.00k,3.97
20111221,174.62,174.57,174.62,174.57,0.28k,2.44
20111206,170.46,170.46,170.46,170.46,0.40k,5.04
20111121,162.28,162.28,162.28,162.28,0.30k,-3.34
20111118,167.88,167.88,167.88,167.88,0.60k,-1.05
20111110,169.66,169.66,169.66,169.66,2.00k,12.12
20110603,151.32,151.32,151.32,151.32,0.82k,1.43
20110523,149.19,149.19,149.19,149.19,0.86k,-0.69
20110516,150.23,150.23,150.23,150.23,0.66k,-8.87
20110427,164.85,164.85,164.85,164.85,0.20k,14.65
20110418,143.78,143.78,143.78,143.78,0.50k,-7.82
20110404,155.98,155.98,155.98,155.98,0.15k,3.90
20110323,150.13,150.13,150.13,150.13,0.13k,0.63
20110303,149.19,149.19,149.19,149.19,0.13k,0.37
20110301,148.64,150.03,150.03,148.64,0.76k,2.67
20110131,144.77,144.77,144.77,144.77,1.37k,3.40
20110124,140.01,140.01,140.01,140.01,0.58k,3.06
20110114,135.85,135.85,135.85,135.85,2.37k,-0.32
20110113,136.29,136.34,136.34,136.29,0.88k,2.00
20101229,133.62,133.62,133.62,133.62,0.37k,0.67
20101228,132.73,132.73,132.73,132.73,0.30k,2.49
20101216,129.50,129.50,129.50,129.50,0.92k,1.91
20101207,127.07,127.07,127.07,127.07,28.80k,0.39
20101112,126.58,126.58,126.58,126.58,2.00k,9.03
20101005,116.10,116.10,116.10,116.10,0.34k,13.63
20100819,102.17,102.22,102.22,102.17,0.96k,11.98
20100608,91.24,91.20,91.24,91.20,0.78k,-0.30
20100601,91.52,91.52,91.52,91.52,1.61k,-10.55
20100412,102.31,102.31,102.31,102.31,0.26k,3.82
20100311,98.54,98.54,98.54,98.54,2.00k,3.72
20100304,95.01,94.97,95.01,94.97,5.72k,-7.99
20091028,103.26,103.21,103.26,103.21,0.43k,9.03
20091013,94.71,94.75,94.75,94.71,0.75k,24.90
20090429,75.83,75.78,75.83,75.78,3.80k,0.80
20090211,75.22,75.27,75.27,75.22,3.07k,6.79
20090122,70.44,70.49,70.49,70.44,3.08k,0.00
20090120,70.44,70.44,70.44,70.44,6.22k,-13.39
20090108,81.34,81.98,81.98,81.34,8.75k,-4.11
20080925,84.82,84.82,84.82,84.82,1.00k,-6.08
20080807,90.31,90.31,90.31,90.31,2.37k,-5.86
20080730,95.93,95.93,95.93,95.93,1.16k,0.22
20080718,95.71,95.76,95.76,95.71,4.06k,-7.21
20080711,103.15,103.11,103.15,103.11,2.48k,-10.92
20080530,115.80,115.84,115.84,115.80,7.25k,-3.83
20080521,120.41,120.45,120.45,120.41,6.71k,28.39
20080303,93.78,93.82,93.82,93.78,0.60k,-11.19
20080115,105.60,105.64,105.64,105.60,0.80k,-2.04
20071211,107.80,107.80,107.80,107.80,0.10k,-0.27
20071205,108.10,108.10,108.10,108.10,0.35k,2.53
20071127,105.43,105.43,105.43,105.43,0.19k,-3.60
20071121,109.37,109.37,109.37,109.37,2.00k,3.03
20071113,106.15,106.15,106.15,106.15,0.32k,-2.84
20071011,109.26,109.30,109.30,109.26,0.54k,-1.85
20071001,111.31,111.36,111.36,111.31,0.68k,1.30
20070926,109.89,109.89,109.89,109.89,0.31k,2.23
20070904,107.49,107.49,107.49,107.49,3.60k,14.08
20070816,94.23,94.19,94.23,94.19,0.70k,-14.53
20070720,110.25,110.25,110.25,110.25,0.61k,0.34
20070705,109.87,110.04,110.04,109.75,3.45k,5.64
20070626,104.00,104.00,104.00,104.00,2.26k,4.87
20070606,99.18,99.22,99.22,99.18,0.42k,2.45
20070601,96.80,96.76,96.80,96.76,9.08k,-0.21
20070522,97.01,96.97,97.01,96.97,0.35k,1.52
20070518,95.56,95.51,95.56,95.51,1.11k,3.99
20070514,91.89,91.85,91.89,91.85,0.18k,-2.99
20070504,94.72,94.76,94.76,94.72,0.18k,4.26
20070423,90.85,90.85,90.85,90.85,0.19k,0.93
20070420,90.02,90.02,90.02,90.02,0.19k,4.95
20070403,85.78,85.82,85.82,85.78,0.25k,-0.87
20070329,86.52,86.57,86.57,86.52,2.72k,-6.81
20061115,92.85,92.81,92.85,92.81,0.32k,-0.22
20061114,93.06,93.10,93.10,93.06,1.36k,6.95
20061002,87.01,86.97,87.01,86.97,0.54k,9.57
