fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,128.50,133.00,133.00,126.00,21.76k,-3.24
20180126,132.80,136.35,136.35,132.20,11.48k,-2.92
20180125,136.80,136.00,137.00,133.00,56.09k,-0.07
20180124,136.90,129.00,136.90,129.00,63.33k,5.43
20180123,129.85,128.50,132.00,128.50,11.06k,1.05
20180122,128.50,132.55,133.90,128.30,8.61k,-3.67
20180119,133.40,134.00,135.00,128.80,27.01k,0.68
20180118,132.50,132.00,137.00,129.70,61.21k,0.11
20180117,132.35,130.20,140.00,130.00,143.19k,1.42
20180116,130.50,132.00,132.95,127.50,33.88k,-0.84
20180115,131.60,132.50,132.50,130.00,38.08k,-0.68
20180112,132.50,132.00,133.20,132.00,66.07k,0.38
20180111,132.00,131.00,132.00,129.70,21.51k,-0.38
20180110,132.50,128.00,133.20,128.00,48.43k,-1.08
20180109,133.95,134.00,134.70,130.10,166.36k,-0.78
20180108,135.00,129.00,135.60,125.10,44.22k,2.27
20180105,132.00,122.55,132.00,122.55,123.57k,5.68
20180104,124.90,122.00,124.95,122.00,54.72k,2.46
20180103,121.90,118.25,123.00,117.00,59.31k,2.70
20180102,118.70,120.00,120.00,117.00,74.07k,-0.08
20171229,118.80,113.00,119.00,113.00,95.69k,5.23
20171228,112.90,108.00,112.90,108.00,25.16k,4.44
20171227,108.10,109.00,109.00,106.50,83.48k,-1.28
20171226,109.50,110.85,112.00,109.00,21.43k,-1.31
20171222,110.95,114.00,115.00,108.10,39.15k,-1.81
20171221,113.00,108.80,113.00,108.00,48.81k,3.67
20171220,109.00,113.00,113.75,108.05,17.73k,-3.11
20171219,112.50,111.95,114.00,111.00,35.02k,2.27
20171218,110.00,107.00,110.00,107.00,32.98k,3.09
20171215,106.70,106.00,109.00,106.00,15.30k,0.19
20171214,106.50,104.00,108.00,104.00,12.18k,1.43
20171213,105.00,108.00,110.00,105.00,17.84k,-1.87
20171212,107.00,106.55,111.00,105.00,24.67k,0.38
20171211,106.60,106.55,109.00,104.00,45.44k,-0.37
20171207,107.00,108.00,109.00,106.00,35.43k,-0.93
20171206,108.00,108.95,109.70,104.35,23.61k,-1.77
20171205,109.95,112.50,114.00,107.00,19.56k,-2.27
20171204,112.50,113.10,114.20,112.50,33.77k,0.00
20171201,112.50,116.00,117.90,112.50,12.77k,-2.17
20171130,115.00,118.00,118.00,115.00,12.19k,-2.29
20171129,117.70,114.00,117.90,113.80,48.15k,2.71
20171128,114.60,118.80,119.00,113.00,35.30k,-3.37
20171127,118.60,119.00,122.90,118.60,12.24k,-0.75
20171124,119.50,120.50,121.20,118.50,7.42k,-0.83
20171123,120.50,120.50,122.00,118.50,27.47k,0.42
20171122,120.00,121.10,123.00,120.00,50.09k,0.00
20171121,120.00,123.00,123.75,119.00,16.38k,-2.04
20171117,122.50,125.00,125.00,121.00,12.19k,-0.24
20171116,122.80,118.00,123.00,118.00,37.33k,5.86
20171115,116.00,114.25,121.80,112.05,48.58k,1.35
20171114,114.45,120.60,122.00,113.10,60.85k,-5.02
20171113,120.50,120.00,120.70,118.00,15.58k,0.42
20171110,120.00,126.85,126.90,120.00,38.42k,-2.04
20171109,122.50,125.10,125.25,121.60,37.89k,-2.08
20171108,125.10,130.00,131.50,124.85,19.38k,-3.40
20171107,129.50,128.50,131.50,128.00,59.48k,1.85
20171103,127.15,118.50,127.45,118.00,110.82k,7.03
20171102,118.80,120.00,121.00,118.00,47.08k,-1.04
20171101,120.05,122.00,126.60,119.50,87.32k,-1.19
20171031,121.50,118.50,121.80,118.50,79.80k,2.53
20171030,118.50,123.00,124.00,118.00,42.12k,-3.34
20171027,122.60,125.00,126.50,122.60,52.42k,-1.92
20171026,125.00,127.45,127.50,123.70,80.53k,-1.85
20171025,127.35,130.90,130.90,120.00,129.53k,-4.25
20171024,133.00,132.50,133.00,131.00,33.73k,0.30
20171023,132.60,133.00,134.00,130.00,27.33k,0.91
20171020,131.40,131.10,132.90,130.00,37.27k,0.23
20171019,131.10,132.20,133.00,130.00,29.60k,-1.43
20171018,133.00,133.00,133.00,130.00,31.72k,-0.75
20171017,134.00,138.00,138.00,133.00,104.89k,-3.28
20171013,138.55,133.90,138.55,131.00,284.05k,3.24
20171012,134.20,130.35,134.20,130.00,37.17k,2.95
20171011,130.35,132.60,132.60,129.15,23.35k,0.27
20171010,130.00,131.00,131.50,129.20,24.67k,0.00
20171009,130.00,128.65,133.00,128.60,91.95k,1.09
20171006,128.60,130.70,131.00,128.60,57.79k,-1.61
20171005,130.70,132.75,134.00,130.50,27.10k,-2.46
20171004,134.00,132.00,134.00,129.00,24.19k,1.13
20171003,132.50,132.95,133.00,130.00,22.93k,-0.38
20171002,133.00,133.00,133.65,128.50,24.06k,0.00
20170929,133.00,129.50,133.50,127.50,75.03k,2.31
20170928,130.00,130.25,131.40,127.20,15.56k,-0.69
20170927,130.90,129.00,130.90,126.00,23.20k,1.47
20170926,129.00,127.50,129.00,126.05,19.15k,0.00
20170925,129.00,126.70,129.00,124.85,38.11k,1.90
20170922,126.60,126.80,129.80,126.00,15.64k,-0.43
