fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,17.050,17.000,17.200,16.650,1.15,-0.29
20180126,17.100,16.800,17.100,16.550,2.05,2.40
20180125,16.700,16.500,16.800,16.450,2.92,0.91
20180124,16.550,16.400,16.700,16.250,2.21,1.53
20180123,16.300,16.300,16.550,16.100,2.66,0.62
20180122,16.200,16.300,16.400,16.000,747.00k,-0.61
20180119,16.300,16.500,16.650,15.800,1.90,-0.61
20180118,16.400,16.200,16.500,15.850,3.32,1.55
20180117,16.150,15.400,16.150,15.250,7.74,5.56
20180116,15.300,14.600,15.350,14.600,3.91,3.03
20180115,14.850,14.800,15.100,14.500,3.42,1.71
20180112,14.600,14.550,14.700,14.400,2.57,1.39
20180111,14.400,14.950,14.950,14.350,1.34,-2.37
20180110,14.750,15.050,15.050,14.550,858.24k,-1.99
20180109,15.050,15.200,15.400,15.000,1.03,-0.33
20180108,15.100,15.100,15.250,14.800,1.70,-0.66
20180105,15.200,14.850,15.200,14.800,1.60,2.01
20180104,14.900,15.200,15.250,14.750,2.61,-1.32
20180103,15.100,15.100,15.150,14.500,1.87,2.03
20180102,14.800,14.600,15.000,14.500,2.22,2.78
20171229,14.400,14.200,14.900,14.200,1.04,0.00
20171228,14.400,13.850,14.500,13.800,954.93k,3.60
20171227,13.900,14.250,14.300,13.600,1.28,-1.42
20171226,14.100,13.950,14.350,13.800,1.11,1.44
20171222,13.900,13.450,14.000,13.450,967.66k,3.35
20171221,13.450,13.500,13.700,13.150,745.21k,1.13
20171220,13.300,13.400,13.700,13.000,792.22k,-0.75
20171219,13.400,13.200,13.700,13.100,884.08k,2.29
20171218,13.100,13.000,13.300,12.900,1.45,-0.38
20171215,13.150,12.600,13.300,12.600,1.16,-0.75
20171214,13.250,13.350,13.350,12.800,1.16,-0.38
20171213,13.300,13.200,13.350,13.000,1.87,0.38
20171212,13.250,13.300,13.300,12.950,835.68k,0.00
20171211,13.250,12.950,13.300,12.950,1.58,2.32
20171207,12.950,12.500,12.950,12.300,1.28,3.60
20171206,12.500,12.900,12.900,12.450,1.99,-2.72
20171205,12.850,12.950,13.000,12.700,929.43k,-0.77
20171204,12.950,13.200,13.400,12.850,815.48k,-1.89
20171201,13.200,13.350,13.450,13.100,571.83k,-1.49
20171130,13.400,13.300,13.500,13.200,894.17k,1.13
20171129,13.250,13.100,13.400,13.100,937.52k,0.38
20171128,13.200,13.600,13.750,13.150,884.94k,-2.94
20171127,13.600,13.700,13.950,13.550,676.98k,-2.51
20171124,13.950,13.750,14.000,13.700,381.96k,0.36
20171123,13.900,14.100,14.200,13.800,540.28k,0.00
20171122,13.900,13.900,14.200,13.800,760.58k,0.72
20171121,13.800,13.750,14.000,13.600,436.26k,0.00
20171117,13.800,14.100,14.250,13.750,684.29k,-1.43
20171116,14.000,13.700,14.100,13.500,1.41,4.87
20171115,13.350,13.250,13.700,13.150,2.36,0.38
20171114,13.300,13.600,14.000,13.150,1.13,-3.62
20171113,13.800,14.200,14.200,13.750,663.00k,-1.43
20171110,14.000,14.650,14.900,13.900,1.74,-4.76
20171109,14.700,14.950,15.350,14.500,1.02,-2.65
20171108,15.100,15.500,15.500,14.500,2.84,1.00
20171107,14.950,14.650,15.350,14.650,3.23,3.82
20171103,14.400,14.250,14.650,14.050,998.94k,0.70
20171102,14.300,14.200,14.600,14.050,814.86k,-1.04
20171101,14.450,14.500,14.850,14.200,1.40,-0.34
20171031,14.500,13.950,14.500,13.750,1.81,5.07
20171030,13.800,13.100,13.800,13.100,1.87,6.15
20171027,13.000,13.200,13.350,12.800,1.71,-1.14
20171026,13.150,13.400,13.600,13.100,1.38,-1.87
20171025,13.400,13.800,13.800,13.300,1.32,-2.55
20171024,13.750,13.600,13.800,13.550,1.37,0.00
20171023,13.750,13.600,13.850,13.200,3.78,2.61
20171020,13.400,13.200,13.500,13.100,2.37,1.13
20171019,13.250,12.600,13.300,12.500,1.88,5.58
20171018,12.550,13.000,13.000,12.450,1.85,-3.83
20171017,13.050,13.100,13.400,12.900,1.07,-2.97
20171013,13.450,13.450,13.650,13.300,585.10k,-0.74
20171012,13.550,13.600,13.750,13.400,1.43,0.37
20171011,13.500,13.400,13.850,13.350,3.88,0.75
20171010,13.400,13.000,13.500,12.950,1.53,2.29
20171009,13.100,13.000,13.250,12.950,2.12,0.38
20171006,13.050,12.900,13.100,12.850,1.76,-0.76
20171005,13.150,12.850,13.150,12.850,1.87,2.73
20171004,12.800,12.950,13.050,12.650,719.50k,-1.16
20171003,12.950,12.800,13.000,12.700,1.05,1.17
20171002,12.800,12.800,12.950,12.600,776.31k,0.00
20170929,12.800,12.700,13.000,12.550,1.85,0.79
20170928,12.700,12.700,12.800,12.500,701.65k,0.00
20170927,12.700,12.800,12.800,12.050,936.67k,0.40
20170926,12.650,12.950,12.950,12.300,1.87,-1.94
20170925,12.900,13.050,13.200,12.750,605.96k,-0.39
20170922,12.950,12.800,13.200,12.600,3.72,1.97
20170921,12.700,12.500,12.800,12.300,1.88,2.42
20170920,12.400,12.200,12.450,11.950,1.95,2.06
20170919,12.150,12.300,12.350,12.100,763.98k,0.00
20170918,12.150,12.000,12.200,11.750,757.88k,1.67
20170915,11.950,11.950,11.950,11.700,568.76k,0.84
20170914,11.850,12.050,12.100,11.850,672.36k,-2.07
20170913,12.100,12.150,12.200,12.000,1.77,-1.22
20170912,12.250,12.300,12.400,12.100,542.81k,-0.41
20170911,12.300,12.400,12.650,12.300,2.37,-0.81
20170908,12.400,12.300,12.400,12.000,1.06,0.81
20170907,12.300,12.150,12.300,12.000,1.60,2.07
20170906,12.050,12.000,12.250,11.900,1.88,0.84
20170905,11.950,11.850,12.000,11.800,1.15,1.70
20170904,11.750,11.850,11.900,11.700,325.76k,-0.42
20170901,11.800,11.600,11.800,11.600,1.27,1.72
20170831,11.600,11.700,11.800,11.550,889.30k,-0.43
