fecha,ultima,apertura,maximo,minimo,vol,varianza
20171227,434.55,434.55,434.55,434.55,1.10k,1.70
20171226,427.30,427.30,427.30,427.30,0.22k,10.83
20171205,385.55,385.55,385.55,385.55,6.52k,-1.57
20170703,391.70,391.70,391.70,391.70,0.30k,27.91
20161227,306.24,306.24,306.24,306.24,0.95k,-48.20
20161007,591.20,591.20,591.20,591.20,0.20k,0.44
20160901,588.60,588.60,588.60,588.60,0.30k,-0.11
20160817,589.25,589.25,589.25,589.25,0.85k,17.65
20160406,500.85,500.85,500.85,500.85,0.60k,-3.94
20160330,521.40,521.40,521.40,521.40,0.54k,21.45
20151218,429.32,429.32,429.32,429.32,0.22k,-9.75
20151116,475.70,475.70,475.70,475.70,1.05k,4.21
20151022,456.50,456.50,456.50,456.50,1.05k,5.28
20151014,433.60,433.60,433.60,433.60,0.35k,-4.17
20151009,452.45,452.45,452.45,452.45,2.39k,-1.77
20150902,460.60,460.60,460.60,460.60,2.60k,4.97
20150514,438.80,438.80,438.80,438.80,0.30k,1.42
20150511,432.65,432.00,432.65,432.00,6.33k,-1.22
20150508,438.00,438.00,438.00,438.00,0.06k,-0.18
20150211,438.80,433.05,438.80,433.05,1.50k,-0.82
20150202,442.45,442.45,442.45,442.45,0.75k,2.75
20150130,430.60,430.60,430.60,430.60,0.90k,-3.86
20150127,447.90,447.90,447.90,447.90,1.20k,-7.94
20141031,486.55,486.55,486.55,486.55,5.55k,-13.56
20141003,562.90,562.90,562.90,562.90,2.00k,32.42
20140505,425.10,427.00,427.00,425.10,1.41k,-5.02
20140328,447.55,447.55,447.55,447.55,0.22k,4.81
20140314,427.00,425.00,427.00,425.00,0.70k,-7.97
20140228,464.00,464.00,464.00,464.00,0.30k,-8.73
20140204,508.40,508.40,508.40,508.40,0.22k,-2.65
20140203,522.25,522.25,522.25,522.25,1.50k,13.53
20140130,460.00,460.00,460.00,460.00,0.10k,14.81
20131230,400.68,400.68,400.68,400.68,0.21k,3.15
20131227,388.43,388.43,388.43,388.43,1.40k,0.25
20131031,387.45,387.45,387.45,387.45,0.10k,-0.97
20131030,391.25,391.25,391.25,391.25,0.16k,8.80
