fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,147.00,151.10,152.00,145.00,171.26k,-2.65
20180126,151.00,153.00,155.00,150.20,116.17k,-0.59
20180125,151.90,164.00,164.00,151.50,57.18k,-2.78
20180124,156.25,154.00,156.50,153.10,70.24k,1.46
20180123,154.00,153.00,154.00,151.00,141.65k,1.65
20180122,151.50,149.00,152.00,147.00,79.32k,3.06
20180119,147.00,150.00,151.00,146.20,135.06k,-2.00
20180118,150.00,148.50,150.50,146.25,79.54k,1.15
20180117,148.30,148.00,148.50,145.50,75.34k,0.20
20180116,148.00,146.00,148.70,142.50,151.30k,1.09
20180115,146.40,147.00,149.00,143.60,60.88k,-0.41
20180112,147.00,149.00,149.50,145.00,59.71k,-0.27
20180111,147.40,145.60,148.85,145.25,73.95k,1.66
20180110,145.00,148.00,148.00,143.00,85.03k,-1.36
20180109,147.00,147.50,149.50,147.00,48.07k,-0.64
20180108,147.95,144.25,149.80,144.00,94.32k,3.03
20180105,143.60,141.85,145.35,140.50,124.03k,1.13
20180104,142.00,140.00,142.00,139.00,112.76k,1.97
20180103,139.25,140.00,143.00,137.60,59.82k,-0.54
20180102,140.00,137.00,142.00,136.75,122.01k,2.26
20171229,136.90,138.50,140.00,134.50,87.29k,-1.12
20171228,138.45,139.00,139.85,136.00,252.12k,1.80
20171227,136.00,141.00,143.50,131.00,124.04k,-3.55
20171226,141.00,144.00,144.00,140.00,54.60k,0.28
20171222,140.60,142.00,143.00,139.00,116.92k,-0.04
20171221,140.65,144.00,145.00,139.00,134.80k,-0.25
20171220,141.00,140.00,144.00,137.50,152.66k,2.92
20171219,137.00,136.00,137.00,134.00,150.80k,1.48
20171218,135.00,133.95,135.00,133.00,180.65k,1.73
20171215,132.70,132.00,136.00,131.00,183.50k,-1.70
20171214,135.00,132.65,135.00,130.00,67.18k,1.89
20171213,132.50,134.00,138.00,130.00,73.19k,1.73
20171212,130.25,131.00,131.00,129.00,93.12k,2.40
20171211,127.20,128.50,130.00,127.20,108.71k,-0.63
20171207,128.00,128.30,130.00,126.50,133.96k,-0.23
20171206,128.30,128.70,130.00,125.80,132.24k,1.18
20171205,126.80,125.60,127.00,122.10,172.76k,1.44
20171204,125.00,125.00,128.00,122.00,76.60k,0.60
20171201,124.25,120.00,126.00,120.00,95.03k,3.54
20171130,120.00,121.60,122.00,120.00,20.50k,-0.41
20171129,120.50,121.00,121.80,120.00,27.79k,0.00
20171128,120.50,121.00,121.00,119.00,53.53k,0.25
20171127,120.20,122.90,122.90,120.00,62.05k,-2.20
20171124,122.90,125.00,125.00,120.00,39.05k,-0.08
20171123,123.00,121.00,123.00,120.10,22.25k,1.91
20171122,120.70,123.00,123.10,120.50,63.16k,-0.25
20171121,121.00,119.50,121.95,118.00,101.40k,3.42
20171117,117.00,120.00,120.00,116.00,58.19k,-0.55
20171116,117.65,117.00,118.00,114.50,191.85k,2.62
20171115,114.65,109.00,115.20,107.00,215.88k,4.70
20171114,109.50,112.20,113.70,105.00,136.40k,-2.67
20171113,112.50,118.00,118.90,109.00,59.04k,-2.51
20171110,115.40,116.90,117.30,114.50,71.09k,-1.62
20171109,117.30,119.00,119.00,116.30,38.51k,0.69
20171108,116.50,115.75,116.50,114.00,109.00k,0.69
20171107,115.70,118.85,118.85,115.70,53.15k,-2.07
20171103,118.15,119.00,120.50,117.80,63.80k,-1.54
20171102,120.00,120.40,120.95,118.80,48.78k,0.84
20171101,119.00,118.00,120.00,118.00,126.08k,2.85
20171031,115.70,115.75,117.50,114.20,110.76k,0.35
20171030,115.30,115.60,118.00,113.70,65.23k,-0.26
20171027,115.60,119.50,119.50,115.00,114.48k,-3.26
20171026,119.50,116.95,120.00,116.95,123.47k,2.14
20171025,117.00,117.90,120.00,116.50,123.30k,-0.81
20171024,117.95,117.50,118.10,115.55,145.85k,0.38
20171023,117.50,113.05,117.80,113.05,191.32k,6.33
20171020,110.50,112.00,114.20,110.00,149.67k,-1.95
20171019,112.70,112.00,114.00,110.00,142.39k,2.92
20171018,109.50,108.00,111.00,108.00,138.26k,0.46
20171017,109.00,109.80,110.00,107.55,26.42k,-0.91
20171013,110.00,110.20,112.00,109.00,166.30k,0.05
20171012,109.95,108.00,109.95,107.50,101.94k,0.87
20171011,109.00,109.65,110.20,108.50,116.56k,-0.91
20171010,110.00,109.90,110.10,108.75,69.16k,-0.45
20171009,110.50,110.85,111.20,105.20,60.74k,-0.32
20171006,110.85,111.00,111.25,109.50,35.55k,0.00
20171005,110.85,108.80,110.85,108.80,93.36k,2.07
20171004,108.60,108.55,109.00,106.50,86.61k,0.09
20171003,108.50,106.00,109.00,105.00,273.54k,1.83
20171002,106.55,108.00,108.50,105.00,68.00k,-0.42
20170929,107.00,107.25,108.00,106.30,142.06k,-0.33
20170928,107.35,107.80,107.80,106.30,185.04k,1.56
20170927,105.70,107.00,107.90,105.50,89.72k,-0.28
20170926,106.00,105.00,107.50,105.00,84.95k,1.05
20170925,104.90,107.50,107.50,104.45,39.80k,-0.10
20170922,105.00,105.50,106.25,105.00,56.07k,-0.24
20170921,105.25,103.75,106.00,103.75,71.29k,0.00
20170920,105.25,105.80,106.00,104.40,33.25k,-0.71
20170919,106.00,105.30,106.00,104.50,87.24k,0.47
20170918,105.50,104.20,106.00,103.00,95.70k,0.91
20170915,104.55,104.00,106.00,103.00,141.77k,0.53
20170914,104.00,107.00,107.00,103.00,34.74k,-2.35
20170913,106.50,107.00,108.00,105.40,147.53k,-1.30
20170912,107.90,110.00,110.00,106.00,59.15k,-1.01
20170911,109.00,107.00,109.50,107.00,90.69k,3.66
20170908,105.15,107.95,108.00,104.15,168.37k,-3.53
20170907,109.00,108.50,109.30,107.00,132.94k,0.46
20170906,108.50,109.30,109.30,106.50,126.09k,-0.69
20170905,109.25,104.90,110.00,104.90,172.60k,3.65
20170904,105.40,106.00,106.00,105.00,12.57k,-0.57
20170901,106.00,108.50,108.50,105.10,37.56k,1.24
20170831,104.70,108.40,108.40,104.60,58.74k,-3.37
20170830,108.35,106.60,109.50,106.60,84.47k,2.07
20170829,106.15,108.00,108.15,106.15,61.15k,-0.98
20170828,107.20,105.00,108.50,104.50,101.00k,3.98
20170825,103.10,103.00,103.50,102.05,88.16k,1.23
20170824,101.85,103.30,104.00,101.10,127.23k,-1.40
20170823,103.30,106.00,106.00,102.30,237.58k,-3.00
20170822,106.50,108.20,108.20,105.50,99.88k,-1.57
20170818,108.20,106.50,108.90,106.00,61.20k,2.08
20170817,106.00,102.00,106.60,102.00,54.09k,2.42
20170816,103.50,102.00,103.90,101.50,98.16k,0.49
20170815,103.00,103.95,104.00,99.15,249.41k,-0.96
20170814,104.00,105.00,105.00,102.00,302.84k,3.59
20170811,100.40,98.50,100.45,96.50,153.32k,3.51
20170810,97.00,97.50,97.50,96.00,65.45k,-1.02
20170809,98.00,100.00,100.00,97.00,63.32k,-2.00
20170808,100.00,100.00,100.40,99.00,95.30k,0.00
20170807,100.00,98.90,100.00,98.00,127.60k,1.21
20170804,98.80,97.55,98.90,97.45,98.09k,1.59
20170803,97.25,94.50,97.85,94.50,203.00k,3.46
20170802,94.00,92.05,94.00,91.00,161.06k,0.97
20170801,93.10,94.00,95.00,93.05,72.62k,-0.96
20170731,94.00,96.65,96.65,93.75,62.55k,-3.09
20170728,97.00,95.00,97.00,93.80,55.87k,0.88
20170727,96.15,96.00,96.80,95.00,62.21k,0.16
