fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,26.00,26.10,26.85,24.30,247.11k,3.59
20180126,25.10,23.80,25.60,23.80,294.23k,5.68
20180125,23.75,25.50,25.85,23.65,293.64k,-5.00
20180124,25.00,27.05,28.15,24.80,409.30k,-6.02
20180123,26.60,28.05,29.90,26.25,635.82k,-4.14
20180122,27.75,25.60,28.95,25.00,848.21k,11.90
20180119,24.80,22.50,28.35,21.10,1.16,10.22
20180118,22.50,21.10,23.25,21.10,448.56k,4.65
20180117,21.50,19.10,21.50,19.05,313.27k,14.36
20180116,18.80,18.75,19.25,18.65,64.12k,-2.84
20180115,19.35,19.50,19.90,19.00,167.35k,0.26
20180112,19.30,18.60,19.35,18.30,90.72k,5.46
20180111,18.30,18.00,18.30,17.65,59.23k,4.57
20180110,17.50,17.20,17.70,17.00,44.13k,0.00
20180109,17.50,18.00,18.00,17.35,55.75k,-2.78
20180108,18.00,18.30,18.30,17.55,68.93k,-1.64
20180105,18.30,18.60,18.70,17.95,36.50k,-1.08
20180104,18.50,18.40,18.70,18.30,78.43k,1.65
20180103,18.20,18.00,18.20,17.80,166.93k,2.82
20180102,17.70,17.75,17.90,17.40,76.23k,1.72
20171229,17.40,17.00,17.40,16.50,69.36k,2.35
20171228,17.00,17.00,17.45,16.70,56.03k,1.80
20171227,16.70,16.50,17.00,16.45,40.14k,0.00
20171226,16.70,16.25,17.00,16.25,128.59k,-1.76
20171222,17.00,17.15,17.25,16.60,46.82k,0.00
20171221,17.00,16.50,17.00,16.20,60.48k,4.62
20171220,16.25,17.20,17.20,16.20,45.29k,-3.27
20171219,16.80,17.00,17.00,16.60,30.53k,-1.18
20171218,17.00,16.90,17.30,16.50,27.14k,0.00
20171215,17.00,16.20,17.25,16.20,39.79k,3.03
20171214,16.50,16.50,16.70,16.05,38.73k,-1.79
20171213,16.80,16.55,17.25,16.45,61.43k,-2.89
20171212,17.30,17.75,18.00,16.90,39.19k,-2.54
20171211,17.75,17.80,18.15,17.75,29.63k,-0.28
20171207,17.80,17.40,17.80,17.40,38.72k,2.89
