fecha,ultima,apertura,maximo,minimo,vol,varianza
20180105,361.50,361.50,361.50,361.50,6.44k,5.73
20171227,341.90,343.85,348.00,341.90,0.90k,0.96
20171226,338.65,338.65,338.65,338.65,0.27k,5.99
20171205,319.52,319.52,319.52,319.52,4.70k,4.85
20170803,304.75,304.75,304.75,304.75,6.54k,8.80
20170703,280.10,280.10,280.10,280.10,0.36k,6.18
20161227,263.80,263.80,263.80,263.80,1.14k,7.67
20161201,245.00,245.00,245.00,245.00,0.22k,2.08
20160819,240.00,240.00,240.00,240.00,0.22k,-1.30
20160817,243.15,243.15,243.15,243.15,2.06k,8.11
20160331,224.91,224.91,224.91,224.91,0.02k,0.00
20160330,224.91,224.91,224.91,224.91,1.19k,4.34
20160223,215.57,215.57,215.57,215.57,0.07k,0.73
20160212,214.00,214.00,214.00,214.00,0.07k,4.39
20151221,205.00,201.00,205.00,201.00,0.30k,-0.49
20151218,206.00,206.00,206.00,206.00,0.48k,-12.37
20151116,235.07,235.07,235.07,235.07,0.07k,1.26
20151014,232.15,232.15,232.15,232.15,0.73k,0.06
20151013,232.00,232.00,232.00,232.00,1.08k,-2.56
20151009,238.10,238.10,238.10,238.10,2.45k,12.23
20150902,212.15,212.15,212.15,212.15,3.11k,-1.14
20150508,214.59,214.59,214.59,214.59,0.18k,-4.93
20150203,225.73,225.73,225.73,225.73,1.01k,-12.40
20141031,257.67,257.67,257.67,257.67,2.77k,-6.15
20141009,274.55,278.00,278.00,274.55,0.41k,1.66
20140828,270.07,265.11,270.07,265.11,0.08k,2.97
20140825,262.28,274.04,274.04,262.28,0.53k,16.08
20140806,225.95,225.95,225.95,225.95,0.22k,-5.46
20140729,239.00,239.00,239.00,239.00,0.14k,9.72
20140313,217.82,217.82,217.82,217.82,0.04k,26.92
20131127,171.62,176.07,176.07,171.62,0.14k,-4.20
20131126,179.15,179.15,179.15,179.15,0.07k,-1.08
20131122,181.10,182.45,182.45,181.10,1.27k,-0.74
20131119,182.45,182.45,182.45,182.45,0.07k,0.47
20131114,181.60,182.30,182.30,181.60,0.75k,9.08
20130911,166.48,166.48,166.48,166.48,0.02k,0.15
20130828,166.23,167.18,167.18,166.23,1.34k,4.03
20130826,159.80,159.80,159.80,159.80,0.08k,0.00
20130823,159.80,159.80,159.80,159.80,0.08k,7.03
20130802,149.30,149.30,149.30,149.30,0.08k,1.74
20130801,146.75,146.70,146.75,146.70,3.69k,-0.24
20130731,147.10,147.10,147.10,147.10,0.09k,0.41
20130730,146.50,147.95,147.95,146.50,0.30k,12.87
20130625,129.80,129.80,129.80,129.80,0.30k,-3.71
20130613,134.80,134.80,134.80,134.80,0.09k,-1.86
20130612,137.35,137.35,137.35,137.35,0.09k,-0.72
20130611,138.35,138.35,138.35,138.35,0.09k,-1.11
20130607,139.90,139.90,139.90,139.90,0.06k,-0.36
20130606,140.40,139.00,140.40,138.95,0.25k,1.04
20130605,138.95,138.95,138.95,138.95,0.09k,-1.07
20130604,140.45,140.45,140.45,140.45,0.09k,-1.92
20130603,143.20,143.20,143.20,143.20,0.09k,-0.17
20130531,143.45,143.45,143.45,143.45,6.44k,1.38
20130529,141.50,141.50,141.50,141.50,0.08k,-1.19
20130515,143.20,143.20,143.20,143.20,0.11k,1.56
20130514,141.00,141.00,141.00,141.00,0.18k,-5.65
20130513,149.45,149.45,149.45,149.45,1.50k,-2.42
20130509,153.15,157.35,157.35,153.15,0.17k,-5.99
20130508,162.90,162.90,162.90,162.90,0.12k,2.97
20130506,158.20,158.20,158.20,158.20,0.60k,-0.03
20130503,158.25,158.60,158.60,158.25,3.68k,2.49
20130430,154.40,154.40,154.40,154.40,0.08k,4.11
20130425,148.30,148.30,148.30,148.30,0.08k,2.06
20130424,145.30,145.30,145.30,145.30,0.09k,1.57
20130423,143.05,143.05,143.05,143.05,3.00k,2.18
20130415,140.00,140.00,140.00,140.00,0.09k,1.23
20130410,138.30,138.30,138.30,138.30,0.09k,3.25
20130405,133.95,133.95,133.95,133.95,2.39k,-0.04
20130403,134.00,134.00,134.00,134.00,2.60k,-1.03
20130327,135.40,135.40,135.40,135.40,0.38k,-0.29
20130326,135.80,135.80,135.80,135.80,0.02k,0.82
20130325,134.70,134.70,134.70,134.70,0.91k,-1.50
20130322,136.75,136.75,136.75,136.75,1.46k,-0.11
20130319,136.90,136.40,136.90,136.40,1.81k,-2.91
20130318,141.00,141.90,141.90,141.00,0.18k,-0.88
20130315,142.25,142.25,142.25,142.25,0.09k,4.21
20130306,136.50,136.50,136.50,136.50,0.10k,2.71
20130304,132.90,132.90,132.90,132.90,0.10k,-1.56
20130301,135.00,135.00,135.00,135.00,0.12k,-0.30
20130228,135.40,135.40,135.40,135.40,0.37k,0.74
20130225,134.40,134.40,134.40,134.40,0.12k,4.63
20130221,128.45,128.45,128.45,128.45,1.09k,-5.72
20130204,136.25,136.25,136.25,136.25,0.37k,1.83
20130124,133.80,133.80,133.80,133.80,0.75k,3.56
20130115,129.20,129.20,129.20,129.20,1.55k,1.29
20130114,127.55,127.55,127.55,127.55,1.57k,8.92
20130107,117.10,117.10,117.10,117.10,0.43k,1.39
20121221,115.50,115.50,115.50,115.50,0.12k,3.91
20121211,111.15,111.15,111.15,111.15,0.12k,0.59
20121210,110.50,109.75,110.50,109.75,0.50k,-2.04
20121128,112.80,112.85,112.85,112.80,0.44k,-1.27
20121113,114.25,114.25,114.25,114.25,0.12k,3.39
20121109,110.50,111.05,111.05,110.50,0.45k,-1.07
20121031,111.70,111.70,111.70,111.70,-,7.56
20121012,103.85,103.85,103.85,103.85,0.48k,-0.14
20121003,104.00,104.60,104.60,104.00,0.48k,-2.21
20121001,106.35,106.35,106.35,106.35,0.28k,-4.83
20120921,111.75,111.70,111.75,111.70,0.45k,0.86
20120920,110.80,110.80,110.80,110.80,0.12k,-2.99
20120917,114.22,114.62,114.62,114.22,0.48k,0.21
20120914,113.98,114.72,114.72,113.98,0.26k,0.48
20120912,113.43,113.43,113.43,113.43,0.27k,3.29
20120907,109.82,110.71,110.71,109.82,0.90k,1.89
20120831,107.78,107.78,107.78,107.78,0.92k,1.06
20120830,106.65,106.65,106.65,106.65,0.20k,0.19
20120829,106.45,106.55,106.55,106.45,1.40k,-0.41
20120828,106.89,106.89,106.89,106.89,0.25k,1.89
20120827,104.91,106.94,106.94,104.91,0.27k,0.42
20120824,104.47,107.44,107.44,104.47,1.05k,-2.54
20120823,107.19,107.19,107.19,107.19,0.93k,0.47
20120817,106.69,106.69,106.69,106.69,0.24k,3.75
20120814,102.83,104.07,104.07,102.83,5.03k,-1.33
20120813,104.22,104.22,104.22,104.22,0.09k,5.04
