fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,93.300,93.500,93.800,90.000,296.66k,0.65
20180126,92.700,92.950,93.250,91.200,155.04k,-0.32
20180125,93.000,93.950,93.950,90.500,216.75k,-1.06
20180124,94.000,91.500,94.000,91.050,156.31k,3.07
20180123,91.200,90.150,92.000,90.050,284.64k,1.16
20180122,90.150,88.500,90.900,86.500,176.08k,1.52
20180119,88.800,90.400,91.500,87.500,176.42k,-1.88
20180118,90.500,91.500,92.600,90.000,304.47k,0.78
20180117,89.800,90.500,90.750,89.550,258.88k,0.17
20180116,89.650,92.700,92.700,88.850,1.21,-3.60
20180115,93.000,88.000,94.000,88.000,197.72k,6.65
20180112,87.200,86.000,88.000,85.500,234.71k,2.59
20180111,85.000,83.000,85.600,82.900,121.23k,1.19
20180110,84.000,83.350,84.500,81.100,192.15k,0.78
20180109,83.350,85.150,85.500,83.000,251.73k,-1.59
20180108,84.700,86.700,87.200,84.000,441.74k,-2.19
20180105,86.600,86.150,87.200,85.000,134.69k,0.52
20180104,86.150,85.100,87.500,85.100,92.48k,1.06
20180103,85.250,85.200,87.000,84.950,110.76k,-0.87
20180102,86.000,83.500,86.500,83.100,143.55k,3.61
20171229,83.000,85.900,85.900,82.000,153.31k,-2.35
20171228,85.000,83.250,86.500,83.250,122.68k,2.41
20171227,83.000,86.500,86.500,82.000,112.98k,-0.24
20171226,83.200,85.200,87.000,83.000,125.36k,-1.77
20171222,84.700,83.900,86.000,83.100,122.63k,1.93
20171221,83.100,83.800,86.500,83.000,125.27k,-0.84
20171220,83.800,82.000,84.000,81.000,129.31k,2.76
20171219,81.550,80.000,82.850,79.350,154.60k,3.10
20171218,79.100,79.000,80.000,78.050,166.03k,0.76
20171215,78.500,81.000,81.800,78.000,115.86k,-3.09
20171214,81.000,80.000,82.300,78.000,160.32k,1.38
20171213,79.900,81.900,81.900,79.000,163.87k,-1.72
20171212,81.300,82.000,82.000,80.000,123.68k,1.88
20171211,79.800,75.500,80.000,75.500,365.63k,6.40
20171207,75.000,71.600,75.000,71.600,165.64k,2.32
20171206,73.300,73.200,74.500,72.500,189.49k,-0.27
20171205,73.500,71.600,74.650,71.600,189.75k,1.03
20171204,72.750,73.500,74.200,72.300,124.55k,-1.02
20171201,73.500,73.000,74.500,72.000,59.56k,-0.47
20171130,73.850,74.900,75.000,73.000,72.38k,-1.40
20171129,74.900,72.500,75.100,71.600,222.11k,4.03
20171128,72.000,73.000,73.000,71.900,73.54k,-0.69
20171127,72.500,74.000,75.750,72.500,112.16k,-2.55
20171124,74.400,73.250,75.000,72.000,79.96k,1.57
20171123,73.250,73.500,74.450,72.000,30.61k,-0.34
20171122,73.500,72.800,74.750,72.500,140.08k,1.24
20171121,72.600,73.000,73.000,71.750,81.38k,0.83
20171117,72.000,74.150,75.850,71.200,301.94k,-2.83
20171116,74.100,73.000,75.300,72.500,351.83k,3.28
20171115,71.750,69.000,72.500,65.450,557.06k,4.44
20171114,68.700,70.500,70.900,66.300,177.99k,-3.24
20171113,71.000,71.750,72.800,70.000,79.71k,-1.39
20171110,72.000,73.500,73.500,70.300,133.27k,-0.48
20171109,72.350,74.800,75.800,72.100,159.46k,-2.43
20171108,74.150,76.000,76.000,73.700,192.04k,-0.67
20171107,74.650,75.050,76.650,74.600,243.10k,1.29
20171103,73.700,74.500,75.450,73.500,99.51k,-0.54
20171102,74.100,76.500,76.500,72.000,153.57k,-2.63
20171101,76.100,76.050,76.900,74.550,156.90k,0.13
20171031,76.000,73.700,76.000,72.500,123.11k,3.26
20171030,73.600,72.950,73.950,72.200,180.04k,0.82
20171027,73.000,73.000,73.900,72.000,130.77k,0.00
20171026,73.000,75.000,75.500,72.500,170.25k,-1.15
20171025,73.850,76.500,76.500,73.800,237.86k,-3.02
20171024,76.150,75.300,76.800,74.100,214.33k,0.26
20171023,75.950,76.050,77.000,74.700,231.68k,2.64
20171020,74.000,75.200,77.000,72.500,369.42k,-1.33
20171019,75.000,72.500,75.250,72.000,273.50k,3.45
20171018,72.500,71.000,73.000,69.600,203.60k,-1.23
20171017,73.400,75.700,76.000,72.000,165.02k,-2.78
20171013,75.500,76.500,76.500,75.000,169.07k,-0.33
20171012,75.750,74.000,75.750,73.000,184.82k,1.00
20171011,75.000,74.950,75.800,71.000,310.91k,0.13
20171010,74.900,76.100,77.500,74.900,176.92k,-1.71
20171009,76.200,75.400,78.000,75.000,161.50k,0.93
20171006,75.500,76.900,76.900,74.600,147.39k,-0.13
20171005,75.600,72.200,76.000,72.000,268.65k,4.56
20171004,72.300,73.350,73.350,71.000,214.25k,-1.63
20171003,73.500,72.400,74.000,72.400,275.75k,1.52
20171002,72.400,72.550,73.050,71.800,253.96k,0.56
20170929,72.000,69.550,72.000,69.200,121.58k,4.27
20170928,69.050,68.600,69.500,67.500,122.91k,0.95
20170927,68.400,68.200,68.950,67.250,171.95k,0.44
20170926,68.100,70.000,71.900,68.100,535.52k,-1.45
20170925,69.100,68.200,69.600,68.200,382.21k,2.14
20170922,67.650,68.000,69.000,67.150,234.00k,0.89
20170921,67.050,66.100,67.500,65.750,464.35k,3.55
20170920,64.750,65.050,66.900,64.700,362.54k,1.17
20170919,64.000,60.350,64.200,60.350,401.02k,7.38
20170918,59.600,59.800,60.750,59.100,126.83k,0.00
20170915,59.600,59.800,59.900,59.000,80.51k,0.00
20170914,59.600,60.250,60.250,59.500,81.52k,-1.97
20170913,60.800,61.000,61.000,59.000,150.66k,1.33
20170912,60.000,62.000,62.500,59.300,316.01k,-2.76
20170911,61.700,63.000,63.000,61.600,118.17k,0.24
