fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,78.500,77.900,78.900,75.000,257.05k,1.09
20180126,77.650,78.500,79.000,77.650,801.12k,0.52
20180125,77.250,78.000,78.000,76.200,401.13k,-0.77
20180124,77.850,77.950,78.000,77.400,334.94k,-0.19
20180123,78.000,77.300,78.000,77.000,369.77k,0.71
20180122,77.450,78.000,78.000,76.100,528.03k,-0.32
20180119,77.700,78.650,78.650,75.150,163.99k,-1.33
20180118,78.750,78.200,79.000,78.200,207.18k,-1.38
20180117,79.850,78.350,80.000,76.750,460.44k,2.18
20180116,78.150,79.500,81.900,78.000,404.69k,-1.08
20180115,79.000,77.300,82.500,75.000,611.20k,2.33
20180112,77.200,78.100,78.900,77.200,620.84k,-0.13
20180111,77.300,79.000,79.500,77.300,326.05k,-0.90
20180110,78.000,79.200,79.800,75.000,222.32k,-1.64
20180109,79.300,79.000,80.500,77.000,151.72k,0.38
20180108,79.000,78.000,79.900,76.000,244.19k,1.28
20180105,78.000,77.900,78.500,77.300,136.64k,-1.02
20180104,78.800,76.850,78.800,76.850,239.81k,2.20
20180103,77.100,76.550,77.250,72.000,320.73k,0.26
20180102,76.900,75.900,77.000,74.250,408.60k,2.53
20171229,75.000,73.100,76.250,71.100,246.53k,2.81
20171228,72.950,72.700,73.000,71.300,207.38k,0.97
20171227,72.250,72.250,72.250,70.100,421.31k,1.76
20171226,71.000,71.000,72.900,69.800,258.62k,0.78
20171222,70.450,68.500,71.000,68.500,462.03k,4.45
20171221,67.450,65.950,67.900,65.950,209.07k,2.35
20171220,65.900,65.600,66.000,64.300,153.83k,3.21
20171219,63.850,65.000,66.200,63.500,152.00k,-1.77
20171218,65.000,65.800,67.000,63.500,145.47k,-1.52
20171215,66.000,67.000,68.000,64.800,183.80k,-1.20
20171214,66.800,64.500,67.450,62.500,275.96k,2.53
20171213,65.150,66.000,66.900,63.500,228.33k,-1.88
20171212,66.400,66.050,66.800,65.000,256.60k,2.15
