fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,63.600,64.650,64.950,62.050,227.79k,-0.39
20180126,63.850,63.550,65.000,63.250,300.61k,1.67
20180125,62.800,63.550,65.000,62.400,941.75k,-0.32
20180124,63.000,60.050,63.700,60.000,513.10k,5.09
20180123,59.950,60.000,60.500,59.000,341.16k,-0.08
20180122,60.000,60.000,61.400,59.300,356.41k,0.00
20180119,60.000,61.000,62.300,59.000,418.90k,-1.64
20180118,61.000,61.000,64.800,60.700,1.70,0.83
20180117,60.500,61.000,61.400,59.850,1.57,1.00
20180116,59.900,59.900,60.900,59.250,529.22k,0.17
20180115,59.800,59.800,60.450,59.000,954.57k,0.00
20180112,59.800,60.200,60.900,59.750,573.68k,0.17
20180111,59.700,59.550,60.450,59.500,358.95k,0.25
20180110,59.550,60.000,60.000,58.000,632.45k,-1.73
20180109,60.600,60.400,62.500,59.550,1.62,0.58
20180108,60.250,57.800,60.500,56.600,673.84k,5.15
20180105,57.300,55.000,58.800,53.500,496.14k,4.18
20180104,55.000,53.950,55.350,53.200,515.17k,1.85
20180103,54.000,52.000,54.000,51.000,538.95k,3.85
20180102,52.000,49.000,52.000,47.800,455.55k,6.12
20171229,49.000,47.950,50.000,47.000,313.05k,2.83
20171228,47.650,47.250,48.700,47.250,570.62k,0.32
20171227,47.500,47.100,47.500,45.300,638.09k,1.06
20171226,47.000,48.050,48.500,46.500,382.39k,-1.88
20171222,47.900,45.650,48.100,45.650,656.25k,6.44
20171221,45.000,43.500,45.800,43.100,399.01k,3.45
20171220,43.500,43.000,43.800,42.800,243.96k,1.52
20171219,42.850,42.900,44.150,42.650,250.67k,0.82
20171218,42.500,41.650,42.500,41.200,149.57k,1.19
20171215,42.000,42.000,43.000,41.050,230.20k,0.00
20171214,42.000,43.000,43.500,41.600,341.90k,-2.33
20171213,43.000,44.500,45.000,42.700,191.13k,-3.59
20171212,44.600,45.000,45.100,43.900,171.22k,-0.89
20171211,45.000,44.900,45.500,44.000,167.94k,0.45
20171207,44.800,43.250,45.000,43.000,161.85k,3.58
20171206,43.250,43.800,44.000,42.500,408.84k,-1.70
20171205,44.000,45.400,45.500,43.850,223.29k,-3.51
20171204,45.600,46.000,46.300,44.000,195.36k,-0.55
20171201,45.850,44.850,46.000,44.500,375.41k,2.92
20171130,44.550,45.000,45.000,43.750,151.27k,1.25
20171129,44.000,44.000,44.750,43.300,100.15k,0.23
20171128,43.900,45.000,45.400,43.400,360.58k,-2.44
20171127,45.000,45.950,46.750,44.900,197.61k,-2.28
20171124,46.050,45.400,46.150,44.650,236.33k,2.33
20171123,45.000,45.000,45.550,44.250,153.73k,-0.22
20171122,45.100,45.550,46.800,44.800,346.07k,-1.10
20171121,45.600,44.050,45.800,44.000,388.39k,3.40
20171117,44.100,44.800,44.900,43.000,245.20k,-0.45
20171116,44.300,42.500,44.400,42.200,553.22k,5.60
20171115,41.950,40.400,43.900,40.400,619.22k,0.12
20171114,41.900,42.750,42.750,40.000,422.85k,-0.24
20171113,42.000,43.050,43.600,41.800,224.96k,-2.55
20171110,43.100,44.200,44.600,42.500,259.20k,-2.38
20171109,44.150,42.850,44.850,42.850,906.36k,2.67
20171108,43.000,40.250,43.100,40.250,698.72k,7.10
20171107,40.150,41.200,42.000,40.000,256.84k,-0.12
20171103,40.200,41.700,41.950,39.950,500.45k,-2.43
20171102,41.200,42.550,42.800,40.950,347.96k,-3.40
20171101,42.650,42.000,42.900,41.700,542.13k,3.02
20171031,41.400,39.500,42.200,39.300,275.24k,3.50
20171030,40.000,39.800,40.000,38.700,244.25k,0.76
20171027,39.700,40.750,40.750,39.700,191.68k,-3.17
20171026,41.000,42.500,42.500,40.700,255.03k,-1.80
20171025,41.750,40.950,42.000,39.500,629.16k,1.71
20171024,41.050,42.800,42.800,41.000,563.34k,-3.41
20171023,42.500,42.200,43.100,40.300,1.06,4.04
20171020,40.850,40.500,41.700,40.300,575.38k,1.49
20171019,40.250,37.900,40.300,37.900,559.46k,6.06
20171018,37.950,38.500,38.800,37.500,652.64k,-1.17
